2019 Federal Election House of Representatives Two Party Preferred By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:55 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Kennedy,167,QLD,LNP,59319,64.51,32629,35.49,91948,7.77
Kingsford Smith,127,NSW,ALP,38875,41.19,55501,58.81,94376,-0.24
Kingston,186,SA,ALP,40373,38.06,65708,61.94,106081,1.61
Kooyong,221,VIC,LP,56127,56.68,42902,43.32,99029,-6.14
La Trobe,223,VIC,LP,53776,54.49,44913,45.51,98689,1.27
Lalor,222,VIC,ALP,35137,37.59,58341,62.41,93478,1.78
Leichhardt,168,QLD,LNP,48638,54.17,41147,45.83,89785,0.22
Lilley,169,QLD,ALP,47688,49.36,48917,50.64,96605,5.04
Lindsay,128,NSW,LP,53614,55.04,43789,44.96,97403,6.15
Lingiari,306,NT,ALP,21571,44.54,26863,55.46,48434,2.73
Longman,302,QLD,LNP,53037,53.28,46512,46.72,99549,4.07
Lyne,130,NSW,NP,65942,65.17,35238,34.83,101180,3.54
Lyons,196,TAS,ALP,32073,44.82,39491,55.18,71564,-1.35
Macarthur,131,NSW,ALP,41394,41.6,58110,58.4,99504,-0.07
Mackellar,132,NSW,LP,62124,63.22,36138,36.78,98262,-2.52
Macnamara,322,VIC,ALP,42479,43.75,54613,56.25,97092,-5.04
Macquarie,133,NSW,ALP,48290,49.81,48661,50.19,96951,2
Makin,187,SA,ALP,42978,40.28,63726,59.72,106704,1.07
Mallee,224,VIC,NP,62143,66.23,31684,33.77,93827,-3.57
Maranoa,170,QLD,LNP,69961,75.42,22799,24.58,92760,7.88
Maribyrnong,225,VIC,ALP,39157,38.8,61767,61.2,100924,-0.8
Mayo,188,SA,LP,59205,52.54,53471,47.46,112676,-0.73
McEwen,226,VIC,ALP,43236,44.98,52892,55.02,96128,0.98
McMahon,315,NSW,ALP,37029,43.36,48364,56.64,85393,5.47
McPherson,171,QLD,LNP,57545,62.2,34976,37.8,92521,0.56
Melbourne,228,VIC,ALP,30654,32.94,62410,67.06,93064,-0.06
