2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,0
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,-4226
ACT,318,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,-100
ACT,318,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,318,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,318,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,318,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,318,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,42328
ACT,318,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,43.02
ACT,318,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,983
ACT,318,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,23.26
ACT,318,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,10061
ACT,318,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,10.23
ACT,318,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,1613
ACT,318,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,38.17
ACT,318,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Count,14930
ACT,318,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Percent,15.17
ACT,318,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Count,262
ACT,318,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Percent,6.2
ACT,318,Bean,2,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Count,31075
ACT,318,Bean,2,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Percent,31.58
ACT,318,Bean,2,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Count,1368
ACT,318,Bean,2,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Percent,32.37
ACT,318,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,0
ACT,318,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,0
