2007 Federal Election House of Representatives Two Party Preferred By Division [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:27 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,36757,41.47,51868,58.53,88625,-7.2
Aston,197,VIC,LP,47243,55.05,38569,44.95,85812,-8.1
Ballarat,198,VIC,ALP,36752,41.85,51056,58.15,87808,-5.92
Banks,103,NSW,ALP,32109,38.92,50392,61.08,82501,-7.86
Barker,180,SA,LP,56301,59.45,38396,40.55,94697,-10.43
Barton,104,NSW,ALP,31064,37.9,50902,62.1,81966,-4.53
Bass,192,TAS,ALP,31282,49,32553,51,63835,-3.63
Batman,199,VIC,ALP,19158,24.05,60503,75.95,79661,-4.63
Bendigo,200,VIC,ALP,39466,43.87,50504,56.13,89970,-5.17
Bennelong,105,NSW,ALP,42251,48.6,44685,51.4,86936,-5.53
Berowra,106,NSW,LP,49122,58.94,34223,41.06,83345,-4.88
Blair,304,QLD,ALP,37910,45.52,45369,54.48,83279,-10.17
Blaxland,107,NSW,ALP,24503,31.63,52953,68.37,77456,-3.14
Bonner,310,QLD,ALP,38004,45.47,45576,54.53,83580,-5.04
Boothby,182,SA,LP,47322,52.93,42075,47.07,89397,-2.44
Bowman,155,QLD,LP,41073,50.04,41009,49.96,82082,-8.86
Braddon,193,TAS,ALP,32176,48.56,34085,51.44,66261,-2.57
Bradfield,108,NSW,LP,53512,63.45,30819,36.55,84331,-4.1
Brand,235,WA,ALP,36673,44.38,45959,55.62,82632,-0.97
Brisbane,156,QLD,ALP,36212,43.24,47526,56.76,83738,-2.82
Bruce,201,VIC,ALP,33565,41.68,46966,58.32,80531,-4.84
Calare,109,NSW,NP,51124,62.05,31263,37.95,82387,0.64
Calwell,203,VIC,ALP,26463,30.67,59807,69.33,86270,-11.14
Canberra,101,ACT,ALP,43871,38.18,71030,61.82,114901,-1.91
Canning,236,WA,LP,47689,55.58,38109,44.42,85798,-3.96
Capricornia,157,QLD,ALP,31725,37.29,53355,62.71,85080,-8.7
Casey,204,VIC,LP,46726,55.93,36812,44.07,83538,-5.42
Charlton,110,NSW,ALP,30885,37.13,52298,62.87,83183,-4.47
Chifley,111,NSW,ALP,23572,29.34,56776,70.66,80348,-8.69
Chisholm,205,VIC,ALP,34041,42.62,45833,57.38,79874,-4.73
Cook,112,NSW,LP,48711,56.57,37396,43.43,86107,-6.71
Corangamite,207,VIC,ALP,44426,49.15,45968,50.85,90394,-6.17
Corio,208,VIC,ALP,34102,41.07,48939,58.93,83041,-3.29
Cowan,237,WA,LP,43883,51.71,40975,48.29,84858,2.49
Cowper,113,NSW,NP,43423,51.23,41334,48.77,84757,-5.52
Cunningham,114,NSW,ALP,26847,31.87,57382,68.13,84229,-6.51
Curtin,238,WA,LP,50320,63.57,28832,36.43,79152,-1.05
Dawson,158,QLD,ALP,37386,46.79,42520,53.21,79906,-13.2
Deakin,209,VIC,ALP,39991,48.59,42319,51.41,82310,-6.38
Denison,194,TAS,ALP,21988,34.37,41982,65.63,63970,-2.34
Dickson,252,QLD,LP,41832,50.13,41615,49.87,83447,-8.76
Dobell,115,NSW,ALP,37983,46.1,44413,53.9,82396,-8.74
Dunkley,210,VIC,LP,46693,54.04,39711,45.96,86404,-5.34
Eden-Monaro,117,NSW,ALP,39447,46.6,45207,53.4,84654,-6.67
Fadden,159,QLD,LP,50228,60.2,33205,39.8,83433,-5.7
Fairfax,160,QLD,LP,43558,53.01,38609,46.99,82167,-9.4
Farrer,118,NSW,LP,52766,61.17,33493,38.83,86259,-5.46
Fisher,161,QLD,LP,42325,53.1,37384,46.9,79709,-7.88
Flinders,211,VIC,LP,51697,58.25,37058,41.75,88755,-2.86
Flynn,311,QLD,ALP,39967,49.84,40220,50.16,80187,-7.88
Forde,162,QLD,ALP,36869,47.09,41419,52.91,78288,-14.43
Forrest,239,WA,LP,47871,55.83,37879,44.17,85750,-4.62
Fowler,119,NSW,ALP,24801,31.75,53306,68.25,78107,-4.93
Franklin,195,TAS,ALP,30787,45.52,36845,54.48,67632,3.11
Fraser,102,ACT,ALP,37965,34.93,70715,65.07,108680,-1.75
Fremantle,240,WA,ALP,32648,40.86,47253,59.14,79901,-1.38
Gellibrand,212,VIC,ALP,24022,28.54,60134,71.46,84156,-6.51
Gilmore,120,NSW,LP,43467,54.07,36930,45.93,80397,-5.34
Gippsland,213,VIC,NP,49280,55.91,38861,44.09,88141,-1.79
Goldstein,214,VIC,LP,47811,56.05,37488,43.95,85299,-3.98
Gorton,309,VIC,ALP,27297,28.78,67535,71.22,94832,-6.32
Grayndler,121,NSW,ALP,21019,25.07,62821,74.93,83840,-3.74
Greenway,122,NSW,LP,43881,54.5,36641,45.5,80522,-6.85
Grey,183,SA,LP,48522,54.43,40623,45.57,89145,-9.39
Griffith,163,QLD,ALP,31198,37.68,51600,62.32,82798,-3.84
Groom,164,QLD,LP,48468,58.22,34782,41.78,83250,-10.59
Hasluck,305,WA,ALP,35805,48.74,37657,51.26,73462,-3.08
Herbert,165,QLD,LP,41089,50.21,40746,49.79,81835,-6.03
Higgins,215,VIC,LP,46559,57.04,35070,42.96,81629,-1.72
Hindmarsh,185,SA,ALP,40767,44.95,49937,55.05,90704,-4.99
Hinkler,166,QLD,NP,42515,51.69,39734,48.31,82249,-6.65
Holt,216,VIC,ALP,35638,38.37,57237,61.63,92875,-10.12
Hotham,217,VIC,ALP,30091,37,51240,63,81331,-5.6
Hughes,124,NSW,LP,43562,52.16,39957,47.84,83519,-6.39
Hume,125,NSW,LP,45526,54.16,38537,45.84,84063,-8.68
Hunter,126,NSW,ALP,28173,34.08,54504,65.92,82677,-4.83
Indi,218,VIC,LP,50132,59.19,34559,40.81,84691,-7.1
Isaacs,219,VIC,ALP,38230,42.31,52131,57.69,90361,-6.21
Jagajaga,220,VIC,ALP,35905,41.02,51630,58.98,87535,-4.58
Kalgoorlie,241,WA,LP,34474,52.58,31097,47.42,65571,-3.72
Kennedy,167,QLD,NP,47339,57.51,34980,42.49,82319,-1.35
Kingsford Smith,127,NSW,ALP,31837,36.71,54889,63.29,86726,-4.56
Kingston,186,SA,ALP,41244,45.58,49247,54.42,90491,-4.49
Kooyong,221,VIC,LP,48775,59.53,33153,40.47,81928,-0.05
La Trobe,223,VIC,LP,43077,50.51,42206,49.49,85283,-5.32
Lalor,222,VIC,ALP,32926,34.47,62600,65.53,95526,-6.74
Leichhardt,168,QLD,ALP,38127,45.97,44816,54.03,82943,-14.29
Lilley,169,QLD,ALP,34581,41.41,48921,58.59,83502,-3.19
Lindsay,128,NSW,ALP,35315,43.22,46394,56.78,81709,-9.7
