2010 Federal Election House of Representatives Two Party Preferred By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:52 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Kingsford Smith,127,NSW,ALP,45249,55.16,36780,44.84,82029,-8.1
Kingston,186,SA,ALP,58695,63.91,33139,36.09,91834,9.49
Kooyong,221,VIC,LP,34508,42.45,46779,57.55,81287,1.98
La Trobe,223,VIC,ALP,45308,50.91,43689,49.09,88997,1.42
Lalor,222,VIC,ALP,74452,72.15,28736,27.85,103188,6.62
Leichhardt,168,QLD,LNQ,36273,45.45,43539,54.55,79812,-8.61
Lilley,169,QLD,ALP,46234,53.18,40711,46.82,86945,-4.77
Lindsay,128,NSW,ALP,42546,51.12,40681,48.88,83227,-5.16
Lingiari,306,NT,ALP,23051,53.7,19876,46.3,42927,-7.46
Longman,302,QLD,LNQ,36277,48.08,39173,51.92,75450,-3.79
Lyne,130,NSW,NP,31902,37.55,53065,62.45,84967,-3.65
Lyons,196,TAS,ALP,40959,62.29,24796,37.71,65755,3.95
Macarthur,131,NSW,LP,36741,46.98,41462,53.02,78203,-3.53
Mackellar,132,NSW,LP,29855,34.28,57245,65.72,87100,-3.34
Macquarie,133,NSW,LP,42604,48.74,44801,51.26,87405,-1.54
Makin,187,SA,ALP,53014,62.2,32219,37.8,85233,4.5
Mallee,224,VIC,NP,20842,25.59,60611,74.41,81453,-3.14
Maranoa,170,QLD,LNQ,23625,27.11,63520,72.89,87145,-8.83
Maribyrnong,225,VIC,ALP,51193,66.86,25379,33.14,76572,1.54
Mayo,188,SA,LP,39201,42.65,52702,57.35,91903,-0.29
McEwen,226,VIC,ALP,58144,55.32,46963,44.68,105107,5.34
McMahon,315,NSW,ALP,46170,57.81,33690,42.19,79860,-5.96
McMillan,227,VIC,LP,38731,45.59,46229,54.41,84960,0.38
McPherson,171,QLD,LNQ,31004,39.72,47044,60.28,78048,-1.63
Melbourne,228,VIC,ALP,65473,73.3,23854,26.7,89327,1.03
Melbourne Ports,230,VIC,ALP,48819,57.56,36002,42.44,84821,0.41
Menzies,229,VIC,LP,33811,41.28,48102,58.72,81913,-2.7
Mitchell,134,NSW,LP,27500,32.84,56229,67.16,83729,-7.51
Moncrieff,172,QLD,LNQ,24612,32.51,51103,67.49,75715,-3.69
Moore,242,WA,LP,31901,38.81,50302,61.19,82203,-2.26
Moreton,173,QLD,ALP,41447,51.13,39612,48.87,81059,-4.88
Murray,231,VIC,LP,23882,29.65,56666,70.35,80548,-2.09
New England,135,NSW,NP,30265,33.2,60907,66.8,91172,-1.96
Newcastle,136,NSW,ALP,51220,62.49,30744,37.51,81964,-3.42
North Sydney,137,NSW,LP,30808,35.94,54901,64.06,85709,-8.55
O'Connor,243,WA,NP,22029,27,59555,73,81584,-10.24
Oxley,174,QLD,ALP,39894,55.77,31640,44.23,71534,-5.57
Page,138,NSW,ALP,46273,54.19,39111,45.81,85384,1.83
Parkes,139,NSW,NP,27946,31.14,61789,68.86,89735,-5.19
Parramatta,140,NSW,ALP,42583,54.37,35734,45.63,78317,-5.49
Paterson,249,NSW,LP,36804,44.67,45582,55.33,82386,-4.75
Pearce,244,WA,LP,32349,41.14,46292,58.86,78641,-1.17
Perth,245,WA,ALP,44815,55.88,35379,44.12,80194,-2.06
Petrie,175,QLD,ALP,40097,52.51,36267,47.49,76364,-1.7
Port Adelaide,189,SA,ALP,63295,70.03,27084,29.97,90379,0.28
Rankin,176,QLD,ALP,44289,55.41,35640,44.59,79929,-6.26
Reid,144,NSW,ALP,41949,52.68,37679,47.32,79628,-8.16
