House of Representatives: Election 2001 - National,,,,,,,
Two Party Preferred Statistics,,,,,,,
By Division,,,,,,,
,,,,,,,
National Summary,,,,,,,
,,,Coalition,,,,
State,ALP,,(LP/NP/CLP),,Total,Swing,
,Votes,%,Votes,%,,,
Dawson,33313,42.01,45987,57.99,79300,-3.58,
Dickson,35155,44.03,44688,55.97,79843,-6.09,
Fadden,28962,37.71,47838,62.29,76800,-4.70,
Fairfax,31095,40.79,45135,59.21,76230,-4.85,
Fisher,29335,37.94,47988,62.06,77323,-1.07,
Forde,32835,42.62,44207,57.38,77042,-2.13,
Griffith,46654,55.66,37160,44.34,83814,3.24,
Groom,27246,34.91,50802,65.09,78048,-2.05,
Herbert,39790,48.38,42455,51.62,82245,-1.52,
Hinkler,37328,49.96,37392,50.04,74720,0.30,
Kennedy,30982,41.05,44501,58.95,75483,2.23,
Leichhardt,32385,43.61,41884,56.39,74269,-2.34,
Lilley,43899,54.83,36159,45.17,80058,1.70,
Longman,35668,47.28,39774,52.72,75442,-1.80,
McPherson,31639,37.45,52839,62.55,84478,-4.21,
Maranoa,25796,33.99,50103,66.01,75899,-1.59,
Moncrieff,26888,34.58,50876,65.42,77764,-2.59,
Moreton,36777,45.79,43535,54.21,80312,-3.63,
Oxley,44427,58.14,31988,41.86,76415,-0.07,
Petrie,38093,46.58,43682,53.42,81775,-2.66,
Rankin,42267,56.68,32303,43.32,74570,-2.01,
Ryan,33828,41.38,47928,58.62,81756,0.90,
Wide Bay,28811,39.27,44548,60.73,73359,-7.86,
State Total,950849,45.14,1155403,54.86,2106252,-1.80,
,,,,,,,
Western Australia,,,,,,,
Division,ALP,,LP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Brand,42869,60.05,28521,39.95,71390,-3.32,
Canning,34330,49.62,34860,50.38,69190,-0.42,
Cowan,40341,55.51,32331,44.49,72672,2.40,
Curtin,27385,36.09,48502,63.91,75887,-0.43,
Forrest,31672,42.39,43049,57.61,74721,-3.01,
Fremantle,43952,60.67,28491,39.33,72443,-1.62,
Hasluck,36420,51.78,33911,48.22,70331,-0.77,
Kalgoorlie,30880,45.66,36755,54.34,67635,-2.24,
Moore,29886,43.96,38096,56.04,67982,-0.42,
O'Connor,23031,30.91,51484,69.09,74515,-2.52,
Pearce,30302,43.12,39979,56.88,70281,-1.70,
