2016 Federal Election House of Representatives Two Party Preferred By Division [Event:20499 Phase:FinalResults Generated:2017-05-11T17:36:06 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Kingsford Smith,127,NSW,ALP,38172,41.43,53962,58.57,92134,-5.83
Kingston,186,SA,ALP,30775,32.95,62616,67.05,93391,-7.35
Kooyong,221,VIC,LP,57007,63.34,32996,36.66,90003,2.28
La Trobe,223,VIC,LP,47649,51.46,44948,48.54,92597,-2.55
Lalor,222,VIC,ALP,39029,36.56,67731,63.44,106760,-1.28
Leichhardt,168,QLD,LNP,47915,53.95,40893,46.05,88808,-1.73
Lilley,169,QLD,ALP,42964,44.68,53190,55.32,96154,-4
Lindsay,128,NSW,ALP,43643,48.89,45633,51.11,89276,-4.1
Lingiari,306,NT,ALP,17827,41.58,25048,58.42,42875,-7.54
Longman,302,QLD,ALP,43339,49.21,44729,50.79,88068,-7.71
Lyne,130,NSW,NP,61416,61.63,38238,38.37,99654,-1.89
Lyons,196,TAS,ALP,32677,47.69,35838,52.31,68515,-3.53
Macarthur,131,NSW,ALP,37464,41.67,52448,58.33,89912,-11.72
Mackellar,132,NSW,LP,61800,65.74,32212,34.26,94012,-3.1
Macquarie,133,NSW,ALP,43719,47.81,47733,52.19,91452,-6.67
Makin,187,SA,ALP,37954,40.35,56116,59.65,94070,-4.59
Mallee,224,VIC,NP,62383,71.32,25083,28.68,87466,-2.34
Maranoa,170,QLD,LNP,60821,67.54,29228,32.46,90049,-4.74
Maribyrnong,225,VIC,ALP,35369,37.69,58465,62.31,93834,-0.92
Mayo,188,SA,LP,52650,55.35,42466,44.65,95116,-7.16
McEwen,226,VIC,ALP,47718,42.15,65482,57.85,113200,-7.7
McMahon,315,NSW,ALP,32596,37.89,53442,62.11,86038,-7.48
McMillan,227,VIC,LP,56543,56.03,44378,43.97,100921,-5.8
McPherson,171,QLD,LNP,54687,61.64,34039,38.36,88726,-1.36
Melbourne,228,VIC,ALP,31616,33.43,62963,66.57,94579,2.68
Melbourne Ports,230,VIC,ALP,41236,48.62,43573,51.38,84809,2.18
Menzies,229,VIC,LP,52842,60.56,34415,39.44,87257,-3.89
Mitchell,134,NSW,LP,61847,67.82,29351,32.18,91198,-3.57
Moncrieff,172,QLD,LNP,55824,64.94,30136,35.06,85960,-3.01
Moore,242,WA,LP,53416,61.02,34129,38.98,87545,-1.42
Moreton,173,QLD,ALP,39056,45.98,45892,54.02,84948,-2.47
Murray,231,VIC,NP,65920,74.9,22096,25.1,88016,4.03
New England,135,NSW,NP,63100,66.42,31904,33.58,95004,-3.12
Newcastle,136,NSW,ALP,35887,36.16,63348,63.84,99235,-4.44
North Sydney,137,NSW,LP,58825,63.61,33652,36.39,92477,-2.1
O'Connor,243,WA,LP,56543,65.04,30391,34.96,86934,-0.38
Oxley,174,QLD,ALP,34111,40.92,49250,59.08,83361,-5.31
Page,138,NSW,NP,54717,52.3,49895,47.7,104612,-0.8
Parkes,139,NSW,NP,60901,65.1,32646,34.9,93547,-4.87
Parramatta,140,NSW,ALP,34722,42.33,47300,57.67,82022,-6.35
Paterson,249,NSW,ALP,39289,39.26,60779,60.74,100068,-10.47
Pearce,244,WA,LP,46672,53.63,40360,46.37,87032,-5.68
Perth,245,WA,ALP,39029,46.67,44602,53.33,83631,-1.15
Petrie,175,QLD,LNP,47926,51.65,44867,48.35,92793,1.12
Port Adelaide,189,SA,ALP,28890,30.09,67119,69.91,96009,-5.89
Rankin,176,QLD,ALP,33061,38.7,52362,61.3,85423,-6.52
Reid,144,NSW,LP,49543,54.69,41054,45.31,90597,1.36
Richmond,145,NSW,ALP,45306,46.04,53092,53.96,98398,-2.38
Riverina,250,NSW,NP,65719,66.44,33201,33.56,98920,-2.55
Robertson,146,NSW,LP,48728,51.14,46549,48.86,95277,-1.95
Ryan,177,QLD,LNP,55994,59.09,38770,40.91,94764,0.55
Scullin,232,VIC,ALP,31309,32.72,64369,67.28,95678,-2.93
Shortland,148,NSW,ALP,39277,40.06,58761,59.94,98038,-2.54
Solomon,307,NT,ALP,24019,44,30566,56,54585,-7.4
Stirling,246,WA,LP,46520,56.12,36371,43.88,82891,-2.85
Sturt,190,SA,LP,51998,55.89,41034,44.11,93032,-4.19
Swan,247,WA,LP,43625,53.59,37777,46.41,81402,-3.75
Sydney,149,NSW,ALP,30490,34.69,57410,65.31,87900,-2.44
Tangney,248,WA,LP,51029,61.07,32536,38.93,83565,-1.95
Wakefield,191,SA,ALP,37439,39.03,58494,60.97,95933,-7.57
Wannon,233,VIC,LP,52625,58.96,36630,41.04,89255,-1.11
Warringah,151,NSW,LP,52948,61.09,33718,38.91,86666,-4.23
Watson,251,NSW,ALP,26989,32.42,56247,67.58,83236,-8.76
Wentworth,152,NSW,LP,56971,67.75,27121,32.25,84092,-1.17
Werriwa,153,NSW,ALP,37356,41.8,52005,58.2,89361,-1.67
Whitlam,150,NSW,ALP,35711,36.28,62730,63.72,98441,-6.81
Wide Bay,178,QLD,LNP,52264,58.14,37625,41.86,89889,-5.02
Wills,234,VIC,ALP,27071,28.77,67037,71.23,94108,-0.47
Wright,316,QLD,LNP,52651,59.62,35667,40.38,88318,-2.22
