2022 Federal Election House of Representatives Two Party Preferred By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:12 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Isaacs,219,VIC,ALP,42366,43.15,55818,56.85,98184,-0.39
Jagajaga,220,VIC,ALP,38121,37.65,63122,62.35,101243,-6.46
Kennedy,167,QLD,LNP,56312,60.16,37292,39.84,93604,-4.35
Kingsford Smith,127,NSW,ALP,34598,35.5,62868,64.5,97466,-5.69
Kingston,186,SA,ALP,36798,33.65,72564,66.35,109362,-4.41
Kooyong,221,VIC,LP,55542,54.18,46975,45.82,102517,-2.21
La Trobe,223,VIC,LP,53803,58.69,37869,41.31,91672,3.56
Lalor,222,VIC,ALP,32909,37.18,55613,62.82,88522,-0.36
Leichhardt,168,QLD,LNP,49010,53.44,42697,46.56,91707,-0.73
Lilley,169,QLD,ALP,39066,39.46,59941,60.54,99007,-9.9
Lindsay,128,NSW,LP,59003,56.34,45723,43.66,104726,1.3
Lingiari,306,NT,ALP,22473,49.05,23339,50.95,45812,4.51
Longman,302,QLD,LNP,57359,53.08,50706,46.92,108065,-0.2
Lyne,130,NSW,NP,68421,63.8,38827,36.2,107248,-1.37
Lyons,196,TAS,ALP,35997,49.08,37341,50.92,73338,4.26
Macarthur,131,NSW,ALP,46088,41.47,65039,58.53,111127,-0.13
Mackellar,132,NSW,LP,58012,58.6,40979,41.4,98991,-4.62
Macnamara,322,VIC,ALP,35120,37.75,57911,62.25,93031,-7.34
Macquarie,133,NSW,ALP,40309,42.23,55143,57.77,95452,-7.58
Makin,187,SA,ALP,42198,39.2,65444,60.8,107642,-1.08
Mallee,224,VIC,NP,70523,68.99,31706,31.01,102229,3.31
Maranoa,170,QLD,LNP,67153,72.12,25962,27.88,93115,-3.3
Maribyrnong,225,VIC,ALP,35289,37.55,58679,62.45,93968,-2.14
Mayo,188,SA,ALP,56259,48.41,59955,51.59,116214,-4.13
McEwen,226,VIC,ALP,44721,46.72,50998,53.28,95719,2
