CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
CED234,0,12,12,31,50,88,130,192,154,673,7,4,7,17,56,111,221,312,184,923,187,1154,971,876,1043,857,589,541,431,6647,0,5,12,14,34,78,141,265,213,760,399,518,586,787,1082,1344,1286,1151,828,7992,12031,7307,7855,9234,8181,6234,3921,1800,524,57084,692,511,568,576,642,576,465,407,294,4728,13799,9905,10392,12194,12220,11134,9097,6895,3383,89005,4,63,141,367,1088,2196,3146,3788,2018,12812,1443,1603,1385,1500,1490,1295,1145,961,419,11239,19,33,71,188,508,944,1349,1413,585,5110,0,0,0,0,6,28,134,609,906,1686,27,91,129,354,789,1536,2052,1852,748,7586,31,42,48,112,339,953,1634,2123,1319,6592,12,24,26,59,105,194,273,425,294,1423,18,17,24,38,106,231,428,588,340,1790,426,1778,1601,1486,1741,1402,947,816,591,10778,6,7,15,32,81,175,355,575,387,1626,1016,1007,1002,1388,1931,2365,2261,1877,1309,14159,24249,15900,15883,17642,15902,12072,7166,3480,986,113289
CED235,12,13,26,44,56,119,182,228,134,814,15,14,21,57,164,434,718,470,210,2110,343,1255,1600,1534,1559,1641,1184,507,337,9954,8,6,10,29,78,138,247,251,163,925,421,470,696,846,1049,1459,1429,781,500,7663,9464,4290,4666,4475,4761,4870,3612,1292,316,37747,1258,577,670,746,754,899,851,552,263,6568,12171,6884,8088,8175,9232,11269,10893,5811,2375,74883,22,90,307,691,1654,3936,5816,3983,1596,18099,1954,1359,1805,1831,1736,1995,2072,1100,326,14178,23,32,74,172,472,1118,1977,1435,469,5774,0,4,4,4,14,48,190,433,542,1240,41,89,186,354,834,1753,2766,1869,552,8443,49,36,85,140,428,1379,2779,2306,1126,8330,30,23,41,69,117,259,450,468,231,1692,32,33,43,108,290,823,1378,994,389,4087,766,1940,2421,2410,2534,2702,2018,870,474,16131,12,15,24,52,146,314,601,566,298,2022,1070,882,1108,1341,1709,2560,2533,1432,727,13349,19026,9174,9581,9182,9687,9623,7151,2608,590,76616
CED236,14,10,30,45,82,133,248,292,187,1044,11,13,19,52,177,428,648,463,191,1997,355,1281,1611,1482,1666,1585,1039,499,337,9851,3,12,14,34,78,159,247,250,139,925,507,499,700,856,1145,1358,1129,703,558,7454,10614,5252,5595,5062,5087,4756,3192,1261,352,41171,1447,822,867,897,891,954,835,585,352,7643,13760,8270,9310,9023,10082,11072,9904,5888,2694,80000,33,103,397,808,2089,4145,5672,4291,1842,19370,2298,1732,1955,1884,1946,2126,2053,1122,399,15514,23,42,88,196,505,1111,1810,1445,532,5763,3,5,8,6,11,75,202,520,537,1361,49,124,258,455,1098,1981,2765,1853,566,9148,65,56,88,173,527,1434,2559,2265,1132,8304,32,28,50,69,159,281,491,597,325,2027,26,24,46,110,305,817,1320,1032,348,4021,782,2053,2527,2394,2817,2677,1831,899,479,16466,14,16,32,48,150,354,575,578,252,2018,1238,949,1115,1405,1955,2427,2098,1256,801,13243,21467,11568,11579,10332,10608,9656,6396,2588,674,84866
CED237,10,13,28,49,78,107,170,182,121,758,4,11,19,19,84,220,271,221,110,956,193,965,1334,1237,1106,1153,723,440,312,7460,5,6,12,21,54,79,140,173,108,600,398,491,747,987,1124,1355,1005,679,367,7154,13752,7348,9556,9146,6332,4377,2313,848,215,53884,1208,706,863,814,719,607,442,384,304,6048,16143,9970,13158,13132,10603,9501,7206,4030,1762,85498,18,94,275,639,1413,2752,3510,2518,1079,12294,1768,1606,1940,1846,1411,1263,1103,625,229,11796,31,27,88,175,424,726,996,710,275,3468,0,3,6,10,12,46,153,379,441,1049,57,103,243,742,1383,2340,2770,1698,556,9893,50,41,73,163,488,1094,1627,1389,702,5639,28,24,56,101,175,248,359,374,211,1592,18,19,36,48,172,390,546,456,212,1891,390,1494,2145,2027,1899,1824,1150,653,419,12006,19,11,17,54,109,224,371,397,202,1398,1046,930,1230,1664,2005,2401,1783,1133,549,12741,27913,15723,19790,18989,12812,8749,4615,1681,407,110666
CED238,8,13,26,35,58,129,196,206,151,814,21,7,19,53,149,415,598,410,182,1857,273,1169,1531,1419,1517,1526,930,396,275,9033,3,5,16,22,76,156,213,247,155,897,377,439,688,782,1068,1357,1159,630,435,6924,9930,4738,4978,4920,5388,5401,3772,1528,468,41112,1156,710,634,740,825,885,864,542,336,6695,12406,7483,8280,8556,10016,11711,10494,5927,2849,77714,16,74,286,647,1720,3843,5253,3636,1670,17145,1876,1498,1779,1780,1839,2149,1900,1056,374,14244,20,34,70,201,472,1143,1932,1282,479,5625,0,6,5,6,12,58,185,434,572,1265,44,108,178,369,886,1738,2499,1630,587,8039,53,46,60,121,459,1355,2437,2055,1083,7669,20,30,40,64,129,279,442,382,230,1618,45,19,39,86,264,767,1159,827,356,3569,592,1869,2340,2283,2543,2613,1731,707,370,15049,6,5,26,43,136,351,551,544,291,1962,975,851,1062,1269,1796,2446,2162,1117,632,12314,19992,10395,10656,9996,10882,10778,7532,2956,800,83982
CED239,13,12,27,30,55,78,107,159,138,622,8,8,27,32,58,163,200,195,139,827,174,1621,3566,1975,1262,961,565,425,442,10988,0,0,8,12,34,70,110,165,201,618,355,607,1518,1215,1079,1062,842,720,586,7987,10171,5904,10718,8231,5643,3501,1756,852,382,47163,853,598,1119,783,626,475,347,283,240,5311,12073,9042,17440,13111,9634,7560,5333,4127,2776,81096,14,73,361,612,1150,2124,2377,2406,1803,10937,1402,1644,3257,2599,1591,1196,863,605,325,13479,16,32,157,262,425,688,801,716,500,3595,3,0,6,10,12,29,105,430,763,1353,34,65,224,475,741,1396,1601,1541,857,6935,40,36,85,157,335,776,1104,1298,1120,4958,25,24,62,75,121,162,241,309,263,1285,12,14,41,69,128,314,398,401,270,1645,365,2338,5448,3253,2201,1638,905,660,603,17420,8,3,21,41,89,177,267,349,366,1327,871,1018,2337,1986,1877,1897,1428,1122,906,13446,20279,12667,22636,17238,11475,7064,3333,1558,664,96913
CED294,0,0,0,6,7,10,5,3,0,32,0,6,3,10,12,18,15,3,3,69,21,145,182,162,145,84,25,5,0,772,0,0,0,6,9,9,5,0,0,30,26,37,64,77,69,64,37,10,3,386,243,199,318,153,95,122,52,15,3,1197,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,0,15,38,51,107,123,109,37,12,490,76,93,133,123,117,85,44,20,3,684,0,0,6,17,26,42,40,15,0,148,0,0,0,4,7,0,4,7,0,23,0,0,8,27,70,56,54,17,0,229,0,4,6,19,39,58,66,27,9,234,0,4,3,12,22,15,14,6,5,70,0,4,10,13,42,38,34,7,0,154,44,240,305,321,317,167,60,17,6,1470,0,0,0,5,19,13,12,10,0,68,71,64,124,139,152,126,71,15,5,769,483,423,679,408,297,283,150,36,9,2768
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14
CED301,28,38,58,69,115,145,173,175,96,894,55,21,52,105,267,596,677,448,123,2341,689,2265,3077,2399,2323,1862,984,387,159,14144,7,7,20,33,98,186,212,193,97,855,928,828,1369,1450,1652,1663,1155,639,260,9944,15633,7232,8067,6949,5580,3895,2229,765,203,50554,1867,1140,1074,1014,902,711,513,400,226,7847,20330,12088,14344,12944,11972,10573,7885,4265,1565,95955,52,199,728,1379,2784,4429,4856,3097,1037,18562,3447,2720,3368,3149,2771,2474,1932,900,223,20977,46,48,136,314,636,1257,1626,1093,314,5474,7,5,9,10,26,60,198,349,312,971,61,162,350,836,1571,2648,2650,1451,323,10063,96,79,158,285,726,1682,2239,1754,691,7704,55,54,93,118,217,336,394,358,180,1812,104,52,90,205,485,1113,1381,901,236,4561,1536,3595,4758,4030,3858,3188,1819,702,232,23716,16,19,34,65,200,394,529,404,183,1844,2358,1549,2163,2478,2839,2968,2142,1083,408,17987,31473,15433,16514,14531,11468,7986,4376,1549,358,103692
CED302,9,23,20,51,47,82,114,136,112,596,28,14,26,43,112,258,376,372,187,1420,311,1401,1516,1507,1405,1094,667,373,245,8531,7,7,17,14,63,79,145,164,113,610,577,649,824,1143,1313,1267,1107,664,386,7936,13228,6633,6982,8627,6958,4623,2597,1042,297,50995,819,562,570,631,612,497,359,289,272,4614,15512,9668,10352,12793,11785,9443,7302,4463,2137,83459,17,96,253,680,1438,2547,3421,2691,1196,12349,1613,1604,1807,2152,1918,1525,1251,744,251,12861,30,50,97,273,639,997,1313,1084,435,4917,0,5,5,4,19,46,144,418,446,1082,45,119,179,423,1025,1509,1791,1280,398,6768,45,74,73,170,499,1098,1802,1666,919,6358,34,26,38,86,128,189,259,276,196,1238,53,27,45,76,207,496,709,706,330,2649,659,2161,2378,2400,2352,1841,1159,622,352,13910,14,15,29,37,108,200,347,370,210,1315,1413,1225,1311,1882,2244,2253,1942,1116,574,13961,26556,14384,14150,16936,14058,9089,4908,1964,517,102568
CED303,4,11,29,35,71,128,172,208,128,795,15,12,28,38,142,379,637,537,199,1991,425,1361,1527,1626,1738,1524,976,424,357,9951,4,3,4,23,70,136,226,225,178,890,592,601,791,1037,1375,1598,1472,885,620,8962,11139,5725,4981,6121,6221,5200,3328,1264,293,44274,897,591,500,568,688,643,517,306,169,4884,13685,8623,8289,10219,11445,11433,9969,5521,2316,81498,30,83,270,675,1733,3658,5170,3623,1471,16718,1870,1515,1752,2190,2180,2038,1944,1001,304,14804,34,40,104,194,608,1247,1970,1455,453,6109,0,0,7,7,22,66,216,530,625,1474,48,105,188,385,989,1801,2541,1545,447,8049,62,55,91,166,535,1375,2525,2269,1129,8207,15,27,50,73,151,246,396,414,214,1593,59,29,57,86,289,701,1218,1043,367,3829,905,2182,2329,2634,2749,2495,1794,811,488,16374,7,7,15,50,138,294,529,548,295,1883,1542,1113,1244,1709,2260,2757,2643,1603,888,15764,22438,12789,10337,12306,12388,10273,6378,2390,540,89837
CED304,8,13,50,37,51,62,71,96,69,455,15,23,41,36,88,173,245,211,99,929,177,2756,3431,1717,1409,965,475,242,123,11301,5,8,13,28,42,72,84,99,67,411,360,1012,1611,1193,1126,1069,788,501,299,7961,9988,9632,14188,9118,7204,4528,2325,771,256,58015,606,1048,1540,948,718,594,389,234,159,6235,11514,14857,21481,13807,11663,8659,5743,3051,1462,92237,10,134,439,655,1231,1879,2164,1574,673,8762,933,2295,3443,2412,1840,1340,885,482,146,13765,19,78,188,340,661,995,1085,727,302,4397,0,6,4,9,10,35,107,279,331,780,31,113,266,385,659,935,1065,747,199,4398,36,84,143,154,438,891,1259,1149,550,4697,13,38,80,90,121,157,172,193,113,976,29,36,85,87,177,356,503,412,167,1849,346,3882,5540,3151,2637,1766,885,395,172,18776,5,17,22,58,96,185,225,249,122,976,798,1512,2560,2106,2126,1950,1429,823,466,13772,19829,19539,29611,19189,14698,9215,4554,1476,394,118507
CED305,14,14,39,42,66,131,164,214,122,807,24,17,30,60,197,456,545,373,125,1822,338,1304,1510,1504,1418,1330,671,362,190,8629,3,6,15,32,80,120,181,203,105,751,517,466,685,895,947,1150,772,517,317,6273,11956,5730,6424,5830,5231,4279,2209,860,211,42732,1615,1132,1243,1119,1105,1007,584,371,174,8351,15239,9125,10538,10230,10017,10028,7059,4095,1671,78011,27,106,316,784,1726,3380,4036,2789,1085,14266,2138,1591,1904,1971,1808,1647,1347,745,183,13334,33,35,109,243,487,1059,1379,943,321,4611,0,3,3,4,18,62,166,414,429,1099,63,117,206,491,1058,1854,2102,1276,378,7546,63,66,118,187,587,1460,2106,1712,780,7087,32,28,60,88,141,279,366,419,214,1628,60,28,62,111,352,893,1143,764,249,3654,731,2016,2317,2398,2271,2182,1268,606,273,14059,6,12,25,56,145,288,437,410,181,1576,1353,865,1093,1426,1621,2062,1511,878,485,11298,24334,12426,13175,12185,10893,8903,4655,1694,385,88640
CED306,7,18,27,44,59,120,173,213,106,769,19,15,15,61,155,406,502,311,125,1608,335,1185,1418,1341,1361,1206,625,321,210,8004,0,8,17,22,67,128,163,145,103,663,458,461,669,838,1039,1152,831,475,268,6188,11445,6134,6707,6317,5911,4740,2653,976,281,45167,1580,1161,1342,1161,1158,1018,601,415,192,8636,14438,9470,10736,10492,10844,10487,7634,4206,1790,80096,25,95,301,699,1691,3312,3908,2653,1033,13720,1739,1480,1723,1716,1720,1616,1247,600,169,12005,33,45,84,224,515,1058,1460,913,319,4658,5,6,5,3,11,70,220,480,532,1338,38,100,184,387,1043,1866,2182,1366,379,7552,64,62,95,174,616,1429,2098,1648,729,6914,23,32,58,76,134,239,407,397,191,1554,52,21,45,115,299,778,994,698,226,3225,641,1820,2169,2092,2318,2097,1194,619,315,13273,4,14,32,62,136,263,399,359,183,1463,1189,880,1103,1360,1819,2070,1590,836,430,11266,23356,13127,13722,12862,12084,9864,5423,1949,485,92882
CED307,14,6,25,52,83,87,155,144,75,650,38,17,37,68,159,348,485,364,94,1597,451,1805,1957,1920,1817,1256,788,307,164,10467,11,11,18,30,61,115,162,119,72,600,709,754,974,1273,1447,1304,1152,537,231,8388,12592,6182,5642,6812,6497,4368,2374,871,169,45499,1019,607,569,636,681,470,389,234,148,4751,15498,9703,9642,11618,12030,9712,7489,3688,1294,80662,18,115,374,884,1945,2998,3851,2363,762,13307,2052,1799,2097,2545,2335,1816,1443,652,175,14910,37,40,106,302,667,1117,1517,1022,289,5108,0,0,0,6,11,42,162,339,365,927,57,107,206,536,1074,1741,2045,1131,249,7145,70,64,94,217,593,1280,2109,1542,533,6507,30,29,42,96,153,196,336,317,130,1330,81,36,57,136,287,615,866,729,187,2990,1000,2854,3114,3191,3005,2095,1395,545,219,17409,11,14,20,53,142,237,371,319,126,1299,1857,1409,1564,2088,2505,2379,2010,957,340,15111,25762,13648,11945,13646,13289,8810,4603,1660,292,93661
CED308,14,20,30,57,75,111,188,237,146,863,24,22,25,49,137,426,733,532,182,2131,501,1720,1984,1685,1680,1371,894,490,278,10590,0,6,10,34,69,133,219,249,117,836,629,737,941,1161,1416,1474,1365,821,529,9079,14018,7645,8627,8373,7690,5638,3754,1455,295,57485,1630,1099,1187,1081,1087,883,697,395,190,8247,17586,11686,13435,13300,13598,11953,10567,5907,2167,100202,47,127,374,885,2073,3583,5232,3838,1254,17402,2315,1863,2342,2293,2135,1835,1793,1013,299,15890,29,49,113,297,662,1248,1970,1459,443,6269,5,4,0,10,21,74,279,684,678,1751,49,136,220,486,1057,1705,2293,1573,416,7936,65,65,89,205,545,1250,2394,2209,931,7762,32,24,62,90,150,230,421,516,269,1793,64,43,63,121,287,726,1291,1073,331,3995,1099,2643,3067,2744,2794,2265,1532,845,388,17389,5,10,19,66,146,310,523,576,210,1869,1668,1279,1524,1928,2342,2619,2405,1490,785,16049,28195,16278,17368,16619,15156,11058,6947,2833,555,115009
CED309,9,7,20,33,47,94,137,171,134,648,23,5,17,43,159,407,620,459,216,1940,359,1322,1421,1606,1616,1435,939,469,345,9512,3,3,13,30,60,98,217,274,170,872,537,533,711,967,1245,1601,1436,862,528,8416,11779,5866,6208,6983,7059,5889,3895,1572,338,49591,1214,749,791,873,908,888,691,469,390,6975,14504,8830,9547,11275,12160,12182,10623,6158,2657,87937,29,87,284,805,1763,3738,5173,3862,1662,17390,1706,1365,1587,1992,2017,1851,1828,1071,346,13762,37,33,94,252,599,1280,1886,1559,539,6278,0,0,3,12,24,59,202,572,666,1543,47,97,132,247,609,1265,1820,1298,434,5949,55,47,70,147,414,1220,2288,2297,1229,7760,27,19,46,68,103,196,330,362,246,1393,58,25,37,89,257,701,1154,921,381,3609,767,2027,2179,2616,2660,2495,1744,861,489,15833,8,11,22,55,127,247,491,604,323,1889,1342,977,1149,1562,2084,2758,2520,1511,832,14741,23732,12187,12272,13780,13833,11120,7579,2885,620,97999
CED310,5,18,25,41,62,98,163,216,128,752,21,17,22,56,137,386,676,583,204,2097,390,1492,1636,1561,1635,1507,981,509,289,9993,6,6,15,30,79,121,241,260,192,959,559,538,763,959,1310,1551,1416,947,473,8516,11606,6531,6446,6836,6741,5680,3935,1592,374,49738,1152,881,831,833,865,861,706,456,256,6846,14353,9889,10218,10997,11840,11950,10980,6629,2670,89519,31,127,368,811,1848,3763,5464,4280,1688,18386,1815,1549,1686,1944,1881,1892,1842,1103,367,14076,24,56,90,228,673,1281,2043,1619,557,6563,3,0,3,3,19,55,216,604,720,1629,60,115,157,312,713,1271,1930,1584,476,6620,51,67,75,134,436,1174,2458,2582,1201,8172,21,25,39,77,126,207,349,454,237,1536,56,35,47,98,242,697,1230,1132,399,3936,841,2297,2433,2515,2663,2510,1731,904,436,16325,15,18,31,54,137,283,538,603,359,2027,1390,1058,1187,1560,2166,2611,2497,1690,794,14949,23334,13466,12957,13321,13269,10867,7416,3002,724,98356
CED311,8,19,25,33,54,123,184,170,89,698,30,11,24,78,198,516,535,321,92,1802,356,1274,1562,1444,1550,1366,707,248,89,8597,3,0,8,47,80,154,186,154,66,702,561,426,666,865,1066,1236,813,425,190,6248,12564,5468,5849,5946,5318,4469,2289,838,157,42896,1832,986,1049,1079,1110,1018,754,409,186,8419,16126,8578,9803,10161,10489,10491,7355,3610,1144,77766,27,83,325,796,2050,4017,4349,2485,731,14864,2150,1505,1900,1887,1923,2048,1428,642,157,13638,28,43,88,243,550,1111,1444,789,219,4511,0,3,3,9,16,64,137,288,270,801,65,103,257,470,1146,2053,2292,1261,244,7897,59,49,96,217,622,1500,2092,1456,516,6597,24,28,40,54,128,274,397,354,169,1470,67,28,51,151,389,1054,1211,722,192,3863,791,2009,2374,2301,2555,2439,1347,466,147,14423,8,5,21,61,149,328,444,369,134,1536,1515,891,1045,1436,1863,2348,1592,790,311,11790,24947,11797,12101,12182,11300,9497,5104,1788,336,89048
CED312,15,17,44,87,85,133,191,267,107,943,44,19,31,85,221,498,651,486,156,2190,577,2089,2408,2052,1994,1438,884,463,205,12107,9,9,18,46,85,171,264,236,102,937,817,826,1205,1326,1555,1479,1247,750,372,9583,16178,7835,8801,7827,6101,4268,2453,826,178,54472,2097,1311,1341,1196,1013,748,513,375,223,8824,20853,12602,14690,13628,12348,10311,8328,4451,1580,98792,46,157,515,1110,2386,3834,4782,3133,970,16929,3181,2421,3144,2951,2552,2037,1670,885,204,19052,36,57,128,314,669,1000,1520,1025,299,5050,5,3,7,13,21,69,238,533,404,1292,61,144,353,675,1450,2212,2627,1545,332,9397,85,80,126,235,679,1429,2229,1842,688,7401,35,40,75,139,196,276,429,516,198,1906,99,44,76,172,410,868,1213,946,286,4112,1294,3215,3768,3304,3185,2336,1521,776,306,19696,16,6,36,74,171,356,570,530,186,1958,2162,1512,1956,2227,2612,2616,2199,1275,563,17129,31983,16735,18149,15994,12573,8529,4670,1610,311,110553
CED313,4,18,46,51,59,70,78,91,81,489,20,18,30,44,77,182,267,200,113,955,220,2393,2969,1873,1415,954,546,234,162,10757,4,7,18,18,46,77,105,111,112,495,414,914,1519,1314,1210,1082,824,483,329,8085,11029,9094,12304,9364,7286,4351,2043,775,240,56498,815,1081,1334,924,802,592,404,251,232,6426,12890,13955,18785,14378,11958,8597,5588,3008,1617,90780,13,133,376,583,1213,2054,2224,1517,843,8958,1120,2156,3103,2493,1890,1337,912,439,190,13633,34,49,176,327,670,898,1048,712,277,4193,0,0,3,9,8,32,114,264,393,827,37,127,227,398,716,955,1079,675,274,4496,48,62,116,168,451,907,1311,1007,626,4701,24,28,79,81,118,176,200,184,146,1029,42,35,50,82,163,353,474,382,193,1773,472,3436,4544,3184,2490,1710,960,378,221,17395,7,7,33,48,91,189,241,227,179,1041,1017,1457,2303,2134,2055,1960,1470,821,465,13677,22383,18588,25435,19129,14586,8695,3971,1436,403,114632
CED314,6,18,30,44,84,131,192,200,145,859,23,10,31,50,144,339,474,410,197,1683,466,1789,1986,1692,1671,1452,885,477,273,10698,10,4,13,35,65,139,224,246,164,910,579,652,978,1108,1216,1298,1154,741,451,8180,12477,6542,6443,5727,5184,4108,2752,1226,374,44832,1235,868,761,716,705,681,588,404,208,6179,15682,10267,10696,10000,10120,9780,8625,5513,2520,83197,31,126,386,797,1905,3524,4736,3678,1618,16796,2502,2006,2260,2165,2036,1964,1635,1024,333,15916,38,51,106,245,510,1032,1599,1308,465,5359,6,0,6,7,18,62,191,539,599,1433,65,119,257,494,1143,1865,2289,1571,441,8238,51,69,91,190,546,1248,2215,2171,1104,7676,30,30,53,82,164,259,412,416,234,1686,49,31,57,116,261,606,928,812,341,3213,999,2797,3083,2708,2753,2456,1611,840,385,17621,19,7,25,61,131,284,466,543,270,1803,1418,1193,1525,1760,2080,2264,2087,1275,652,14255,24901,13924,13308,11573,10249,8040,5173,2254,647,90067
CED315,7,27,26,54,90,140,170,196,115,822,28,21,16,75,177,431,498,381,122,1755,369,1714,2056,1866,1671,1332,747,355,174,10277,7,8,16,25,82,141,165,169,109,717,590,685,912,1048,1228,1306,914,542,319,7543,12221,7655,7247,6258,5339,3889,2184,774,214,45771,1622,1164,1202,1054,969,764,490,300,148,7707,15549,11819,12089,11068,10631,9552,6913,3685,1439,82738,25,137,482,965,2002,3492,3765,2456,888,14213,1995,1878,2204,1965,1798,1636,1255,607,155,13496,31,47,98,274,533,1067,1465,918,291,4727,3,0,6,7,22,81,206,414,398,1140,43,111,278,544,1272,1952,2035,1204,276,7710,93,89,133,246,630,1352,1928,1514,564,6557,34,39,50,88,156,284,399,375,178,1599,62,39,51,133,326,781,1002,741,200,3335,824,2562,3187,3090,2879,2341,1433,629,240,17185,11,14,26,60,149,288,391,340,186,1470,1547,1230,1547,1772,2164,2333,1668,961,460,13677,24808,16011,15191,12494,10778,7842,4253,1436,341,93152
CED316,9,19,18,46,66,163,309,341,209,1172,28,13,36,73,237,740,1198,910,241,3489,452,1378,1526,1526,1739,1967,1367,627,298,10876,3,8,12,52,103,219,315,377,187,1278,536,486,677,863,1195,1773,1662,1064,494,8744,9329,4552,4427,4477,4797,4896,3842,1599,407,38327,1171,702,671,669,776,870,893,689,316,6755,12147,7477,7711,8228,9748,12182,12792,7726,2804,80821,38,115,345,896,2176,5002,8029,5743,1886,24233,1945,1462,1595,1815,1911,2363,2578,1468,336,15470,29,39,92,172,529,1346,2532,1993,583,7317,5,3,0,7,29,83,296,722,656,1810,60,116,211,441,1067,2183,3529,2405,608,10607,52,51,83,182,578,1717,3570,3296,1305,10832,20,31,39,84,136,335,646,753,361,2391,55,32,60,148,465,1372,2383,1871,478,6860,966,2206,2397,2522,3001,3365,2614,1252,458,18773,6,13,33,77,185,435,746,836,343,2675,1403,984,1091,1469,2100,3199,3151,1955,737,16087,18731,9767,9066,8726,9286,9174,7341,3262,749,76092
