CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED507,62069,65428,127496,27381,14301,41686,7903,19100,27002,2890,2677,5568,1624,1507,3132,39799,37586,77387,17909,24306,42218,4.1,4,4,64.1,57.4,60.7,61.5,55.1,58.2,1351,1518,2865,723,1773,2490,5518,9555,15074,4570,6734,11301,18582,10549,29138,1020,1645,2667,869,1627,2496,20470,13826,34299,60253,63032,123283,11045,11924,22971,40004,41266,81265,27433,30095,57524
CED508,65985,70349,136332,33225,19812,53033,9144,20966,30102,2353,2692,5048,2292,2064,4356,47013,45528,92541,15270,21780,37049,4.9,4.5,4.7,71.2,64.7,67.9,67.8,61.8,64.7,4168,4502,8674,1291,2743,4030,10954,15656,26603,5864,7416,13286,15431,7772,23208,848,1166,2015,931,1492,2422,17212,10432,27643,64911,68121,133037,11351,12551,23904,41526,43419,84941,30209,33098,63306
CED509,68650,69938,138584,33605,19213,52814,8722,19702,28426,2657,2671,5326,2199,2085,4288,47188,43663,90849,17661,23281,40936,4.7,4.8,4.7,68.7,62.4,65.6,65.5,59.5,62.5,2332,2709,5043,980,1965,2951,7554,11290,18845,6080,7972,14049,18470,9973,28444,1014,1420,2435,931,1751,2678,20411,13139,33551,69820,71474,141297,10257,11118,21366,46345,47041,93389,28541,30835,59377
CED510,65320,68038,133353,32431,17243,49672,9554,21988,31542,2095,2515,4613,2103,1721,3822,46181,43480,89655,16581,22657,39242,4.6,4,4.3,70.7,63.9,67.2,67.5,61.4,64.4,3851,3351,7205,1447,2733,4182,11440,14926,26364,6818,8192,15010,16434,7298,23733,645,980,1625,903,1876,2776,17983,10154,28136,68487,70641,139129,9057,9402,18452,48861,50299,99158,24862,26094,50959
CED511,73576,70024,143602,32581,16863,49449,7707,17378,25086,3221,2870,6090,1897,1428,3326,45408,38544,83956,19988,25016,45001,4.2,3.7,4,61.7,55,58.5,59.1,53,56.1,1217,1401,2614,578,1531,2109,4772,8630,13399,3932,6364,10305,18999,9496,28494,1135,1766,2904,925,1502,2424,21063,12759,33821,66702,64885,131588,12192,12084,24272,45951,43637,89584,28576,29218,57787
CED512,66501,70951,137448,34737,19537,54272,8914,21612,30524,2801,2818,5624,2523,2602,5122,48973,46563,95543,13912,21664,35577,5.2,5.6,5.4,73.6,65.6,69.5,69.9,62,65.8,2042,2147,4186,735,1719,2456,6942,11213,18149,5945,8668,14611,19018,10496,29511,983,1533,2517,964,1781,2742,20962,13815,34775,70965,74344,145308,10740,11819,22558,46102,47354,93452,30182,33495,63673
CED513,77036,79312,156347,38617,25988,64605,11777,20926,32703,2276,2862,5135,2647,2313,4958,55319,52091,107410,16461,23106,39575,4.8,4.4,4.6,71.8,65.7,68.7,68.4,62.8,65.5,7120,7399,14519,2064,3439,5501,18720,21313,40037,7226,8198,15427,12256,6584,18838,709,1065,1779,807,1504,2313,13784,9155,22938,67810,70040,137852,15613,16221,31834,39082,41105,80187,40196,41366,81561
CED514,79335,79831,159166,37815,23010,60827,12622,21061,33682,2651,2831,5476,2956,2587,5543,56045,49481,105525,17828,25570,43396,5.3,5.2,5.2,70.6,62,66.3,66.9,58.8,62.8,6300,6150,12451,1476,2604,4079,15311,18058,33371,7222,8043,15264,14647,7860,22502,1005,1245,2253,932,1454,2388,16587,10555,27141,72367,72863,145232,15762,15491,31252,42485,43687,86171,40803,40058,80861
CED515,72776,77624,150405,33482,19292,52775,11442,22298,33744,1979,2304,4284,2445,2317,4763,49349,46211,95562,20668,29072,49737,5,5,5,67.8,59.5,63.5,64.5,56.5,60.4,7094,6248,13344,1798,3059,4857,16773,19803,36577,6797,8098,14899,11976,5993,17963,755,997,1751,873,1695,2573,13602,8686,22289,74055,78691,152748,11113,11841,22954,49987,53428,103415,31189,33300,64488
CED594,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,0,26.5,28.8,0,21.1,23.5,0,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
CED597,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
CED601,44484,47053,91537,17449,10013,27454,6574,12738,19315,1345,1667,3012,1854,1426,3284,27225,25843,53063,14754,18829,33591,6.8,5.5,6.2,61.2,54.9,58,57,51.9,54.4,2240,2257,4500,614,1136,1745,4879,7268,12144,2940,4128,7062,10836,6314,17148,576,1063,1643,563,986,1547,11973,8368,20342,42985,44788,87771,7219,7660,14880,28578,29422,57997,19168,20618,39784
CED602,43997,47095,91094,17038,9246,26289,5447,12191,17639,1688,1685,3375,1518,1214,2733,25692,24338,50034,15610,20176,35782,5.9,5,5.5,58.4,51.7,54.9,54.9,49.1,51.9,1024,1154,2173,443,871,1311,3033,5174,8210,2583,4124,6706,12534,7458,19993,590,1182,1772,597,1057,1659,13725,9703,23426,42730,44809,87538,6740,7454,14195,29115,30033,59151,17887,19837,37726
CED603,46107,48924,95028,17767,11920,29687,8939,13838,22773,1305,1748,3053,2295,1916,4212,30303,29424,59728,13721,17364,31090,7.6,6.5,7,65.7,60.1,62.8,60.8,56.2,58.4,5586,6186,11769,1097,1989,3088,9202,10800,20006,3270,4018,7288,7720,4583,12301,491,687,1187,509,814,1324,8723,6090,14809,42339,44611,86956,9264,9353,18615,27357,29221,56572,22005,22598,44600
CED604,44564,47724,92283,17932,10714,28647,6878,13463,20340,1364,1831,3196,1561,1308,2865,27732,27319,55050,14917,18421,33338,5.6,4.8,5.2,62.2,57.2,59.7,58.7,54.5,56.5,2911,3492,6400,956,1866,2826,6565,8902,15466,3701,4770,8467,10700,5728,16432,467,811,1271,631,979,1612,11800,7515,19317,44212,46883,91095,6929,7242,14174,29827,31643,61470,18673,20023,38691
CED605,46397,47331,93730,18059,9556,27615,5967,12433,18402,1690,1910,3604,1512,1319,2834,27233,25219,52456,16245,19329,35573,5.6,5.2,5.4,58.7,53.3,56,55.4,50.5,52.9,1055,1283,2334,392,919,1310,3191,5234,8422,2819,4284,7104,12833,7285,20122,573,1178,1754,588,1038,1630,14001,9502,23506,45817,46049,91864,6089,6489,12578,31634,31181,62816,17674,18930,36603
CED694,689,561,1248,101,53,149,53,69,126,22,12,33,81,60,139,249,194,445,242,244,485,31.2,31.3,0,36.3,35,0,25,24.1,0,12,19,31,3,10,20,24,61,84,27,28,52,109,69,180,9,26,34,10,4,7,135,94,221,178,106,280,362,374,736,102,76,176,416,383,801
CED697,13,0,19,10,0,12,0,0,0,0,0,0,0,0,0,10,0,12,0,0,4,0,0,0,73.3,50,70.6,73.3,50,70.6,0,0,0,0,0,0,0,0,3,6,0,6,5,0,5,0,0,0,0,0,0,5,0,5,8,0,9,3,0,3,3,0,8,6,0,5
CED701,48043,46241,94284,18826,14655,33480,3989,6880,10868,1811,1929,3744,1973,1680,3654,26597,25142,51742,16271,16694,32967,7.4,6.7,7.1,55.4,54.4,54.9,51.3,50.7,51,1271,1847,3119,421,1216,1636,3211,5662,8870,2588,3323,5913,10053,4880,14935,771,1011,1786,645,775,1421,11468,6668,18141,44331,43754,88079,8949,9464,18416,30069,29751,59826,19036,19720,38756
CED702,43683,44458,88143,22699,17759,40459,5702,9402,15101,1767,2071,3842,1360,1236,2591,31520,30464,61987,8009,10370,18377,4.3,4,4.2,72.2,68.5,70.3,69.1,65.8,67.4,3296,3801,7100,833,1810,2646,6438,9416,15855,3702,4100,7804,9594,4993,14587,544,745,1286,585,692,1274,10723,6433,17152,38576,38936,77512,10752,11127,21883,21226,20990,42217,24933,26122,51057
CED794,1567,1486,3052,132,121,252,60,73,132,50,63,115,70,58,127,312,320,633,645,605,1251,22.5,18.6,0,19.8,21.5,0,15.4,17.5,0,32,50,84,20,34,60,91,166,259,63,85,157,231,92,324,16,14,30,19,23,39,261,125,389,541,431,972,721,747,1469,289,235,525,779,786,1563
CED797,83,11,94,40,6,46,0,0,6,12,0,12,4,0,4,58,3,63,6,4,8,3.6,0,3.3,65.9,45.5,63.5,63.5,45.5,61.5,0,0,0,0,0,0,6,0,7,6,0,6,16,6,23,6,0,3,6,0,6,25,4,32,42,10,53,15,0,18,21,3,29,35,5,37
CED801,60122,63515,123643,30319,22986,53312,8384,14374,22759,1925,2758,4683,1654,1306,2966,42282,41436,83717,15583,19904,35483,3.9,3.2,3.5,70.3,65.2,67.7,67.6,63.2,65.3,6544,5919,12469,1940,3267,5212,11635,14983,26621,5675,7348,13023,10757,5905,16668,517,807,1324,834,1480,2310,12107,8193,20300,60326,63047,123378,10819,11024,21844,39834,42094,81931,27402,28376,55784
CED802,60917,64056,124971,29620,23784,53403,9634,14787,24421,1794,2520,4315,1822,1563,3385,42879,42647,85525,14445,18157,32600,4.3,3.7,4,70.4,66.6,68.4,67.4,64.1,65.7,12162,11748,23914,2686,4144,6825,16549,18701,35249,3844,4909,8749,5229,2996,8226,375,491,863,473,922,1388,6079,4408,10486,50701,53118,103818,16256,16877,33135,27920,29863,57786,36416,37500,73914
CED803,61208,63262,124469,33406,23995,57398,9032,15557,24590,2010,2733,4741,1944,1649,3593,46391,43932,90320,12555,17243,29801,4.2,3.8,4,75.8,69.4,72.6,72.6,66.8,69.7,8767,7661,16426,1847,2959,4810,12456,15782,28239,5804,6984,12790,9459,5807,15264,588,759,1349,723,1248,1971,10772,7809,18583,61667,63048,124715,13354,13049,26409,36275,37342,73618,33892,34266,68157
CED894,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,0,42.5,51.8,0,32.9,44.2,0,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,0,66.7,100,0,55.6,66.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
