CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED319,64136,69132,133264,30934,21517,52452,9039,16302,25344,3051,4674,7726,2280,1828,4111,45303,44322,89623,15939,22004,37939,5,4.1,4.6,70.6,64.1,67.3,67.1,61.5,64.2,4032,4514,8545,1512,2728,4241,12172,16147,28319,6259,7802,14060,13631,7456,21085,674,858,1532,959,1313,2267,15264,9626,24889,61547,64929,126482,12848,13802,26647,37134,39567,76699,33128,35249,68375
CED320,73012,77495,150508,28358,17002,45362,8650,17532,26181,3269,4738,8008,2835,2437,5273,43112,41710,84823,25710,31626,57337,6.6,5.8,6.2,59,53.8,56.4,55.2,50.7,52.9,1109,1390,2498,629,1589,2226,4697,8361,13058,5398,9045,14446,22166,13539,35702,1068,1571,2640,1280,1899,3177,24508,17008,41524,69887,73499,143381,14208,15718,29928,40809,41847,82659,38342,42554,80893
CED321,60874,61981,122859,25854,15366,41216,6040,14058,20096,2237,2248,4485,1618,1323,2938,35744,32994,68743,18915,23283,42200,4.5,4,4.3,58.7,53.2,56,56.1,51.1,53.6,697,1044,1737,442,1097,1540,3385,7118,10510,3306,5425,8725,15335,9290,24627,852,1311,2166,867,1149,2018,17050,11752,28805,56631,56796,113428,10489,11254,21737,38388,37597,75986,25028,27006,52033
CED322,63223,71489,134713,26388,17154,43541,10147,19766,29911,3154,4756,7915,2136,1832,3969,41824,43509,85333,17634,23869,41501,5.1,4.2,4.6,66.2,60.9,63.3,62.8,58.3,60.4,2969,3589,6562,968,2082,3045,9214,13513,22726,6071,9193,15270,16347,8695,25039,548,889,1434,1053,1772,2826,17946,11351,29296,60425,65753,126182,12657,14799,27456,36136,39067,75205,33098,38042,71136
CED323,76146,80975,157117,27869,18182,46049,12717,20178,32890,4079,5826,9902,3094,2546,5637,47761,46726,94486,22079,27889,49969,6.5,5.4,6,62.7,57.7,60.1,58.7,54.6,56.5,3955,4147,8102,1086,2060,3144,11243,15044,26289,7293,10285,17575,16892,9135,26032,696,950,1647,1235,1908,3135,18818,11993,30811,63565,66051,129622,17844,19298,37140,35701,37225,72928,42209,44930,87139
CED324,68188,70122,138311,29337,19153,48492,11392,16997,28383,3430,4426,7859,3000,2291,5285,47156,42868,90022,17891,24419,42308,6.4,5.3,5.9,69.2,61.1,65.1,64.8,57.9,61.3,7495,7289,14787,1653,2849,4503,16046,18439,34487,5979,6919,12898,10047,5325,15373,626,697,1319,811,1179,1985,11482,7199,18681,64967,66738,131707,14374,14032,28404,38986,40616,79603,36005,36127,72135
CED325,71815,73277,145088,31721,20298,52021,9332,16290,25618,3179,4526,7698,3151,2807,5956,47387,43918,91304,20984,25986,46969,6.6,6.4,6.5,66,59.9,62.9,61.6,56.1,58.8,4147,3950,8095,1080,2032,3116,9787,13042,22829,6038,7907,13946,14349,8927,23276,892,1149,2041,1070,1534,2602,16312,11608,27925,71539,73792,145331,13213,13909,27123,42272,43884,86160,36586,38472,75058
CED326,70301,78298,148597,30837,20001,50836,9085,17920,27012,3232,4921,8152,2781,2381,5166,45940,45230,91166,20959,29612,50575,6.1,5.3,5.7,65.3,57.8,61.4,61.4,54.7,57.9,2883,3058,5943,1054,2081,3133,8231,12659,20892,6501,9372,15873,17985,11448,29433,879,1241,2121,1187,1790,2980,20056,14476,34532,69693,75213,144899,14258,15693,29955,39449,42288,81739,39447,43875,83324
CED327,70590,73598,144189,30025,17670,47696,9856,16376,26237,3012,4012,7020,3611,3139,6747,46507,41197,87702,19501,27963,47466,7.8,7.6,7.7,65.9,56,60.8,60.8,51.7,56.1,3222,3301,6522,733,1547,2273,8120,10793,18910,5351,7743,13092,15268,9764,25036,1017,1242,2260,1053,1594,2648,17345,12593,29940,72895,74807,147700,12666,12938,25605,45192,46142,91335,34610,36065,70681
CED328,64773,68680,133453,29945,19612,49554,10104,17582,27686,3378,5160,8534,2517,2037,4557,45942,44390,90330,16645,22268,38914,5.5,4.6,5,70.9,64.6,67.7,67,61.7,64.3,9739,8956,18699,2075,3511,5586,17459,20363,37817,5623,6625,12246,8058,4741,12804,555,690,1242,713,1150,1867,9329,6578,15909,62378,64905,127284,14846,15520,30372,36908,39000,75907,36794,38048,74845
CED329,63021,65366,128391,18974,11099,30074,8090,15094,23178,2627,3032,5661,2162,1664,3830,31848,30891,62745,26680,30238,56922,6.8,5.4,6.1,50.5,47.3,48.9,47.1,44.7,45.9,1464,1616,3083,667,1520,2181,5120,8221,13341,4533,7196,11722,17818,9612,27431,863,1293,2156,1061,1581,2639,19744,12485,32229,57927,59768,117690,10783,11591,22372,37538,38062,75604,28273,30433,58706
CED330,70407,72947,143356,31691,18262,49952,8772,18033,26805,3376,4698,8076,2237,1991,4224,46074,42976,89052,19858,25769,45628,4.9,4.6,4.7,65.4,58.9,62.1,62.3,56.2,59.2,1601,2053,3649,697,1689,2377,5293,9470,14760,5211,8689,13899,21606,11546,33147,874,1449,2319,1145,1705,2842,23621,14700,38317,71689,72211,143903,12088,12949,25038,45167,44576,89746,33633,36035,69671
