CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
CED323,0,6,9,76,355,332,344,292,73,83,148,257,58,20,53,2084,21,23,28,45,126,54,50,38,6,6,3,4,0,5,12,412,0,4,13,34,55,61,73,35,4,27,10,24,9,3,11,360,0,8,30,104,144,346,691,214,59,50,41,45,44,30,17,1817,3,4,23,18,32,20,65,49,11,12,18,24,4,0,12,301,0,0,0,7,96,211,154,171,28,53,36,51,16,5,26,851,0,0,0,26,54,62,237,162,49,31,45,67,32,7,37,808,229,708,1657,1132,1114,841,1702,794,143,149,179,214,124,31,228,9244,10,13,41,63,97,140,194,147,47,37,57,63,52,8,21,1000,0,0,3,72,67,44,75,118,22,64,42,50,32,7,21,616,139,352,697,862,924,1091,1611,1399,614,764,879,1367,455,55,249,11460,618,2095,3850,4399,6622,7074,11941,7652,2098,2425,2780,3708,1519,419,1394,58593
CED324,0,0,6,47,319,273,490,307,79,86,149,333,57,8,61,2209,20,8,8,28,83,34,24,21,3,3,3,0,5,0,7,241,0,0,6,38,92,96,173,80,14,20,22,21,14,4,14,588,6,5,22,84,127,245,499,146,43,30,46,14,5,17,16,1306,5,5,26,30,68,108,252,151,25,33,50,80,26,9,26,887,0,0,6,13,596,1370,976,583,135,160,187,194,91,15,96,4422,0,0,0,18,54,56,125,104,31,19,29,28,14,3,11,505,116,310,810,663,600,502,1013,455,60,64,65,63,38,20,120,4897,3,5,35,71,54,89,197,129,16,31,35,36,36,10,18,758,0,5,5,422,795,368,317,290,85,70,61,91,44,9,102,2664,76,136,403,734,1078,1576,2244,1535,400,328,472,483,180,38,217,9902,404,968,2109,3350,6929,8983,17365,10636,2437,2530,3146,3833,1405,356,1553,66005
CED325,0,0,6,50,388,373,912,559,76,110,105,115,25,16,65,2796,10,8,9,32,125,41,43,13,0,4,0,5,0,0,7,292,0,0,18,35,64,48,139,42,20,7,12,16,0,0,8,415,0,0,21,77,120,272,798,226,44,66,60,46,23,11,33,1803,0,0,18,31,162,285,599,353,32,46,30,43,14,8,23,1637,0,0,0,0,88,192,122,92,10,17,16,13,10,0,6,576,0,0,0,16,75,48,147,71,10,19,18,13,8,0,12,435,100,384,1507,1080,850,580,1274,529,79,78,49,64,40,31,216,6864,0,11,25,54,62,80,151,122,19,20,17,27,11,0,24,631,0,0,12,896,2799,1753,1841,1186,237,221,187,220,121,36,410,9927,37,123,377,766,1423,1801,4065,2546,618,420,591,612,178,57,447,14043,332,1056,2618,4134,8813,9054,19402,11279,2008,1810,1981,2124,803,353,2101,67859
CED326,0,0,7,68,395,384,1045,691,113,114,127,123,50,12,46,3173,10,3,5,20,63,15,36,24,4,3,4,4,0,0,6,200,0,5,21,30,26,23,98,35,11,9,0,9,4,0,0,264,0,7,26,76,121,250,1023,500,105,107,81,94,48,18,32,2486,4,20,39,28,62,61,165,125,10,9,7,13,4,6,6,555,0,0,0,3,8,26,55,43,9,16,14,13,5,5,3,200,0,0,0,5,37,29,130,84,31,26,24,20,15,3,20,423,221,696,1974,1313,1089,716,2581,1086,164,153,98,132,46,12,283,10559,7,10,37,43,56,71,158,125,16,20,28,23,12,17,16,640,0,4,0,44,48,46,51,47,13,9,11,10,4,0,14,312,56,151,397,622,683,831,1812,982,244,235,189,201,71,23,140,6638,452,1584,3248,3581,5143,5192,15012,8326,1563,1470,1361,1534,633,251,1086,50444
CED327,0,3,8,86,479,419,759,403,79,70,82,133,29,5,56,2616,8,7,6,19,91,39,22,7,3,0,0,0,0,0,4,210,0,0,8,32,52,63,167,44,12,13,4,11,0,0,3,411,0,4,19,64,153,276,642,148,18,15,19,19,11,0,11,1420,4,9,17,27,79,92,192,175,9,8,12,14,6,0,5,661,0,0,0,11,195,699,571,281,66,36,50,55,26,8,37,2034,0,0,0,4,111,93,338,217,76,56,25,41,10,4,20,1001,89,390,1297,954,754,409,749,215,36,11,37,29,11,6,151,5147,7,6,15,32,36,42,117,67,12,11,17,16,9,0,9,388,0,0,7,163,390,195,213,127,21,21,24,38,16,5,28,1245,39,155,515,930,1840,2479,4039,2492,620,474,589,785,203,55,332,15542,282,980,2604,3701,7680,9773,20817,12051,2249,1833,2155,2639,939,300,1538,69542
CED328,0,0,9,42,158,116,232,141,28,24,41,42,24,8,18,881,11,4,9,20,96,47,40,15,9,12,6,6,6,0,4,279,10,3,11,46,72,59,187,116,34,29,25,49,28,19,12,700,0,11,36,146,287,568,1438,495,105,111,121,185,49,40,30,3611,0,8,28,49,118,145,227,120,17,28,50,54,36,8,5,880,0,0,0,5,132,171,137,95,27,26,37,35,23,3,9,705,0,0,9,13,40,55,129,88,15,25,16,25,12,0,11,443,148,359,1097,924,1043,1014,2640,1229,192,166,133,192,93,43,130,9400,0,13,58,120,112,184,384,227,80,69,58,75,75,28,25,1501,0,0,4,81,95,43,80,117,20,27,48,55,33,8,17,649,66,102,293,506,739,865,1835,1163,273,331,430,486,276,68,103,7514,423,885,2194,3079,4908,5517,12612,7258,1746,1915,2331,2878,1442,500,708,48391
CED329,0,4,8,33,157,124,168,110,33,36,41,45,12,10,50,818,3,4,5,13,41,12,15,8,0,0,3,0,9,0,8,109,0,0,10,25,16,8,6,9,3,0,0,0,0,5,4,101,3,12,22,75,117,162,330,143,43,31,21,27,17,0,21,1024,0,3,11,10,12,3,3,3,3,3,0,0,3,0,5,66,0,0,0,0,0,5,9,18,4,3,10,8,0,0,3,61,0,0,5,5,16,22,57,67,25,14,18,20,20,0,11,270,217,745,2000,1230,950,689,1485,459,82,63,60,69,39,23,345,8455,3,12,58,72,83,69,154,80,24,24,21,26,30,7,13,676,3,0,5,5,3,5,24,32,10,20,7,9,5,0,10,134,68,203,354,425,339,273,532,336,85,105,116,138,93,24,113,3198,459,1602,3244,3113,3292,2411,4086,2013,450,421,449,472,309,105,902,23329
CED330,0,0,11,20,130,110,189,159,40,37,35,50,13,8,36,841,5,3,8,17,50,23,23,12,0,0,0,5,0,0,4,145,0,3,13,18,19,23,37,23,7,4,8,7,8,0,3,179,0,0,25,63,109,247,654,196,15,36,30,20,20,8,23,1457,0,6,9,12,6,12,26,19,0,6,0,8,3,0,4,106,0,0,0,0,19,44,55,64,23,30,80,117,33,0,8,470,0,0,0,4,62,52,79,50,18,11,12,21,0,0,12,324,125,569,1896,1340,1091,831,1889,644,75,75,55,54,33,18,253,8967,0,3,49,68,71,56,148,75,21,12,16,18,14,0,21,589,0,0,0,22,102,50,51,18,10,16,6,9,14,4,24,319,47,144,445,548,694,536,1108,549,106,116,92,125,53,81,156,4800,287,1244,3133,3462,4680,4102,7580,3434,594,623,689,963,386,206,997,32377
CED394,0,0,0,4,8,3,16,5,5,3,4,5,0,0,9,61,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,9,30,0,0,0,0,0,3,22,0,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,6,16,4,3,3,45,0,0,0,0,0,0,6,11,0,0,0,6,0,3,0,17,7,40,168,110,75,29,93,44,13,3,23,52,35,15,42,764,0,0,7,6,5,9,8,8,0,0,3,10,8,0,6,62,0,0,0,0,3,0,4,3,0,0,0,4,3,0,0,24,0,4,29,21,37,35,56,41,16,11,39,143,87,35,57,619,15,83,260,264,286,210,365,223,69,47,138,371,213,124,230,2917
CED397,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
