CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED324,64967,66738,131707,1693,1768,3455,497,447,942,354,325,674,10346,10075,20417,127,111,237,71,56,131,47,56,98,55,55,112,49,42,93,0,0,0,11549,11159,22706,867,891,1756,271,215,485,14374,14032,28404,3364,3141,6503,82703,83909,166614
CED325,71539,73792,145331,2004,2163,4168,471,502,974,274,302,583,9291,9751,19040,70,84,155,58,58,110,38,50,83,74,69,144,65,66,131,0,0,0,10345,10877,21228,583,622,1207,278,247,520,13213,13909,27123,7280,4311,11598,92031,92011,184046
CED326,69693,75213,144899,2316,2584,4898,661,670,1335,393,405,803,9714,10799,20517,58,71,132,81,84,166,51,60,111,76,71,148,66,72,142,0,0,0,11112,12236,23349,568,615,1176,273,260,527,14258,15693,29955,4047,4135,8178,88003,95037,183038
CED327,72895,74807,147700,1586,1660,3244,421,439,863,266,279,543,9235,9436,18668,70,63,137,50,49,103,33,29,62,39,45,79,35,28,57,0,4,6,10148,10372,20516,617,654,1269,316,258,571,12666,12938,25605,5614,5436,11048,91171,93181,184351
CED328,62378,64905,127284,2184,2371,4550,735,679,1410,493,536,1029,9607,10223,19835,126,116,249,119,111,229,64,58,122,107,98,200,165,118,286,0,0,0,11422,11942,23364,1067,1075,2142,179,138,316,14846,15520,30372,2411,2231,4646,79642,82655,162295
CED329,57927,59768,117690,2398,2677,5076,663,684,1350,615,648,1260,6176,6710,12888,79,72,152,85,84,167,69,67,138,62,77,136,24,22,51,7,4,8,7781,8368,16144,375,334,708,228,214,447,10783,11591,22372,6089,4989,11078,74798,76345,151143
CED330,71689,72211,143903,2361,2472,4832,703,789,1497,328,337,672,7827,8419,16245,71,87,154,54,64,115,49,50,101,39,48,87,45,43,87,0,0,0,9114,9841,18958,323,354,675,296,272,568,12088,12949,25038,5410,5223,10637,89190,90381,179574
CED394,1455,1091,2545,722,578,1295,431,462,889,277,302,586,2200,2296,4494,80,73,160,117,139,261,44,47,95,39,59,96,24,25,51,0,0,0,3220,3403,6627,166,178,343,60,50,111,4166,4209,8378,2204,1478,3681,7825,6776,14601
CED397,39,5,47,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,109,24,130,149,28,183
CED401,75318,77097,152415,3128,3128,6251,855,703,1552,931,791,1723,332,381,719,10562,10757,21320,158,165,325,72,70,142,124,157,281,85,85,164,0,0,0,13119,13110,26230,1042,1047,2086,309,241,545,17592,17522,35112,4338,3777,8118,97249,98404,195643
CED402,68895,68662,137559,3333,3582,6909,215,203,418,613,579,1189,195,222,420,4516,4743,9256,93,91,185,45,58,100,92,110,206,13,12,17,0,0,0,5780,6015,11803,317,222,541,189,142,332,9625,9966,19587,7186,5625,12812,85704,84254,169952
CED403,69439,75442,144881,1457,1571,3030,461,408,870,507,516,1021,211,216,429,7725,8506,16228,92,102,191,40,41,81,89,92,178,31,40,75,0,0,0,9155,9923,19076,588,586,1174,154,145,296,11358,12219,23580,2702,2792,5493,83499,90452,173956
CED404,68591,67358,135953,4044,4393,8439,245,206,445,266,227,492,294,300,592,3958,4198,8153,182,170,350,38,45,78,159,161,322,10,10,16,0,0,0,5148,5316,10462,206,228,437,180,138,322,9582,10080,19659,7825,6375,14194,85993,83810,169802
CED405,69572,73410,142985,1428,1639,3071,379,348,726,454,399,856,208,212,417,7027,7489,14518,86,86,177,30,29,62,93,79,168,49,39,87,0,0,0,8322,8689,17013,457,506,965,186,165,351,10392,10999,21388,3191,3134,6326,83158,87546,170698
CED406,69222,71958,141174,956,1038,1995,147,172,320,196,191,387,132,141,271,6045,6662,12709,57,55,116,32,30,60,55,67,119,20,14,42,0,0,0,6685,7341,14024,246,263,507,168,143,307,8048,8786,16838,3170,3119,6290,80443,83867,164310
CED407,72600,74247,146848,1190,1153,2347,291,232,521,347,257,601,159,143,310,6648,6800,13448,61,55,124,31,42,73,41,38,83,25,22,49,0,0,0,7607,7597,15202,370,408,779,174,120,293,9342,9282,18618,3369,3039,6413,85316,86563,171878
CED408,70834,73844,144680,2494,2762,5251,237,226,465,358,358,716,184,201,384,5312,5851,11168,80,91,174,23,28,56,113,120,225,27,23,50,7,6,5,6338,6904,13238,265,299,568,150,115,266,9241,10081,19321,4180,3972,8154,84254,87906,172157
CED409,75263,76997,152262,1693,1831,3524,332,297,626,338,314,660,175,179,351,7976,8220,16197,58,54,118,26,29,55,102,92,188,34,36,72,0,0,0,9046,9224,18265,333,356,685,262,235,493,11329,11638,22969,5305,5168,10474,91896,93807,185706
CED410,74197,79825,154024,1692,1758,3452,418,382,795,535,496,1028,185,193,377,8767,9097,17864,82,89,175,31,36,73,90,112,196,41,34,78,0,0,0,10155,10439,20594,707,727,1441,156,157,312,12707,13085,25793,2858,2958,5811,89762,95866,185626
CED494,369,226,596,148,74,225,36,41,72,42,38,81,66,63,129,499,564,1067,32,32,64,6,6,16,14,13,22,3,8,6,0,0,0,703,765,1467,41,43,86,55,32,84,947,917,1865,538,354,890,1854,1490,3345
CED497,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
CED501,70569,72961,143523,2199,2371,4571,408,361,770,417,328,743,304,314,615,105,110,217,7516,8306,15818,48,77,127,93,96,195,33,28,68,0,0,4,8933,9615,18548,490,516,1007,238,225,463,11858,12720,24584,6913,4122,11034,89337,89803,179140
CED502,73683,74872,148557,1618,1648,3266,217,187,404,201,188,388,168,167,331,72,92,163,7516,7777,15292,32,42,71,51,50,103,16,26,41,5,6,13,8275,8522,16798,531,609,1138,206,190,393,10628,10974,21599,5130,4522,9651,89441,90364,179808
CED503,61832,65534,127360,2029,2259,4292,211,204,413,157,188,344,207,231,440,59,57,120,6796,7576,14368,34,55,93,54,53,109,16,13,33,9,4,10,7540,8391,15928,339,366,705,211,226,436,10117,11241,21357,5353,4124,9479,77303,80898,158198
CED504,73957,76002,149958,1374,1393,2767,164,162,319,223,192,420,110,145,251,46,41,85,6922,7115,14035,28,23,53,52,37,84,6,11,18,0,3,3,7551,7732,15286,560,558,1116,213,148,361,9697,9837,19528,4503,4032,8529,88155,89867,178021
