CED_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
CED125,..,147,40,188,0,191,..,2224,1096,3321,28,3347,..,798,93,891,11,899,..,377,23,400,7,401,..,234,7,246,5,246,..,1002,97,1104,4,1115,..,5264,418,5684,57,5743,..,391,41,433,6,440,..,3925,186,4113,35,4148,..,3229,326,3549,68,3618,..,2395,270,2665,30,2692,..,448,18,467,5,467,..,2595,148,2743,20,2764,..,793,53,852,8,857,..,19039,1460,20502,231,20731,..,1263,141,1407,4,1411,..,98,13,106,0,114,..,475,197,671,4,671,..,178,46,221,3,227,..,524,48,575,8,584,..,1216,60,1280,16,1295,..,315,53,366,0,366,..,459,50,517,5,512,..,359,58,416,4,417,..,354,59,417,0,416,..,2739,283,3028,43,3060,..,906,144,1049,12,1054,..,1362,50,1407,5,1420,..,688,89,777,15,791,..,2653,95,2753,17,2768,..,356,28,383,4,386,..,5063,254,5319,40,5366,..,2983,428,3413,30,3440,..,765
CED126,..,62,19,86,0,86,..,2220,696,2912,19,2934,..,437,69,502,4,508,..,903,25,924,14,937,..,1210,31,1242,17,1260,..,393,28,417,4,421,..,68,3,76,0,76,..,40,0,40,0,41,..,296,14,313,0,315,..,691,28,717,0,717,..,418,30,447,0,450,..,21,0,19,0,19,..,57,4,55,0,55,..,19,0,16,3,19,..,1603,83,1684,5,1695,..,1628,177,1807,7,1819,..,513,60,571,4,575,..,33,6,38,0,39,..,301,122,421,9,429,..,57,4,58,0,59,..,52,5,56,3,57,..,384,35,420,5,421,..,279,17,292,0,298,..,1783,103,1887,35,1921,..,336,42,376,3,376,..,36,4,37,0,39,..,837,111,950,0,949,..,300,11,305,0,306,..,228,28,249,3,252,..,498,9,512,3,514,..,75,3,82,0,82,..,1101,48,1150,4,1156,..,1348,85,1425,29,1456,..,54
CED127,..,27,4,33,0,33,..,652,213,861,16,880,..,165,19,184,3,187,..,298,13,309,0,308,..,510,14,525,6,531,..,260,25,286,5,289,..,27,0,35,0,34,..,59,5,56,0,61,..,231,9,240,5,245,..,137,0,136,0,136,..,355,28,380,0,385,..,61,4,66,0,66,..,74,3,74,0,74,..,31,4,33,0,33,..,972,48,1024,8,1024,..,446,38,480,3,485,..,180,15,194,3,197,..,56,16,71,0,71,..,98,32,136,0,136,..,164,18,179,0,179,..,40,0,42,0,42,..,84,3,89,0,91,..,245,12,260,4,259,..,101,11,110,0,110,..,198,14,216,0,216,..,35,7,41,0,41,..,91,0,95,0,95,..,166,6,174,3,173,..,76,3,83,0,84,..,227,6,229,0,229,..,69,3,66,0,69,..,536,19,555,8,563,..,644,47,690,12,701,..,47
CED128,..,533,257,788,4,793,..,4306,2865,7172,51,7228,..,1327,222,1549,7,1558,..,230,11,241,3,247,..,123,6,135,0,132,..,1039,203,1241,14,1251,..,315,23,336,4,336,..,617,37,658,6,662,..,1879,78,1957,10,1967,..,847,48,898,8,905,..,909,107,1009,4,1018,..,242,10,246,0,246,..,1471,125,1595,25,1617,..,269,9,281,0,281,..,6548,436,6982,55,7035,..,2053,405,2460,7,2469,..,59,5,58,0,58,..,944,543,1484,5,1491,..,241,132,379,4,379,..,321,72,391,9,396,..,192,16,207,8,210,..,989,362,1355,6,1359,..,269,35,302,0,304,..,186,28,212,3,216,..,184,25,212,0,208,..,903,81,984,3,991,..,836,210,1047,7,1052,..,866,28,896,5,900,..,350,40,386,4,394,..,1891,61,1953,7,1964,..,247,26,270,0,274,..,3357,152,3510,19,3528,..,2290,544,2834,7,2845,..,866
CED129,..,443,89,530,0,534,..,16991,5030,22022,213,22237,..,615,55,672,8,684,..,307,5,310,4,318,..,272,11,290,5,286,..,1019,98,1119,4,1122,..,1017,39,1060,12,1072,..,1610,85,1695,11,1709,..,5401,179,5584,38,5617,..,739,49,787,8,794,..,2748,200,2953,13,2958,..,1873,57,1929,12,1947,..,2308,68,2372,16,2389,..,995,37,1032,12,1039,..,16691,715,17403,120,17525,..,1115,90,1207,12,1212,..,297,32,332,3,329,..,72,11,80,0,80,..,3330,1133,4457,19,4481,..,90,7,92,3,97,..,749,16,767,9,780,..,3242,472,3714,31,3747,..,472,25,502,4,505,..,328,30,363,4,367,..,491,53,546,0,547,..,53,3,48,0,48,..,332,24,358,0,358,..,1046,16,1063,7,1072,..,984,83,1067,10,1077,..,1696,33,1729,10,1738,..,207,7,214,0,214,..,3936,139,4077,30,4101,..,1609,115,1724,8,1738,..,2760
CED130,..,16,3,17,0,25,..,641,413,1051,20,1071,..,8,0,8,0,8,..,163,6,166,3,169,..,231,11,248,3,247,..,75,4,79,0,82,..,148,10,153,0,154,..,79,4,84,0,84,..,163,11,173,0,176,..,524,23,546,3,552,..,344,30,371,9,374,..,98,5,102,6,103,..,131,9,136,0,137,..,22,3,24,0,24,..,1510,89,1597,11,1607,..,125,8,130,3,139,..,103,7,109,0,114,..,14,4,19,0,19,..,56,18,74,0,74,..,3,0,3,0,3,..,223,28,247,5,248,..,72,4,77,5,78,..,34,0,34,0,34,..,91,21,115,4,119,..,45,0,50,0,50,..,32,4,34,0,34,..,13,0,18,0,18,..,303,8,311,4,314,..,56,0,59,0,59,..,437,9,454,3,455,..,86,10,90,4,94,..,882,29,907,14,921,..,200,9,214,0,212,..,63
CED131,..,55,16,70,0,70,..,1701,540,2241,16,2257,..,178,33,207,0,208,..,307,12,321,6,328,..,377,16,389,8,398,..,633,113,748,8,754,..,309,28,329,0,335,..,104,6,113,0,112,..,394,22,415,7,417,..,436,20,464,0,464,..,329,14,339,4,346,..,152,7,159,0,159,..,481,28,505,10,520,..,76,0,77,0,76,..,2281,128,2411,23,2431,..,627,80,702,9,718,..,201,31,231,3,235,..,52,12,60,0,60,..,299,95,392,0,397,..,887,169,1057,5,1061,..,491,42,532,3,536,..,245,24,264,3,267,..,233,24,259,0,260,..,264,13,276,8,282,..,107,16,126,0,129,..,96,8,104,0,104,..,192,54,252,3,257,..,291,12,309,3,311,..,199,16,221,4,221,..,365,7,366,0,368,..,177,7,186,8,190,..,1035,44,1079,14,1091,..,587,59,641,8,645,..,254
CED132,..,413,91,506,0,506,..,16067,3713,19778,135,19917,..,477,51,529,0,533,..,1054,25,1081,16,1097,..,698,15,711,11,721,..,954,78,1033,7,1047,..,320,21,340,0,340,..,223,8,228,0,228,..,1842,42,1886,19,1900,..,792,30,825,5,832,..,276,12,286,3,293,..,211,0,215,0,215,..,301,11,312,0,311,..,390,7,400,3,400,..,4350,131,4481,35,4518,..,1249,123,1375,15,1386,..,2274,435,2711,20,2728,..,40,12,55,0,55,..,1588,433,2022,20,2037,..,180,16,194,0,194,..,237,5,241,0,241,..,1213,82,1298,13,1311,..,501,17,516,0,519,..,914,59,969,18,989,..,724,66,794,12,804,..,24,0,28,0,28,..,308,12,319,3,329,..,573,8,578,3,584,..,675,57,736,4,740,..,737,22,757,9,771,..,167,5,175,3,177,..,2145,99,2251,21,2271,..,1943,125,2067,28,2099,..,459
CED133,..,11,3,13,0,13,..,389,183,577,5,587,..,12,0,11,0,11,..,240,8,247,0,250,..,491,19,505,10,516,..,81,6,90,7,95,..,30,3,33,0,33,..,14,0,14,0,14,..,75,4,75,0,75,..,104,3,105,0,105,..,1353,285,1643,21,1658,..,31,0,31,0,31,..,51,10,52,0,52,..,20,4,24,0,24,..,1668,301,1970,21,1995,..,346,29,368,10,377,..,175,21,197,4,202,..,17,0,23,0,23,..,62,21,82,0,86,..,8,0,8,0,8,..,56,0,59,0,59,..,20,10,26,0,26,..,51,3,53,0,53,..,109,6,111,0,111,..,38,3,44,0,44,..,23,0,23,5,25,..,11,5,18,0,18,..,142,3,150,6,154,..,65,6,66,3,75,..,208,18,223,0,225,..,110,28,136,0,136,..,528,54,575,4,580,..,320,19,336,4,340,..,21
CED134,..,15,5,16,0,22,..,413,150,561,4,567,..,25,4,36,0,36,..,70,0,68,4,73,..,162,3,171,0,169,..,84,13,94,6,93,..,167,12,185,0,185,..,152,18,168,0,167,..,179,9,186,0,184,..,815,41,855,6,867,..,405,26,435,8,445,..,152,9,162,6,163,..,207,22,227,0,224,..,27,4,36,0,36,..,2111,130,2246,27,2270,..,125,12,133,0,136,..,43,5,47,0,47,..,17,9,22,0,22,..,68,19,90,0,90,..,19,0,19,0,19,..,315,42,358,9,359,..,24,0,26,0,26,..,25,3,31,0,31,..,29,3,28,0,28,..,29,7,32,0,32,..,23,0,25,0,27,..,48,13,62,0,65,..,322,5,332,4,334,..,65,6,74,0,74,..,348,13,362,6,366,..,63,7,75,0,75,..,804,37,835,5,846,..,97,8,110,5,112,..,102
CED135,..,423,186,613,3,616,..,17201,8347,25550,204,25748,..,480,76,554,0,555,..,271,12,283,6,288,..,171,8,176,4,177,..,948,194,1140,15,1160,..,1972,118,2086,21,2106,..,5134,415,5551,47,5600,..,9231,458,9686,69,9758,..,6145,258,6399,41,6443,..,3848,285,4132,44,4180,..,819,39,858,8,867,..,3121,196,3313,37,3351,..,2267,121,2385,30,2416,..,32534,1891,34420,298,34716,..,787,110,896,8,907,..,282,46,324,3,329,..,100,20,124,0,124,..,3476,1729,5202,32,5236,..,70,22,88,0,88,..,2035,176,2213,35,2243,..,1998,680,2680,12,2693,..,305,41,346,5,345,..,248,32,281,10,288,..,365,56,425,0,425,..,258,40,293,0,296,..,354,65,415,3,420,..,1423,33,1457,12,1470,..,817,84,897,4,903,..,2039,50,2086,20,2108,..,344,32,378,3,378,..,4624,196,4821,40,4860,..,1369,223,1595,15,1611,..,6820
CED136,..,23,13,34,0,34,..,551,257,806,9,816,..,91,13,105,0,109,..,177,0,181,4,185,..,227,6,233,5,240,..,189,17,204,0,210,..,99,9,103,0,104,..,60,7,65,0,65,..,189,15,207,0,207,..,198,5,200,0,204,..,356,58,415,3,419,..,50,4,56,0,56,..,165,13,185,0,183,..,43,3,41,4,44,..,1157,120,1275,12,1284,..,247,16,266,0,270,..,67,8,70,0,70,..,13,8,24,0,24,..,106,52,156,0,159,..,58,8,65,0,65,..,330,35,368,5,369,..,25,11,37,0,34,..,113,12,125,0,124,..,95,5,102,3,100,..,89,9,100,4,100,..,105,10,115,4,113,..,40,9,52,0,52,..,221,6,226,0,229,..,67,6,77,0,77,..,413,19,429,0,429,..,103,13,116,0,119,..,803,43,845,3,846,..,316,29,347,3,349,..,64
CED137,..,836,317,1153,10,1163,..,28058,10874,38933,285,39217,..,666,84,754,0,757,..,471,15,484,10,494,..,322,8,330,10,336,..,2473,469,2943,14,2957,..,679,21,705,0,706,..,475,15,495,6,496,..,3031,92,3126,30,3154,..,7779,154,7929,51,7981,..,612,30,644,8,650,..,313,10,324,0,326,..,1252,84,1333,9,1340,..,531,30,562,6,566,..,14668,445,15108,108,15221,..,5708,958,6664,33,6691,..,544,107,654,8,655,..,117,17,136,0,136,..,7608,4012,11611,73,11690,..,140,11,152,0,151,..,549,20,569,7,575,..,932,119,1058,3,1061,..,393,36,426,0,427,..,705,95,791,17,808,..,619,61,681,5,686,..,93,3,98,0,96,..,394,50,447,8,447,..,915,20,931,12,946,..,1099,92,1194,13,1205,..,1245,35,1280,8,1282,..,311,30,336,0,343,..,3573,167,3740,26,3772,..,2093,239,2339,19,2355,..,2954
CED138,..,16,4,19,0,25,..,362,112,476,15,487,..,41,3,48,0,48,..,712,32,745,11,759,..,827,9,839,15,856,..,141,7,148,7,153,..,20,5,21,0,21,..,42,4,43,0,43,..,127,0,128,0,128,..,85,4,85,0,89,..,424,49,474,4,480,..,23,0,23,0,23,..,12,3,13,0,13,..,18,0,22,0,22,..,752,67,818,6,820,..,586,46,629,9,635,..,503,99,598,5,602,..,14,0,14,0,7,..,41,17,58,3,61,..,22,0,19,0,19,..,122,11,135,0,135,..,41,5,45,0,45,..,111,5,119,0,122,..,850,25,876,10,885,..,121,7,122,0,122,..,36,0,36,0,36,..,28,5,24,0,24,..,209,4,214,4,219,..,108,9,116,0,116,..,218,10,227,3,227,..,59,0,59,0,59,..,590,22,616,8,617,..,969,47,1014,8,1020,..,38
CED139,..,15,19,31,0,35,..,552,408,964,14,972,..,35,0,39,0,39,..,75,3,78,3,78,..,128,9,134,3,136,..,136,16,149,0,154,..,118,10,125,3,133,..,95,12,106,4,109,..,184,12,192,0,192,..,252,8,261,0,267,..,340,32,371,3,376,..,125,5,133,0,133,..,158,6,163,0,168,..,44,0,44,0,47,..,1308,83,1401,16,1411,..,169,16,183,0,185,..,42,0,42,0,45,..,23,5,28,0,28,..,39,7,49,0,51,..,15,0,14,0,14,..,574,48,623,12,630,..,71,6,82,5,84,..,39,6,35,0,35,..,29,3,32,0,32,..,39,0,37,0,37,..,86,9,88,10,97,..,49,3,47,5,54,..,321,5,329,3,327,..,51,0,47,0,48,..,313,9,326,0,323,..,91,20,109,0,112,..,767,39,808,6,813,..,169,20,185,0,192,..,118
CED140,..,34,8,39,0,39,..,1282,484,1765,14,1777,..,109,7,119,0,119,..,378,20,392,7,405,..,475,11,487,9,495,..,346,50,395,6,407,..,78,9,91,0,91,..,81,6,82,0,82,..,280,16,291,0,294,..,322,14,331,0,334,..,269,33,294,3,304,..,72,0,72,0,72,..,93,3,100,5,106,..,48,0,47,0,47,..,1235,80,1312,5,1322,..,458,37,497,3,494,..,297,25,320,0,319,..,30,11,40,0,40,..,347,141,494,3,494,..,28,0,28,0,28,..,251,20,266,5,277,..,110,10,125,0,125,..,205,12,216,0,219,..,341,27,372,8,381,..,400,39,437,5,440,..,33,0,36,0,36,..,65,12,79,0,77,..,292,4,294,4,301,..,165,10,174,0,174,..,418,19,438,0,443,..,113,13,126,0,126,..,983,46,1030,9,1040,..,866,82,944,7,955,..,118
CED141,..,48,12,55,0,55,..,630,195,828,8,838,..,57,9,71,0,71,..,191,0,190,0,201,..,319,7,321,8,330,..,227,20,247,0,248,..,47,6,53,0,53,..,56,5,62,0,62,..,139,6,151,5,148,..,103,8,107,3,111,..,159,8,168,0,173,..,31,0,31,0,31,..,38,0,45,0,45,..,10,0,10,0,10,..,584,40,626,9,632,..,335,34,371,7,373,..,106,7,112,0,112,..,23,6,31,0,31,..,94,30,126,0,129,..,334,48,384,0,389,..,36,0,38,0,38,..,41,6,49,0,49,..,136,11,143,5,148,..,140,13,153,0,155,..,87,7,94,0,97,..,105,15,118,5,115,..,86,4,94,0,94,..,118,3,121,0,125,..,100,7,109,0,109,..,188,11,197,0,197,..,51,4,53,0,57,..,453,29,485,7,485,..,350,29,379,4,376,..,71
CED142,..,712,175,886,0,891,..,20067,4803,24870,149,25018,..,209,17,223,5,229,..,1859,66,1924,19,1949,..,993,24,1017,10,1030,..,1526,256,1782,24,1805,..,412,11,423,0,423,..,178,9,189,0,186,..,1558,16,1576,5,1580,..,342,11,353,0,353,..,227,0,232,0,231,..,194,3,200,0,200,..,294,4,300,0,300,..,281,0,283,6,286,..,3490,59,3541,16,3560,..,1744,79,1823,15,1835,..,1289,205,1493,17,1511,..,105,11,113,0,113,..,1660,465,2123,14,2142,..,217,27,245,0,241,..,277,7,282,0,282,..,743,34,782,4,788,..,546,29,574,4,580,..,1917,156,2069,20,2084,..,1413,387,1807,7,1814,..,62,0,62,0,62,..,417,36,449,0,449,..,571,11,580,9,590,..,3908,419,4328,31,4353,..,741,12,746,5,752,..,744,71,818,3,819,..,5966,514,6474,45,6518,..,4407,414,4818,32,4850,..,359
CED143,..,102,17,123,0,123,..,3483,871,4357,16,4373,..,286,17,307,5,308,..,1959,43,2004,31,2029,..,1235,38,1270,17,1292,..,729,52,779,6,785,..,81,4,79,0,79,..,52,4,56,0,56,..,325,10,337,0,337,..,396,8,406,7,412,..,195,14,211,0,211,..,58,8,62,0,62,..,68,0,68,0,67,..,50,0,51,0,51,..,1219,46,1266,6,1277,..,1486,153,1639,25,1662,..,798,97,896,15,911,..,26,3,28,0,28,..,338,88,421,3,428,..,101,9,106,0,106,..,53,3,59,0,59,..,322,18,338,3,342,..,368,15,388,5,399,..,1773,121,1890,26,1923,..,532,55,584,9,596,..,32,0,37,0,37,..,329,32,362,0,362,..,209,12,222,0,223,..,220,8,226,0,226,..,348,6,353,4,354,..,63,8,73,6,74,..,844,34,880,7,889,..,2080,122,2205,19,2225,..,78
CED144,..,316,238,556,7,564,..,11051,9092,20137,168,20304,..,311,70,384,3,385,..,369,14,379,0,388,..,140,12,143,0,143,..,6537,1684,8224,34,8250,..,6550,841,7392,58,7455,..,229,20,253,9,257,..,1621,83,1703,5,1714,..,3499,179,3680,21,3705,..,448,37,483,3,489,..,84,0,90,0,92,..,5623,461,6088,73,6156,..,234,16,253,0,256,..,18293,1646,19944,178,20120,..,3109,538,3647,32,3673,..,203,47,245,0,245,..,58,19,73,0,73,..,2568,1813,4375,18,4398,..,339,70,406,0,413,..,167,13,182,0,184,..,135,29,159,0,159,..,241,33,277,0,278,..,1145,323,1468,11,1480,..,215,30,241,4,245,..,295,34,325,0,325,..,254,33,283,0,283,..,748,16,768,15,781,..,2192,440,2628,30,2657,..,1494,61,1558,20,1573,..,505,112,622,8,627,..,4942,626,5571,64,5632,..,1637,229,1861,18,1881,..,790
CED145,..,108,20,121,0,121,..,3177,607,3779,27,3812,..,176,15,192,5,191,..,2087,68,2151,17,2170,..,976,25,1004,9,1014,..,1516,129,1641,9,1653,..,80,5,82,0,82,..,42,4,46,0,46,..,228,3,226,0,230,..,78,0,82,0,82,..,52,0,49,0,49,..,45,0,50,0,50,..,46,0,43,0,45,..,24,0,24,0,24,..,595,18,607,3,609,..,1715,87,1801,23,1831,..,490,44,524,6,528,..,5,0,5,0,5,..,302,31,333,4,335,..,77,0,79,0,80,..,16,0,16,0,16,..,248,13,261,0,264,..,353,10,368,4,371,..,1696,120,1817,19,1836,..,1693,210,1907,6,1915,..,17,0,17,0,17,..,234,9,242,0,242,..,218,5,225,0,225,..,257,22,276,3,275,..,330,11,342,7,347,..,69,0,75,0,71,..,869,44,915,6,927,..,2786,164,2955,26,2984,..,54
CED146,..,663,245,905,4,915,..,4139,1989,6127,37,6167,..,1261,151,1411,10,1418,..,314,18,328,4,331,..,109,4,112,4,115,..,1404,216,1622,22,1642,..,3084,193,3272,24,3299,..,333,22,354,4,353,..,6856,308,7165,39,7203,..,2763,244,3000,49,3048,..,1018,86,1104,5,1112,..,295,16,310,3,309,..,2904,185,3089,19,3109,..,1470,67,1534,4,1541,..,18716,1115,19828,142,19970,..,2594,346,2937,23,2959,..,67,7,73,0,73,..,1887,986,2872,30,2899,..,161,70,231,0,236,..,1407,234,1637,7,1646,..,1113,45,1159,7,1167,..,311,68,379,0,382,..,507,79,588,0,583,..,400,81,484,4,488,..,186,36,221,0,222,..,2342,268,2612,25,2636,..,3048,644,3690,23,3709,..,1130,19,1148,11,1160,..,734,95,820,10,832,..,2252,77,2327,15,2338,..,354,43,394,0,398,..,4459,237,4697,33,4731,..,3640,683,4324,27,4348,..,750
CED147,..,27,6,38,0,38,..,650,215,868,21,890,..,331,42,372,0,372,..,200,8,204,4,207,..,464,12,470,4,477,..,614,76,690,13,702,..,75,0,82,0,80,..,71,4,83,0,77,..,198,9,207,0,211,..,463,26,484,3,487,..,176,27,202,0,202,..,78,3,81,0,83,..,198,5,209,5,209,..,27,4,28,0,28,..,1290,88,1374,16,1387,..,936,110,1045,10,1050,..,89,7,95,0,98,..,29,12,38,0,40,..,96,41,141,0,142,..,2378,496,2872,13,2886,..,418,32,450,6,454,..,96,7,105,0,105,..,208,29,234,0,234,..,474,96,567,3,570,..,79,11,91,0,92,..,34,0,34,0,35,..,528,83,604,3,614,..,274,10,284,5,288,..,88,5,88,0,88,..,379,20,393,0,395,..,90,0,92,0,93,..,824,34,862,12,869,..,1034,155,1192,17,1208,..,45
CED194,..,8,0,7,0,7,..,153,55,210,0,213,..,10,0,12,0,12,..,68,3,71,4,72,..,22,0,22,0,22,..,35,4,37,0,37,..,4,0,4,0,4,..,4,0,4,0,4,..,30,0,30,0,30,..,14,0,14,0,14,..,15,0,12,0,12,..,3,3,8,0,8,..,10,0,10,0,10,..,7,0,7,0,7,..,79,7,88,0,88,..,24,4,28,0,25,..,9,6,12,0,12,..,0,0,0,0,0,..,12,7,20,0,24,..,12,0,12,0,12,..,5,0,5,0,5,..,17,6,20,0,20,..,14,0,15,0,15,..,18,0,18,0,18,..,8,5,16,0,15,..,10,0,13,0,13,..,6,0,6,4,12,..,14,0,14,0,14,..,30,3,31,0,31,..,14,0,14,0,14,..,28,0,28,0,30,..,83,3,84,0,84,..,62,5,67,0,67,..,13
