CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED111,2457,1944,1599,1080,316,44,10369,69,618,762,674,640,515,146,31,3459,2226,6725,5176,4128,2869,1937,736,182,23985,823,1939,2481,2808,2364,1549,605,190,12759,2355,4404,4033,4243,4152,2495,1305,425,23416,340,233,241,258,293,181,67,21,1626,156,190,315,517,726,664,306,110,2986,2850,4831,4591,5015,5175,3339,1684,555,28028,55,90,118,113,165,188,116,38,878,1236,1228,1046,1020,1039,1040,1188,916,8712,7423,18193,16625,15705,13851,9650,4780,1960,88190
CED112,927,678,641,500,151,25,3609,55,324,458,389,379,345,98,22,2072,636,3367,3520,2642,1815,1590,630,149,14357,576,1976,2522,2761,2127,1590,651,154,12357,2559,5568,5451,5374,4957,3158,1622,450,29152,402,355,287,313,295,236,77,16,1981,198,279,426,609,682,643,283,86,3196,3153,6202,6166,6290,5936,4033,1985,554,34330,48,91,107,142,139,175,133,29,861,1143,1239,1286,1277,1308,1570,1699,1347,10870,5645,13864,14980,14185,12344,9807,5360,2279,78454
CED113,1741,1667,1359,982,315,39,7492,46,396,720,849,826,676,150,22,3682,673,3960,3889,3606,3112,2486,914,173,18816,333,1648,2267,2833,2721,1935,717,175,12632,1987,4783,4548,4821,4893,3114,1267,341,25752,259,290,273,261,299,224,64,15,1690,126,218,247,476,684,548,263,77,2645,2369,5290,5072,5556,5877,3889,1603,431,30084,23,83,95,110,143,177,93,23,747,1234,1554,1478,1581,1946,1826,1348,742,11703,4713,14287,15260,16205,15983,11967,5142,1602,85156
CED114,763,573,510,298,102,8,3240,48,347,487,523,501,353,92,6,2365,680,3631,3516,2586,1939,1425,546,115,14431,413,1780,2010,2184,2175,1506,660,160,10874,2435,5608,5002,5083,4979,3350,1310,343,28115,325,343,273,333,352,194,58,7,1882,147,236,312,476,553,493,197,55,2470,2907,6184,5585,5894,5879,4035,1564,403,32466,41,90,100,74,114,147,98,39,700,1787,1961,1840,1989,2281,2439,1960,1021,15281,5922,14935,14294,13825,13395,10202,5026,1756,79357
CED115,1132,519,327,210,62,10,4147,62,280,257,198,136,87,24,10,1056,2078,6145,3610,2263,1464,1087,351,66,17057,925,2507,2525,2198,1629,825,283,67,10967,1421,2882,2794,2730,2478,1540,679,182,14704,258,254,283,295,267,114,26,4,1499,145,311,418,517,517,308,93,29,2343,1821,3447,3496,3536,3265,1964,800,219,18549,67,168,150,175,163,136,60,16,936,1783,2362,2035,1815,1792,1360,991,700,12844,6881,16662,13209,10706,8778,5678,2572,1082,65558
CED116,928,900,1114,1132,399,66,5255,22,352,487,473,749,830,236,17,3170,483,2722,2940,2691,3088,3025,1157,288,16392,287,1315,1952,2365,3034,2691,1159,275,13076,2067,4738,4571,4934,5881,4782,2272,622,29876,275,290,269,280,417,364,97,30,2024,143,231,284,452,815,979,506,152,3559,2493,5255,5123,5671,7118,6124,2875,800,35459,29,72,82,100,171,285,192,57,991,1396,1516,1467,1664,1905,2291,1905,1012,13159,4745,11904,12978,13870,17183,16373,7931,2521,87510
CED117,5448,3906,2596,1541,432,53,18584,51,974,1148,1117,806,560,114,12,4782,2619,13384,9809,6922,3996,2351,741,121,39945,827,2381,2628,2660,1778,1092,370,114,11854,834,2243,1933,1886,1564,846,440,155,9902,132,139,160,208,149,92,31,3,908,85,187,292,471,462,332,133,38,1986,1051,2569,2383,2563,2169,1268,598,193,12801,58,160,169,152,107,125,57,11,838,803,1691,1299,1048,919,833,665,462,7714,5526,25654,22880,18369,12371,7761,2981,970,96518
CED118,7758,2688,1263,643,167,25,16963,90,592,1001,656,392,226,62,0,3017,2246,9460,11770,5719,3141,1812,511,80,34745,1098,3063,4044,3182,2024,1122,344,62,14942,1939,3734,4066,3798,2794,1559,675,170,18734,298,216,276,270,238,139,41,10,1484,185,287,469,678,550,416,172,35,2799,2424,4238,4810,4743,3580,2117,885,212,23012,71,252,406,251,187,165,85,7,1417,1498,2558,2379,1495,1079,974,639,310,10934,7645,24351,32177,18733,11664,7060,2694,705,105028
CED119,2441,1718,1211,651,205,28,7804,71,452,658,637,581,431,90,12,2933,1604,5382,5937,4440,2920,1863,580,135,22868,698,1951,3100,3495,2520,1525,590,152,14032,1912,3556,4032,4289,3734,2323,1285,373,21502,178,156,212,271,254,173,58,21,1316,148,197,404,680,755,697,353,89,3316,2235,3902,4650,5239,4738,3195,1701,482,26138,27,85,142,149,195,195,115,48,958,553,695,849,766,733,771,884,753,6012,5254,13954,17773,16444,12895,8630,4172,1613,80738
CED120,1112,882,738,574,186,23,4632,59,413,498,494,471,367,87,16,2408,846,3579,3644,2904,1984,1566,590,134,15247,759,2387,2755,2852,2268,1594,568,122,13300,2974,6662,6240,6075,4894,3055,1260,261,31416,331,322,282,340,279,204,55,11,1812,224,285,412,619,736,638,253,54,3225,3525,7272,6933,7031,5908,3891,1570,328,36459,43,73,100,144,156,151,94,29,801,1169,1421,1441,1414,1467,1468,1208,794,10382,6462,16199,16481,15716,12991,9621,4308,1448,83240
