CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED206,52796,143547,2067,3263,849,1652,2919,4914,245,380,11,15,0,0,0,0,50,95,313,495,66,82,114,154,0,6,28,68,216,311,71,147,56307,149419,3669,..,59983,149419
CED207,44246,125566,5407,11264,4662,12838,10072,24102,6147,13522,1640,2875,2304,3841,1263,2355,49,94,11399,22674,0,0,0,0,0,0,32,68,28,68,47,87,65793,172503,7103,..,72893,172503
CED208,35348,95243,8759,17464,8158,18158,16920,35626,4744,7298,1542,2468,3042,4971,440,652,32,85,9802,15474,0,4,4,5,0,0,353,718,356,723,45,79,62474,147145,6668,..,69142,147145
CED209,51352,133868,2802,4674,855,1747,3656,6419,204,324,37,65,5,3,0,0,17,22,260,417,44,62,145,211,8,8,21,40,215,326,70,129,55553,141161,11303,..,66856,141161
CED210,51184,129808,6422,10107,1551,3133,7973,13241,1774,2747,163,250,300,453,134,229,11,23,2382,3692,37,49,203,282,5,6,123,287,367,623,88,168,61989,147532,4710,..,66698,147532
CED211,51377,138246,5807,10913,2388,5874,8198,16794,496,956,686,1119,971,1594,74,117,47,108,2274,3894,0,0,0,0,0,0,28,68,29,72,49,94,61926,159105,3979,..,65906,159105
CED212,48044,129164,7070,11627,2255,4627,9327,16254,1177,1717,180,282,116,177,24,31,61,103,1553,2310,26,36,253,310,0,0,32,97,307,441,55,104,59295,148264,3713,..,63001,148264
CED213,49502,121749,5087,8109,1729,3584,6822,11696,1399,2275,129,205,40,67,0,3,44,79,1616,2626,41,49,372,524,6,13,33,58,450,639,45,86,58434,136794,24167,..,82598,136794
CED214,39695,113735,4828,10440,7873,20401,12704,30839,4860,9185,1850,3164,2486,4079,1520,2447,76,180,10787,19057,4,6,41,47,6,6,224,495,273,549,86,176,63541,164355,7483,..,71020,164355
CED215,49732,147888,5009,11070,6174,15612,11187,26683,2018,3452,281,456,513,800,253,393,17,46,3082,5138,3,8,38,54,0,3,74,152,125,212,52,109,64179,180025,5264,..,69441,180025
CED216,54833,130328,2512,3693,346,619,2855,4314,2229,3098,31,59,0,0,0,6,19,33,2277,3191,163,225,284,437,25,39,60,132,529,836,133,262,60630,138935,11368,..,72004,138935
CED217,34035,97811,7727,15417,6287,15677,14010,31095,4896,8242,2354,4120,2397,3886,315,497,29,73,10003,16814,0,0,3,0,0,0,328,629,334,624,62,147,58440,146491,5907,..,64351,146491
CED218,47910,152093,3747,8724,2352,6401,6100,15123,383,710,131,228,137,255,0,0,20,38,677,1232,47,56,54,59,0,0,12,39,111,159,42,104,54844,168710,2577,..,57425,168710
CED219,51226,147650,2956,5198,580,1230,3532,6429,1139,1819,0,0,21,26,0,0,39,90,1201,1933,20,34,21,41,7,16,25,66,68,155,38,118,56076,156283,3362,..,59440,156283
CED220,22564,64644,8081,16776,5753,13607,13834,30377,8691,14745,9126,14547,7421,11764,5028,7801,16,43,30279,48898,0,0,0,0,4,4,397,662,399,660,79,144,67153,144731,12023,..,79176,144731
CED221,51370,165464,3686,8918,1130,3046,4824,11967,596,1084,25,39,0,0,0,0,24,55,646,1179,5,5,0,0,0,3,3,3,7,13,56,136,56904,178756,2221,..,59122,178756
CED222,46683,136491,6885,15988,5827,16462,12714,32453,5410,11572,901,1656,1370,2364,389,717,52,119,8112,16428,45,63,72,83,0,0,43,91,168,229,67,127,67744,185721,5930,..,73677,185721
CED223,55857,133576,3855,5564,170,308,4028,5874,428,648,15,50,15,38,10,21,20,43,493,807,192,279,152,218,15,29,104,230,461,758,140,321,60982,141332,10211,..,71190,141332
CED224,35786,105207,8874,16893,6351,15564,15231,32455,6381,11182,826,1323,1336,2112,346,577,15,32,8912,15232,61,75,161,194,0,0,138,221,363,497,50,100,60340,153490,4443,..,64785,153490
CED225,46165,127180,4423,7874,3791,8874,8219,16749,2415,4317,516,841,964,1547,299,464,37,67,4230,7238,0,0,0,0,0,0,41,85,42,85,52,107,58707,151355,4427,..,63136,151355
CED226,33286,98320,7974,16968,4862,12296,12836,29266,5607,9944,4840,8086,4022,6752,626,987,14,43,15109,25809,0,0,0,0,0,0,184,375,184,375,76,152,61481,153918,8123,..,69608,153918
CED227,50437,152202,3134,5580,1255,2837,4390,8420,308,492,20,29,0,6,3,7,19,44,350,576,11,18,120,141,3,3,20,37,153,203,46,109,55379,161503,2802,..,58178,161503
CED228,55830,174031,4452,10602,1392,3427,5850,14030,1059,2023,23,41,391,626,0,0,20,46,1502,2732,26,47,3,3,0,0,8,28,44,79,38,105,63257,190971,4238,..,67498,190971
CED229,9483,27261,7899,18306,7426,18090,15323,36396,9306,15784,13662,21920,8610,14101,21149,36583,50,109,52785,88501,0,0,3,7,0,6,652,1100,664,1113,146,266,78399,153537,19180,..,97579,153537
CED230,59020,141321,3344,5120,135,246,3479,5361,2161,3210,23,29,0,0,0,3,16,10,2202,3256,352,555,236,452,22,43,168,357,784,1405,195,364,65670,151713,9688,..,75359,151713
CED231,33489,92164,6177,12456,8151,19473,14327,31931,3684,6432,3056,4889,4383,7022,1313,2484,23,38,12466,20866,0,0,0,0,0,0,154,314,154,314,44,88,60475,145362,6500,..,66980,145362
CED232,49499,145017,2362,4448,673,1527,3036,5972,157,284,72,129,0,0,0,0,28,54,257,470,29,61,17,23,4,3,4,8,54,98,47,112,52897,151675,3429,..,56330,151675
CED233,5587,14355,10525,23610,10112,24510,20637,48120,4586,7890,7340,12186,14865,24863,38312,67091,36,72,65139,112103,0,0,3,4,0,0,475,983,478,987,229,361,92069,175935,26755,..,118824,175935
CED234,43910,125214,5502,11380,5786,15734,11286,27114,1833,3722,939,1664,2071,3688,2129,3897,29,77,6998,13051,5,3,0,0,0,0,16,40,19,39,56,126,62272,165543,6007,..,68281,165543
CED235,52400,126253,2697,3798,391,780,3092,4575,1156,1645,27,30,12,16,0,6,21,22,1211,1723,111,139,435,613,7,15,57,115,605,878,92,169,57402,133607,17666,..,75067,133607
CED236,54153,135609,4585,7054,174,330,4758,7382,108,166,13,16,4,3,0,0,19,38,142,224,337,479,345,515,17,36,277,456,977,1484,101,228,60137,144936,7160,..,67295,144936
CED237,48044,142952,3492,8027,3370,8254,6862,16279,1097,2369,364,562,518,812,0,0,22,44,1999,3784,0,0,0,0,0,0,16,44,18,50,35,67,56962,163135,3001,..,59960,163135
CED238,55477,131666,3301,4816,559,1050,3864,5869,821,1185,67,100,3,9,0,0,18,38,913,1331,112,174,168,263,25,48,110,245,416,741,109,227,60779,139830,14113,..,74892,139830
CED239,33821,92443,6898,13728,10403,24510,17298,38239,4362,7348,1606,2691,4274,6778,654,1024,41,107,10942,17948,0,0,0,0,0,0,269,622,269,622,71,153,62402,149406,7058,..,69463,149406
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED301,59841,165205,3022,5243,1919,3927,4940,9168,914,1394,102,139,92,129,45,61,46,86,1193,1810,130,203,92,145,11,19,44,113,272,478,114,221,66361,176889,5228,..,71590,176889
CED302,45329,130795,1785,2918,6014,13694,7798,16616,1467,2133,1334,2331,1483,2625,308,605,67,144,4659,7830,151,201,417,602,6,38,8,18,578,862,85,138,58455,156240,3281,..,61732,156240
CED303,49276,135126,3452,5404,3231,6285,6680,11688,1522,2420,347,583,619,1073,0,0,75,174,2559,4248,125,185,27,43,0,11,9,19,170,256,73,137,58756,151462,4444,..,63200,151462
CED304,27019,77335,310,531,4632,9608,4942,10137,7062,11670,10631,18137,12526,22010,15707,27013,511,890,46436,79716,3,10,3,5,5,10,60,127,71,152,286,449,78763,167791,10333,..,89093,167791
CED305,48568,126818,2734,4746,1104,1889,3835,6631,1844,2939,116,203,125,217,113,191,30,66,2232,3609,254,491,85,125,36,65,27,65,403,743,191,390,55233,138195,9609,..,64840,138195
CED306,47833,124844,3702,6023,1929,3443,5630,9469,2139,3583,540,940,220,400,188,348,15,37,3104,5312,456,790,338,554,40,80,49,120,882,1544,394,715,57840,141885,7714,..,65554,141885
CED307,47288,137573,2697,4352,4539,9554,7240,13899,547,922,121,187,10,21,0,0,133,277,818,1410,98,124,85,116,4,6,7,17,190,256,42,109,55577,153259,2383,..,57963,153259
CED308,43996,128568,7287,14556,9476,21599,16758,36153,1388,2327,3032,5253,2103,3790,2055,4012,68,152,8641,15536,260,380,175,287,3,9,25,51,467,713,234,475,70091,181450,5077,..,75174,181450
CED309,45912,125150,4058,6999,5146,10369,9204,17366,3326,5730,1278,2303,2058,3919,858,1529,219,439,7739,13917,341,570,128,199,12,27,16,30,499,817,200,396,63553,157651,5457,..,69011,157651
CED310,47325,129267,4800,7954,2635,5485,7434,13439,2215,3848,1696,2956,3496,6278,1097,1934,130,232,8627,15247,246,372,251,441,24,52,40,91,558,957,164,321,64100,159232,7654,..,71749,159232
CED311,50686,131209,1351,2442,1033,1832,2384,4274,1965,3218,219,319,214,341,89,132,23,59,2516,4062,527,891,151,272,60,105,48,107,789,1371,272,559,56639,141478,11222,..,67863,141478
CED312,53844,158981,3941,7664,4349,9707,8288,17375,1568,2771,174,245,93,186,0,10,105,240,1953,3445,130,187,218,277,14,25,10,21,364,515,114,238,64566,180552,3404,..,67973,180552
CED313,30732,88683,562,1006,7379,15839,7941,16847,6320,10633,8744,15392,7710,14264,9760,17681,44,85,32575,58065,0,0,28,52,0,0,37,74,69,128,199,346,71519,164071,7611,..,79122,164071
CED314,48994,129438,6582,10965,1718,3150,8297,14111,2214,3782,60,83,44,62,31,53,21,31,2372,4011,69,103,46,86,21,49,25,56,160,286,104,234,59929,148080,5111,..,65048,148080
CED315,47317,127109,4326,6843,3029,5165,7361,12012,1701,2692,1191,1914,1018,1811,587,1025,18,39,4520,7482,145,243,125,218,32,41,29,59,332,562,183,297,59711,147464,6689,..,66400,147464
CED316,51866,128557,3807,5916,1688,2862,5496,8777,2405,3713,165,267,435,746,3,13,22,42,3034,4783,799,1243,238,372,31,92,60,125,1132,1829,247,461,61775,144403,6450,..,68225,144403
CED317,52556,137019,2568,4782,606,1080,3172,5864,2088,3638,59,111,26,49,0,4,28,50,2201,3856,814,1521,191,304,303,494,135,275,1434,2594,527,1206,59892,150535,10019,..,69919,150535
CED318,43888,120953,3858,7141,3476,6459,7334,13604,5294,9440,3241,5831,866,1601,414,769,20,65,9840,17697,312,549,239,390,124,222,169,370,848,1537,564,1021,62465,154807,8159,..,70625,154807
CED319,42595,115292,1857,2990,6636,13634,8495,16629,4539,7572,3889,6581,2208,3857,1632,2684,55,117,12317,20813,0,3,113,128,3,9,35,76,156,213,74,132,63639,153074,3900,..,67540,153074
CED320,55452,153928,4953,8967,3468,6877,8424,15842,730,1197,276,388,185,305,0,0,214,427,1405,2314,334,465,377,521,10,23,36,77,754,1081,115,231,66152,173401,4629,..,70784,173401
CED321,51536,125517,2589,4012,264,512,2853,4523,993,1485,0,0,3,3,0,3,5,18,1003,1507,420,776,111,199,74,168,107,222,712,1365,371,786,56476,133696,10843,..,67316,133696
CED322,33422,97129,3630,7229,10859,25591,14491,32819,2522,4210,4506,8132,2586,4835,2540,4519,89,189,12240,21879,56,103,42,74,5,14,26,52,130,247,111,181,60399,152250,6411,..,66806,152250
CED323,29432,83590,4156,7839,9278,20466,13433,28306,4793,8842,7025,12485,5329,9715,11446,20625,50,122,28644,51788,395,532,158,216,0,0,64,147,623,900,333,573,72459,165155,14191,..,86644,165155
CED324,43216,126463,1176,2420,7551,18257,8735,20684,3545,5977,2378,4144,1145,2001,188,358,78,166,7336,12656,26,33,52,67,0,0,32,77,114,178,103,186,59499,160169,3858,..,63354,160169
CED325,51962,156101,1980,3531,5626,13235,7607,16773,406,562,205,321,51,84,0,5,93,229,754,1201,132,163,51,72,0,0,8,12,192,248,83,196,60592,174517,3327,..,63917,174517
CED326,52226,144755,3674,5835,6455,14393,10129,20227,2700,4075,887,1374,1532,2439,890,1627,70,146,6090,9656,178,233,300,434,0,5,21,50,498,723,95,172,69039,175532,4064,..,73103,175532
CED327,48521,150192,2100,4204,7839,18411,9935,22609,775,1438,229,356,30,48,68,116,51,111,1154,2077,71,90,41,58,0,7,7,13,115,163,82,172,59807,175219,3386,..,63194,175219
CED328,40589,118876,678,1033,2527,5576,3211,6605,3454,6347,5575,10551,3357,6661,2138,3992,53,116,14580,27664,0,0,0,0,3,10,9,21,14,29,152,298,58538,153470,4032,..,62572,153470
CED329,50948,126038,2173,3229,2086,3751,4259,6983,1890,2951,439,794,175,357,0,0,69,152,2571,4247,290,467,163,241,133,288,34,66,624,1069,288,512,58689,138847,9461,..,68147,138847
CED330,55753,163252,1607,2916,640,1399,2246,4317,220,500,9,13,7,17,3,11,168,376,410,912,163,245,76,148,45,120,71,178,356,690,168,332,58938,169500,4453,..,63385,169500
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,..,3,0
CED401,43800,117323,11948,23517,7154,15274,19099,38784,6830,12416,1880,3101,3306,5524,3164,5338,77,178,15257,26548,20,52,0,4,0,0,171,375,191,429,325,628,78685,183710,8155,..,86841,183710
CED402,60104,143898,4678,7763,109,206,4787,7971,1415,1985,0,0,18,25,3,11,10,18,1442,2035,195,350,218,347,31,70,116,281,560,1049,235,473,67134,155427,13760,..,80893,155427
CED403,46556,121329,12416,22759,3481,7589,15898,30345,6548,10457,799,1264,632,1067,292,468,29,56,8302,13313,28,54,12,23,3,3,105,195,147,278,166,298,71061,165560,5791,..,76850,165560
CED404,58016,136006,6788,12518,224,463,7009,12986,1418,1912,42,64,0,5,0,0,46,109,1506,2085,363,705,130,259,41,94,118,245,647,1300,311,561,67491,152939,20755,..,88244,152939
CED405,47774,122195,9879,18219,4992,10996,14874,29218,5293,8524,765,1215,862,1414,106,193,63,127,7083,11476,23,40,36,40,0,3,82,187,138,270,166,358,70040,163511,5584,..,75628,163511
CED406,57625,146410,4499,6836,946,1921,5444,8756,1019,1588,48,59,46,71,0,0,37,80,1151,1802,93,124,152,212,0,3,5,13,251,348,68,142,64539,157462,3440,..,67978,157462
CED407,56072,150773,4646,7664,1527,3375,6169,11041,1582,2463,363,670,321,552,0,0,31,58,2296,3753,12,29,0,0,0,0,15,23,26,59,93,184,64660,165806,3101,..,67766,165806
CED408,62212,154973,2563,3804,387,769,2952,4577,462,657,84,111,16,28,0,0,20,42,587,848,236,355,125,174,4,9,53,103,412,640,179,329,66339,161369,13475,..,79817,161369
