CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED604,39869,99663,1336,2040,662,1263,1993,3301,412,648,71,115,0,0,0,0,29,74,513,830,75,126,96,161,9,11,55,128,239,430,71,143,42677,104374,4278,..,46957,104374
CED605,40970,98630,894,1385,226,481,1124,1865,1551,2553,0,0,0,0,0,0,26,53,1578,2605,170,263,78,146,19,34,70,137,336,588,115,225,44115,103913,10653,..,54777,103913
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED701,25420,88721,3451,8287,1076,2336,4526,10619,880,1671,175,351,185,413,0,0,25,61,1262,2500,596,1240,165,291,172,419,49,91,975,2042,566,1087,32742,104964,6587,..,39325,104964
CED702,22107,66309,2393,4571,2146,4785,4536,9360,3983,8056,1823,3896,3085,6540,2592,5218,20,39,11514,23744,146,286,33,57,11,17,19,43,205,401,102,160,38465,99973,3950,..,42417,99973
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,0,..,3,12
CED801,41425,115173,5350,10128,3963,8611,9315,18737,1203,2270,1345,2642,2258,4076,1209,2129,156,309,6171,11427,9,10,69,117,0,0,5,8,84,137,72,134,57064,145606,3330,..,60393,145606
CED802,27051,75232,3155,6054,6512,14606,9671,20657,3828,6832,4484,7777,7132,11925,3467,5916,274,504,19183,32957,35,58,39,58,0,0,6,11,81,130,89,172,56079,129147,5850,..,61925,129147
CED803,38905,115471,5261,10911,4687,11752,9952,22665,605,1124,1922,3820,3243,6201,1526,2951,21,55,7321,14152,0,3,0,8,0,0,3,18,9,25,70,170,56249,152479,3011,..,59256,152479
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
