CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED594,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,121,119,168,141,96,101,60,11,3,825,121,119,168,141,96,101,60,11,3,825,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,218,270,367,321,228,208,122,30,6,1775,218,270,367,321,228,208,122,30,6,1775
CED597,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
CED601,..,463,469,110,137,167,145,49,14,1552,..,207,562,451,745,1381,1796,1481,749,7369,120,234,162,94,97,132,137,52,19,1050,8544,5734,6854,6184,6747,6983,6079,3517,1156,51800,..,229,4244,6124,6810,7547,6921,3603,617,36096,..,1216,3326,2019,1690,1280,625,154,21,10327,..,191,865,1304,1450,771,346,267,120,5316,17299,..,..,..,..,..,..,..,..,17299,..,4161,..,..,..,..,..,..,..,4161,..,3217,1473,520,431,205,31,0,0,5879,..,477,366,115,148,269,276,195,100,1951,..,436,635,125,70,57,37,14,5,1362,..,883,1339,318,303,370,290,114,35,3651,..,438,1274,1080,1669,2619,2925,2134,1045,13184,249,444,341,225,211,274,221,103,25,2105,17550,11694,13860,11830,12785,13399,11668,6587,1961,101330
CED602,..,173,220,81,115,169,154,50,10,966,..,218,479,344,787,1564,1850,1591,758,7596,175,210,166,96,119,180,156,75,22,1203,8548,5283,6038,5746,6764,7601,6768,3855,1206,51820,..,248,3501,5470,6632,8218,7923,4173,722,36892,..,1231,3340,1901,1880,1455,691,188,15,10704,..,198,905,1377,1378,671,339,253,156,5280,17112,..,..,..,..,..,..,..,..,17112,..,3738,..,..,..,..,..,..,..,3738,..,3353,1290,485,438,218,52,0,0,5834,..,434,214,102,178,317,235,170,70,1721,..,318,370,104,74,63,31,18,4,978,..,352,691,190,258,354,312,119,20,2289,..,434,1067,991,1802,2943,3181,2332,1042,13786,342,418,386,227,250,301,312,133,30,2392,17451,10724,11759,10846,12882,14543,13071,7382,2070,100725
CED603,..,827,1512,257,143,179,124,61,17,3120,..,221,667,609,780,1404,1741,1418,749,7581,126,217,200,95,91,123,92,34,16,1002,7772,6011,9634,6845,6454,6338,5413,3143,1184,52795,..,249,5409,6656,6364,6181,5571,2801,630,33867,..,932,4150,2339,1733,1312,634,192,23,11318,..,109,589,1196,1433,842,368,265,146,4949,15737,..,..,..,..,..,..,..,..,15737,..,4568,..,..,..,..,..,..,..,4568,..,2635,1507,517,394,221,38,0,0,5312,..,536,570,151,186,277,310,189,99,2317,..,658,1949,341,91,65,43,17,4,3177,..,1648,3581,650,330,380,253,98,25,6954,..,383,1428,1364,1654,2614,2769,1979,1013,13207,241,400,456,236,196,208,175,61,30,1999,15976,12120,19644,13448,12374,12101,10155,5603,1974,103407
CED604,..,217,462,101,110,146,119,49,10,1209,..,108,398,421,620,1255,1689,1420,693,6611,102,215,155,87,89,135,134,64,34,1018,9110,5199,7014,7051,6793,7208,6442,3574,1182,53586,..,171,4289,7447,7254,7936,7628,3772,692,39193,..,880,3633,2462,1937,1470,758,232,28,11400,..,110,642,1262,1433,853,358,239,149,5053,18530,..,..,..,..,..,..,..,..,18530,..,4541,..,..,..,..,..,..,..,4541,..,3242,1731,599,395,214,36,0,0,6210,..,444,309,128,148,330,313,192,102,1970,..,418,834,189,76,64,42,16,8,1642,..,469,1108,272,248,280,231,104,21,2735,..,210,853,869,1303,2204,2624,1985,928,10975,218,388,336,208,191,245,258,107,37,1987,18741,10887,13724,13431,12975,13590,12264,6643,1975,104241
CED605,..,114,171,64,120,218,167,50,14,913,..,137,361,287,623,1342,1694,1269,492,6194,156,243,148,93,112,186,164,71,24,1187,8890,5161,6174,6124,6931,8028,6845,3380,890,52422,..,190,3504,5793,7050,9035,8352,3828,603,38351,..,1165,3605,2482,2170,1806,928,203,14,12376,..,216,973,1366,1322,728,385,267,131,5388,17996,..,..,..,..,..,..,..,..,17996,..,3608,..,..,..,..,..,..,..,3608,..,3778,1626,615,480,215,36,0,0,6753,..,397,237,136,170,360,321,186,106,1920,..,366,290,117,100,77,51,17,7,1014,..,249,425,173,272,423,356,115,28,2046,..,263,894,842,1513,2817,3150,1988,729,12209,281,473,381,227,264,370,298,140,33,2467,18279,10705,11929,11754,13344,15837,13879,6753,1648,104128
CED694,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,30,51,35,43,21,33,9,6,0,220,30,51,35,43,21,33,9,6,0,220,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,69,109,98,89,75,63,25,17,0,530,69,109,98,89,75,63,25,17,0,530
CED697,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,..,216,459,158,146,165,78,31,4,1268,..,202,611,398,572,793,516,201,60,3352,239,242,303,181,186,176,89,22,6,1439,11958,7002,9246,7935,6745,5335,2821,878,189,52105,..,1300,5958,7711,6301,5041,2795,778,79,29965,..,1244,3855,2645,2083,1243,442,84,10,11602,..,360,1132,1382,1212,754,397,170,49,5465,24268,..,..,..,..,..,..,..,..,24268,..,2951,..,..,..,..,..,..,..,2951,..,4651,1898,671,329,92,11,0,0,7653,..,2017,1215,868,905,958,664,255,88,6970,..,390,503,191,167,142,59,28,6,1473,..,448,956,369,350,349,191,70,8,2742,..,436,1328,986,1337,1686,1187,426,93,7483,506,495,565,371,344,302,191,44,10,2840,24780,14296,17407,15195,13032,10563,5943,1857,337,103407
