CED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED236,2393,2934,6821,6642,7624,6702,1827,204,24,35162,1623,774,1807,1723,1842,3686,7420,5075,2260,26221,278,267,684,652,608,683,659,608,409,4859,4293,3977,9310,9023,10082,11072,9904,5888,2694,66241,1148,3483,8641,8144,9693,7835,1886,228,22,41080,2813,1913,3773,4085,4294,4643,2060,348,34,23951,374,273,789,519,587,822,330,42,8,3744,155,155,335,273,293,239,131,54,25,1660,4482,5830,13539,13018,14861,13549,4401,669,81,70437,145,241,375,284,305,263,21,6,0,1638,378,173,207,166,158,201,53,11,0,1348,523,414,586,446,465,466,76,9,0,2984,5012,6243,14121,13469,15325,14010,4475,676,81,73415,3556,1451,2803,2745,3261,6395,13924,9773,3756,47664,639,600,1436,1303,1361,1441,1375,1134,637,9934,9207,8291,18361,17517,19953,21840,19778,11593,4479,131014
CED237,2112,4059,9602,9390,7479,4936,899,51,3,38535,2320,1047,2941,3187,2740,4231,5948,3629,1455,27494,181,253,614,558,380,325,360,345,305,3323,4611,5358,13158,13132,10603,9501,7206,4030,1762,69353,465,3281,12372,12819,9839,6308,1097,32,6,46208,2462,3809,5601,5738,4446,3481,971,89,5,26594,288,408,955,768,479,499,132,14,0,3545,62,214,545,390,232,141,53,16,3,1658,3282,7705,19474,19707,14999,10426,2251,155,10,78009,140,417,825,622,478,313,36,0,0,2835,774,442,415,355,254,198,40,0,0,2476,908,860,1238,978,729,517,75,5,0,5310,4185,8567,20711,20686,15726,10936,2326,156,10,83315,5020,2157,4383,4570,4344,6631,10662,6689,2458,46911,398,597,1350,1173,839,671,645,603,457,6715,9602,11325,26442,26426,20910,18236,13637,7448,2925,136944
CED238,2406,2623,6376,6646,7850,7377,2253,313,40,35874,1472,537,1418,1363,1606,3716,7590,5086,2424,25214,240,202,490,542,567,614,650,525,379,4214,4123,3364,8280,8556,10016,11711,10494,5927,2849,65309,1160,3224,8012,7650,9378,7967,2266,373,34,40066,2900,1754,3849,4432,4759,5469,2543,463,56,26218,381,251,863,632,671,967,379,62,10,4212,142,124,303,256,245,243,184,93,26,1611,4580,5352,13024,12969,15058,14642,5374,992,125,72115,83,173,245,198,265,207,27,3,0,1190,261,124,129,146,149,214,46,10,0,1082,337,297,373,348,414,421,75,13,0,2274,4920,5647,13393,13318,15475,15062,5448,1001,125,74389,3141,979,2310,2349,3037,6569,14363,9371,3843,45963,544,447,1054,1106,1187,1272,1335,959,583,8488,8601,7078,16759,16776,19697,22905,21143,11334,4556,128845
CED239,1534,4619,14379,10523,7508,4583,870,67,6,44081,1532,986,2249,2089,1793,2713,4224,3773,2473,21828,130,247,818,495,337,263,245,285,297,3117,3197,5846,17440,13111,9634,7560,5333,4127,2776,69028,239,2861,17819,14038,9761,5527,835,49,4,51126,1878,4692,8015,5869,4153,2994,924,105,4,28637,284,640,1406,1021,489,448,131,13,0,4433,32,221,443,265,155,87,32,16,6,1254,2428,8419,27688,21199,14552,9055,1923,182,14,85448,70,358,787,504,458,269,37,0,0,2488,473,467,487,260,208,152,44,0,0,2102,551,828,1272,767,665,426,82,0,0,4597,2978,9242,28956,21965,15219,9479,2004,183,11,90043,3308,1889,3612,3194,3061,4637,7386,6391,4014,37493,263,535,1695,1090,728,550,468,511,460,6297,6556,11671,34271,26247,19003,14656,9855,7085,4486,133834
CED294,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
CED301,3467,4506,10442,9665,8784,6030,1100,110,3,44104,2237,1150,3088,2560,2584,4074,6400,3743,1285,27121,346,382,817,723,605,461,383,407,274,4401,6050,6038,14344,12944,11972,10573,7885,4265,1565,75623,1119,4451,12901,12778,11607,7441,1154,95,11,51561,3423,2839,5084,4899,4017,3527,1082,161,10,25050,719,732,1678,1162,1064,947,266,24,3,6591,125,255,465,362,270,179,47,27,6,1739,5386,8281,20128,19207,16957,12092,2551,310,25,84937,387,640,794,591,503,356,37,0,0,3305,857,367,438,286,229,222,58,3,0,2452,1238,1010,1233,872,729,577,92,0,0,5763,6625,9286,21366,20083,17689,12673,2647,311,27,90702,4957,2077,4699,4110,4297,7089,11978,7018,2123,48341,709,842,1750,1496,1270,1000,802,707,407,8968,12294,12202,27817,25687,23248,20761,15418,8034,2551,148016
CED302,2953,3876,8491,10585,9659,6079,1275,130,16,43061,1879,678,1479,1847,1809,3098,5793,4067,1872,22504,133,150,385,361,324,267,235,271,257,2381,4962,4705,10352,12793,11785,9443,7302,4463,2137,67952,623,3242,10661,13808,13395,7638,1220,89,3,50677,3452,3174,4153,5435,4550,3478,1372,211,7,25829,831,792,1261,1058,811,855,279,26,0,5913,50,127,280,220,172,110,40,22,15,1021,4959,7337,16351,20514,18927,12077,2908,346,29,83448,136,329,484,380,401,337,37,0,0,2104,758,289,247,246,181,173,64,3,0,1953,891,616,729,622,580,511,103,4,0,4057,5851,7957,17083,21137,19510,12587,3012,350,30,87508,4175,1474,2276,2549,2744,5075,10295,7300,2962,38845,261,371,840,793,701,547,460,471,401,4847,10283,9801,20196,24475,22957,18209,13766,8122,3392,131198
CED303,3061,3160,6707,8431,9333,7171,1539,138,5,39546,1645,503,1276,1454,1771,3932,8078,5004,1831,25500,117,135,306,334,342,325,350,374,478,2763,4822,3793,8289,10219,11445,11433,9969,5521,2316,67810,940,3208,8128,10666,12094,8618,1436,84,3,45180,3580,2443,3450,4376,4468,4301,1697,227,10,24547,750,634,1157,965,1020,1128,353,30,3,6035,70,118,230,211,214,145,40,15,3,1040,5335,6405,12968,16214,17790,14192,3523,353,23,76809,182,312,377,319,355,334,64,0,0,1946,617,174,209,175,165,210,67,12,0,1626,796,489,585,494,514,547,135,8,5,3576,6134,6893,13554,16709,18307,14744,3657,362,23,80382,3711,995,1891,2167,2730,6394,14690,9419,3082,45077,258,298,634,676,744,713,706,661,690,5384,10104,8185,16086,19550,21779,21854,19053,10448,3799,130844
CED304,2792,8222,18234,11283,9587,5861,1395,158,16,57557,1796,1362,2063,1840,1676,2428,4081,2692,1279,19223,155,532,1186,677,389,372,264,200,165,3945,4746,10119,21481,13807,11663,8659,5743,3051,1462,80722,391,6106,23489,16524,13785,7748,1436,140,6,69627,2909,6062,8773,5235,4109,3253,1495,325,23,32177,1090,1763,2626,1309,966,776,251,26,5,8817,47,228,470,222,132,77,32,5,0,1226,4443,14162,35357,23293,19001,11851,3215,492,39,111844,80,454,873,605,521,359,52,0,0,2938,610,601,510,265,195,192,67,4,0,2447,693,1053,1384,867,713,553,122,10,0,5390,5132,15217,36745,24161,19710,12402,3333,500,38,117232,3841,2675,3620,2816,2844,4268,7420,4831,1963,34285,289,989,2612,1562,1035,857,579,395,262,8578,9264,18888,42976,28528,23591,17525,11329,5728,2260,160098
