CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED506,0,10,11,36,27,13,17,9,0,122,3,42,103,320,206,142,54,16,0,892,0,15,10,93,21,13,4,0,0,153,0,0,0,55,0,0,0,0,0,64,4,35,40,34,9,9,0,0,0,132,0,0,0,14,3,5,0,0,0,27,5,8,6,67,36,53,29,12,0,224,0,13,15,94,47,32,14,5,4,221,0,0,9,30,22,34,27,9,0,127,0,8,29,117,93,75,21,3,0,362,5,46,104,690,236,234,169,100,26,1612,667,1660,1574,5150,2416,2103,1134,534,138,15382,6791,14322,11261,30120,14618,13697,9150,3985,968,104921,0,0,0,8,0,0,0,0,0,8,5616,11379,7970,18427,8434,7658,5365,2346,821,68011,0,0,0,15,3,0,0,0,0,23,0,0,0,12,0,0,0,0,0,22,0,4,0,41,9,6,4,0,0,64,0,0,0,28,4,0,0,0,0,34,3,14,3,93,26,29,15,0,0,190
CED507,0,5,6,14,12,21,11,5,0,81,8,79,154,299,262,190,97,38,14,1156,0,9,0,24,10,10,4,0,0,55,0,5,5,80,0,0,0,0,0,89,0,16,19,15,3,0,0,0,0,60,0,0,0,8,0,0,0,0,0,10,4,23,22,45,45,43,66,16,4,269,0,11,4,33,19,10,7,0,0,89,0,0,3,26,22,39,38,18,4,152,0,17,27,66,87,72,53,10,3,331,7,61,64,348,171,172,150,96,22,1089,181,506,407,1417,868,716,574,318,160,5151,4483,11274,8237,18312,10511,10077,9124,4499,1301,77818,0,0,5,13,3,0,0,0,0,24,4009,9334,6478,13632,7724,7374,6375,3122,1289,59343,0,0,5,14,3,5,0,0,0,19,0,0,0,4,0,0,0,0,0,12,0,0,0,43,14,3,0,0,0,63,0,0,0,5,0,5,0,0,0,8,0,3,13,107,32,32,19,0,3,217
CED508,0,39,46,189,72,70,62,18,0,499,7,57,148,454,263,188,86,44,11,1243,0,5,13,69,39,21,23,3,0,180,4,4,6,53,5,4,3,0,0,72,0,31,21,35,4,0,5,0,0,109,0,0,0,9,13,3,0,0,0,31,13,38,36,144,59,63,47,22,5,425,0,7,9,36,30,23,10,3,0,117,0,0,7,61,43,50,35,12,3,214,0,12,36,108,67,49,20,9,0,310,18,125,200,947,494,535,440,289,61,3099,152,341,380,1466,602,464,332,233,132,4101,5470,10124,9415,24350,11080,9362,6971,3603,1208,81582,0,0,0,11,3,0,0,0,0,18,4740,8459,7282,14569,6588,5259,3948,1927,833,53605,0,6,5,52,8,3,0,0,0,80,0,0,3,73,39,60,34,17,4,224,3,7,3,142,21,11,8,4,0,201,0,0,0,14,8,0,0,0,0,29,0,13,32,152,51,58,25,6,3,346
CED509,0,18,29,64,54,42,26,16,4,251,9,76,165,406,287,179,99,47,6,1272,0,11,25,89,52,28,20,7,0,228,0,0,0,26,0,0,0,0,0,28,0,34,32,60,7,3,0,0,0,137,0,0,0,9,5,3,4,0,0,20,3,33,26,68,27,65,52,22,4,303,0,8,25,156,94,70,29,0,0,387,0,4,11,32,41,53,32,25,3,208,0,21,85,163,124,103,43,16,8,553,10,131,297,1040,443,333,245,143,58,2693,172,428,388,1380,690,556,295,232,128,4258,6132,12564,10808,24459,11588,9746,7103,3821,1127,87342,0,0,19,115,25,13,6,6,0,194,5408,10297,7454,14427,6816,5211,4012,2038,709,56367,0,3,0,32,4,9,9,0,0,50,0,0,0,47,19,13,14,3,0,102,0,0,5,44,13,4,3,0,0,71,0,4,3,26,10,6,7,0,0,55,0,15,10,55,21,30,25,4,6,164
CED510,5,30,27,68,46,48,65,22,7,322,18,189,455,799,640,457,232,57,15,2872,0,5,14,42,8,13,20,8,0,109,0,3,4,23,3,0,0,0,0,32,0,18,21,24,7,0,0,0,0,75,0,0,5,13,0,5,3,0,0,27,12,52,56,89,60,49,41,15,4,392,0,4,10,30,49,24,29,5,4,152,3,19,42,98,121,72,88,46,10,484,0,0,58,154,162,170,74,21,8,658,10,123,180,581,376,418,366,184,36,2268,64,174,251,814,488,410,284,165,76,2724,4476,11377,10383,18564,11510,10774,9078,3892,1131,81170,0,0,0,18,3,5,7,5,0,39,3957,9199,6739,10961,5883,5407,4685,1952,912,49700,0,0,3,4,0,0,4,0,0,13,0,0,0,10,10,16,6,0,0,54,0,5,0,135,23,11,6,0,0,186,0,3,0,7,5,5,6,0,0,22,3,25,28,117,56,49,26,10,8,323
CED511,3,0,0,15,26,7,9,4,0,69,7,76,101,293,208,131,72,27,7,931,6,8,6,25,16,6,9,5,0,73,0,6,0,26,0,0,0,0,0,29,0,44,53,38,10,0,4,0,0,149,0,0,0,8,0,3,0,0,0,18,0,8,12,36,27,44,42,21,3,201,0,8,5,36,16,7,0,4,0,77,0,0,0,18,20,33,34,20,3,127,0,14,27,108,71,60,51,7,0,342,19,55,76,451,167,166,164,104,30,1231,423,1039,969,2653,1477,1464,1103,574,188,9882,5210,11507,9627,21335,11935,13055,10776,5315,1533,90288,0,0,17,31,8,0,0,0,0,62,4454,9273,6816,13985,8012,8190,6608,3366,1346,62054,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,13,0,5,6,34,7,4,0,0,0,50,0,0,4,12,3,0,0,0,0,19,0,6,8,68,28,43,19,9,0,189
CED512,3,10,37,95,65,57,40,11,0,321,20,252,545,1023,765,361,152,54,11,3189,6,6,7,55,19,12,11,6,0,120,4,5,0,26,6,4,4,0,0,41,7,41,53,42,3,5,0,0,0,156,0,5,7,17,10,4,0,0,0,41,4,17,39,68,41,38,24,15,4,248,4,18,35,215,180,143,60,9,0,665,0,17,65,129,78,59,44,23,13,433,0,13,100,225,179,146,41,12,5,732,6,150,394,1110,605,494,270,129,33,3198,198,455,457,1384,703,497,215,130,46,4082,6521,14042,11798,24599,12053,8778,5571,2861,834,87063,0,3,24,102,49,28,15,4,0,225,5990,10966,6920,13132,4842,3404,2482,1368,536,49631,0,0,3,30,3,8,5,0,0,49,0,0,8,34,33,15,6,4,0,98,0,10,8,110,24,10,0,0,0,160,0,4,5,48,13,11,4,4,0,92,0,12,16,72,30,15,13,4,0,171
CED513,5,24,36,275,93,56,53,20,3,573,3,22,105,524,216,173,117,45,11,1224,5,16,32,222,45,30,26,17,3,400,0,6,3,144,9,4,0,0,0,170,10,33,47,114,28,13,0,5,0,242,0,0,4,57,11,16,5,0,0,103,11,39,48,176,69,67,50,12,3,484,0,43,101,307,264,255,167,63,28,1231,0,0,5,67,34,26,28,17,4,188,0,0,30,155,43,36,23,7,0,289,38,215,308,2181,516,381,311,179,74,4195,171,307,542,2387,739,582,389,265,143,5509,5011,8105,9455,33935,11513,9842,7045,3719,1526,90157,0,0,0,20,4,5,5,0,0,35,4298,6594,6778,16027,6262,5179,3749,2061,1177,52122,0,3,8,37,7,6,9,0,0,58,0,0,3,79,31,62,42,11,5,233,3,16,23,392,30,13,7,3,0,494,0,4,9,30,18,10,0,3,0,73,4,8,21,202,61,41,28,11,3,378
CED514,10,26,70,331,125,115,96,32,12,821,7,31,110,385,168,123,80,26,5,937,9,23,63,356,90,41,37,15,4,641,4,4,10,202,9,4,13,5,0,244,5,39,59,125,25,3,12,0,0,272,5,3,5,72,42,43,12,6,6,187,13,37,47,118,45,48,45,17,3,362,11,39,60,197,93,57,46,14,4,514,0,4,7,31,15,37,28,20,8,157,7,20,51,174,72,61,25,4,4,412,49,310,444,1987,485,349,247,163,68,4096,216,416,683,2171,764,634,377,290,214,5767,5730,10116,12644,32954,11255,9801,7455,3751,1479,95172,0,21,58,180,47,18,12,6,0,356,5008,7538,7813,13690,5588,4952,4283,2214,1209,52285,5,36,28,175,25,9,4,0,0,275,0,0,0,30,11,17,7,3,0,67,0,8,14,182,16,13,5,4,0,241,0,4,12,39,14,8,10,0,0,92,3,4,16,122,27,27,19,3,10,229
CED515,4,143,280,449,281,257,238,94,19,1772,5,61,213,349,302,262,171,66,23,1450,0,74,157,277,214,129,107,37,15,1016,0,24,9,117,20,15,17,0,0,210,3,29,39,39,23,6,11,3,0,153,0,8,6,27,20,10,8,0,0,74,13,69,75,93,48,37,51,12,3,397,3,22,34,107,84,66,36,9,5,362,0,3,11,39,38,43,49,34,10,229,0,5,48,86,91,82,43,16,5,382,17,287,321,846,427,405,340,217,71,2935,85,219,276,875,436,388,291,207,156,2932,4571,12544,12280,22051,12073,10644,9085,4819,1824,89890,0,6,10,40,17,5,8,6,0,95,4080,9579,7779,9976,5665,5285,4602,2672,1524,51151,0,34,19,136,43,8,5,0,0,251,0,0,4,16,7,15,6,0,0,52,0,5,17,85,21,9,9,0,0,141,3,0,5,20,4,5,5,0,0,44,5,22,20,84,45,28,18,5,0,218
