CED_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
CED594,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,21,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,3,6,0,0,0,0,6,3,0,10,49,9,15,7,3,0,102,31,31,87,456,250,169,93,35,9,1156,149,244,414,1753,842,667,444,118,14,4639,5,0,0,0,0,0,0,0,0,13,119,194,247,755,298,267,167,20,4,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,13
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,14,0,0,14,110,46,25,4,0,0,197,0,0,30,262,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,0,8,8,29,3,7,3,0,0,65,0,4,21,44,43,26,18,7,4,167,3,10,12,91,11,11,0,0,0,137,0,6,0,35,0,0,0,0,0,45,0,14,3,14,0,0,0,0,0,34,0,0,0,6,0,3,0,0,0,17,3,11,13,39,30,28,17,12,4,148,0,10,18,61,6,3,0,0,0,101,0,0,0,9,5,11,14,18,0,58,0,0,5,3,4,8,0,6,0,33,10,56,58,350,143,116,111,90,32,957,119,266,378,780,370,443,420,250,97,3131,2873,6587,6569,13754,6517,6967,6197,3437,1053,53949,0,6,16,42,15,9,4,0,0,86,2585,5586,5220,10318,5820,5984,5032,2807,1256,44612,0,0,8,26,0,0,0,0,0,37,0,0,0,4,3,0,0,0,0,3,0,0,0,21,4,0,4,0,0,28,0,0,0,0,0,0,0,0,0,8,0,5,7,42,23,17,3,8,0,118
CED602,0,5,0,0,5,3,3,3,0,18,0,4,16,39,31,33,25,10,6,153,4,12,11,62,16,4,4,0,0,109,0,4,0,47,0,0,0,0,0,51,0,6,4,5,3,0,0,0,0,21,0,0,0,4,0,0,3,0,0,7,0,8,10,25,28,27,31,13,0,135,0,3,0,14,3,0,3,0,0,32,0,0,0,3,5,10,12,13,5,49,0,0,0,9,10,3,0,0,0,26,5,20,32,159,63,66,90,74,27,537,126,325,309,747,505,544,523,359,128,3570,2850,6571,5868,11846,6723,7618,6985,3872,1092,53421,0,0,0,0,0,0,0,0,0,0,2585,5807,5186,10333,6146,6696,5712,3085,1314,46856,0,4,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,9,20,13,10,12,5,4,70
CED603,0,4,23,31,7,12,4,3,0,84,0,7,20,68,38,33,27,15,3,220,0,6,18,228,22,6,5,7,0,295,0,4,5,101,3,7,0,0,0,122,0,19,26,41,8,0,5,0,0,95,0,0,0,8,3,0,0,0,0,16,7,20,15,94,42,45,46,16,4,290,0,22,54,211,17,7,11,3,0,320,0,4,0,12,11,17,9,7,5,67,0,7,10,15,11,6,0,0,0,51,18,103,125,596,183,167,131,89,43,1442,82,225,227,764,301,297,261,196,81,2439,2640,5946,6747,17779,6387,6211,5213,2786,984,54689,0,0,10,20,14,0,5,0,0,53,2349,4842,5174,9646,5238,5198,4345,2471,1148,40419,0,6,12,99,0,0,0,0,0,121,0,0,0,8,5,3,8,0,3,23,0,0,4,73,5,0,0,0,0,82,0,0,0,20,4,0,0,0,0,32,0,7,11,51,36,24,15,9,0,145
CED604,0,10,6,16,12,9,5,0,0,57,0,22,38,106,69,35,34,19,7,323,0,11,6,95,7,3,4,0,0,133,4,5,0,37,3,0,0,0,0,49,5,8,5,19,6,4,0,0,0,46,0,0,0,11,0,4,4,3,0,19,0,27,24,47,33,48,42,23,3,248,0,13,9,81,3,0,0,0,0,111,0,0,3,4,9,18,16,13,6,58,0,0,3,12,17,10,16,5,0,58,4,50,46,236,99,110,108,72,18,742,78,252,233,530,277,345,361,234,111,2416,3090,6948,6029,14153,6626,6920,6376,3437,1023,54604,0,0,0,0,0,0,0,0,0,3,2733,6035,4798,10797,5783,6062,5195,2745,1121,45281,0,0,3,34,0,0,0,0,0,48,0,0,0,5,0,4,0,0,0,3,0,4,0,94,3,0,3,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,53,24,24,28,10,0,140
CED605,0,7,3,4,8,3,3,0,0,33,0,9,7,40,18,29,25,6,0,134,0,0,4,43,6,4,5,3,0,63,0,0,0,12,0,0,0,0,0,13,0,0,3,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,7,16,37,23,17,30,18,3,146,0,0,0,15,0,0,0,0,0,24,0,0,0,6,10,16,18,9,7,65,0,0,0,15,9,11,7,3,0,39,3,9,22,187,67,75,99,74,18,555,167,367,359,843,521,633,665,353,103,4006,3041,6891,6004,12496,6950,8544,7797,3690,912,56331,0,0,0,7,0,0,0,0,0,5,2670,6108,5035,11018,6231,6966,5670,2667,880,47245,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,3,0,0,3,33,7,17,21,4,0,91
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,15,0,8,11,24,14,26,40,4,0,131,21,50,108,234,130,104,90,18,0,758,0,0,0,0,0,0,0,0,0,0,19,33,76,135,56,60,32,10,4,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,0,0,3,16,11,11,15,0,0,53,0,14,32,75,51,26,19,6,0,212,0,10,4,91,23,9,8,3,0,141,0,0,3,32,0,0,0,0,0,39,3,11,14,50,4,3,0,0,0,91,0,0,0,8,3,0,0,0,0,7,15,51,31,199,52,62,15,9,0,441,3,9,23,68,30,44,10,0,0,180,0,0,0,9,5,10,0,0,0,26,0,9,25,77,44,31,7,3,0,203,13,55,87,539,181,99,91,46,9,1120,275,563,678,1924,871,790,471,162,17,5750,4561,9258,8933,19716,7786,6430,3763,1210,198,61863,0,0,0,7,0,0,0,0,0,7,3821,7789,6872,13991,5571,4353,2271,688,193,45553,0,5,9,29,0,0,0,0,0,40,0,0,0,4,0,0,0,0,0,7,0,3,0,21,3,0,0,0,0,35,0,3,0,23,3,12,3,0,0,47,0,0,3,40,12,15,10,0,0,86
CED702,0,16,0,31,10,15,14,4,0,96,5,33,30,111,49,30,11,9,0,282,5,43,36,312,57,34,23,15,3,531,6,16,0,89,4,3,0,0,0,121,4,28,44,67,24,17,0,0,0,184,0,0,0,3,5,9,0,0,0,24,6,17,9,57,29,20,14,10,4,172,6,44,50,176,49,44,29,7,0,393,0,0,7,26,7,0,10,0,3,48,0,8,10,59,24,11,3,0,0,126,19,148,148,585,331,274,209,125,41,1879,255,604,604,1766,678,483,306,102,42,4838,3860,7524,6677,18683,7111,5712,3760,1434,303,55064,0,0,0,5,0,0,0,0,0,7,3251,5558,4209,10059,4095,3255,1935,703,161,33220,0,15,38,150,14,8,6,3,0,231,0,0,0,9,5,6,3,0,0,20,0,4,3,69,3,3,0,0,0,89,0,9,7,44,18,4,4,5,0,98,0,0,0,64,15,9,16,7,0,112
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,22,3,3,4,3,0,38,23,17,39,180,97,82,47,4,0,480,89,166,113,602,311,300,205,33,6,1826,0,0,0,0,0,0,0,0,0,0,64,97,90,349,161,167,67,14,4,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,3,0,0,0,22,0,0,12,41,18,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,0,20,13,44,30,17,18,10,0,158,3,27,41,87,73,42,34,11,8,324,0,14,21,153,80,74,80,34,4,463,0,4,0,8,8,7,0,3,0,37,4,14,21,56,8,14,9,3,0,136,0,5,0,13,14,3,6,0,0,46,17,59,60,130,63,55,39,20,0,447,0,11,17,69,74,98,51,14,6,339,0,0,5,26,13,11,14,12,7,89,0,5,13,40,26,14,4,0,0,109,14,157,174,755,380,388,315,219,81,2485,107,300,268,784,304,278,242,192,89,2571,4785,10171,8955,21800,9592,8586,6654,3475,1071,75080,0,4,4,27,0,12,4,0,0,52,4213,8376,6801,14729,7043,6247,4683,2374,838,55303,0,12,6,123,37,22,13,0,0,212,0,0,0,19,5,6,11,12,6,65,0,3,0,49,10,5,3,0,0,72,0,0,6,18,10,5,6,4,0,50,0,12,9,85,35,36,27,9,6,223
CED802,3,21,51,68,27,14,6,4,0,195,0,13,72,117,68,31,34,9,0,356,3,20,42,189,58,52,23,17,3,404,0,12,16,102,16,3,0,0,0,152,0,14,39,85,16,11,5,0,0,173,0,0,0,25,10,9,10,0,0,60,22,107,119,259,102,76,54,35,4,783,3,22,53,182,90,91,47,13,9,516,0,0,0,10,16,11,21,13,8,75,0,0,5,32,16,18,7,4,0,84,27,193,246,1190,362,259,191,144,61,2682,100,220,852,1274,386,391,299,184,91,3806,3173,7362,11837,23618,8437,7127,5548,3122,1223,71449,0,0,8,23,7,3,3,0,0,52,2822,5769,8831,13870,5614,4748,3795,2254,1127,48827,0,8,24,133,20,9,3,4,0,209,0,0,3,14,7,10,5,3,0,54,0,4,12,77,14,0,3,5,0,116,0,9,9,36,10,12,8,3,0,87,3,24,26,127,78,54,28,8,0,347
CED803,7,19,14,66,48,20,11,5,0,193,0,37,65,136,108,49,31,11,3,441,3,32,71,307,127,107,70,25,8,748,0,4,5,82,7,7,0,0,0,112,3,20,45,86,21,9,4,3,0,196,0,0,4,39,8,8,0,0,0,62,9,52,59,128,60,37,24,9,4,379,8,23,62,316,171,164,85,17,14,855,0,0,3,11,9,18,15,11,3,74,0,3,12,71,39,17,4,0,0,150,19,197,264,1154,447,332,238,140,42,2841,172,322,315,976,298,205,117,82,19,2505,5864,11627,9753,27715,9924,6370,4581,2268,593,78697,0,9,26,91,27,15,7,3,0,182,5156,9285,6853,14646,6007,3892,3073,1454,434,50812,3,23,44,321,69,47,9,0,0,516,0,0,0,21,21,28,11,14,4,100,0,4,3,89,26,7,6,0,0,143,0,0,13,47,24,17,19,8,0,120,4,6,13,78,46,19,14,3,0,176
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,14,0,0,8,25,14,13,7,0,0,75,18,13,66,125,53,38,21,6,0,336,0,0,0,0,0,0,0,0,0,0,8,5,64,43,17,23,3,3,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
