CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED111,854,1232,2084,8589,10470,19060,7,7,17,624,707,1331,144,150,292,17069,19303,36372,53,77,126,3565,3634,7198,226,316,545,75,94,170,179,244,424,159,143,306,260,310,564,568,728,1294,1243,1473,2717,132,191,317,79,102,184,1624,2243,3870,2262,2414,4675,49,49,99,36909,42641,79549,1047,743,1787,2073,1870,3945,76,71,148,8,8,19,135,125,257,203,310,510,337,444,788,33002,29937,62935,334,295,632,136,228,366,33473,30459,63932,4797,4647,9439,79564,82109,161676
CED112,526,871,1403,12418,15232,27652,3,9,15,1082,1379,2457,83,91,176,16953,19652,36602,36,70,108,534,570,1105,264,370,632,172,186,361,125,154,277,81,82,163,699,774,1475,659,832,1487,1386,1674,3055,137,175,317,309,359,668,1546,2155,3697,1658,1861,3522,57,66,126,38213,45685,83897,526,457,983,373,315,687,72,69,133,15,22,44,132,144,278,215,276,490,360,447,804,32865,30113,62984,255,193,448,124,210,334,33244,30518,63765,5432,5616,11052,78744,83974,162722
CED113,538,831,1370,11856,13488,25343,4,3,3,700,727,1423,101,103,212,16390,17498,33892,14,23,35,1005,970,1977,252,354,607,84,93,181,291,374,670,29,25,57,265,277,541,456,533,987,1414,1549,2965,119,119,231,184,189,365,1712,2171,3879,1552,1777,3324,43,57,91,36466,40325,76790,960,824,1787,618,507,1125,65,65,126,27,25,52,438,361,796,233,333,566,697,715,1416,34139,31120,65262,301,230,531,115,186,300,34561,31533,66094,6910,5919,12825,80807,80724,161530
CED114,427,632,1065,10962,12978,23940,0,0,0,710,775,1483,190,195,376,21254,22790,44048,55,80,137,243,256,500,189,268,463,129,169,291,1054,1216,2263,31,35,63,227,232,464,693,851,1543,2558,2863,5427,107,143,257,290,358,648,3331,4163,7494,1447,1640,3086,37,37,70,43515,49048,92566,1586,1341,2920,792,575,1361,34,31,65,14,10,26,1032,858,1889,169,217,387,1213,1088,2304,29832,27065,56899,176,121,291,67,90,158,30080,27269,57349,8130,7350,15482,85777,87339,173116
CED115,15072,18130,33205,2482,2707,5183,2333,2505,4840,1012,1097,2107,5,3,12,21618,22945,44561,18,13,33,4090,4169,8262,194,269,462,275,238,514,72,79,148,639,628,1265,292,341,633,546,635,1183,439,479,917,29,38,65,226,233,462,426,438,866,3093,3287,6385,51,54,108,37857,40144,78003,1688,1624,3309,6722,6311,13034,25,10,38,5,3,6,298,243,537,1959,2045,4004,2259,2291,4552,14874,12306,27183,79,75,153,59,69,132,15020,12451,27472,7044,6877,13925,85684,87839,173523
CED116,508,767,1271,13504,15887,29384,0,4,3,1033,1202,2234,4,0,5,14506,16454,30957,58,56,112,571,513,1081,358,461,819,71,89,160,209,239,443,20,28,47,176,191,366,459,601,1056,1867,2166,4030,154,160,309,86,97,185,1968,2627,4590,1556,1805,3367,27,46,76,36608,42623,79234,370,319,685,228,193,419,75,93,169,27,29,53,64,60,126,187,304,488,280,387,671,35045,32261,67307,265,194,461,136,217,353,35440,32675,68114,7177,6003,13175,80692,83053,163743
CED117,1851,2680,4534,4149,4899,9052,7,16,28,325,362,684,0,0,0,14599,16522,31123,8,7,13,2768,3100,5863,104,132,236,28,35,59,100,150,250,111,107,222,138,194,336,206,259,461,664,806,1470,28,37,64,29,55,93,640,825,1466,833,1057,1890,41,33,73,24787,28598,53387,1680,1356,3039,969,810,1780,374,426,800,23,21,43,54,54,107,317,344,658,392,418,808,37911,37846,75760,606,569,1179,130,256,385,38652,38671,77322,4808,4255,9059,73515,77216,150729
CED118,2116,2536,4650,7012,8098,15104,32,30,62,1286,1385,2675,33,42,73,21485,23323,44810,145,174,316,1702,1734,3435,221,255,471,372,416,788,80,84,168,780,767,1544,560,631,1191,1765,2084,3846,1252,1463,2716,105,123,226,375,443,819,1163,1433,2598,2677,2883,5563,67,85,147,41108,45441,86554,18232,17414,35641,6173,5995,12174,57,56,108,5,9,17,5736,5032,10767,646,679,1327,6383,5728,12114,20070,17434,37503,219,179,396,87,148,232,20367,17761,38135,6952,5224,12180,101385,100159,201542
CED119,834,1252,2083,10540,12365,22907,12,15,27,1229,1384,2610,101,113,215,19301,21290,40589,91,108,196,3237,3277,6510,64,99,166,101,130,235,156,161,320,738,742,1480,324,348,672,679,799,1476,1170,1276,2443,148,162,303,61,72,132,1388,1747,3141,1689,1853,3540,109,102,209,41136,46034,87168,1345,1380,2727,1639,1603,3245,75,96,176,0,0,9,101,110,217,171,206,377,274,315,598,24900,21912,46810,216,176,396,77,130,202,25192,22216,47410,3550,3348,6901,74052,76248,150300
CED120,552,768,1319,15997,18324,34326,30,25,57,960,1014,1975,261,253,513,23544,25148,48696,35,53,90,1151,1084,2237,232,328,560,122,127,248,173,215,385,101,113,216,218,275,494,607,703,1312,1249,1399,2647,109,171,283,137,179,309,1810,2125,3939,1614,1750,3362,116,115,237,48492,53411,101903,564,549,1118,966,887,1855,51,60,109,7,8,15,167,156,324,193,284,476,366,445,813,28181,25095,53274,214,180,391,89,143,230,28475,25422,53896,5962,5124,11086,85432,86665,172094
