CED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED513,8,20,0,0,0,15,21,31,67,2253,1423,160,3830,136,130,270,4100,1987,60,6149
CED514,5,11,3,3,3,14,36,50,104,2338,1532,175,4048,176,194,370,4414,2370,87,6871
CED515,9,15,0,0,3,22,17,25,61,2234,1555,178,3963,102,123,225,4193,1992,46,6225
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,8,17,0,0,4,18,36,27,82,1404,1346,160,2907,119,165,282,3191,2067,49,5314
CED602,4,18,0,0,0,16,47,39,98,1276,1304,188,2772,133,151,282,3051,2145,84,5280
CED603,0,8,0,3,6,8,32,16,64,1524,1236,164,2932,105,118,219,3148,1747,52,4953
CED604,5,10,3,0,5,11,23,27,62,1559,1398,153,3109,85,78,166,3278,1730,55,5059
CED605,8,21,3,5,0,28,47,29,98,1298,1323,208,2827,137,139,284,3104,2221,65,5394
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,11,30,0,5,9,37,61,87,181,1436,646,189,2271,192,123,318,2588,2737,139,5461
CED702,3,15,4,0,4,18,15,35,72,2081,757,160,3006,109,80,186,3193,1362,100,4650
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,5,16,0,0,3,17,13,23,50,2976,1223,226,4429,83,82,163,4599,1855,30,6486
CED802,0,5,0,0,0,3,7,20,39,1995,745,117,2858,75,52,122,2983,1242,33,4253
CED803,5,12,0,0,0,15,9,26,55,2712,1158,222,4096,88,93,183,4279,1681,50,6007
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
