CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED237,0,0,0,0,30,74,73,62,16,10,12,8,7,0,11,297,0,0,0,3,5,27,165,99,11,11,8,11,9,0,5,359,0,0,3,7,12,17,31,27,7,3,6,3,0,0,0,116,0,3,6,33,204,367,1484,717,156,158,191,165,37,6,73,3601,0,17,272,95,34,83,38,3,0,0,0,0,0,0,11,558,5,59,117,54,117,113,157,106,19,6,18,3,3,0,22,806,0,0,5,18,146,138,172,71,10,30,23,17,3,0,14,658,51,35,40,18,17,34,45,30,3,5,3,4,4,0,6,296,39,529,1870,457,173,82,46,255,21,21,3,5,4,4,74,3585,0,0,11,15,85,72,71,43,8,15,8,9,5,0,0,333,0,0,26,74,228,534,4787,2389,673,723,1147,1252,381,44,211,12475,0,3,0,25,50,83,141,57,15,25,9,15,10,4,4,440,0,0,0,5,34,94,370,1088
CED238,0,0,0,0,4,0,7,12,4,3,0,0,0,0,8,42,0,0,0,0,0,0,9,6,3,9,3,0,0,0,0,28,0,0,16,18,20,18,32,28,4,0,8,0,5,0,6,158,0,7,5,3,11,15,100,48,33,80,121,95,6,4,21,539,0,4,26,6,0,0,0,0,0,0,0,0,0,0,6,47,0,0,12,0,6,0,14,10,3,0,10,0,0,0,10,62,0,0,3,3,6,15,21,6,0,0,0,0,0,0,6,62,52,121,49,37,33,25,44,21,9,3,3,11,3,4,15,422,0,22,27,12,3,3,0,6,0,0,0,0,0,0,10,82,0,0,0,4,8,0,3,8,0,0,0,4,4,0,3,43,0,8,18,6,12,22,145,122,26,58,80,60,23,11,37,642,0,0,4,3,4,7,26,22,7,3,11,10,12,0,10,124,0,0,0,0,0,0,5,7
CED239,0,0,0,0,0,19,27,38,0,0,7,4,0,0,0,102,0,0,0,0,24,75,188,115,19,32,28,23,14,8,6,532,0,4,9,34,31,52,90,81,11,20,19,22,11,4,3,389,0,7,11,19,220,304,595,325,83,100,77,82,16,4,19,1872,3,49,146,57,21,35,9,3,0,0,0,3,0,0,15,342,17,114,80,41,53,46,33,47,21,18,20,18,0,6,14,523,0,0,6,12,82,51,36,20,8,3,0,3,0,0,0,220,69,98,26,10,36,62,122,69,11,20,20,26,7,0,14,592,8,482,1671,381,124,37,27,88,18,8,9,4,4,0,81,2944,0,0,5,18,74,65,61,46,12,10,11,12,7,0,6,315,0,4,42,52,112,156,989,721,242,387,468,458,132,33,53,3855,0,3,4,7,25,94,123,62,32,32,29,47,38,0,9,511,0,0,5,3,37,40,93,228
CED294,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,6,0,0,0,21,0,0,0,0,4,5,13,6,0,4,7,8,0,4,5,57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,0,3,0,0,0,0,0,9,0,0,6,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,20,12,0,11,6,4,4,24,3,90,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0,0,12
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,0,0,0,0,0,0,27,31,7,5,0,12,0,0,3,91,0,0,0,0,0,5,52,49,8,5,3,9,0,0,0,129,0,7,16,18,20,21,41,43,3,5,0,3,0,0,7,194,0,3,7,6,13,23,134,78,21,29,34,39,3,4,10,417,0,9,20,3,0,11,4,0,0,0,0,0,0,0,3,53,5,0,0,0,0,0,25,15,0,3,0,0,0,0,0,44,0,0,11,26,65,76,132,91,13,12,13,21,3,4,8,485,61,95,88,52,67,38,71,25,3,6,0,4,4,0,19,540,0,7,9,0,3,0,0,5,0,0,0,0,0,0,0,30,0,0,6,11,22,17,34,19,3,3,7,10,8,0,4,141,0,3,22,13,24,52,1083,776,145,137,166,175,55,15,37,2710,7,3,12,4,11,17,47,18,9,5,0,3,6,0,5,158,0,0,0,0,8,9,33,35
CED302,0,0,0,0,0,32,58,25,3,0,8,3,0,3,3,132,0,0,0,5,4,20,43,25,14,9,10,5,0,0,3,135,0,3,18,42,42,69,116,72,9,18,18,16,8,3,10,452,9,49,37,40,205,333,1931,1266,324,381,305,373,165,23,81,5513,0,5,55,21,7,56,9,4,0,0,0,0,0,0,3,173,5,19,10,13,9,4,22,17,3,4,10,0,0,0,3,119,0,0,12,35,271,218,209,49,13,9,8,7,4,5,12,869,66,81,50,31,62,54,115,48,16,4,8,3,3,0,13,571,29,126,122,33,21,11,14,15,5,0,0,0,0,0,6,383,0,6,19,48,218,262,205,150,58,43,47,78,45,34,30,1253,11,13,39,48,85,186,1504,825,174,154,200,170,98,19,38,3576,3,18,9,21,38,96,115,55,23,9,15,19,15,0,0,426,0,3,0,3,33,51,144,199
CED303,0,0,0,0,7,9,5,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,11,0,5,29,39,61,58,71,31,5,5,5,11,4,0,5,325,6,23,15,4,36,69,226,141,42,35,35,37,24,0,17,698,0,15,58,24,8,22,12,5,0,0,0,0,0,0,5,148,3,13,11,5,0,0,22,6,0,4,0,0,0,0,0,69,0,0,15,32,64,73,74,34,7,4,0,0,0,3,12,334,101,142,86,52,135,58,98,38,4,0,3,10,7,0,31,778,5,23,36,19,8,0,8,13,0,0,0,0,0,0,6,112,0,0,14,18,39,29,28,9,8,0,0,4,16,0,3,175,9,9,42,28,33,61,431,186,33,34,54,53,14,3,21,1017,8,26,11,15,18,32,33,14,7,3,5,11,3,0,12,190,0,0,0,3,16,11,25,36
CED304,0,0,0,0,3,10,10,10,0,0,0,0,0,6,5,50,0,0,0,3,3,14,34,32,5,20,19,20,3,7,0,168,0,0,33,66,75,94,221,163,28,48,46,61,35,16,14,898,0,21,16,26,118,154,666,622,269,369,366,474,165,27,51,3363,0,10,31,7,8,18,8,3,0,0,0,0,0,0,6,95,0,5,6,0,3,11,28,14,9,14,10,8,12,3,0,125,0,9,8,33,93,65,69,28,10,11,10,14,3,0,4,352,47,39,37,44,61,78,146,78,18,24,27,54,21,10,16,712,8,34,17,5,11,13,0,11,0,9,0,0,0,0,4,106,0,8,20,39,131,144,146,143,50,45,49,87,82,11,20,975,7,5,48,43,83,145,707,713,256,312,444,561,211,63,58,3657,5,14,0,18,35,78,99,60,16,41,39,46,36,0,6,504,0,0,0,7,26,33,159,231
CED305,0,0,0,0,0,0,7,9,3,0,7,0,4,0,0,38,0,0,0,0,0,10,61,22,4,9,9,5,0,0,0,120,0,0,4,22,21,9,40,27,11,12,8,23,5,4,5,193,0,3,4,3,3,20,91,74,24,62,100,91,28,6,23,530,0,8,11,0,3,5,0,0,0,0,0,0,0,0,4,27,0,0,0,0,3,0,0,0,0,5,0,7,6,0,0,25,0,0,3,7,33,23,51,26,0,4,8,11,8,0,9,197,20,50,46,17,40,22,52,27,0,3,3,0,6,0,11,312,0,0,9,4,0,0,0,8,0,0,0,0,0,0,0,23,0,5,5,8,4,5,18,3,0,0,0,0,0,0,0,55,0,0,7,0,7,16,286,199,44,58,53,61,24,24,26,810,0,8,4,0,3,12,17,16,6,0,7,0,9,0,4,84,0,0,0,0,3,8,8,16
