CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED133,622,2592,779,1129,85,5926,895,515,3159,1942,3628,340,10477,26,13,148,81,224,21,516,71,25,201,274,1429,48,2043,69,34,236,187,803,275,1602,2710,1778,10938,7097,21852,1834,46207
CED134,455,2511,667,1136,133,5489,724,390,2495,1528,2522,254,7918,26,11,85,64,248,14,449,27,16,139,189,1396,65,1836,57,16,168,130,692,301,1357,2418,1381,9912,6268,20374,1909,42258
CED135,389,2287,507,472,94,5574,2648,575,5069,1683,1512,320,11799,101,12,247,127,139,19,658,265,56,518,287,642,51,1820,863,74,1327,424,503,488,3677,17787,2395,30290,9335,9988,2408,72196
CED136,383,1948,682,1069,59,4789,644,446,2657,1946,4011,290,9995,20,14,83,78,234,17,450,39,27,166,372,1869,55,2533,52,18,188,232,965,253,1710,2526,1422,9670,8597,27367,1616,51207
CED137,534,3040,614,471,86,6991,2998,582,5769,1494,1048,306,12193,167,49,450,211,163,27,1069,306,53,628,375,738,64,2165,883,95,1543,582,479,561,4144,18974,3046,36713,11569,10640,2468,83408
CED138,627,2794,760,940,123,6202,1286,606,3741,1897,2654,334,10518,84,28,334,174,277,33,928,69,45,312,377,1246,62,2103,127,34,637,360,758,302,2222,4081,2012,15173,8624,19505,1929,51329
CED139,524,2699,724,1179,110,6030,730,495,2858,1679,2854,303,8920,17,7,77,43,134,14,291,43,25,193,268,1556,43,2133,45,18,175,146,831,294,1503,2604,1623,11037,6889,22704,1967,46823
CED140,432,2370,655,750,73,5224,1228,576,3757,1799,2569,301,10231,50,18,216,154,214,20,667,92,34,258,332,1128,50,1893,135,25,444,257,658,206,1716,4506,1794,14260,8586,17803,1542,48495
CED141,411,2618,703,958,79,5686,1037,512,3538,1928,3381,299,10698,19,13,124,84,217,20,476,53,28,216,287,1378,48,1996,51,20,250,207,707,190,1429,3410,1617,12453,7754,21090,1357,47685
CED142,574,3098,529,352,100,8503,3131,635,4876,966,684,203,10496,489,95,1384,421,302,54,2740,380,92,971,409,686,75,2609,931,94,2078,584,465,476,4625,24975,4283,49933,12079,9955,2525,103749
CED143,484,2552,560,377,83,5621,1781,467,3488,1041,808,204,7784,188,46,566,180,176,26,1181,163,53,550,330,629,40,1760,496,81,1327,398,336,248,2887,12823,3000,30941,8678,9049,1699,66193
CED144,356,2065,531,466,101,4964,1373,332,3267,1309,1261,244,7790,100,19,260,86,113,13,591,156,34,419,310,840,46,1808,306,36,769,377,512,381,2383,7938,1496,18768,7950,9632,1859,47643
CED145,400,2174,429,241,91,5111,2357,423,3857,670,437,220,7964,270,52,858,221,154,36,1593,212,54,630,269,483,56,1711,651,85,1739,356,267,328,3425,14860,2798,35632,7048,6270,1931,68541
CED146,307,1997,601,677,76,4985,1214,334,3515,1742,1806,298,8915,32,9,128,72,115,13,366,72,18,259,296,1054,53,1753,209,32,646,378,730,385,2382,5863,1257,16731,9027,14437,1988,49299
CED147,554,2180,782,1027,84,5645,953,492,2953,2107,3630,308,10438,42,15,150,113,205,24,551,71,33,192,294,1602,43,2233,86,18,260,231,844,238,1675,3669,1670,11395,8908,24143,1627,51408
CED194,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,715,2588,767,697,82,6279,1283,711,3597,1866,1971,252,9689,65,25,272,154,201,13,722,182,50,430,467,1326,52,2510,285,68,711,385,809,244,2501,7393,2662,19598,10164,16904,1532,58245
CED202,871,2640,727,860,71,6399,1354,1000,3699,1885,2555,251,10750,74,42,280,149,291,24,859,91,38,198,316,1139,36,1821,73,24,257,198,666,200,1424,4636,2921,13375,7974,18790,1378,49081
CED203,906,2376,582,776,72,5675,1404,1046,3723,1980,2590,278,11021,75,55,264,137,229,19,780,88,51,262,319,1253,38,2005,72,51,244,173,657,210,1406,4115,3096,13060,7663,18697,1441,48075
CED204,533,1924,744,667,88,5019,1144,560,3150,2013,2171,298,9335,49,22,165,119,150,15,519,122,45,364,487,1278,73,2369,284,32,738,492,924,437,2906,6100,1968,16269,10560,17034,2032,53960
CED205,529,1761,658,663,92,4672,1054,477,3054,1729,1721,237,8278,37,15,160,105,122,9,454,108,24,283,404,1057,67,1944,277,44,568,474,791,443,2597,6354,1811,15347,9992,14697,2007,50211
CED206,927,2845,940,898,75,6935,878,730,2802,2029,2376,252,9073,58,48,273,197,294,18,880,137,54,332,470,1771,52,2811,113,37,403,347,1030,284,2218,4238,2762,14289,10300,23098,1591,56279
CED207,765,2901,584,454,88,7710,2275,767,4892,1375,1099,252,10659,143,42,366,133,131,8,827,300,85,647,412,664,50,2162,678,75,1109,375,391,365,2996,16334,3548,29228,9058,8744,1773,68693
CED208,1218,3202,642,469,80,8527,2717,1073,4427,1351,1224,220,11019,259,104,822,220,193,24,1630,278,88,596,392,706,42,2097,343,73,870,300,453,318,2354,12947,4655,27225,8732,10468,1570,65590
CED209,879,3011,859,822,83,6960,1174,1039,4036,1954,2325,222,10748,71,44,326,190,244,23,898,83,47,322,427,1181,54,2115,106,39,420,272,601,209,1641,5018,3039,16489,9456,18659,1363,54031
CED210,804,2773,815,776,72,6623,1450,918,4060,1795,2681,278,11183,73,30,253,142,215,20,740,106,46,259,331,1073,51,1866,141,31,361,251,666,266,1722,5796,2920,16538,8715,18066,1489,53535
CED211,1058,3219,819,680,93,7827,1616,956,4069,1875,1855,225,10586,92,32,327,181,184,14,826,244,90,574,445,1078,45,2475,300,48,739,379,592,241,2295,9451,3696,22699,10118,15137,1439,62549
CED212,795,2614,836,785,103,6220,993,741,3235,2125,2494,267,9840,56,42,236,168,261,20,771,78,44,282,435,1341,41,2221,110,56,440,391,910,265,2170,4032,2551,14205,10527,20667,1625,53606
CED213,682,2409,651,666,96,5331,805,547,2504,1607,2050,221,7739,56,48,275,206,326,32,948,59,36,235,329,1183,46,1893,74,41,401,312,734,215,1778,3133,2138,12008,8693,18412,1567,45949
CED214,763,2233,526,414,77,5700,1643,679,3618,1287,1357,205,8791,139,61,529,199,232,23,1191,187,68,552,437,797,73,2109,357,53,865,399,625,475,2775,9683,3050,23277,8957,11607,1933,58506
CED215,827,2713,727,541,94,6703,1713,830,3779,1521,1302,218,9369,158,51,509,240,266,26,1252,219,69,477,470,901,52,2180,508,64,922,450,612,382,2945,13122,3665,26633,11154,14024,2052,70653
CED216,594,1837,610,865,81,4585,783,600,2553,1862,2677,255,8731,27,13,116,101,182,15,448,43,23,140,254,1252,51,1764,27,28,145,190,776,252,1419,2264,1838,8716,7065,20294,1675,41855
CED217,857,2760,665,402,90,6788,2016,757,3960,1195,807,238,8973,164,69,578,171,177,28,1182,181,70,536,307,580,44,1725,437,89,1064,355,318,260,2528,11740,3990,28341,8353,8156,1588,62171
CED218,620,2215,666,690,107,5212,1054,558,3376,1542,1712,245,8484,44,16,263,160,180,30,697,96,32,363,426,1068,77,2062,217,32,650,374,767,370,2406,5671,2154,18799,9821,15868,1907,54212
CED219,739,2248,837,987,87,5736,693,552,2422,1681,2076,223,7657,33,24,190,138,258,18,667,75,26,227,353,1399,49,2123,97,23,308,294,936,330,1998,3764,2116,12051,9630,21256,1722,50543
CED220,831,2971,463,273,78,7244,3037,908,5409,1014,733,236,11336,211,85,797,223,175,34,1532,250,62,574,307,523,40,1763,547,104,1376,305,286,292,2914,16222,4488,36011,8066,7178,1603,73567
CED221,482,1608,787,689,73,4468,1163,637,3981,2709,3022,313,11827,31,21,159,144,258,23,642,105,29,328,502,1389,68,2415,256,33,626,539,1166,428,3045,5944,1904,15746,12249,21125,2069,59038
CED222,638,2298,623,482,88,6074,1777,613,4417,1725,1709,262,10507,104,18,284,138,183,20,743,215,46,540,527,1098,86,2516,581,52,1079,508,730,559,3513,12050,2671,24955,10318,12648,2289,64925
CED223,839,2148,770,993,65,5577,809,812,2890,2062,2730,268,9573,58,40,164,145,247,16,668,46,37,166,283,1373,44,1961,59,30,193,212,796,268,1565,2939,2649,11001,8806,22304,1793,49494
CED224,902,2920,793,619,89,6862,1459,801,3726,1602,1529,242,9362,82,46,368,186,215,20,911,129,61,428,438,1063,55,2179,240,65,769,425,686,315,2496,7505,3229,21943,10464,14854,1680,59668
CED225,1196,3432,762,617,105,8415,2330,1088,4561,1575,1527,249,11323,140,59,477,175,205,20,1089,217,79,456,365,939,34,2090,259,53,668,271,488,211,1963,10457,4232,23932,9071,13300,1454,62452
CED226,909,3025,479,308,83,7649,3570,992,5757,1078,629,274,12297,171,73,589,183,116,23,1154,250,79,565,286,420,32,1627,474,101,1163,263,241,248,2486,16333,4626,32799,7369,6168,1420,68718
CED227,739,2414,868,892,87,6128,1227,707,3775,2280,2456,258,10698,34,33,192,188,297,21,766,127,38,306,498,1519,63,2556,204,41,512,472,1086,328,2643,5945,2342,15692,11749,21377,1855,58959
CED228,630,2077,850,677,110,5711,1384,621,3540,2039,2121,284,9984,98,32,301,179,226,24,858,197,35,346,428,1094,63,2166,529,46,796,481,876,501,3222,11804,2556,20967,11527,17427,2356,66631
CED229,847,3025,630,410,114,7971,2986,880,5004,1136,718,238,10951,350,128,1092,392,290,40,2292,318,91,760,462,687,68,2391,680,131,1469,444,415,340,3480,18510,4727,38310,10267,9502,2074,83383
CED230,640,2169,624,913,87,4834,675,583,2548,1944,2842,295,8882,11,33,110,101,206,12,471,36,27,117,243,1361,48,1837,25,14,158,189,764,348,1510,1912,1847,9151,7535,21490,2117,44052
CED231,881,2978,618,482,83,7084,2004,857,3817,1109,969,179,8930,133,65,555,214,242,17,1229,189,69,432,329,833,42,1893,273,59,765,307,484,287,2178,9777,3723,24505,8683,11947,1503,60134
CED232,944,2683,881,982,87,6731,1116,813,3298,1901,1980,266,9380,63,49,270,180,253,22,837,111,42,309,460,1443,62,2417,165,46,391,308,882,269,2065,5386,2964,15400,10456,20926,1623,56765
CED233,906,3582,428,313,103,10087,4142,1089,6242,1001,806,187,13460,520,138,1480,350,239,43,2771,472,101,888,465,661,79,2661,800,103,1699,429,326,427,3788,26346,5468,49114,10299,8921,2132,102279
CED234,748,2672,657,467,83,6597,2252,849,4690,1384,1188,248,10615,107,39,372,122,147,17,812,256,98,594,431,814,55,2250,414,66,1032,365,421,303,2601,12268,3470,26926,9077,10280,1680,63693
CED235,666,1972,673,875,82,4982,685,591,2284,1662,2322,262,7805,49,43,235,171,312,19,838,43,28,172,255,1372,46,1921,44,32,192,208,743,248,1464,2451,2013,9196,7169,19800,1587,42220
CED236,677,1917,617,825,76,4618,770,628,2590,1990,2640,311,8925,17,10,103,93,210,16,445,55,37,170,294,1405,56,2010,38,18,158,203,794,303,1527,2280,1911,9239,7730,20713,1886,43766
CED237,584,1806,715,684,89,4992,1411,616,3610,1937,2013,308,9885,59,25,187,127,161,15,577,155,31,294,425,1101,88,2086,252,44,602,406,753,353,2416,6998,2099,16204,9883,15359,1958,52504
CED238,590,2116,546,775,73,4822,829,744,2837,1852,2725,287,9273,34,22,174,110,233,19,593,52,26,131,241,1190,36,1676,56,34,183,171,706,273,1417,2774,2109,10782,7675,20967,1846,46151
CED239,1138,3291,672,496,70,8804,2628,1001,4269,1367,1104,215,10589,277,107,833,233,208,29,1678,279,80,648,364,739,50,2153,354,86,942,348,434,304,2474,13784,4434,27713,8967,10840,1583,67315
CED294,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
CED301,644,2364,881,1540,98,6289,740,687,3216,2309,3540,243,10739,20,20,129,92,268,16,542,56,36,281,388,1714,55,2526,89,23,271,283,1184,363,2208,3069,2072,11915,9941,27435,1848,56282
CED302,763,3252,756,925,97,7435,1604,778,4709,1642,1744,227,10701,71,32,360,159,239,20,882,143,71,487,426,1167,37,2344,285,52,652,326,695,262,2274,8368,3142,22707,9775,16456,1583,62030
CED303,600,2336,862,1097,77,5750,758,495,2945,2155,2664,254,9274,38,14,149,119,246,11,579,88,52,280,420,1698,49,2584,95,30,345,378,1004,255,2108,3326,2013,12563,10398,23081,1551,52936
CED304,903,3314,622,595,100,7994,3232,1075,7418,1506,1388,280,14900,189,79,839,229,333,30,1703,254,100,748,516,948,57,2625,462,83,1263,385,560,348,3110,15215,5464,40833,11203,14296,2100,89106
CED305,526,2477,662,1217,90,5654,621,435,2721,1379,2402,236,7789,13,3,43,46,205,16,322,38,31,167,228,1693,42,2197,30,19,119,134,841,214,1354,2128,1526,9759,6164,25103,1675,46354
CED306,497,2324,601,1064,85,5101,820,441,3108,1430,2352,239,8390,15,4,78,79,185,16,376,34,20,198,333,1828,74,2479,48,24,182,188,988,298,1734,2439,1560,11225,7245,25806,1815,50086
CED307,687,2709,875,1198,74,6572,1073,767,4001,2008,2532,231,10611,46,30,244,161,290,17,787,106,48,379,435,1587,54,2601,124,39,440,297,840,231,1969,4685,2725,16810,10490,21944,1399,58054
CED308,612,2393,964,1141,104,6229,1432,648,3842,2490,2835,336,11580,75,19,368,367,638,38,1510,94,35,313,564,1786,74,2870,190,41,525,478,1288,372,2889,5252,2151,15480,12568,25402,2169,63023
CED309,766,2755,881,1054,101,6535,1419,691,4546,2340,3017,284,12302,48,37,260,201,358,29,933,67,44,321,494,1522,43,2493,123,31,468,341,897,284,2148,4306,2424,16018,10177,22592,1752,57258
CED310,666,2632,803,1044,113,6165,1418,668,4690,2343,3113,315,12559,44,24,249,175,397,30,916,57,40,254,414,1510,49,2325,108,28,411,387,1014,271,2218,3948,2142,14880,10068,23805,1749,56593
CED311,436,2120,511,1174,72,4692,301,293,1726,1172,2083,174,5754,16,4,36,40,120,10,225,27,17,107,203,1435,30,1822,24,17,168,161,1030,349,1759,1405,1213,8069,5842,25010,1839,43375
CED312,568,2246,935,1381,78,5851,798,505,2956,2367,3272,263,10165,40,28,200,187,391,22,863,82,36,299,554,1914,74,2962,119,22,361,423,1327,447,2699,3265,1775,12307,10988,27770,1910,58008
CED313,963,3944,704,686,96,9193,3041,1037,7231,1613,1434,252,14611,193,96,749,255,315,30,1649,214,92,677,455,977,65,2475,406,66,1074,357,559,304,2764,13991,4974,36361,10763,14485,1884,82465
CED314,725,2865,883,1281,95,7091,1282,655,4229,1991,3313,244,11708,22,12,91,82,209,12,428,65,41,253,331,1535,57,2279,88,22,247,180,752,222,1521,4095,2133,13389,7931,22064,1394,51004
CED315,552,2647,757,1263,94,6305,1081,777,4386,1918,3071,284,11521,37,14,136,97,247,18,552,68,37,248,354,1476,48,2232,59,16,188,198,893,243,1598,3541,2055,13345,8057,23613,1512,52117
CED316,436,1964,542,989,60,4422,788,511,3108,1791,3743,260,10210,13,9,46,55,164,21,305,30,17,123,241,1236,41,1691,24,9,155,142,710,239,1290,1770,1304,8193,5717,19018,1418,37418
