CED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED224,8413,16839,3857,327,29437,5602,748,35786,2095,1554,943,90,4686,3937,257,8874,1888,1972,834,71,4761,1395,200,6351,3979,3526,1777,159,9445,5329,453,15231,1402,797,624,58,2890,3293,197,6381,203,68,79,11,353,442,32,826,313,103,122,15,558,741,43,1336,87,33,30,0,151,186,16,346,6,4,0,0,10,7,0,15,2005,1014,854,84,3954,4668,283,8912,14,0,3,0,18,44,0,61,12,3,0,0,24,137,4,161,0,0,0,0,0,0,0,0,21,18,16,3,55,75,8,138,46,24,27,6,96,256,8,363,9,8,4,0,25,27,3,50,14459,21401,6520,578,42955,15886,1501,60340
CED225,12365,19335,4725,425,36852,8239,1080,46165,915,587,474,51,2024,2231,168,4423,1009,1048,516,48,2617,997,179,3791,1921,1631,988,97,4639,3228,348,8219,587,323,232,22,1167,1156,92,2415,149,40,37,11,231,272,16,516,309,53,51,17,430,488,46,964,55,19,33,3,110,179,14,299,5,8,0,0,17,26,0,37,1101,440,361,47,1946,2131,153,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,24,17,3,41,9,6,0,0,24,18,3,42,20,6,9,0,29,19,0,52,15418,21422,6084,571,43490,13630,1590,58707
CED226,8114,15961,3220,325,27620,4839,829,33286,2027,1917,735,108,4788,2829,360,7974,1304,1691,620,49,3661,1016,187,4862,3325,3608,1351,159,8444,3840,545,12836,1371,648,367,102,2490,2637,480,5607,1285,399,220,87,1984,2406,444,4840,1139,358,248,70,1807,1962,248,4022,151,44,27,7,229,352,40,626,0,7,0,0,8,8,0,14,3948,1455,866,266,6527,7370,1210,15109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,26,8,0,86,65,35,184,50,26,8,0,86,65,35,184,13,12,4,0,37,31,5,76,15449,21069,5444,749,42712,16146,2623,61481
CED227,11935,23725,5758,458,41873,7563,1010,50437,910,350,272,31,1557,1538,40,3134,361,253,219,17,856,347,52,1255,1273,606,490,42,2412,1882,93,4390,59,27,30,5,119,179,13,308,0,0,0,0,4,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,0,0,10,7,0,19,64,34,29,3,141,199,10,350,6,0,0,0,6,3,0,11,16,0,0,0,21,99,0,120,0,0,0,0,0,0,0,3,4,5,0,0,9,8,0,20,25,5,3,0,37,116,3,153,13,9,7,0,29,15,0,46,13316,24378,6291,508,44490,9775,1114,55379
CED228,11548,26716,6849,818,45927,8111,1792,55830,846,1318,539,54,2760,1539,156,4452,298,405,203,22,932,356,101,1392,1143,1727,738,82,3698,1898,255,5850,181,170,148,25,531,497,34,1059,0,3,0,0,10,11,7,23,102,34,25,5,163,217,13,391,0,0,0,0,0,0,0,0,7,6,0,0,6,12,0,20,287,208,180,34,706,737,54,1502,13,0,0,0,8,19,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,8,14,3,0,0,22,24,3,44,7,10,6,0,21,16,0,38,13003,28664,7772,923,50370,10786,2106,63257
CED229,2581,4124,716,71,7491,1616,369,9483,2185,2282,667,80,5206,2274,417,7899,2109,2223,716,83,5132,1798,492,7426,4288,4503,1374,164,10337,4073,911,15323,2179,907,511,106,3709,4801,798,9306,3262,993,645,176,5073,7431,1156,13662,2450,641,455,87,3633,4431,544,8610,6601,1772,827,374,9580,9570,1996,21149,7,12,9,0,28,20,0,50,14504,4324,2448,744,22028,26255,4499,52785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,178,45,28,6,259,331,70,652,178,49,28,5,261,331,70,664,33,18,8,0,58,73,12,146,21589,13019,4578,991,40180,32352,5863,78399
CED230,18455,15240,6335,641,40668,16659,1687,59020,574,207,272,22,1067,2139,134,3344,35,17,14,3,63,56,6,135,603,217,284,22,1133,2200,142,3479,299,121,158,25,612,1477,81,2161,3,0,4,0,9,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,12,0,16,312,125,164,25,615,1498,81,2202,81,8,7,0,100,237,15,352,68,11,8,0,86,124,24,236,9,4,0,0,12,11,0,22,56,28,10,0,103,65,0,168,213,56,26,11,297,436,48,784,52,24,12,3,85,76,27,195,19626,15661,6817,698,42810,20874,1988,65670
CED231,8477,13809,3547,417,26255,6327,911,33489,1489,1207,594,85,3369,2500,304,6177,2191,2398,855,131,5573,2055,530,8151,3682,3599,1446,211,8941,4553,829,14327,806,424,292,65,1587,1878,222,3684,572,208,247,50,1073,1785,197,3056,1194,304,213,68,1770,2354,257,4383,181,125,231,40,580,678,58,1313,3,3,0,0,5,15,0,23,2754,1057,975,227,5016,6711,731,12466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,10,4,68,68,20,154,21,24,10,4,68,68,20,154,6,5,6,0,19,23,0,44,14945,18502,5992,857,40298,17682,2494,60475
CED232,12896,22562,5588,355,41394,7361,739,49499,616,328,283,15,1241,1085,43,2362,143,159,146,14,464,190,19,673,757,479,430,29,1706,1272,63,3036,28,22,25,0,77,71,9,157,9,12,18,0,35,35,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,14,10,0,28,50,34,39,5,127,121,14,257,7,0,0,0,5,18,6,29,6,0,0,0,8,9,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,9,8,0,0,20,33,6,54,13,18,4,0,31,17,0,47,13723,23100,6061,390,43273,8801,814,52897
CED233,1569,1667,441,81,3761,1080,739,5587,3228,2052,616,174,6068,2793,1667,10525,2994,2100,657,174,5921,2367,1820,10112,6220,4150,1271,350,11989,5157,3486,20637,1193,379,195,62,1833,2214,544,4586,1731,533,394,102,2763,3820,754,7340,4131,1010,524,263,5930,7281,1653,14865,9602,2622,1804,1127,15163,17876,5275,38312,9,9,0,0,24,12,8,36,16670,4551,2924,1557,25710,31204,8229,65139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,142,52,25,4,222,161,91,475,142,52,25,4,223,162,90,478,40,16,7,5,62,134,30,229,24644,10435,4666,2007,41748,37735,12582,92069
CED234,11764,19245,4376,463,35838,7054,1017,43910,1305,1177,578,65,3129,2166,208,5502,1425,2333,780,82,4619,967,203,5786,2724,3512,1361,152,7745,3127,410,11286,421,379,174,27,1005,756,71,1833,248,109,81,22,457,447,28,939,591,245,189,37,1058,926,89,2071,662,230,207,38,1137,859,137,2129,5,8,6,0,19,10,0,29,1931,966,653,124,3673,2998,329,6998,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,3,0,16,6,0,4,0,9,3,0,19,9,10,9,0,32,22,0,56,16433,23742,6397,735,47307,13207,1761,62272
CED235,17243,14124,5610,417,37382,13859,1162,52400,425,92,207,17,747,1890,59,2697,117,67,41,5,219,161,12,391,541,157,244,24,966,2049,68,3092,173,48,85,11,316,807,31,1156,10,0,0,0,10,20,0,27,4,0,0,0,4,6,0,12,0,0,0,0,0,0,0,0,4,0,0,0,3,19,0,21,187,50,87,11,332,851,31,1211,16,5,0,0,22,90,4,111,113,5,16,3,141,289,3,435,0,0,0,0,3,0,0,7,19,10,4,0,32,20,3,57,151,16,27,3,199,394,12,605,23,16,8,0,48,43,0,92,18144,14362,5973,446,38932,17196,1276,57402
