CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED328,19,572,7,578,..,289,49,336,6,336,..,137,7,144,6,145,..,615,98,711,0,715,..,2932,274,3207,78,3281,..,26264,2387,28649,273,28920,..,465,37,505,4367,4871,130004,26734,2427,29158,4637,163797
CED329,0,22,0,23,..,162,25,189,0,191,..,14,0,14,0,14,..,87,28,107,3,113,..,1059,124,1188,31,1216,..,5267,422,5689,76,5767,..,346,24,374,10004,10376,136092,5620,449,6063,10085,152236
CED330,0,61,0,62,..,180,26,206,0,206,..,36,8,42,0,42,..,293,134,427,16,437,..,2621,453,3080,77,3154,..,10191,1726,11921,142,12069,..,493,47,541,10012,10549,159046,10681,1774,12456,10160,181665
CED394,0,0,0,0,..,13,3,18,0,18,..,5,0,5,0,5,..,21,5,23,0,23,..,272,31,300,7,316,..,1031,135,1163,19,1184,..,56,4,62,3455,3517,9972,1085,140,1226,3475,14670
CED397,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,22,..,0,0,0,128,128,32,19,0,21,130,183
CED401,53,771,8,785,..,361,98,456,4,461,..,151,10,157,0,159,..,5764,2217,7979,48,8027,..,6575,1781,8353,179,8530,..,59287,10834,70118,611,70728,..,851,182,1033,7377,8413,118480,60137,11013,71148,7986,197621
CED402,3,67,0,70,..,148,29,178,0,183,..,99,34,129,0,129,..,213,102,318,0,320,..,1759,707,2470,44,2513,..,8040,1863,9899,131,10033,..,419,51,472,11221,11695,149959,8459,1918,10369,11350,171687
CED403,17,418,0,422,..,227,37,258,4,264,..,55,8,61,0,65,..,600,113,714,10,722,..,3019,467,3491,101,3585,..,27614,3564,31177,353,31529,..,593,77,671,4657,5325,138771,28212,3637,31851,5003,175626
CED404,4,92,8,99,..,123,20,143,0,146,..,12,0,14,0,12,..,144,47,183,0,183,..,3483,429,3915,210,4130,..,8404,891,9295,300,9597,..,640,51,685,12335,13022,148871,9041,941,9981,12640,171485
CED405,12,308,6,317,..,211,40,247,0,252,..,62,15,80,0,78,..,2579,1239,3819,25,3839,..,3691,653,4342,99,4439,..,33910,5672,39581,368,39957,..,658,111,772,5359,6128,126449,34572,5783,40354,5730,172532
CED406,5,147,0,147,..,155,18,178,0,180,..,27,4,29,0,29,..,166,17,192,0,190,..,1947,287,2233,51,2283,..,12554,1447,14004,162,14170,..,431,34,460,5395,5861,146082,12985,1486,14471,5561,166105
CED407,21,438,0,442,..,186,56,240,0,240,..,117,22,138,0,138,..,2514,1111,3627,20,3641,..,6513,1773,8284,152,8433,..,34092,6246,40337,435,40772,..,772,199,973,5638,6606,126383,34862,6443,41310,6067,173757
CED408,0,34,0,34,..,115,21,136,4,139,..,17,5,18,0,18,..,93,29,123,0,123,..,1331,135,1470,53,1522,..,6682,578,7257,111,7369,..,311,18,331,7120,7442,158912,6991,593,7588,7225,173735
CED409,17,204,0,208,..,229,63,288,5,293,..,116,23,137,0,137,..,2129,1361,3489,23,3510,..,9296,3381,12676,167,12841,..,26221,8811,35028,391,35418,..,1045,273,1320,8982,10300,142501,27259,9087,36345,9376,188227
CED410,30,822,4,823,..,245,32,274,7,277,..,88,3,97,0,100,..,1101,177,1273,8,1283,..,3828,528,4354,119,4473,..,50060,6802,56854,549,57405,..,610,86,693,4983,5679,124276,50665,6884,57549,5530,187354
CED494,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,85,10,92,11,105,..,270,33,302,11,314,..,32,6,32,770,806,2261,300,34,334,777,3377
CED497,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12
CED501,12,287,0,289,..,502,74,583,3,588,..,26,0,23,0,29,..,291,102,394,10,403,..,3790,377,4169,104,4272,..,18718,1864,20586,282,20865,..,712,66,776,10711,11491,149187,19427,1930,21363,10994,181547
CED502,287,2592,27,2621,..,560,95,657,3,657,..,282,60,343,3,346,..,492,168,657,12,671,..,9773,2286,12053,202,12259,..,47541,7486,55027,683,55709,..,1116,254,1365,9151,10520,116105,48654,7736,56395,9833,182330
CED503,9,138,0,140,..,351,58,404,3,412,..,21,0,21,0,21,..,154,60,216,0,220,..,2377,229,2600,59,2657,..,10499,919,11422,126,11547,..,640,42,688,8719,9403,138997,11142,963,12104,8845,159946
CED504,33,430,4,437,..,570,116,681,3,686,..,176,74,246,4,250,..,6306,3372,9683,66,9750,..,10664,2795,13454,181,13635,..,50172,11656,61834,612,62443,..,1256,301,1558,7936,9497,108238,51429,11962,63391,8553,180177
CED505,7,339,3,342,..,268,41,308,0,308,..,71,8,80,0,82,..,507,85,588,5,594,..,3971,262,4228,69,4302,..,26124,2307,28429,266,28698,..,653,53,708,6729,7432,136913,26772,2364,29135,6988,173040
CED506,7,126,0,127,..,564,104,662,4,672,..,28,4,38,0,35,..,392,181,571,10,575,..,8947,719,9666,277,9951,..,19683,1774,21453,438,21894,..,1155,241,1397,27003,28396,151157,20842,2012,22853,27441,201445
CED507,6,73,0,70,..,229,39,268,0,270,..,15,0,15,0,15,..,177,90,261,0,260,..,1689,287,1975,46,2025,..,9970,1130,11106,153,11256,..,472,39,511,9246,9758,136986,10444,1169,11614,9398,157999
CED508,16,315,7,312,..,348,62,414,0,416,..,82,9,95,0,95,..,326,92,418,5,426,..,3158,392,3552,85,3637,..,27261,3595,30853,355,31209,..,681,90,771,7135,7902,127670,27937,3690,31623,7484,166782
CED509,32,499,8,506,..,425,65,486,0,486,..,40,9,49,0,49,..,827,350,1175,8,1183,..,5776,797,6573,137,6713,..,25955,3009,28967,342,29311,..,730,83,815,9336,10154,135282,26684,3095,29783,9682,174739
CED510,6,121,3,127,..,280,41,325,0,325,..,40,0,45,0,45,..,336,86,417,3,423,..,2077,211,2289,51,2339,..,15802,1445,17240,171,17418,..,516,31,555,4429,4986,141710,16319,1473,17794,4607,164113
CED511,8,94,4,97,..,300,47,346,0,356,..,22,0,19,0,19,..,161,55,214,0,213,..,4023,580,4605,91,4693,..,11705,1252,12958,187,13141,..,618,92,706,17188,17893,145037,12323,1341,13663,17376,176071
