CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED402,1212,1178,2390,5496,5204,10702,996,974,1972,1086,1054,2141,7588,7236,14829,3660,3493,7155,499,427,920,773,744,1522,4935,4671,9606,115,137,247,103,286,392,535,358,895,527,973,1505,13,10,26,1301,1766,3063,277,638,920,136,415,552,71,160,223,257,747,1001,0,6,10,736,1971,2709,2037,3737,5774,127,143,267,209,414,620,15,13,23,345,565,910,6930,5314,12243,23055,22703,45756
CED403,1536,1398,2929,4565,4173,8737,1324,1266,2586,1129,1069,2199,7024,6517,13544,2259,2271,4534,1416,1334,2752,1336,1378,2717,5019,4992,10006,260,214,475,326,399,721,424,227,649,747,936,1686,10,6,18,1774,1778,3547,2523,3395,5920,1237,1614,2851,305,409,721,941,1571,2518,10,8,20,5025,7003,12024,6802,8789,15589,226,229,457,388,546,933,3,7,14,624,783,1400,2651,2649,5299,23648,25127,48770
CED404,1211,1181,2392,5294,4910,10208,1278,1255,2534,760,743,1500,7342,6915,14254,3448,3165,6614,765,888,1653,463,537,996,4681,4593,9273,113,146,256,106,209,314,441,289,730,423,877,1300,8,14,21,1093,1530,2626,215,605,819,143,360,497,56,151,207,221,724,949,3,3,9,638,1847,2481,1730,3376,5099,95,113,209,189,384,575,7,11,23,293,513,806,7544,6003,13545,22790,22582,45365
CED405,1337,1257,2590,3960,3637,7591,1972,1923,3895,607,605,1212,6547,6172,12722,2256,2068,4321,1656,1714,3375,692,725,1413,4605,4516,9124,307,203,516,348,514,859,422,271,691,692,1022,1713,8,8,13,1777,2018,3801,1752,2290,4037,724,1006,1729,263,356,623,722,1220,1940,13,18,26,3477,4884,8361,5254,6916,12167,182,227,413,379,599,978,8,5,15,568,837,1408,3144,3008,6151,21460,22704,44162
CED406,1397,1291,2690,5344,4920,10265,1117,1041,2158,1071,1040,2111,7544,7016,14564,3264,3056,6322,914,825,1735,926,959,1891,5109,4843,9952,213,207,419,156,330,487,496,342,839,718,1066,1787,9,6,16,1594,1954,3552,1096,1620,2717,469,762,1229,191,342,536,523,1221,1744,3,6,7,2287,3952,6242,3887,5914,9798,143,154,306,355,566,926,5,4,13,511,732,1247,3091,2973,6061,21545,22767,44314
CED407,1409,1341,2751,5408,4951,10355,1263,1135,2401,1417,1413,2824,8089,7511,15603,2992,2754,5744,1122,1158,2281,1240,1298,2537,5360,5215,10568,373,252,620,374,518,894,455,324,777,734,1157,1890,9,8,16,1936,2263,4203,1887,2218,4109,760,966,1722,238,305,546,641,1044,1691,4,6,15,3540,4546,8086,5478,6817,12297,292,276,567,454,646,1100,7,12,17,753,933,1689,3428,2996,6429,24526,24812,49337
CED408,1377,1237,2610,5454,5060,10516,629,662,1287,1634,1595,3226,7719,7320,15046,2896,2828,5719,534,587,1122,1864,1981,3840,5299,5395,10692,174,165,338,111,247,354,454,282,737,620,920,1543,10,8,20,1367,1628,2990,1021,1549,2569,331,655,990,182,262,441,502,1300,1805,3,8,18,2037,3778,5808,3404,5406,8811,139,146,280,273,496,764,8,10,17,414,648,1062,4055,3845,7893,22259,23850,46117
CED409,1741,1635,3376,6679,6171,12851,1548,1600,3143,1689,1771,3461,9935,9547,19478,3486,3321,6811,1308,1307,2613,1332,1268,2599,6137,5902,12035,298,312,608,353,604,955,469,412,881,766,1394,2163,7,18,24,1891,2743,4630,1052,1687,2744,466,739,1209,195,272,467,494,914,1403,11,9,11,2215,3628,5839,4120,6378,10498,281,344,626,418,681,1091,11,15,29,706,1036,1747,5280,5182,10459,27913,29682,57596
CED410,1616,1486,3100,5264,4971,10238,1589,1485,3078,1102,1125,2222,7969,7600,15566,2705,2356,5061,1490,1581,3065,1855,1658,3515,6058,5594,11650,303,196,495,408,614,1015,333,211,545,731,1169,1903,11,4,15,1778,2195,3977,3144,3516,6657,1329,1511,2834,393,379,771,1022,1542,2562,11,11,20,5896,6948,12847,7684,9160,16842,294,282,577,449,652,1101,8,3,10,753,944,1695,2897,2832,5728,26971,27607,54579
CED494,13,13,31,60,64,122,11,8,17,9,8,17,77,80,156,26,61,87,3,3,4,8,15,21,38,70,111,8,3,6,5,8,14,3,4,10,12,12,20,0,0,0,22,25,50,13,7,16,7,10,16,0,8,8,11,13,19,0,0,0,26,40,71,49,66,117,6,7,16,13,11,20,0,0,0,19,15,35,496,314,814,694,564,1263
