CED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED302,12069,23492,9336,8125,11871,6953,3999,6209,1400,83448
CED303,10144,14123,11969,8986,11605,6939,4800,6985,1256,76809
CED304,17588,41456,8811,11179,13868,8197,2839,6175,1742,111844
CED305,7544,11290,13172,8490,8614,5691,9328,8318,1505,73943
CED306,8763,12409,13888,9301,8766,6785,8239,9143,1495,78793
CED307,10670,18387,11514,9725,12294,6961,4468,6311,1291,81628
CED308,11813,16799,13319,11426,12063,9931,5824,8892,1867,91924
CED309,10014,17139,11993,10676,9596,7537,3792,7625,1384,79759
CED310,9666,16536,12223,10783,9759,7711,4060,7941,1363,80042
CED311,9272,8789,12232,7200,7132,5424,9437,9799,1587,70874
CED312,9347,13171,14186,10959,12316,8082,8544,10390,1953,88952
CED313,16383,37711,8951,10208,13305,7387,2898,5692,1541,104078
CED314,8490,15113,10874,10158,9420,6399,4658,8395,1221,74725
CED315,7793,15321,11518,13133,9751,6870,5896,7527,1397,79204
CED316,5846,9685,7949,9053,6468,5724,4012,7878,1043,57667
CED317,9929,10178,11689,8760,8058,5745,7236,10716,1715,74014
CED318,9253,16809,11592,12270,9255,7160,4490,8149,1583,80553
CED319,11180,23742,9977,9598,12359,6751,4061,6418,1437,85518
CED320,8029,10520,12671,10996,10610,7744,6720,10640,1618,79546
CED321,12395,8094,8730,7005,6927,5018,5717,10532,1381,65800
CED322,10738,19079,11224,10619,10097,8383,3121,6489,1610,81368
CED323,11619,18579,11790,12038,10633,9503,4086,8717,1881,88852
CED324,10031,26670,8990,8878,10341,6471,4531,7216,1620,84734
CED325,9116,18350,10414,10808,11435,6813,7656,9012,1755,85343
CED326,9672,17314,11482,11817,12245,7591,6030,8230,1616,86000
CED327,7332,13966,10926,9843,11000,7028,9034,10026,1799,80960
CED328,13252,32836,6683,8964,10305,6305,2085,4244,1104,85771
CED329,7725,9392,8783,8063,6604,5746,3947,7416,1244,58919
CED330,11133,12618,14097,9606,11056,7027,7077,10406,1805,84824
CED394,290,488,386,429,275,208,319,732,98,3219
CED397,0,10,0,0,0,0,0,17,0,29
CED401,12811,30794,10704,12694,12315,7794,4400,8612,1707,101835
CED402,13326,9611,10770,9267,7749,6565,5949,13332,1480,78057
CED403,11886,26331,9504,11643,11081,7063,2813,6006,1314,87641
CED404,11859,9661,10584,9243,7143,5827,6941,9613,1499,72377
CED405,10748,19009,11260,11006,12365,7427,4908,7460,1470,85666
CED406,8121,14022,12896,11840,11251,7549,4475,7810,1339,79312
CED407,8510,15041,12452,11423,11860,7323,5899,8619,1550,82673
CED408,12489,17576,11645,10198,9372,6693,3604,8040,1309,80933
CED409,7022,8728,11329,11676,9510,7212,8295,11988,1800,77544
CED410,12571,29558,9211,10446,12246,7491,3323,6462,1342,92646
CED494,66,123,106,76,64,57,66,141,27,724
CED497,0,0,0,0,0,0,0,0,0,8
CED501,7728,12169,16148,11994,9903,7150,8509,9317,1491,84405
CED502,6781,13461,14211,10828,10612,6871,9383,9940,1637,83729
CED503,7309,9623,13386,8786,7900,5976,7733,7145,1274,69139
CED504,8218,15856,13728,11284,11161,7558,6946,10059,1648,86454
CED505,15132,35606,6848,9009,9415,6109,2157,4505,1308,90102
CED506,12241,13395,16918,10102,9889,5805,10517,10616,1934,91415
CED507,8597,11932,13409,8687,7724,6334,6659,9716,1200,74255
CED508,11075,23338,13271,10109,10800,6429,4943,6825,1394,88177
CED509,9976,15518,14406,10926,11636,7183,7697,7680,1539,86562
CED510,12178,22396,12535,9666,11798,7002,3450,5591,1218,85832
CED511,14265,10588,13048,8156,7917,5465,9316,10438,1438,80632
CED512,9728,15421,15774,11958,12226,8173,6737,8880,1531,90414
CED513,13928,33808,11423,11290,12336,6845,4329,7039,1454,102446
CED514,11305,25676,13447,11851,12381,7392,7496,8640,1798,99983
CED515,12113,27927,10484,9448,11761,7305,4271,6192,1304,90803
CED594,107,257,272,223,150,77,213,292,33,1614
