CED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
CED225,0,0,0,0,4819,4822,31,0,0,0,4573,4603,2339,52,86,9,6849,9331,7027,272,436,17,3033,10785,7198,455,902,52,2046,10654,6314,357,1130,130,1346,9282,5668,235,884,296,590,7668,3197,103,344,442,166,4249,870,20,69,465,47,1467,32640,1490,3856,1413,23471,62867,0,0,0,3,4334,4341,60,3,4,3,4139,4212,3238,125,140,14,6107,9618,7612,370,660,35,2806,11482,7251,536,1389,128,2030,11333,6478,429,1736,408,1258,10305,5298,289,1476,1048,599,8707,2424,108,648,1646,198,5018,487,12,136,1709,60,2403,32848,1865,6197,4987,21532,67424,0,0,0,3,9155,9163,91,4,9,3,8715,8816,5574,176,223,17,12959,18952,14641,646,1098,52,5834,22268,14448,987,2297,181,4080,21990,12797,782,2870,535,2607,19590,10963,521,2361,1340,1188,16381,5619,207,997,2088,359,9268,1353,31,202,2177,107,3870,65487,3359,10056,6391,45001,130296
CED226,0,0,0,0,5866,5870,40,3,0,6,6039,6089,2022,58,86,3,8152,10321,6106,188,399,4,2497,9190,7946,347,716,50,1496,10554,7324,258,831,110,1068,9586,5674,173,589,223,638,7299,3261,84,316,344,254,4256,1089,22,69,543,97,1821,33465,1129,2995,1287,26106,64987,0,0,0,0,5658,5657,67,3,0,0,5899,5977,2741,83,159,6,7556,10543,7135,296,639,31,2576,10684,8976,478,1188,127,1599,12363,7256,323,1488,303,1144,10519,5400,212,1245,886,716,8461,2538,79,633,1639,456,5347,549,13,189,2146,272,3168,34665,1492,5548,5134,25887,72722,0,0,0,0,11524,11534,111,4,0,8,11937,12067,4766,138,245,13,15705,20867,13241,484,1036,42,5074,19873,16919,829,1905,174,3086,22915,14581,579,2316,407,2216,20099,11079,381,1832,1102,1354,15755,5798,162,944,1982,716,9605,1637,37,252,2691,366,4987,68135,2616,8543,6421,51988,137707
CED227,0,0,0,0,5531,5536,96,7,3,4,5004,5115,4826,149,156,19,7264,12406,9743,396,595,19,2471,13221,7173,487,1071,55,1488,10272,5242,350,1059,132,770,7559,3914,222,674,213,262,5278,2213,92,251,325,97,2977,488,12,37,258,15,809,33694,1706,3852,1030,22900,63186,3,0,0,0,5055,5061,260,15,6,4,4682,4964,6696,285,292,18,6379,13663,9605,579,887,75,2334,13482,6852,644,1580,157,1381,10612,4969,453,1581,460,577,8044,3671,223,1117,945,206,6162,1591,60,382,1275,84,3402,233,0,80,933,27,1271,33884,2260,5925,3862,20724,66650,9,0,0,0,10585,10598,356,22,6,9,9689,10078,11520,432,445,35,13639,26068,19348,980,1484,95,4808,26702,14027,1130,2651,211,2875,20885,10211,802,2641,592,1346,15597,7584,443,1789,1158,473,11444,3806,149,637,1608,182,6381,721,13,116,1191,42,2079,67572,3969,9774,4898,43627,129832
CED228,7,0,5,0,5858,5868,182,12,0,4,6844,7043,7148,246,223,22,9564,17204,14317,534,706,32,3196,18796,7274,541,1000,60,1830,10709,5512,407,1139,129,905,8100,3796,256,638,292,355,5335,1604,67,206,317,77,2270,302,8,26,217,15,566,40137,2073,3946,1084,28650,75889,15,0,0,4,5403,5420,546,28,23,0,5497,6088,10700,392,385,34,7237,18757,12896,764,1004,123,2839,17623,6489,689,1531,247,1620,10575,5173,492,1610,707,710,8693,3216,256,919,1109,227,5721,1013,61,320,1103,67,2555,157,4,48,815,12,1038,40204,2680,5833,4128,23621,76468,20,0,5,4,11261,11294,722,40,19,3,12346,13134,17849,639,605,55,16802,35954,27214,1296,1714,154,6040,36421,13763,1227,2533,313,3460,21287,10682,901,2749,835,1615,16791,7010,509,1553,1397,579,11050,2613,129,523,1419,144,4825,458,10,79,1029,28,1603,80336,4754,9779,5215,52272,152359
CED229,0,0,0,0,2893,2896,91,0,4,4,5271,5371,3283,152,195,11,16001,19644,6078,385,863,14,6897,14237,4950,497,1245,44,3793,10536,4271,428,1487,118,2235,8543,3730,271,1179,211,1122,6516,2049,102,503,239,424,3311,574,21,91,291,125,1101,25046,1851,5566,934,38754,72154,3,0,0,0,2983,2989,192,11,0,0,5787,5998,4281,214,429,10,16028,20964,6112,438,1162,53,6517,14287,4976,526,1704,132,3592,10935,4222,355,1867,313,2048,8802,3360,257,1628,767,896,6911,1483,78,657,1159,268,3650,282,8,154,1222,86,1757,24914,1880,7616,3661,38211,76283,7,0,0,0,5873,5881,286,15,0,0,11058,11363,7564,364,627,24,32025,40606,12193,821,2026,71,13412,28521,9930,1020,2959,180,7384,21470,8495,777,3353,432,4283,17343,7090,533,2812,979,2024,13427,3534,178,1160,1398,690,6958,855,28,249,1515,212,2862,49956,3735,13184,4601,76964,148433
CED230,0,0,0,5,4695,4701,113,13,0,5,4202,4333,2801,151,119,15,6606,9688,4821,399,489,20,2990,8713,5489,566,1162,87,2612,9910,7131,708,1956,243,2089,12130,6963,568,1794,518,1119,10974,4066,186,681,785,382,6099,1127,33,87,768,111,2129,32507,2625,6291,2438,24815,68674,4,0,0,0,4278,4283,191,23,0,5,3685,3902,3497,271,191,25,5885,9873,5071,555,620,57,2792,9092,5929,696,1514,214,2057,10412,7231,633,2224,692,1307,12097,6438,391,1692,1603,527,10641,3095,111,580,2623,185,6596,585,15,117,2537,87,3339,32037,2704,6936,7759,20807,70245,4,3,0,5,8974,8984,298,38,4,8,7893,8235,6295,426,311,43,12491,19562,9889,950,1115,77,5783,17807,11418,1266,2677,302,4666,20319,14364,1343,4185,937,3403,24230,13406,962,3487,2123,1645,21612,7167,293,1261,3408,567,12696,1708,50,202,3298,197,5466,64547,5328,13230,10193,45621,138916
CED231,0,0,0,0,4090,4092,73,3,6,0,4799,4882,2628,81,132,11,8958,11811,6405,324,519,14,3680,10951,6237,490,1043,43,2306,10114,5269,398,1164,102,1379,8317,4407,242,802,279,709,6444,2915,123,306,396,230,3965,919,22,58,461,61,1526,28857,1689,4024,1318,26209,62097,0,0,0,0,3787,3790,143,12,0,0,4536,4692,3514,182,265,7,8178,12153,6786,453,804,45,3488,11574,6298,592,1467,151,2180,10688,5228,459,1667,403,1295,9057,4360,284,1154,1094,633,7522,2230,98,461,1900,201,4889,378,10,98,1774,72,2332,28929,2087,5918,5380,24373,66690,5,0,4,0,7876,7886,208,17,5,0,9335,9572,6145,267,396,22,17131,23961,13191,775,1325,60,7168,22522,12532,1075,2509,199,4489,20803,10499,855,2825,504,2677,17371,8763,530,1953,1375,1343,13963,5140,222,770,2296,425,8855,1295,34,157,2236,131,3856,57782,3777,9947,6697,50585,128786
CED232,0,0,0,0,5313,5316,51,5,5,0,4411,4479,3663,106,112,6,5912,9796,8196,332,518,17,2644,11704,7107,514,1069,53,1702,10448,6019,393,1135,149,905,8598,4727,262,734,292,345,6364,2339,86,283,331,95,3138,361,13,44,241,20,679,32472,1707,3901,1090,21350,60522,11,0,3,0,4950,4956,153,9,4,0,3862,4030,5029,202,201,9,5293,10739,8405,499,807,51,2575,12340,7041,668,1629,192,1614,11141,5786,434,1595,398,789,9004,4421,239,1123,922,255,6954,1569,49,344,1015,89,3069,192,9,68,799,18,1076,32605,2106,5776,3380,19438,63308,6,0,3,0,10263,10275,210,14,14,0,8271,8507,8695,299,319,13,11209,20536,16607,833,1320,67,5217,24045,14145,1183,2698,246,3317,21585,11804,830,2731,547,1699,17607,9147,500,1860,1217,595,13314,3913,135,629,1339,182,6201,552,20,108,1038,38,1750,65077,3818,9676,4468,40793,123834
CED233,14,0,0,0,3431,3449,162,11,7,11,12730,12923,4608,256,337,17,28133,33351,6008,470,943,15,8960,16397,3798,484,1096,61,3618,9062,3344,381,1251,111,2062,7144,2655,232,905,175,867,4835,1382,75,335,210,350,2358,374,14,60,205,93,751,22347,1927,4938,807,60246,90270,18,0,0,0,4308,4326,281,28,21,9,14714,15054,5560,414,536,21,27448,33977,5574,486,1172,67,7483,14783,3924,472,1420,126,2975,8916,3199,356,1681,338,1573,7154,2393,231,1269,686,802,5380,948,69,535,890,303,2731,181,12,112,839,119,1255,22071,2055,6747,2964,59728,93572,29,0,0,0,7736,7776,447,35,30,16,27446,27976,10167,667,873,39,55579,67326,11580,956,2114,85,16444,31175,7723,955,2517,184,6595,17975,6551,741,2931,447,3635,14302,5044,458,2180,861,1666,10215,2324,144,868,1100,657,5089,554,24,173,1041,214,2004,44419,3990,11693,3777,119972,183844
CED234,0,3,0,0,5335,5343,69,0,0,0,5618,5683,3085,71,168,6,6887,10218,7923,270,450,9,2401,11052,8113,390,877,49,1767,11196,7640,334,998,100,972,10045,6174,198,635,277,400,7694,4523,99,328,573,131,5658,1584,24,74,673,36,2391,39120,1391,3533,1693,23552,69291,0,0,0,0,4814,4818,123,4,3,0,4957,5085,4137,120,247,13,5876,10392,8811,397,789,37,2158,12194,8578,581,1375,134,1552,12220,7795,364,1657,412,906,11134,6135,212,1156,1140,452,9097,3643,102,571,2395,180,6895,744,19,167,2373,74,3383,39966,1803,5962,6508,20969,75208,3,3,0,0,10144,10157,193,4,0,0,10570,10771,7219,193,410,16,12767,20607,16731,665,1236,47,4556,23247,16689,977,2251,182,3322,23420,15434,697,2649,512,1883,21181,12310,413,1788,1424,850,16789,8174,199,905,2970,312,12559,2331,43,238,3049,113,5775,79087,3197,9491,8201,44525,144504
