CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED144,901,874,1783,187,201,386,281,590,867,364,1352,1714,931,2311,3237,1062,1251,2316,2811,965,3776,2512,1161,3670,3107,1283,4392,3516,1040,4562,2568,844,3407,2604,649,3248,5148,1109,6254,3619,277,3896,2830,298,3135,2001,88,2083,5427,406,5837,2304,355,2659,595,487,1082,42775,15532,58304
CED145,363,751,1113,93,203,300,88,394,480,83,657,741,211,1314,1532,233,1211,1449,569,1087,1660,586,1394,1984,919,1711,2628,1101,1621,2730,907,1613,2522,1193,1584,2782,2822,3433,6251,2339,445,2781,2577,1420,3995,2038,371,2405,17072,4018,21096,2042,766,2807,384,497,883,35629,24488,60119
CED146,683,491,1175,163,132,294,268,456,720,324,916,1239,885,1692,2578,1004,665,1667,2574,526,3096,2382,782,3164,2923,754,3680,3456,546,4005,2784,425,3210,2885,377,3262,6198,470,6663,4914,56,4971,3862,93,3949,2646,17,2665,6463,125,6587,2590,86,2677,637,396,1034,47644,9006,56648
CED147,504,557,1061,184,192,378,198,588,781,223,1158,1377,813,3247,4063,875,1915,2792,3119,1165,4279,2720,1390,4107,3032,1372,4407,3573,911,4481,2572,767,3341,2810,586,3396,5933,865,6801,4727,99,4827,3837,167,4002,2330,37,2367,5497,264,5764,2581,141,2719,540,645,1192,46080,16067,62141
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,476,511,983,202,179,376,186,380,571,208,790,1003,630,2209,2840,674,1306,1976,2137,997,3131,2007,1193,3200,2666,1286,3949,3100,965,4062,2425,846,3277,2559,687,3243,5865,1019,6878,4928,141,5072,4167,193,4357,2670,56,2735,6322,244,6565,2209,140,2348,419,435,855,43837,13585,57422
CED202,323,530,854,145,212,356,147,583,734,211,1304,1516,690,3551,4242,902,2210,3110,2716,1402,4120,2455,1796,4252,2937,1817,4759,3438,1276,4711,2525,1054,3574,2629,786,3410,5215,1046,6269,3837,159,3990,2954,228,3186,1732,50,1785,4029,367,4393,2358,252,2605,516,659,1183,39753,19282,59035
CED203,286,523,814,167,244,415,158,599,756,194,1315,1512,709,3551,4259,861,2217,3073,2802,1478,4279,2584,1784,4367,2955,1747,4703,3467,1183,4652,2503,1012,3509,2587,761,3351,5440,1033,6468,3920,157,4075,3020,190,3218,1770,47,1818,3628,303,3935,2352,270,2623,541,699,1240,39945,19116,59059
CED204,653,635,1290,197,164,367,239,416,653,293,867,1162,825,2266,3090,878,1159,2030,2641,841,3486,2566,1163,3725,3085,1252,4339,3751,956,4709,2808,749,3559,2962,514,3470,6248,805,7058,4669,200,4864,3456,180,3641,2184,116,2302,4524,335,4859,2593,202,2797,571,466,1037,45135,13298,58429
