CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED324,0,19,26,55,47,27,5,4,0,182,0,10,7,90,39,20,28,8,3,210,0,3,12,61,28,17,42,40,29,228,6,40,49,92,38,14,13,5,0,250,14,78,112,767,225,98,42,24,0,1352,0,0,6,7,11,15,7,7,0,47,0,29,96,399,148,110,103,55,15,956,0,0,0,0,5,0,3,5,0,12,0,0,3,14,8,4,3,0,0,26,0,0,7,20,6,0,9,5,6,56,0,3,59,122,4,0,0,0,0,200,0,8,5,27,18,21,33,44,8,160,21,159,335,807,455,322,193,72,13,2367,0,0,0,6,6,7,7,8,3,32,5,76,83,336,54,29,14,0,0,589,0,8,55,63,88,83,42,20,11,369,4,59,107,452,124,63,43,10,6,867,0,0,0,30,11,16,14,13,12,95,0,9,8,33,26,32,21,3,0,120,0,0,8,44,46,63,47,47,12,274
CED325,0,16,23,51,35,18,13,4,0,159,0,18,8,69,27,33,25,14,5,195,0,6,3,29,15,15,34,25,21,153,0,8,11,17,19,8,8,0,0,68,0,11,39,133,60,25,18,9,6,303,0,0,0,15,15,16,8,5,5,76,0,25,33,138,74,61,59,24,5,426,0,0,0,0,0,3,20,17,6,47,0,0,3,9,8,0,7,4,0,34,0,3,0,55,24,16,10,7,3,108,0,16,20,218,24,11,0,0,0,289,0,3,6,25,17,27,77,57,21,231,57,492,838,1909,778,585,300,98,20,5079,0,0,0,12,0,13,11,0,4,42,0,35,31,122,24,14,4,4,0,227,0,9,30,68,46,26,9,4,0,197,5,81,161,427,235,116,41,14,5,1089,0,0,4,30,11,25,44,12,3,135,5,57,102,305,216,246,106,38,6,1077,0,10,17,62,69,95,88,52,12,398
CED326,0,28,17,37,11,18,3,0,0,111,0,24,14,111,38,28,27,20,10,270,0,8,3,23,20,34,80,47,44,260,0,9,16,10,21,3,9,0,0,68,4,30,9,128,35,12,3,0,0,223,0,0,0,7,7,4,3,6,0,35,0,11,8,70,35,32,16,4,0,184,0,0,0,0,0,4,28,10,5,46,0,0,5,6,3,7,9,7,0,34,0,0,4,16,6,6,6,0,0,30,3,17,30,254,31,11,0,0,0,345,3,10,9,13,22,27,77,79,22,257,59,419,708,1574,874,713,507,193,62,5116,0,0,0,9,3,3,3,0,0,20,0,12,8,53,21,7,0,0,0,101,3,13,30,77,83,47,32,10,4,301,6,105,192,435,266,125,44,9,0,1177,0,0,0,24,14,14,22,9,5,84,0,8,30,106,60,70,49,9,0,344,5,18,34,60,88,94,112,80,33,520
CED327,0,34,33,119,73,35,16,4,0,309,0,24,3,46,25,14,27,22,5,172,0,4,3,17,11,23,29,35,12,127,0,7,13,24,19,4,5,0,0,74,6,66,82,498,185,66,31,7,0,936,0,3,4,45,26,24,16,5,0,122,17,80,61,256,94,97,70,28,4,715,0,0,0,0,0,4,11,16,0,30,0,0,3,7,3,10,10,0,0,35,0,49,152,497,144,63,39,17,3,966,0,0,0,23,9,0,0,0,0,31,0,0,0,20,11,22,49,45,14,159,47,579,1063,2140,965,773,443,144,19,6178,0,0,0,12,8,18,14,3,0,67,10,95,106,355,92,46,23,5,0,732,5,18,55,81,88,77,48,22,3,395,4,54,125,340,168,134,59,19,0,902,0,0,0,27,11,23,26,7,6,104,3,49,55,221,177,182,102,25,6,825,0,0,13,29,29,82,78,44,8,291
CED328,0,0,7,14,11,6,8,0,0,49,5,30,30,133,84,45,30,23,12,387,0,15,13,57,41,20,45,29,22,242,3,24,47,46,26,9,9,5,0,176,5,47,78,146,81,21,12,3,0,390,0,0,6,13,3,4,3,0,0,30,0,30,126,191,88,61,61,47,9,614,0,0,0,0,0,0,0,7,0,7,0,0,12,14,6,10,9,0,0,40,0,0,8,12,5,8,5,0,0,43,0,7,71,169,4,3,3,0,0,261,0,18,17,33,39,40,51,45,8,248,17,113,297,567,460,294,210,82,29,2064,0,0,0,6,9,4,9,3,0,27,0,12,3,69,7,7,0,0,0,105,0,15,34,65,80,53,22,11,0,276,0,20,56,116,46,15,11,10,0,265,0,4,5,46,23,24,20,6,3,119,0,0,3,6,0,0,0,0,0,19,0,35,44,78,115,113,79,48,12,526
CED329,0,0,0,0,0,0,0,0,0,7,0,7,9,28,16,24,22,13,4,121,0,3,8,50,17,30,39,22,10,176,3,10,0,8,4,0,7,0,0,35,0,4,0,16,5,0,0,0,0,21,0,0,0,0,0,6,0,0,0,4,0,0,3,13,7,17,11,4,0,59,0,0,0,0,0,8,17,15,0,38,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,4,0,5,9,32,0,0,0,0,0,39,0,5,8,9,30,49,122,88,20,324,10,51,77,311,408,467,550,243,42,2152,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,13,0,0,3,15,39,28,10,3,0,105,7,29,26,56,17,6,10,3,0,156,0,0,0,3,3,7,17,6,4,48,0,0,0,0,0,0,0,0,0,4,0,7,13,26,42,61,109,54,18,320
CED330,0,0,3,16,5,0,3,0,0,32,0,5,4,54,27,20,20,16,3,168,0,0,0,18,8,27,41,25,4,121,0,5,21,32,8,13,13,4,0,100,0,6,19,96,14,8,6,0,0,145,0,0,0,0,0,0,8,0,0,8,0,4,4,22,19,30,13,8,0,97,0,0,0,0,8,12,22,11,0,57,0,0,0,12,3,10,9,0,0,31,0,5,0,53,7,9,3,0,0,77,0,0,0,19,0,0,0,0,0,16,0,4,8,24,44,58,107,82,15,338,14,184,346,1171,904,717,495,187,18,4034,0,0,0,3,0,5,0,0,0,8,0,7,3,28,7,4,4,0,0,67,0,12,29,48,50,40,22,7,0,196,4,23,40,82,30,14,3,0,0,202,0,0,3,16,10,15,12,3,4,60,0,9,6,27,15,10,8,4,0,79,0,9,12,46,77,94,86,49,11,388
CED394,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,7,3,0,0,25,0,0,4,18,0,0,3,3,0,32,0,0,6,9,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,14,3,0,35,0,6,13,80,46,61,87,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,10,0,9,3,3,6,0,0,0,0,22,0,0,5,10,10,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,9,6,3,0,34
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,0,6,6,77,41,25,13,0,0,180,0,5,7,57,29,18,23,12,3,147,0,10,11,121,57,129,288,278,212,1100,0,16,20,49,20,0,9,3,0,116,4,25,69,280,47,12,3,4,0,440,0,11,9,31,26,26,18,5,0,125,5,30,253,416,100,48,59,25,3,943,0,0,0,5,8,20,32,32,12,99,0,0,5,15,5,4,0,0,0,23,0,7,12,41,12,3,4,0,0,76,3,16,171,635,20,4,4,0,0,858,0,0,5,21,19,28,62,35,18,190,5,35,70,242,110,118,92,36,9,711,0,0,0,7,3,0,6,0,0,26,14,114,159,502,45,15,8,7,0,867,0,0,5,12,29,15,7,4,0,75,7,61,147,487,133,70,30,3,0,949,0,0,3,59,31,48,62,32,22,254,0,0,0,0,3,0,0,0,0,8,0,3,12,73,50,108,122,45,17,424
