CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED402,0,8,0,8,4,0,0,0,0,24,0,0,0,16,10,10,7,8,4,57,0,0,6,15,3,30,64,83,53,260,0,0,0,5,6,0,0,0,0,13,0,0,4,13,7,0,0,0,0,28,0,0,0,0,0,3,6,0,0,9,3,10,25,142,17,6,11,0,0,214,0,0,0,0,0,6,10,6,0,21,0,0,0,0,3,0,3,0,0,9,0,3,11,63,22,10,0,0,0,114,0,0,10,34,4,0,0,0,0,49,0,0,0,11,9,36,161,74,18,316,9,30,61,199,150,174,133,36,7,799,0,0,0,0,0,0,0,0,0,4,3,8,14,56,8,0,0,0,0,85,0,0,0,4,13,3,4,6,0,29,3,78,95,170,70,15,10,0,0,437,0,0,0,0,6,7,13,3,0,37,0,0,0,36,3,0,0,0,0,38,0,4,5,17,30,83,117,57,18,328
CED403,0,6,8,26,13,5,3,3,0,64,0,19,8,95,42,40,34,29,13,273,0,3,8,37,28,45,129,139,73,463,0,12,7,29,17,8,4,0,0,71,4,18,46,100,30,16,0,0,0,208,0,4,3,18,24,25,20,19,7,117,4,24,62,184,74,59,48,22,8,482,0,0,0,3,0,7,21,18,9,55,0,0,0,9,7,0,0,3,0,16,0,0,4,12,6,0,3,3,0,28,5,36,181,819,27,6,8,0,0,1079,0,3,11,24,27,37,97,91,28,309,3,25,35,193,151,120,100,50,11,696,0,0,0,6,0,0,0,0,0,12,3,34,42,149,26,17,7,0,0,285,0,0,10,15,27,16,10,6,0,81,5,34,80,224,72,44,18,4,0,481,0,8,3,45,36,46,58,20,13,224,0,0,0,0,0,0,0,0,0,3,0,25,25,79,104,145,141,86,29,636
CED404,0,0,0,3,0,0,0,0,0,3,0,4,0,12,4,12,9,19,0,57,0,0,0,8,9,21,78,78,32,228,0,0,0,0,0,0,5,0,0,5,0,3,3,11,0,4,0,0,0,25,0,0,0,4,0,0,0,0,0,9,0,3,5,21,8,9,0,0,0,48,0,0,0,0,0,3,17,12,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,3,23,4,0,0,0,0,34,0,0,4,8,13,34,122,76,18,272,4,19,25,140,135,141,108,38,7,612,0,0,0,0,0,0,3,4,0,6,0,7,3,35,6,5,0,0,0,58,0,0,0,3,13,10,0,0,0,36,3,58,57,167,76,21,10,0,3,400,0,0,0,4,3,10,16,3,9,47,0,0,0,5,0,0,0,0,0,3,0,0,12,23,43,149,117,85,12,447
CED405,0,0,22,38,30,6,6,4,0,105,0,18,18,75,32,35,26,24,14,234,3,11,17,86,59,209,478,490,313,1665,0,0,8,8,10,3,0,0,0,33,3,0,19,34,11,3,0,0,0,74,0,0,3,12,15,21,11,12,5,75,5,9,33,124,37,26,39,13,0,278,0,0,0,0,4,8,50,16,15,98,0,0,0,5,7,0,0,0,0,9,0,0,3,5,0,4,3,0,0,18,0,6,49,274,12,4,0,0,0,343,0,8,3,25,19,27,81,43,18,211,5,28,38,178,146,124,83,27,0,631,0,0,3,12,10,13,14,9,3,53,6,32,44,174,26,4,10,0,0,305,0,0,4,12,20,8,5,0,0,51,0,52,125,282,138,77,22,3,4,699,0,0,0,65,28,45,71,34,19,273,0,0,0,6,4,0,0,0,0,8,0,3,29,58,68,119,130,66,22,494
CED406,0,4,5,21,13,4,3,6,0,52,0,13,12,47,39,37,43,25,15,230,0,3,0,26,17,35,76,69,16,241,0,8,3,6,7,0,4,0,0,24,0,8,15,40,12,6,0,0,0,80,0,0,3,13,16,25,15,7,0,87,0,6,15,32,15,23,30,11,0,141,0,0,0,0,0,9,24,18,4,56,0,0,5,6,4,3,0,0,0,20,0,0,0,0,0,0,4,0,0,7,0,0,0,49,4,0,0,0,0,57,0,7,7,17,24,44,166,118,24,402,4,30,42,245,175,155,130,42,9,825,0,0,0,0,0,0,3,0,0,6,5,13,25,94,25,20,5,3,0,196,0,0,3,18,24,9,6,0,0,58,0,28,74,165,75,37,22,5,0,408,0,0,10,73,40,76,108,24,3,336,0,0,0,0,0,0,3,0,0,4,0,23,53,125,123,236,194,106,49,914
CED407,0,22,32,100,47,29,8,6,0,240,0,13,6,24,24,24,29,31,6,158,0,6,6,25,35,112,229,156,100,664,0,5,3,13,5,4,5,0,0,29,0,9,38,89,43,7,0,0,0,177,0,12,11,58,33,24,36,8,0,187,4,43,31,130,39,23,36,14,4,322,0,0,0,3,0,16,51,30,10,110,0,0,5,5,3,4,0,0,0,10,0,8,55,86,30,5,5,0,0,183,0,15,39,157,21,3,0,0,0,236,0,0,4,10,14,34,115,92,23,292,0,26,46,130,96,89,75,27,7,500,0,0,0,4,4,3,10,5,3,37,6,134,115,230,34,3,5,0,0,530,0,0,4,11,22,12,0,0,0,45,5,55,135,325,161,82,33,14,0,801,0,0,3,59,47,80,97,33,14,330,0,0,3,4,3,0,0,0,0,13,0,6,7,58,62,171,145,131,30,606
CED408,0,0,0,0,0,4,0,0,0,9,0,13,10,31,27,36,34,20,15,187,0,4,0,23,25,35,98,73,20,282,0,10,7,12,8,4,4,0,0,33,0,13,11,15,9,0,0,0,0,42,0,0,0,6,4,5,4,0,0,15,0,9,19,37,29,21,17,8,4,134,0,0,0,0,3,9,15,10,0,38,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,18,3,3,0,0,0,22,0,7,6,20,28,45,214,127,22,462,5,25,45,148,170,158,155,72,10,790,0,0,0,0,0,0,5,0,0,3,0,0,0,7,6,0,0,0,0,21,0,3,0,12,28,13,8,0,0,58,0,17,35,60,17,5,4,0,0,140,0,0,0,23,23,13,20,4,4,91,0,0,0,0,0,0,0,0,0,0,0,12,25,58,80,160,174,102,27,635
CED409,0,4,14,57,23,27,6,0,0,127,0,9,9,19,19,26,31,31,14,156,0,0,0,17,19,59,179,146,80,508,0,0,3,3,0,3,0,0,0,12,0,3,5,12,3,0,0,0,0,25,3,14,0,19,9,15,8,4,0,75,14,94,14,80,19,20,8,6,0,245,0,0,0,0,5,15,32,17,7,70,0,0,4,4,0,0,5,0,0,21,3,50,133,408,97,42,15,0,0,749,0,136,260,219,6,0,4,0,0,624,0,0,6,14,11,45,110,75,20,273,3,28,65,174,119,125,86,21,0,617,0,0,0,5,3,8,0,0,0,17,5,99,102,183,21,8,0,0,0,416,0,0,0,5,13,7,4,0,0,32,5,75,158,312,144,73,16,0,0,799,0,0,10,44,33,29,72,12,9,205,0,3,0,6,8,0,0,0,0,18,0,0,4,38,65,183,156,116,45,606
CED410,0,0,12,26,21,17,3,0,0,85,0,18,6,50,26,32,34,10,14,187,3,19,15,133,93,320,811,831,474,2704,0,13,31,39,17,3,10,0,0,118,9,62,114,257,127,47,9,3,4,628,0,11,5,52,30,35,39,20,10,200,6,84,165,438,197,120,156,101,18,1279,0,0,0,3,0,11,26,20,9,64,0,0,0,8,0,0,0,0,0,10,0,0,3,14,7,9,0,0,0,28,0,9,73,281,13,6,4,0,0,391,0,0,10,25,23,14,72,89,20,254,4,40,55,154,110,106,90,47,13,611,0,0,0,0,0,0,3,0,0,4,3,75,52,240,57,7,3,3,0,443,0,3,0,11,17,7,0,0,0,40,0,45,53,198,76,32,10,5,0,424,0,3,5,53,38,50,72,35,26,279,0,0,0,0,3,0,0,0,0,7,0,13,16,40,52,96,101,82,20,417
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,0,0,4,14,3,5,0,0,0,26,0,33,48,184,70,44,43,32,11,468,0,8,3,28,16,40,61,45,20,215,3,8,0,9,6,6,6,0,0,36,3,5,9,59,13,11,3,4,0,104,0,0,3,3,7,5,0,0,0,15,6,15,26,114,39,31,27,8,3,270,0,0,0,8,0,3,15,10,0,32,0,0,16,41,14,15,13,3,0,102,0,0,0,16,20,13,16,8,0,74,0,0,3,44,10,0,0,0,0,57,0,9,10,26,37,38,102,55,19,301,46,424,539,1575,740,652,323,102,8,4405,0,0,0,8,0,5,4,0,0,19,0,15,16,62,15,10,0,4,0,116,0,4,8,24,24,11,0,0,0,65,5,268,402,575,411,86,28,3,0,1778,0,4,0,31,12,11,15,4,3,87,0,4,7,24,9,11,0,0,0,56,0,65,109,229,225,261,206,137,28,1265
CED502,0,12,24,110,45,37,9,3,0,232,0,37,16,109,30,33,49,43,7,321,0,0,3,38,29,44,101,67,42,333,0,7,5,16,16,0,0,0,0,44,3,17,15,181,40,23,13,0,0,295,0,9,5,21,33,20,15,5,0,111,10,103,193,716,228,185,207,61,11,1718,0,0,0,0,0,9,8,7,3,26,0,18,45,172,47,23,28,3,3,340,3,26,92,438,181,150,114,48,11,1054,0,4,16,130,20,3,0,0,0,170,0,5,6,29,31,34,121,88,31,353,21,237,301,955,500,490,246,61,18,2844,0,0,0,0,0,0,7,0,0,7,21,118,130,487,89,28,21,5,0,906,0,15,27,27,30,10,3,0,0,112,13,319,539,876,528,183,40,9,0,2502,0,0,0,36,13,20,27,7,0,109,0,4,12,17,18,5,7,5,0,63,0,9,21,103,88,138,138,111,29,634
CED503,0,0,3,0,7,4,0,0,0,11,0,20,25,126,43,43,63,34,8,370,0,0,3,17,12,33,120,79,36,298,0,3,0,9,0,0,6,0,0,15,0,3,11,21,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,11,14,44,37,36,23,12,4,168,0,0,0,0,0,5,15,7,0,26,0,6,13,38,14,5,11,9,0,95,0,0,0,12,5,10,8,6,3,50,0,0,4,21,4,0,0,0,0,28,5,8,4,27,40,36,141,108,28,395,15,161,228,765,504,511,378,131,14,2711,0,0,0,0,0,0,0,5,0,5,3,16,4,33,3,0,3,0,4,63,0,5,11,14,18,7,0,0,0,60,7,89,146,214,106,34,3,0,0,601,0,0,3,10,9,6,15,12,0,62,0,0,4,10,6,0,3,3,0,23,4,34,59,111,133,175,168,132,30,850
CED504,6,52,68,274,130,98,27,3,0,655,0,14,40,535,57,38,60,43,19,804,0,20,27,195,98,197,461,403,203,1603,0,12,13,27,15,3,3,0,0,68,0,8,9,78,18,4,3,0,0,127,0,3,9,26,10,21,13,5,0,98,12,97,88,422,155,164,203,106,12,1243,0,0,0,3,0,3,25,18,0,56,0,3,26,93,23,56,54,36,9,304,4,30,130,529,253,203,180,68,19,1415,0,4,19,106,10,0,3,0,0,143,0,4,12,20,11,27,64,48,23,215,15,103,191,697,364,355,216,67,9,2020,0,13,18,164,139,177,253,108,48,916,3,35,143,411,26,24,10,3,0,665,0,3,0,8,7,3,0,0,0,31,5,123,207,339,253,86,39,6,3,1059,0,7,4,63,37,61,83,34,10,302,0,0,3,13,0,4,0,0,0,23,0,11,13,91,74,147,105,97,17,551
CED505,0,4,3,13,9,12,0,0,0,38,3,39,28,479,98,122,74,48,21,916,0,18,24,194,81,46,121,126,60,673,16,56,37,79,56,15,10,3,3,276,4,22,21,50,21,6,0,0,0,131,0,0,0,10,11,7,5,0,0,26,9,59,113,293,175,136,162,96,39,1074,0,0,0,0,4,0,8,8,0,20,0,3,6,31,9,13,5,5,4,91,0,0,0,9,13,18,13,9,5,60,0,8,12,84,6,0,0,0,0,115,3,23,39,47,54,39,63,44,16,343,10,52,89,633,297,295,205,74,16,1668,0,0,0,9,4,6,14,3,3,40,3,12,11,58,13,7,0,0,0,107,0,0,3,0,20,11,4,0,0,47,0,17,39,101,26,13,0,0,6,207,0,6,8,61,23,36,47,10,7,193,0,0,0,3,4,0,0,0,0,7,4,41,59,208,162,173,124,80,28,876
CED506,0,0,0,20,8,0,0,0,0,27,3,5,12,213,40,27,27,19,6,355,0,5,8,72,12,21,58,45,15,225,0,5,5,11,0,0,0,3,0,25,0,0,4,25,4,0,0,0,0,36,0,0,0,9,8,4,0,0,0,23,0,0,20,104,38,22,13,7,0,206,0,0,0,0,3,3,15,12,0,44,0,0,6,23,12,3,7,0,0,54,0,0,0,23,8,9,9,0,0,54,0,7,3,49,5,3,0,0,0,66,0,3,11,27,20,40,81,51,12,247,16,103,188,1057,663,773,363,94,7,3267,0,0,0,9,0,13,9,6,0,35,0,3,4,77,5,9,0,0,0,100,0,3,10,19,29,12,4,0,0,83,8,129,193,500,265,101,6,0,0,1202,0,0,0,12,6,9,11,8,0,50,0,0,0,21,11,0,0,0,0,34,0,3,18,96,84,141,92,44,7,483
CED507,0,0,0,8,6,0,0,0,0,25,0,18,11,114,55,33,56,23,12,317,0,0,4,80,10,30,92,87,64,363,0,11,7,17,7,0,0,0,0,43,0,8,8,70,10,0,0,0,0,99,0,0,0,3,3,7,9,0,0,29,0,8,5,53,16,22,15,12,0,137,0,0,0,0,0,7,5,0,0,22,0,0,0,13,3,9,3,4,3,39,0,3,3,11,3,9,7,0,0,37,0,3,4,35,0,0,0,0,0,42,0,3,6,33,29,47,109,55,16,296,14,117,155,621,432,447,333,93,18,2223,0,0,0,0,0,4,0,0,0,7,0,20,7,33,5,6,4,3,0,75,0,0,0,22,19,7,4,0,0,53,9,105,114,302,128,26,3,0,0,694,0,0,0,15,10,9,15,8,6,59,0,0,0,5,0,0,0,0,0,6,0,3,14,70,72,124,122,64,13,488
CED508,0,5,0,19,9,0,0,0,0,37,3,34,33,340,86,58,40,29,15,628,0,13,16,192,90,149,320,314,216,1319,4,7,11,32,15,4,7,6,0,80,0,11,23,123,26,23,7,3,0,210,0,0,4,6,6,4,7,3,0,38,4,40,83,294,110,101,100,37,7,771,0,0,0,4,0,5,8,4,5,20,0,3,9,54,8,23,12,5,0,123,0,0,0,19,11,14,14,10,6,73,0,6,10,63,11,0,0,0,0,85,0,4,15,51,36,26,59,38,14,253,18,116,167,873,452,376,216,50,10,2265,0,0,0,3,0,4,3,3,0,17,3,15,14,93,5,11,6,0,0,145,0,0,0,6,22,6,3,0,0,40,11,141,274,459,317,108,12,3,0,1325,0,3,6,50,29,34,59,7,3,192,0,0,0,10,5,5,3,0,0,20,3,40,53,243,149,191,165,97,31,966
CED509,0,14,14,83,35,24,8,5,0,182,0,28,15,231,77,72,53,41,9,516,0,5,6,42,30,78,190,120,70,535,0,5,12,9,6,5,4,0,0,42,0,0,3,31,4,0,0,0,0,40,0,0,0,16,8,3,8,4,0,37,0,17,26,101,62,63,35,26,4,333,0,0,0,6,0,3,15,15,0,47,0,8,35,123,55,39,16,6,3,284,0,0,11,108,50,41,25,13,4,250,0,4,7,70,11,0,4,0,0,94,0,4,3,33,35,38,84,82,19,303,26,197,288,1036,568,587,329,79,12,3129,0,0,8,24,9,10,6,0,0,55,0,17,22,101,19,9,7,0,0,170,0,3,4,13,25,9,4,0,0,53,4,191,350,589,337,104,33,5,0,1602,0,0,5,40,22,20,30,8,9,132,0,0,0,9,4,6,4,0,0,20,0,9,36,135,125,165,168,92,31,760
CED510,0,3,3,8,11,11,0,0,0,35,4,97,86,568,170,151,136,56,17,1292,0,8,14,74,42,67,143,91,34,468,4,13,14,12,16,7,5,3,3,74,5,10,12,26,8,9,0,0,0,62,0,0,0,0,8,7,8,6,0,27,0,15,28,102,59,71,111,37,9,439,0,0,0,4,0,3,13,5,0,24,0,0,5,26,10,18,15,12,7,95,0,0,0,11,9,31,23,19,5,100,0,0,7,9,0,0,0,0,0,20,3,13,16,40,42,38,93,72,14,332,11,87,142,662,439,382,310,75,9,2109,0,0,0,11,9,24,22,3,0,75,0,5,9,43,4,4,4,0,0,67,0,0,3,11,25,11,8,0,0,49,0,22,29,73,27,23,16,4,0,193,0,9,9,46,31,43,84,13,4,242,0,0,0,4,0,0,0,0,0,7,0,79,160,290,292,353,285,136,30,1625
CED511,0,5,0,10,0,0,0,0,0,9,0,5,6,107,15,27,26,17,6,204,4,0,0,30,14,27,75,66,42,259,0,0,0,3,4,4,4,0,0,16,0,3,8,28,4,0,0,0,0,38,0,0,0,3,0,0,0,0,0,6,0,0,10,55,16,30,22,3,0,135,0,0,0,0,0,5,6,7,0,11,0,0,4,7,0,7,0,0,0,22,0,3,10,58,27,20,15,3,5,139,0,0,0,25,0,0,0,0,0,27,0,0,6,26,18,38,127,87,17,328,20,133,225,866,608,655,406,103,6,3020,0,0,0,0,3,0,3,0,3,23,0,5,9,30,4,5,0,0,0,61,3,8,18,35,37,12,3,0,0,119,9,118,143,422,174,53,10,7,0,938,0,0,0,5,11,9,9,11,8,54,0,0,0,10,5,4,4,0,0,24,0,5,10,48,56,112,95,75,19,417
CED512,0,5,16,60,39,19,8,0,0,145,0,77,97,430,132,85,68,39,4,922,0,13,12,43,39,58,102,57,21,343,0,9,3,7,7,0,3,0,0,29,0,0,7,43,14,5,3,0,0,75,0,0,4,11,3,6,10,4,0,31,3,15,61,192,86,73,47,13,0,489,0,0,0,5,3,9,14,3,0,40,0,9,17,92,26,49,35,4,0,233,0,0,0,26,31,28,20,15,9,128,0,3,14,36,9,0,0,0,0,55,0,5,7,24,25,26,56,54,14,207,21,261,339,1227,604,459,283,69,8,3279,0,6,4,103,59,38,33,3,0,250,5,13,27,62,19,7,3,5,0,144,0,0,7,8,16,7,3,0,0,45,0,91,231,337,212,60,21,3,0,953,0,6,6,60,26,33,58,17,0,208,0,0,0,0,7,7,0,0,0,19,7,94,212,411,321,277,168,95,24,1603
CED513,0,4,17,48,34,18,12,3,0,134,5,8,32,793,98,74,79,32,13,1132,0,12,36,356,73,131,311,340,218,1487,15,24,27,172,56,24,14,0,0,330,3,16,29,306,26,13,6,0,0,392,0,5,0,21,11,0,8,0,0,44,0,23,106,562,154,112,146,76,20,1196,0,0,0,3,4,9,14,16,6,53,0,0,19,132,29,45,32,8,7,273,0,0,4,60,42,72,65,33,9,283,3,11,66,319,16,5,0,0,0,421,0,7,9,46,34,22,56,49,23,252,13,44,107,800,356,402,230,68,12,2036,0,0,5,38,31,32,44,36,16,207,9,17,91,281,31,14,0,0,6,448,0,0,6,18,19,16,9,0,0,64,5,56,93,318,109,55,18,6,0,658,0,5,5,105,41,48,81,17,19,325,0,0,0,4,5,0,0,0,0,10,0,11,30,275,168,160,120,62,21,851
CED514,0,14,23,53,35,28,15,3,0,174,0,19,23,387,83,61,67,36,18,700,0,5,15,148,45,75,166,174,96,727,8,18,18,64,22,6,9,5,0,151,0,11,30,362,68,40,13,4,0,525,0,7,7,25,25,6,18,6,6,101,8,54,284,951,221,170,185,91,19,1989,0,0,0,4,0,7,14,6,0,37,0,5,41,197,36,38,17,11,3,350,3,5,22,104,68,104,79,34,19,430,4,14,181,623,30,18,0,0,0,873,0,3,4,41,20,32,68,75,17,262,14,133,216,959,459,530,289,80,15,2700,0,0,0,11,5,4,7,0,0,25,16,75,248,659,49,15,10,4,0,1082,0,6,16,27,23,12,0,0,0,81,9,135,323,611,289,109,26,3,0,1514,0,6,4,57,16,38,45,13,13,194,0,0,0,5,10,6,3,0,0,23,0,0,22,139,119,145,145,99,24,700
CED515,0,16,23,48,48,25,7,6,5,181,0,51,26,143,57,61,77,47,15,478,0,9,9,71,36,76,161,135,59,555,3,17,14,23,12,14,14,4,0,101,3,70,76,315,129,65,23,6,3,689,0,0,5,14,20,14,13,13,0,75,10,213,539,1346,629,589,673,324,62,4389,0,0,0,3,3,6,6,3,0,23,0,0,10,68,23,23,14,11,3,153,0,0,10,43,42,47,51,22,12,222,0,3,13,78,12,0,0,0,0,108,0,6,6,33,24,23,71,76,24,265,10,120,174,439,295,367,190,90,24,1715,0,0,0,3,4,0,7,0,0,11,6,62,84,260,69,25,23,3,0,534,0,0,6,14,11,4,3,0,0,41,0,60,115,184,88,44,14,7,0,522,0,3,5,30,22,30,46,5,10,147,0,0,0,5,4,3,0,0,0,21,0,22,67,109,145,225,177,102,41,898
CED594,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,16,0,0,3,11,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,12,5,5,10,50,27,32,16,9,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,0,16
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13
