CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED509,56,54,9,4351,257,41,27,253,30,136,29,54,30,114,2185,3157,25,0,18,12,0,10,0,0,4,8,72,154,4967,832,211,6974,897,3875,356,879,326,1123,2308,22735
CED510,60,74,9,7854,288,54,17,342,37,150,23,55,26,91,1686,2771,21,4,16,21,3,5,0,0,10,12,66,152,5218,940,182,8478,905,3196,317,818,242,1063,1778,23135
CED511,27,22,6,2483,444,57,32,419,42,130,24,52,24,113,1397,2733,17,0,13,15,7,4,0,9,4,18,74,163,3590,696,223,5320,630,2639,267,682,271,985,1523,16814
CED512,41,33,12,4416,322,50,47,294,56,109,24,64,35,100,2448,3555,14,0,30,14,7,6,0,0,3,7,104,193,5485,997,303,7975,1017,3915,413,1003,365,1181,2608,25256
CED513,25,62,7,5715,152,35,9,122,20,71,7,37,11,76,931,1473,8,0,0,13,4,4,0,5,3,7,40,85,3816,871,121,5805,842,2918,213,734,167,954,1004,17446
CED514,32,87,14,4680,169,27,13,139,29,104,21,32,15,81,1331,1962,6,4,15,7,3,3,4,0,4,14,56,110,4123,908,171,5771,809,3649,262,1023,235,1277,1436,19670
CED515,50,151,7,8306,259,57,24,267,35,151,19,69,22,135,1603,2633,19,0,9,5,3,4,5,0,5,5,60,108,5970,1103,152,8119,756,4514,277,1299,256,1709,1704,25865
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,5,10,4,1313,124,29,4,168,29,53,16,24,11,71,414,945,0,0,7,3,0,5,0,0,4,13,25,61,2044,641,98,3567,397,1502,171,650,129,966,466,10635
CED602,5,15,3,992,161,21,13,189,18,66,18,41,20,61,588,1198,10,3,7,12,3,0,4,0,0,11,20,69,1933,469,128,3474,443,1457,207,574,145,926,642,10384
CED603,14,45,0,2248,137,38,10,121,16,54,4,26,3,51,358,830,3,0,7,5,0,3,0,0,0,3,24,52,2320,929,93,3417,383,1424,151,687,125,826,404,10748
CED604,14,35,3,1979,176,44,14,180,23,72,10,43,5,71,421,1055,3,0,4,5,0,0,0,0,0,8,30,50,2654,893,141,4275,537,1457,210,646,129,910,459,12318
CED605,8,15,0,978,175,53,18,211,25,93,18,41,23,102,445,1212,4,0,4,9,4,8,0,5,5,9,31,73,2171,620,132,3751,519,1541,200,661,190,1077,511,11369
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
