CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED304,1700,1517,709,428,527,260,132,5270,790,734,437,279,368,229,74,2909,871,745,443,264,354,168,67,2914,3328,3300,2124,1433,2028,1170,435,13827,23,30,11,7,3,0,0,73,6707,6328,3720,2414,3279,1829,711,24994,111,170,157,121,183,114,57,911,87,159,114,73,126,62,28,650,82,133,87,63,82,48,15,508,204,481,364,296,430,257,129,2161,25,24,7,6,3,3,0,69,506,958,726,558,827,490,232,4294,7217,7293,4442,2976,4108,2315,940,29284
CED305,581,660,427,254,360,101,27,2409,328,360,218,156,142,17,7,1230,472,431,224,128,164,24,4,1446,5969,6288,3776,2353,2667,385,140,21575,14,28,22,17,10,0,0,92,7365,7764,4666,2915,3345,524,179,26757,28,64,41,34,54,11,6,237,102,98,80,49,59,3,4,389,50,90,61,54,63,11,0,319,1254,1773,1192,767,882,109,35,6011,46,44,26,17,15,4,0,143,1474,2069,1402,915,1067,133,41,7111,8839,9831,6066,3836,4413,662,221,33866
CED306,688,889,579,390,496,109,47,3199,434,413,245,169,194,34,8,1500,594,617,293,201,222,21,10,1971,5009,5274,3473,2275,2769,366,110,19271,21,20,18,12,11,0,0,78,6751,7212,4610,3051,3690,541,172,26017,51,86,76,51,66,17,8,354,92,144,92,62,72,0,0,459,72,128,89,64,85,10,3,459,1113,1623,1132,838,865,97,32,5702,33,35,31,17,17,0,0,137,1362,2016,1421,1032,1107,129,44,7110,8112,9229,6028,4079,4794,669,216,33128
CED307,1234,1570,979,678,897,419,213,5982,803,911,596,395,493,190,72,3460,906,887,466,314,397,163,64,3197,4859,5525,3594,2294,2959,1167,409,20809,25,24,10,14,10,0,0,83,7829,8913,5648,3689,4757,1940,764,33530,84,190,148,95,153,63,26,764,170,242,164,120,141,52,20,909,91,157,115,70,89,36,25,586,723,1194,835,611,724,204,88,4378,34,32,21,10,17,5,0,116,1099,1818,1285,904,1128,362,158,6756,8928,10730,6933,4596,5884,2303,925,40288
CED308,2644,2873,1652,1086,1385,587,345,10574,1129,966,565,357,433,146,68,3657,1127,1022,577,359,411,139,60,3696,3928,3964,2363,1622,1991,655,236,14762,54,44,25,15,9,0,0,152,8882,8872,5179,3438,4228,1531,708,32845,232,485,336,300,367,164,78,1955,289,384,221,151,173,48,18,1290,169,278,184,119,164,53,24,993,1032,1408,970,723,803,206,96,5229,65,59,45,12,22,3,0,202,1780,2618,1754,1306,1524,473,217,9669,10660,11488,6934,4744,5752,2009,925,42516
CED309,959,1215,780,534,625,185,69,4364,851,907,532,368,418,105,48,3224,871,931,515,316,386,85,39,3141,4338,4819,3026,2021,2462,637,223,17529,23,20,19,5,4,3,0,76,7044,7884,4876,3247,3893,1010,380,28338,68,139,124,74,150,50,14,611,122,236,176,128,163,32,23,881,88,163,134,115,110,19,18,655,667,1219,932,643,813,168,90,4527,21,51,20,16,10,0,3,131,972,1803,1385,979,1246,268,143,6800,8017,9690,6255,4225,5140,1282,525,35137
CED310,981,1189,781,480,664,191,70,4364,746,797,534,287,393,91,33,2881,818,843,467,279,363,120,28,2919,4337,4727,3143,1993,2522,651,242,17607,24,35,26,16,9,0,0,111,6909,7593,4945,3061,3954,1051,371,27886,61,148,117,100,117,39,9,591,163,225,152,106,168,53,16,886,77,183,130,100,131,30,10,662,722,1247,970,721,872,188,84,4808,34,39,27,18,13,0,0,128,1062,1844,1394,1042,1299,313,131,7084,7972,9439,6341,4098,5251,1368,499,34965
CED311,522,698,491,299,374,65,15,2453,327,370,225,167,180,21,3,1289,487,473,231,142,177,12,10,1527,5796,6469,3909,2487,2794,279,63,21794,41,53,42,17,6,4,0,166,7165,8063,4889,3102,3531,379,91,27224,26,57,75,71,50,6,3,286,102,140,97,62,62,15,0,482,59,97,78,46,51,9,6,335,1483,1912,1280,920,890,93,14,6598,70,70,46,24,19,0,0,219,1743,2277,1574,1124,1065,122,22,7920,8910,10339,6467,4227,4593,496,121,35145
CED312,2852,2886,1757,1148,1443,554,286,10928,1258,1150,594,376,426,132,48,3985,1193,1037,574,362,428,113,64,3772,4934,4954,2874,1940,2168,571,211,17660,59,67,28,21,14,5,0,194,10295,10096,5828,3848,4491,1369,610,36536,329,468,324,257,305,93,54,1828,311,413,248,187,206,51,23,1443,180,283,196,127,145,34,12,981,1510,1936,1275,851,905,186,71,6735,88,73,48,30,24,3,0,263,2416,3178,2098,1453,1574,373,163,11249,12712,13272,7925,5297,6062,1749,769,47783
CED313,1916,1802,1026,605,755,413,197,6703,929,853,539,343,415,206,79,3355,971,877,509,271,382,196,57,3274,3671,3554,2252,1458,2081,1160,461,14631,32,18,10,0,4,0,0,65,7518,7096,4338,2675,3642,1973,794,28032,130,282,214,158,234,131,56,1206,135,173,139,108,144,71,37,799,55,143,123,76,88,47,32,557,327,616,500,355,523,255,117,2688,39,30,18,11,5,0,0,101,679,1236,993,707,996,506,237,5358,8192,8337,5332,3382,4636,2476,1038,33390
