CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED328,1309,1195,2498,1326,1391,2724,101,70,170,5,0,6,95,93,183,19033,16973,36005,902,1578,2482,204,3,207,553,72,625,1056,333,1389,267,153,418,1160,978,2139,26007,22844,48853,254,224,479,0,0,4,0,0,0,155,144,298,35,51,86,48,21,69,495,444,939,32,18,52,0,0,0,78,86,165,30,85,114,40,40,74,179,230,407,280,147,426,950,820,1769,95,98,193,30,22,50,19,8,30,146,124,273,12103,11761,23865,4088,6705,10789,124,97,223,43425,42350,85771
CED329,18,11,23,183,158,337,8,5,9,0,0,0,37,41,74,18880,17854,36734,1288,1507,2791,641,20,658,349,48,392,259,97,361,249,117,367,888,837,1731,22792,20698,43486,3,0,0,0,0,0,0,0,0,13,4,16,0,0,0,3,0,4,18,6,27,3,0,3,0,0,0,11,6,18,6,11,20,9,10,17,34,28,57,199,105,303,250,137,389,4,3,9,10,0,12,10,11,16,29,13,40,3484,4353,7836,2922,3809,6727,220,221,435,29693,29223,58919
CED330,80,90,173,156,158,315,6,4,9,6,9,21,18,22,35,30127,25199,55327,1632,1974,3608,1442,56,1496,404,27,437,65,23,83,304,134,439,683,592,1275,34919,28288,63208,11,19,33,0,0,0,0,0,0,115,102,219,16,18,27,3,0,5,145,139,281,3,0,3,0,0,0,38,73,116,9,19,28,7,6,13,57,100,158,343,208,545,536,445,987,25,23,51,10,4,14,19,8,27,56,35,90,4512,6586,11097,3570,5386,8959,239,249,488,43835,40989,84824
CED394,13,7,23,35,42,78,8,0,8,0,3,3,5,0,13,808,551,1367,98,154,252,35,4,34,20,0,21,16,12,31,28,30,57,125,155,281,1206,962,2169,9,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,3,3,6,0,0,0,0,5,6,5,6,10,18,13,28,39,20,54,0,0,5,3,5,6,0,0,0,6,8,16,173,208,386,246,305,552,31,15,50,1705,1512,3219
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29
CED401,203,197,395,2533,3703,6232,7,0,11,480,576,1052,256,330,586,32217,24473,56694,1554,3217,4769,270,7,279,462,88,545,1553,725,2276,403,162,566,2519,2582,5101,42448,36070,78513,70,77,153,0,0,0,8,12,13,25,18,37,7,12,17,11,11,18,112,131,244,0,0,0,62,104,158,146,149,295,70,221,290,84,102,183,361,568,932,451,454,900,927,1150,2075,44,63,107,82,101,188,30,18,47,157,186,344,5248,5351,10599,3736,6208,9948,191,164,357,52705,49134,101835
CED402,7,3,11,271,85,353,13,6,15,0,7,7,35,40,75,28971,24762,53736,1831,1917,3749,563,25,589,200,22,227,205,64,265,424,102,534,1643,1306,2948,34171,28344,62519,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,3,13,0,0,0,0,0,0,22,33,53,8,10,24,7,0,3,35,46,80,343,166,510,387,217,604,0,3,5,3,0,8,23,5,28,27,12,44,3187,3577,6764,2782,4706,7491,362,285,644,40915,37139,78057
CED403,1034,1013,2046,998,1344,2342,5,6,11,366,537,899,102,124,229,27326,24569,51897,1095,2209,3306,203,8,211,343,47,386,959,318,1280,318,114,428,715,785,1499,33464,31077,64542,111,134,244,0,0,0,20,39,58,111,117,233,21,40,62,29,25,52,291,352,641,0,0,0,50,50,101,50,51,101,42,93,130,26,38,62,163,230,396,333,318,652,788,898,1690,61,106,170,30,36,67,9,8,20,105,155,260,5172,5340,10511,3788,6534,10327,148,167,321,43462,44174,87641
CED404,14,5,14,517,150,669,18,0,15,4,0,3,80,80,154,24575,22475,47051,1598,1657,3256,532,18,555,269,28,305,278,61,334,561,148,711,2090,1904,3999,30533,26540,57069,0,0,0,0,0,0,0,0,0,0,4,10,3,0,3,0,0,0,3,8,16,0,0,0,0,0,0,105,25,136,8,9,13,14,0,14,130,36,164,283,157,442,416,200,620,3,4,3,10,4,7,23,8,36,34,17,49,2854,2991,5842,3627,4459,8084,401,306,707,37861,34511,72377
CED405,517,738,1257,1068,1530,2595,7,7,12,102,147,246,141,136,273,30086,25271,55351,1350,2225,3577,315,0,319,321,38,362,644,198,850,353,112,462,535,623,1154,35436,31022,66464,75,88,167,0,0,0,15,29,43,45,72,111,18,20,35,18,3,20,157,213,371,0,0,0,20,24,47,60,56,117,22,91,113,14,34,51,124,204,329,397,408,809,685,819,1505,55,73,124,23,33,51,15,13,27,89,115,201,3612,4369,7983,3403,5764,9166,198,150,342,43421,42246,85666
