CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED305,16666,32696,297,1590,1651,7423,624,2829,9659,37580,12231,49426,654,2611,1065,3311,2936,9001,4648,14915,16882,64341,102,473,482,1703,302,1094,2896,7841,3786,11116,186,585,440,945,2122,4572,2747,6108,6534,17220,601,1256,40688,115515
CED306,17848,34945,296,1605,1743,7944,614,2732,9208,35473,11852,47753,671,2697,1171,3720,2977,9179,4825,15592,16679,63350,89,422,485,1629,274,968,2919,7929,3771,10956,160,513,516,1118,2093,4490,2771,6118,6541,17069,605,1235,41673,116597
CED307,16485,33161,360,2023,2334,10714,535,2464,11452,44585,14679,59791,1228,5199,1982,6877,3838,12339,7048,24414,21731,84205,81,384,500,1657,235,822,2746,7140,3569,10002,304,954,666,1470,2322,5144,3292,7572,6859,17575,564,1189,45640,136134
CED308,21481,43149,339,1908,2103,9720,724,3340,12135,46376,15298,61339,1002,4181,1872,6325,3851,12328,6730,22833,22028,84175,148,698,661,2275,361,1291,3942,10433,5114,14699,358,1159,886,1981,3167,6960,4411,10103,9527,24804,758,1595,53790,153727
CED309,21138,42142,266,1467,1848,8346,516,2306,10400,40173,13027,52290,772,3164,1543,5109,3158,9900,5468,18174,18497,70464,62,260,519,1689,224,771,2921,7393,3726,10107,264,815,746,1631,2498,5376,3509,7820,7243,17927,488,1003,47363,131539
CED310,21515,42970,297,1673,1882,8438,520,2344,9995,38663,12695,51116,839,3470,1526,5065,3312,10420,5683,18953,18382,70070,84,389,553,1863,262,908,2849,7376,3751,10535,250,776,734,1623,2608,5602,3593,7993,7344,18531,557,1148,47798,132721
CED311,17453,34320,300,1677,1755,7948,598,2696,9602,38008,12253,50339,577,2284,1141,3474,2698,8254,4414,14011,16663,64348,99,485,507,1880,316,1190,3131,8789,4049,12347,144,459,425,904,1880,4025,2444,5386,6504,17732,550,1146,41169,117542
CED312,17752,35950,563,3326,2224,10734,826,3980,12864,50617,16477,68657,1025,4421,1504,5096,4052,13131,6583,22647,23054,91303,195,942,695,2537,461,1713,4427,12276,5783,17465,358,1182,677,1512,3320,7396,4358,10095,10142,27556,777,1625,51721,156444
CED313,19334,38587,131,734,1734,7774,202,887,10973,40993,13034,50385,746,3156,2125,7511,1953,6167,4824,16834,17862,67221,37,160,428,1303,92,305,2384,5618,2937,7395,246,731,935,2001,1869,3936,3046,6671,5983,14067,1223,2520,44398,122396
CED314,17897,35525,401,2441,1837,8877,490,2287,9500,37680,12234,51278,649,2700,1244,4062,2670,8414,4560,15173,16794,66449,125,648,593,2082,319,1199,3111,8572,4147,12492,248,830,540,1159,2261,4873,3048,6868,7196,19356,662,1383,42549,122718
CED315,16313,32185,287,1735,1630,7498,559,2580,9639,36981,12114,48796,614,2533,1246,4019,2546,7873,4403,14423,16514,63221,133,665,628,2227,393,1467,3785,10256,4940,14608,278,882,663,1432,2444,5313,3386,7629,8330,22243,803,1704,41956,119355
CED316,22166,44280,256,1455,1377,6422,578,2693,6861,26804,9081,37370,456,1889,919,2976,2782,8710,4162,13572,13239,50946,121,592,533,1879,397,1464,3226,8972,4279,12906,196,616,511,1116,2699,5871,3401,7598,7684,20508,605,1258,43697,116987
CED317,18776,37135,358,2033,1575,7288,680,3319,8975,35621,11583,48266,554,2272,1010,3171,2919,9111,4487,14549,16067,62811,145,719,548,2056,440,1846,3381,9806,4518,14426,181,565,470,1036,2511,5547,3158,7154,7677,21576,705,1515,43229,123047
CED318,17349,34543,316,1864,1621,7416,691,3430,9702,37327,12336,50026,570,2321,1215,3866,2408,7546,4190,13728,16524,63758,153,754,638,2169,451,1787,4121,11162,5359,15870,236,746,711,1531,2606,5808,3553,8078,8920,23951,828,1823,43612,124073
CED319,16879,33890,223,1233,1681,7591,285,1294,11386,42774,13572,52897,825,3510,1684,5859,2582,8307,5090,17678,18664,70572,81,417,442,1436,183,641,2610,6414,3316,8908,267,834,776,1712,2517,5439,3553,7978,6869,16886,1033,2137,43442,123488
CED320,21326,42820,448,2567,1945,9172,844,3985,10425,40990,13667,56717,860,3654,1276,4314,3955,12624,6089,20598,19754,77311,170,808,708,2497,453,1729,4154,11668,5485,16702,300,962,745,1672,3174,7000,4216,9639,9699,26340,660,1387,51444,147862
CED321,18165,35875,298,1585,1497,6748,507,2350,7794,31144,10095,41825,474,1840,905,2694,2583,7897,3958,12429,14055,54253,72,362,416,1548,320,1242,2777,7957,3583,11098,120,383,387,813,2080,4433,2588,5629,6172,16735,601,1252,38993,108111
CED322,17308,34695,222,1211,1820,8212,452,1987,10493,40035,12985,51449,856,3590,1630,5535,3207,10220,5691,19340,18672,70788,70,321,560,1810,209,712,2853,7135,3698,9976,312,996,874,1972,2769,5989,3954,8960,7653,18944,620,1278,44258,125709
CED323,21326,42719,179,997,1476,6653,336,1505,8945,33512,10939,42662,669,2784,1591,5320,2884,9183,5146,17287,16089,59947,74,314,490,1595,238,827,2964,7376,3762,10112,298,938,946,2092,3156,6783,4403,9809,8163,19926,910,1876,46482,124473
CED324,15819,31958,284,1772,1876,8761,308,1420,11712,44890,14172,56838,999,4318,1989,7001,3105,10018,6095,21334,20267,78177,90,464,463,1600,177,633,2286,5999,3009,8695,281,946,775,1741,2398,5321,3456,8009,6461,16702,1058,2263,43601,129102
CED325,15018,30382,543,3453,2327,11239,683,3353,13457,52993,17009,71041,1118,4882,1990,6868,3760,12339,6874,24086,23881,95126,200,1045,702,2628,371,1457,3747,10553,5023,15692,424,1447,814,1885,3089,7004,4325,10337,9348,26028,828,1821,49078,153353
CED326,19091,38318,391,2244,2109,9682,597,2808,12555,48272,15649,63005,907,3851,1621,5493,3570,11375,6094,20719,21739,83727,155,763,699,2397,363,1309,3881,10425,5097,14890,332,1044,901,1986,3276,7165,4506,10193,9603,25078,751,1573,51178,148694
CED327,14390,29215,614,3946,2323,11538,800,4004,12562,50174,16302,69655,1027,4514,1620,5606,4064,13317,6713,23438,23013,93095,279,1478,790,2919,504,1945,4156,11706,5724,18046,391,1320,854,1950,3380,7721,4629,10986,10352,29035,863,1857,48624,153209
CED328,15762,31478,192,1048,2527,11471,250,1082,11884,45917,14845,59515,997,4171,2537,8924,2653,8370,6185,21475,21035,80989,54,244,529,1652,113,361,2012,4886,2710,7136,265,830,917,2056,1567,3366,2746,6257,5454,13392,857,1767,43107,127634
CED329,21031,41859,269,1536,1431,6613,537,2480,6884,26998,9127,37624,546,2214,1070,3452,3037,9434,4646,15092,13770,52717,103,446,477,1631,292,1078,2604,7184,3471,10338,185,572,578,1223,2676,5731,3435,7530,6904,17869,460,967,42166,113417
CED330,19004,38235,520,3014,2390,11336,861,4111,11983,47734,15761,66193,1044,4446,1629,5478,4439,14221,7117,24147,22874,90344,134,648,571,2059,333,1282,3145,8857,4185,12847,240,806,511,1156,2502,5554,3256,7513,7444,20359,499,1066,49823,149999
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CED401,19802,39726,247,1462,1899,8623,245,1128,11777,44259,14170,55469,977,4204,2093,7318,3020,9806,6092,21325,20256,76794,90,423,507,1647,169,586,2582,6434,3343,9092,314,1039,974,2140,2945,6389,4234,9573,7581,18665,1386,2899,49024,138081
CED402,21823,43307,361,1975,1751,8054,531,2423,8923,35264,11567,47715,777,3169,1161,3672,3354,10509,5288,17345,16853,65062,93,443,469,1598,289,978,2860,7711,3703,10734,243,751,529,1143,2409,5108,3185,7005,6891,17739,554,1183,46121,127291
CED403,19671,39271,215,1184,2006,8933,249,1086,10817,40946,13284,52147,1119,4688,2144,7488,3257,10365,6524,22548,19808,74691,36,164,486,1520,136,434,2335,5513,2991,7627,327,1011,928,2064,2693,5761,3951,8834,6943,16465,830,1715,47248,132140
CED404,21383,42133,313,1678,1654,7522,566,2593,8595,34034,11127,45826,534,2129,983,2957,3040,9366,4557,14455,15680,60281,111,486,487,1772,314,1175,3052,8450,3967,11885,178,553,522,1095,2449,5221,3152,6871,7117,18756,633,1369,44810,122540
CED405,18848,37707,229,1329,1625,7321,344,1506,10150,38375,12341,48526,1162,4880,1784,6198,3969,12933,6911,24010,19251,72546,81,362,462,1488,220,748,2528,6432,3294,9031,348,1107,824,1848,3550,7769,4727,10726,8022,19760,935,1959,47057,131967
CED406,18461,36900,311,1695,1735,7763,519,2296,10026,38103,12581,49851,1083,4473,1519,5140,4248,13483,6846,23098,19433,72951,130,570,634,2120,310,1058,3366,8625,4432,12368,346,1082,768,1674,3289,7157,4406,9910,8841,22282,620,1276,47357,133408
CED407,17990,36118,419,2469,2076,9707,487,2260,11017,42622,14005,57050,1228,5298,1748,6042,4294,13920,7264,25266,21270,82315,108,495,591,2056,313,1114,2789,7257,3806,10917,393,1301,824,1875,3298,7272,4521,10443,8328,21358,715,1520,48309,141308
CED408,22981,45593,338,1831,2127,9675,445,1996,10257,39973,13173,53472,1059,4322,1845,6249,3788,11920,6687,22496,19864,75966,73,310,499,1622,228,758,2412,6094,3213,8781,268,824,688,1498,2302,4857,3261,7179,6479,15961,439,913,49760,138434
CED409,15785,31738,567,3535,2025,10161,771,3689,10881,43108,14242,60490,952,4115,1194,4067,3909,12717,6055,20903,20300,81395,234,1203,837,3146,592,2191,5138,14276,6801,20819,433,1452,903,2005,4066,9069,5399,12523,12203,33346,902,1913,49196,148393
CED410,19879,39700,195,1056,2454,10985,280,1216,12277,46653,15207,59909,1219,5175,2797,9828,3789,12281,7805,27284,23011,87187,56,252,510,1683,131,423,2276,5577,2966,7934,379,1201,1050,2345,2790,6030,4222,9568,7185,17506,801,1685,50887,146074
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,16806,32816,483,2685,2175,9952,876,3917,12857,49014,16390,65566,1016,4165,1389,4559,3633,11290,6033,20017,22422,85589,146,686,649,2317,417,1483,3934,10772,5142,15256,330,1047,654,1449,2714,5833,3697,8329,8843,23587,628,1322,48703,143305
CED502,15000,29843,525,3152,2291,10877,734,3490,13934,54095,17495,71611,1075,4599,1434,4847,3608,11529,6114,20978,23603,92589,131,621,575,2068,360,1365,3446,9530,4513,13591,367,1204,642,1429,3079,6783,4092,9421,8607,23010,883,1875,48092,147318
CED503,19480,38116,349,1960,1657,7554,685,3042,9535,36774,12226,49329,833,3378,1273,4149,3380,10319,5491,17845,17714,67178,121,515,466,1687,315,1141,3009,8219,3911,11555,221,710,504,1123,2227,4724,2960,6561,6871,18114,478,986,44546,124392
CED504,17337,34581,430,2669,1928,9230,499,2325,11231,43138,14083,57361,1247,5342,1636,5665,4471,14381,7358,25389,21442,82754,155,771,543,1970,308,1126,3101,8404,4101,12273,440,1457,834,1890,3594,7946,4871,11298,8976,23569,1026,2192,48777,143097
CED505,18006,35336,174,909,2442,10939,167,712,11692,44665,14481,57219,1067,4408,2831,9973,2453,7638,6358,22017,20833,79238,49,200,466,1440,86,277,1939,4577,2534,6494,245,764,934,2139,1696,3536,2882,6440,5413,12933,634,1325,44895,128833
CED506,19356,37759,345,1891,1700,7539,767,3645,11957,46861,14775,59934,551,2192,956,2808,2863,8814,4373,13817,19149,73752,123,625,493,1750,482,1944,3376,9565,4471,13884,178,562,451,934,2252,5005,2884,6501,7354,20384,754,1680,46617,133579
CED507,18633,36446,302,1625,1806,7946,632,2744,9880,37991,12616,50310,683,2687,1142,3494,2735,8307,4560,14489,17176,64800,86,365,520,1692,286,984,2883,7620,3772,10652,201,607,496,1046,2024,4220,2728,5875,6501,16524,428,891,42737,118662
CED508,17256,33957,264,1412,1789,7964,448,1944,11802,44222,14307,55534,1018,4217,1753,5941,3323,10579,6094,20736,20398,76265,62,292,506,1635,232,793,2691,6660,3492,9374,335,1026,720,1596,2488,5378,3539,8001,7027,17373,664,1391,45346,128988
CED509,17226,33999,466,2604,2174,9948,633,2879,12867,49288,16142,64715,1144,4795,1675,5623,3775,11860,6593,22269,22735,86986,125,561,528,1837,322,1161,2847,7612,3821,11175,310,970,620,1396,2473,5331,3403,7698,7223,18874,613,1282,47797,141149
CED510,18299,36140,323,1686,2310,10278,471,2044,11746,45199,14850,59205,1422,5813,2429,8502,4435,13957,8289,28270,23135,87476,60,251,468,1508,140,449,1951,4858,2612,7074,321,988,665,1530,2090,4458,3074,6977,5688,14043,449,936,47569,138603
CED511,20348,39958,323,1739,1609,7037,656,2958,9839,38721,12429,50458,567,2168,1009,2926,2809,8579,4387,13673,16814,64128,85,378,459,1615,317,1135,2576,7194,3434,10325,161,501,443,925,2119,4489,2722,5914,6157,16237,574,1215,43901,121539
CED512,15441,30290,532,2997,2388,10867,849,3792,14037,53656,17803,71311,1381,5751,1900,6453,4178,13185,7455,25390,25256,96702,179,857,603,2077,339,1173,3463,9119,4575,13225,382,1220,720,1630,2453,5368,3556,8213,8137,21442,570,1208,49409,149651
CED513,21308,41844,147,802,1392,6180,197,863,11036,40226,12773,48069,725,2998,1578,5411,2371,7471,4675,15882,17446,63951,46,212,351,1113,117,404,2332,5513,2845,7242,196,614,786,1729,2323,4917,3306,7261,6149,14510,1036,2136,45941,122441
CED514,20062,39570,270,1601,1615,7470,364,1603,12239,45634,14482,56305,802,3377,1618,5519,2765,8726,5182,17626,19670,73935,79,414,424,1445,205,743,2509,6464,3224,9059,290,917,733,1645,2627,5665,3651,8221,6871,17284,1457,3057,48060,133839
CED515,17934,35666,308,1755,3084,13857,466,2109,12683,49105,16549,66826,1642,6893,3042,10704,4635,14688,9316,32284,25865,99114,68,296,538,1749,161,572,1954,4996,2724,7606,378,1199,832,1949,2299,4967,3504,8113,6225,15725,725,1549,50746,152056
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,12993,25927,199,1140,1107,5082,310,1414,5742,22129,7355,29772,441,1812,815,2663,2019,6371,3271,10846,10635,40613,61,299,390,1327,186,663,2222,5846,2862,8137,168,516,478,1026,1805,3893,2446,5437,5314,13581,436,909,29369,81029
