CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED327,305,95,797,477,383,304,279,396,40,3078,5,11,13,13,16,14,25,21,0,111,78,96,113,113,102,60,176,109,31,880,107,119,224,183,172,139,263,267,359,1834,5368,12939,8014,7616,7016,3263,3881,4036,1022,53154
CED328,272,111,538,357,283,191,75,171,19,2028,0,7,12,17,10,13,0,10,0,72,140,272,59,100,146,61,24,37,31,876,121,168,79,102,101,64,46,66,167,907,11547,30820,5371,5750,7224,2957,1130,2095,840,67726
CED329,401,90,966,503,302,314,121,436,39,3159,0,3,8,10,4,3,5,15,0,44,76,94,73,86,61,42,82,73,24,618,149,82,209,154,114,134,136,235,216,1427,5395,8749,6776,5920,4185,2523,1840,3251,737,39378
CED330,393,113,884,553,526,335,235,444,38,3515,3,0,6,8,6,15,8,22,6,82,146,108,102,89,87,42,106,108,34,812,203,109,306,176,186,120,187,261,361,1912,7503,11545,10788,7286,6674,2977,3142,4395,1063,55381
CED394,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
CED401,407,116,1444,546,315,258,161,362,40,3659,3,6,0,17,13,8,4,15,0,70,149,256,104,169,144,74,103,144,38,1184,173,163,195,147,128,69,88,152,256,1375,10212,29180,8154,9041,8456,3748,2445,4215,1149,76591
CED402,416,72,997,498,288,309,150,489,47,3267,5,4,3,7,7,7,4,15,0,47,110,66,70,85,61,32,76,116,10,631,271,75,254,195,114,130,154,396,197,1787,7631,8851,7769,6765,4591,2537,2248,4811,718,45923
CED403,343,100,923,414,339,255,79,229,36,2725,7,10,0,5,4,6,0,3,7,44,139,216,89,123,139,51,43,67,31,903,142,138,143,151,119,81,52,111,196,1126,9528,24877,7405,8306,7281,3093,1441,2676,921,65535
CED404,338,55,835,425,246,253,200,358,34,2743,0,3,6,6,0,0,3,11,3,36,67,51,81,97,50,20,72,74,20,528,238,99,249,229,126,112,221,330,220,1827,6595,8835,7727,6551,4051,1982,2790,3520,772,42832
