CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED228,926,71,8,0,0,1005,313,36,5,0,0,355,273,33,13,0,0,318,564,58,15,0,0,638,831,98,21,0,0,949,3117,344,82,0,0,3545,5584,456,73,0,3,6118,8655,399,24,0,4,9093,2734,115,3,0,0,2853,1507,85,8,0,0,1605,880,43,9,0,0,932,1832,126,19,0,0,1976,27226,1870,279,0,14,29386
CED229,250,264,438,4,0,955,45,56,116,0,0,220,28,52,116,0,0,194,35,64,179,0,0,280,41,87,311,4,0,447,152,252,1279,19,0,1704,124,242,2015,22,7,2410,299,508,2795,34,0,3641,224,394,1283,9,5,1916,415,735,1048,17,0,2212,1309,1484,831,12,3,3639,334,314,601,6,0,1260,3258,4464,11007,132,23,18888
CED230,1164,20,4,0,0,1192,889,7,7,3,0,907,969,14,0,7,0,995,1886,33,13,5,0,1943,2316,47,19,8,4,2389,4540,69,27,5,6,4639,2620,24,5,4,0,2648,1734,19,3,4,3,1763,503,3,0,0,0,508,376,0,0,0,0,377,287,0,0,0,0,292,1151,19,8,4,0,1189,18424,251,93,55,23,18838
CED231,684,213,88,0,0,983,209,53,40,0,0,311,154,48,38,0,0,243,251,109,51,0,0,413,314,126,107,0,0,551,933,442,466,3,0,1847,1105,548,636,5,0,2290,1931,930,658,6,0,3519,1377,640,199,0,0,2213,1836,710,153,3,7,2710,1992,496,81,0,0,2575,927,280,116,0,0,1329,11727,4603,2625,24,8,18982
CED232,895,16,5,0,3,918,364,22,0,0,0,388,303,16,3,0,0,322,527,30,5,0,0,558,789,50,0,0,0,839,2739,137,21,0,0,2898,4490,200,10,0,3,4705,7430,183,6,0,3,7622,3436,58,0,0,0,3492,2559,33,0,0,0,2589,1644,14,0,0,4,1661,1644,37,0,0,0,1688,26818,797,55,3,14,27685
CED233,118,296,456,3,0,872,22,65,86,0,0,168,17,37,104,0,0,155,29,73,193,3,0,295,35,118,292,0,0,449,110,316,1418,5,0,1851,98,326,1912,11,7,2353,182,645,2447,23,6,3298,172,472,1088,19,0,1748,275,995,950,6,0,2229,530,1353,780,13,0,2684,84,336,462,0,0,893,1673,5024,10187,87,15,16987
CED234,1033,228,74,0,0,1333,237,58,18,0,0,313,213,32,14,0,0,255,301,60,35,0,0,399,409,82,58,0,0,546,1090,266,247,0,0,1599,1151,333,362,0,3,1845,2255,659,432,0,0,3349,1678,548,157,0,0,2389,2798,597,113,0,3,3507,3127,411,52,0,6,3589,1118,223,102,0,0,1438,15402,3485,1663,4,12,20576
CED235,863,29,14,0,0,903,519,16,0,0,0,546,494,13,9,0,0,519,987,36,8,5,0,1031,1350,49,16,0,0,1416,3679,89,35,0,5,3804,3794,38,21,0,5,3860,3263,45,8,0,7,3328,1155,8,0,0,0,1172,827,5,5,0,0,841,567,8,0,3,4,583,1172,25,4,0,0,1205,18673,361,122,16,23,19199
CED236,936,26,4,3,5,968,571,16,0,3,0,591,559,25,0,4,0,591,1207,55,0,7,3,1266,1800,40,0,4,0,1839,4652,83,3,6,3,4748,3651,36,0,5,0,3691,2667,21,0,11,4,2703,791,10,0,0,0,800,574,5,0,0,3,586,495,3,0,6,3,507,1158,21,0,5,0,1178,19051,342,8,46,19,19472
CED237,932,82,19,0,0,1033,345,42,9,0,0,393,310,33,4,0,0,345,482,59,13,0,0,556,706,101,34,0,0,842,2358,344,99,0,3,2809,3503,552,106,0,4,4160,5533,513,55,0,4,6109,2289,144,18,0,0,2459,1419,101,13,0,0,1534,876,51,10,0,0,935,1561,150,20,0,0,1729,20307,2187,399,4,12,22905
