CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,3,43,74,282,58,46,12,6,0,528,0,0,6,19,21,23,12,0,0,84,15,140,257,1234,483,377,225,68,16,2813,0,0,3,111,46,41,43,20,13,276,3,0,9,40,37,29,24,8,3,147,0,5,4,35,36,60,58,30,20,251,0,16,34,82,52,51,56,22,7,321,0,13,32,169,105,87,70,45,11,515,0,10,15,94,42,44,48,24,12,281,0,12,34,203,50,24,49,10,0,400,0,19,53,403,136,79,39,4,0,752,3,4,9,38,34,39,23,20,12,179,10,48,54,134,49,59,30,14,5,405,4,67,169,891,683,691,384,148,60,3109,0,0,5,19,15,17,8,13,4,76,0,0,5,41,16,12,9,0,0,82,27,203,290,1721,978,979,747,480,195,5621,289,668,704,1936,692,717,587,498,384,6471,8868,18924,20162,44997,20812,20615,15152,8857,4515,162893
CED102,5,8,49,297,34,24,17,0,0,437,0,5,0,27,24,15,9,3,3,91,15,125,223,1888,509,477,287,88,32,3638,4,0,6,199,50,38,55,9,13,374,0,0,3,21,22,16,20,7,0,90,0,0,8,85,47,64,58,24,10,306,5,20,47,207,68,56,61,17,4,496,0,4,21,163,74,68,37,20,9,406,0,6,13,137,31,29,30,16,10,272,5,15,25,397,70,43,52,6,4,606,11,30,96,973,213,120,59,17,0,1514,0,5,3,162,102,107,69,35,6,488,25,61,56,270,79,53,27,12,8,589,10,99,375,1132,620,569,368,124,36,3340,0,0,5,31,16,15,3,6,0,73,0,0,9,31,18,18,0,0,0,81,90,364,545,4405,1251,1362,1185,868,295,10367,383,718,1032,3240,976,790,603,456,223,8433,9848,17651,21958,62548,21959,19253,14612,9357,4459,181643
CED103,32,177,89,731,69,34,29,9,0,1158,0,0,6,34,45,31,24,12,0,153,25,211,242,1942,437,359,266,64,25,3563,0,0,0,141,52,67,72,23,11,369,0,0,0,4,8,3,11,4,0,27,3,9,4,61,60,76,75,71,22,386,16,127,119,290,168,97,88,35,12,956,5,54,76,355,198,110,107,53,16,975,13,61,82,552,250,301,253,117,51,1680,16,60,85,777,204,114,132,47,3,1436,9,28,65,544,159,71,39,26,0,944,0,3,11,128,47,45,40,17,10,304,40,144,110,286,81,69,49,31,5,817,10,48,238,660,321,273,162,59,17,1780,0,4,7,27,17,28,22,21,8,125,0,3,41,75,29,16,4,0,0,175,66,496,421,2786,967,889,671,443,204,6942,316,641,652,2414,661,591,446,379,280,6384,10569,22066,21720,64105,22907,21079,15766,8557,4449,191219
CED104,0,48,49,237,85,69,39,9,3,546,0,0,6,23,50,32,19,9,0,133,0,77,105,564,305,254,201,52,22,1581,0,8,8,70,82,86,128,25,9,403,0,0,0,13,5,6,0,0,0,25,0,27,29,62,102,127,107,104,36,592,12,112,113,139,127,104,107,38,4,761,17,184,247,534,521,360,195,88,24,2170,0,53,102,400,379,456,308,125,45,1869,9,21,24,215,101,85,113,22,0,585,4,18,34,161,77,48,18,4,4,351,0,9,5,34,31,33,10,5,3,126,9,109,137,201,134,108,60,29,11,807,3,15,26,184,177,138,83,19,4,654,0,12,6,20,40,39,26,21,6,177,0,5,12,49,78,43,27,10,0,227,14,230,283,935,798,781,535,420,162,4154,130,341,348,719,403,348,325,315,207,3137,7012,21749,19391,32413,22631,20148,15702,9461,4070,152571
CED105,52,378,530,2240,402,195,75,11,0,3878,0,0,0,11,4,10,5,3,0,39,8,67,162,891,345,396,287,82,21,2243,0,5,0,35,16,50,62,47,54,276,0,7,35,92,72,94,42,10,0,358,0,0,0,5,13,24,46,24,15,125,0,22,18,47,20,27,19,11,0,172,0,11,8,41,26,23,29,14,0,151,0,14,78,314,181,173,141,65,28,993,0,4,20,346,31,29,19,0,0,459,5,12,30,275,82,37,22,7,0,468,7,34,58,461,565,593,373,220,36,2361,5,31,49,59,19,25,13,0,0,203,53,303,1023,4215,3395,3775,2083,648,318,15808,0,0,0,0,0,5,8,3,4,16,0,0,17,37,19,12,5,0,0,86,78,649,845,3205,1536,1284,882,588,268,9329,894,1954,1946,4437,1560,1318,967,545,307,13937,13322,25283,27091,56523,21465,20086,13887,7429,3523,188607
CED106,0,51,9,213,42,30,32,15,6,388,0,4,4,25,115,85,63,56,18,369,15,89,120,888,300,204,139,38,10,1812,0,7,5,92,48,68,77,25,25,358,0,0,0,3,7,4,0,0,0,17,0,20,35,63,118,155,99,83,55,630,35,233,186,234,175,109,105,42,17,1140,28,292,416,876,979,712,520,257,77,4148,3,16,34,291,210,184,130,70,29,975,15,69,72,652,251,123,198,57,0,1442,6,42,63,365,109,59,24,7,0,676,3,15,12,53,36,41,12,7,7,172,59,283,250,265,208,177,97,45,13,1403,0,22,52,324,278,100,74,18,8,890,0,0,7,21,52,47,27,25,3,189,0,3,12,63,79,78,51,13,0,301,41,380,299,1475,1010,762,560,473,242,5241,191,413,416,1012,481,388,379,340,367,3998,8228,24142,20680,40524,24628,19602,15435,10492,5448,169182
CED107,6,21,5,125,11,4,7,0,0,181,0,3,6,12,29,20,10,4,0,78,10,77,80,367,136,116,71,14,0,880,0,0,0,9,5,11,26,17,22,96,0,0,6,12,9,0,0,0,0,28,0,10,12,48,62,92,133,96,25,468,0,10,15,18,13,9,5,7,0,86,0,40,44,160,108,66,53,19,5,499,3,25,14,89,19,34,15,12,0,209,0,5,3,17,10,7,7,0,0,44,3,17,33,147,52,25,11,0,0,291,0,0,6,10,6,3,4,0,0,28,0,32,31,115,50,55,58,21,4,370,0,8,21,106,42,23,7,0,0,212,0,3,0,14,16,25,31,22,7,113,0,20,20,68,40,27,11,0,0,182,17,64,79,449,212,233,271,198,71,1594,522,1456,1190,2689,1465,1550,1498,990,457,11816,10004,22924,19228,40116,21049,21909,19023,10926,4049,169232
CED108,50,494,431,1994,520,317,134,21,9,3967,0,3,17,22,23,11,6,0,0,76,47,601,1515,6173,3232,3236,2084,550,146,17581,0,0,3,55,50,77,125,70,107,480,5,115,199,505,430,396,242,74,7,1974,0,0,11,23,49,101,111,67,28,371,0,85,20,48,21,44,29,15,0,262,3,34,36,203,93,98,62,30,8,564,0,82,131,824,315,267,177,73,16,1885,0,0,4,91,17,15,9,0,0,145,0,16,44,194,77,32,25,0,0,390,0,16,23,175,160,165,110,56,3,714,12,83,47,94,35,39,15,8,0,332,0,11,28,198,167,170,108,20,8,707,0,0,0,3,13,7,4,9,0,36,4,16,25,84,28,20,5,0,0,173,47,485,937,2934,1595,1368,989,556,331,9241,951,2131,1694,4066,1400,1087,840,493,324,12986,15819,30886,26435,62620,23248,19794,14213,6589,2464,202063
CED109,0,12,6,38,3,15,8,0,4,77,0,0,3,20,36,26,11,3,5,100,5,35,77,418,181,172,103,28,7,1025,0,10,6,134,68,36,56,22,20,352,0,0,0,9,10,7,6,0,0,36,0,10,11,87,87,101,114,109,31,546,0,19,23,50,42,37,35,12,0,233,0,38,49,275,176,129,89,54,9,815,0,0,5,27,23,21,14,9,0,105,0,4,6,53,20,15,25,0,0,138,3,34,35,249,89,31,23,4,0,473,0,3,3,63,41,34,43,27,7,224,29,44,45,186,77,74,46,20,3,521,0,10,18,130,139,101,68,34,6,507,0,7,4,48,21,31,19,18,6,151,0,0,4,35,13,5,3,0,0,60,19,180,176,1659,925,855,759,542,184,5300,271,564,478,1638,743,567,533,503,313,5616,8231,17406,16838,37355,20639,18747,15129,10008,5094,149450
CED110,0,11,9,37,8,3,0,0,0,68,0,9,5,34,50,40,23,0,0,160,6,53,73,379,137,149,92,22,3,919,0,0,3,14,11,16,35,9,6,103,0,3,4,6,4,0,0,3,0,27,0,12,21,48,59,143,182,145,46,652,0,9,4,25,10,16,10,7,0,81,0,22,54,178,145,109,127,63,12,722,0,7,8,36,19,10,11,11,4,104,0,5,8,37,7,12,5,0,0,67,7,57,52,112,67,32,16,3,0,340,3,6,0,13,9,8,3,4,0,41,11,36,42,134,67,79,120,47,4,536,3,11,7,93,33,19,10,0,0,169,0,3,8,20,28,35,45,28,14,177,0,0,9,27,30,22,25,6,0,122,26,146,203,627,358,355,362,292,107,2471,460,1212,1086,2438,1328,1596,1592,1228,645,11590,8104,20031,17406,34528,20566,24368,24373,14808,6018,170205
CED111,8,22,51,277,28,12,12,0,0,417,0,0,5,19,19,13,11,0,0,72,10,47,76,388,129,148,99,33,5,936,0,0,4,51,33,34,82,32,20,265,0,0,9,7,13,0,0,0,0,32,0,11,24,78,107,245,223,164,71,922,5,34,11,24,27,16,7,8,0,132,5,27,54,250,107,88,90,26,9,658,0,8,44,98,30,33,19,12,9,241,4,6,5,51,14,6,4,0,0,86,5,55,120,294,99,43,10,9,0,636,3,4,9,59,121,134,56,66,14,468,18,66,96,250,109,86,74,33,5,738,7,33,146,244,111,124,90,38,13,813,0,0,11,31,39,82,64,33,18,278,0,4,16,36,17,21,8,0,0,104,44,338,412,1356,713,743,750,605,301,5257,269,685,986,1813,743,708,638,552,281,6658,8770,18672,22402,41837,20382,19750,15558,9837,4479,161676
CED112,0,10,16,55,11,7,13,0,0,106,0,0,4,17,32,34,9,4,0,108,5,58,94,500,208,195,118,31,9,1217,0,0,0,53,23,12,44,23,6,166,0,0,0,17,9,7,3,0,0,32,0,17,20,69,89,170,189,164,51,770,0,4,0,19,15,24,14,4,0,78,0,28,70,212,175,108,90,60,11,757,0,4,0,43,16,18,18,15,3,117,0,13,0,10,5,7,3,0,0,43,3,30,31,172,65,49,16,0,3,364,0,0,0,4,6,18,5,4,0,44,3,40,44,153,78,67,65,29,4,477,0,11,16,88,45,15,11,3,0,199,4,3,3,29,39,42,36,44,11,214,0,4,22,66,41,22,7,13,5,178,8,59,85,510,389,407,453,355,128,2384,386,935,876,1918,969,876,960,831,570,8306,9752,21227,19150,38725,20457,19907,17745,10959,4801,162722
CED113,12,21,12,160,13,10,8,0,0,232,0,0,0,25,70,57,8,6,0,162,15,80,109,387,178,129,80,16,10,1001,0,0,0,33,18,30,36,18,10,156,0,0,5,20,14,7,4,0,0,50,0,3,11,40,73,153,155,123,29,588,7,6,7,28,28,21,14,0,0,110,6,60,55,226,157,114,65,34,8,723,0,16,9,80,30,27,24,5,0,196,4,0,0,104,7,5,0,0,0,118,3,32,26,170,79,45,15,3,0,368,0,3,4,12,11,9,3,3,0,44,18,78,72,204,81,128,134,50,4,771,4,3,4,60,44,26,12,4,0,151,0,0,6,17,26,43,31,20,8,151,0,6,7,38,36,26,28,5,0,146,19,67,82,661,369,454,521,371,155,2688,411,1042,881,2364,1304,1600,1424,838,401,10280,8838,19741,16213,38233,22010,23536,19654,9855,3452,161530
CED114,0,26,37,150,39,13,6,6,0,281,0,0,3,13,20,19,3,0,0,61,23,120,127,623,208,139,74,24,0,1335,0,0,0,8,4,3,12,3,3,39,0,16,45,53,49,36,13,4,0,216,0,4,4,37,37,84,119,86,37,415,0,3,3,7,15,9,5,0,0,52,17,51,65,157,95,76,40,28,3,523,4,21,12,100,32,15,10,3,0,207,5,0,11,172,0,0,0,0,0,183,0,19,19,116,49,33,7,4,0,251,0,0,5,28,27,21,13,3,0,94,3,21,17,84,32,41,28,14,0,243,0,14,16,64,26,8,8,0,0,141,0,0,5,11,11,21,23,23,5,98,0,3,11,52,26,22,7,0,4,134,19,122,153,780,346,312,242,207,71,2249,669,1658,1435,3219,1722,1987,1845,1241,550,14323,10242,21862,19246,39833,20990,23306,20824,12114,4701,173116
CED115,14,59,92,515,66,30,27,4,0,807,0,0,5,0,4,5,0,0,0,13,10,81,180,859,347,361,380,108,29,2349,0,6,4,62,57,84,138,57,38,453,0,38,85,227,180,170,78,13,0,800,0,0,0,10,9,36,46,31,10,149,0,8,6,48,9,12,27,3,0,115,0,4,11,30,21,17,20,10,6,121,0,7,9,69,28,25,33,27,5,206,0,3,13,75,20,17,21,0,0,151,9,51,109,752,170,132,84,14,0,1317,7,42,13,91,90,99,87,51,3,483,3,31,31,79,13,13,10,4,0,190,72,657,1703,7521,6449,6335,3496,1075,510,27813,0,0,0,4,0,9,13,6,0,30,0,7,20,52,11,10,0,0,0,101,80,635,868,3216,2082,2209,2071,1187,419,12773,650,1402,1382,3299,1340,1175,860,449,191,10752,9738,21319,23699,46905,22132,22246,16092,7871,3531,173523
CED116,0,11,3,35,0,0,0,0,0,58,0,3,0,13,29,32,18,4,0,106,4,49,58,294,113,106,88,22,3,733,0,3,3,21,18,29,52,23,14,166,0,0,0,10,7,3,0,0,0,24,0,9,12,44,61,196,284,208,76,894,4,13,6,13,25,18,23,6,5,104,0,18,22,120,84,101,121,60,14,545,0,10,3,51,16,11,8,7,0,104,0,0,0,19,4,0,0,0,0,30,5,11,29,126,70,25,13,0,0,294,0,3,0,7,9,3,5,4,0,29,13,39,47,137,88,106,148,52,14,643,0,4,18,67,46,16,12,3,0,162,0,3,0,19,22,48,72,61,22,248,0,0,4,24,16,22,12,7,0,84,14,63,62,361,262,378,529,451,142,2262,442,1129,990,2097,1286,1584,1588,1129,494,10729,7903,17779,15112,32055,18925,24979,26616,14966,5405,163743
CED117,0,3,15,83,10,17,4,0,0,142,0,0,0,31,54,18,15,0,0,127,7,54,83,805,236,173,175,46,9,1584,0,0,3,142,65,37,48,30,17,357,0,0,0,8,5,8,4,0,0,27,0,3,25,226,193,161,125,54,12,804,15,57,44,193,79,49,29,14,0,473,0,11,51,445,169,84,79,29,8,876,0,0,4,192,42,33,26,17,7,327,3,9,10,193,29,15,13,3,0,279,4,34,59,655,162,81,52,6,0,1052,0,8,5,140,71,51,46,30,3,358,63,143,119,674,231,154,93,42,7,1524,3,56,162,714,376,439,313,82,55,2195,0,0,3,81,48,43,23,8,0,209,0,0,8,33,22,20,9,3,0,88,28,151,234,2421,942,822,832,680,260,6371,216,430,667,2391,821,700,496,352,208,6283,7687,14683,15172,54789,21719,16191,11617,6214,2659,150729
CED118,18,254,184,1240,224,154,90,31,6,2209,0,5,5,20,32,18,7,0,0,86,24,268,578,2733,1450,1294,831,179,76,7437,0,3,6,72,65,82,110,31,18,395,0,6,31,101,65,61,31,7,0,319,0,10,17,49,63,84,72,52,28,369,19,116,69,113,62,56,41,9,6,498,16,141,165,561,305,190,127,38,12,1560,20,203,332,2205,993,812,465,189,57,5277,3,15,17,134,30,22,41,4,5,262,6,28,55,256,92,42,23,8,4,503,0,10,16,219,174,174,84,50,9,738,28,125,110,189,58,60,23,7,4,603,5,28,34,240,134,81,75,19,0,617,0,0,4,15,14,8,10,12,4,61,0,22,47,106,61,28,5,7,0,287,63,548,639,2328,1086,939,695,433,149,6877,504,1056,1048,2935,910,660,515,347,155,8133,14626,30554,24710,67364,24846,18229,13110,6111,1995,201542
CED119,0,12,21,71,34,27,10,3,0,183,0,0,4,16,33,21,12,0,0,95,10,31,67,489,202,254,164,32,12,1268,0,0,6,107,45,66,78,19,14,341,0,9,0,38,28,37,5,5,0,125,0,11,19,99,99,112,128,100,27,603,6,21,19,32,25,36,37,5,0,186,6,52,57,268,194,148,131,66,15,940,0,6,0,54,36,57,40,19,6,218,0,0,7,48,20,10,16,5,0,111,9,18,20,192,71,37,12,5,0,364,0,0,3,31,31,25,6,9,0,104,17,57,61,189,90,76,48,17,3,554,4,25,43,317,224,144,100,24,10,892,0,3,6,41,33,41,22,25,7,170,0,3,16,42,25,20,9,0,0,111,17,173,221,1252,770,726,531,356,139,4174,178,410,407,996,442,371,340,356,221,3717,9266,20930,18402,37893,21011,17935,13793,7886,3181,150300
CED120,0,11,11,86,21,10,8,3,0,162,0,0,0,10,40,24,12,0,3,87,3,41,60,378,130,122,94,6,6,835,0,0,7,60,31,29,51,15,13,209,0,0,8,35,30,20,13,3,0,104,0,15,18,73,105,167,217,134,34,768,0,8,12,17,20,20,11,4,0,96,3,22,40,192,121,91,74,31,10,580,0,6,19,41,37,26,18,4,3,147,0,0,0,30,8,4,7,0,0,51,0,15,33,124,60,22,18,0,0,277,0,0,0,28,16,14,7,3,0,70,6,32,39,102,67,78,62,8,6,410,0,4,8,93,54,32,23,0,0,217,0,4,3,24,36,44,37,21,5,171,0,4,20,61,37,27,13,3,0,170,5,63,113,735,508,519,487,262,87,2787,384,1006,842,1986,984,1053,970,693,375,8299,11854,24129,20490,43439,22428,20748,17034,8874,3108,172094
CED121,4,15,5,72,19,0,4,0,0,126,0,0,11,19,41,31,25,9,0,134,11,64,88,388,161,129,89,21,4,953,0,0,0,22,15,18,41,21,11,126,0,0,9,28,15,15,10,5,3,83,0,13,15,35,59,131,166,109,44,572,3,3,9,17,9,13,13,0,0,65,5,60,82,221,177,98,79,45,3,778,3,6,4,44,26,18,17,7,0,123,0,0,0,30,6,0,0,0,0,36,4,14,29,196,76,29,11,0,0,368,0,0,0,15,7,3,0,3,0,29,9,22,41,127,60,58,54,23,5,396,0,13,14,146,38,13,0,0,0,229,0,0,3,13,27,34,38,20,11,144,0,3,19,75,30,22,15,5,0,167,9,52,99,408,238,264,267,207,75,1612,394,910,950,2032,955,1006,1000,738,355,8336,10562,22564,20370,43299,21516,21629,19128,10968,4383,174420
CED122,6,19,51,221,15,18,12,6,0,357,0,3,10,20,45,31,15,6,6,139,12,73,184,1120,435,332,228,78,15,2474,0,5,12,270,87,96,170,48,19,718,0,0,0,16,17,26,3,5,0,66,0,9,26,390,156,166,120,62,18,949,12,47,130,267,86,81,78,26,0,734,3,49,164,608,535,284,155,127,24,1957,3,4,43,166,55,54,56,15,3,394,6,11,48,323,67,50,61,4,5,575,6,34,81,681,178,101,75,4,3,1166,0,3,20,175,134,171,89,71,12,666,51,131,116,602,178,108,53,25,4,1261,6,25,186,451,197,117,117,36,12,1160,0,11,14,169,43,40,15,8,5,307,0,0,10,50,32,26,7,10,0,136,74,398,595,4966,1586,1530,1523,1079,398,12148,391,754,1263,3467,972,816,665,477,277,9081,9558,17842,23141,64333,22576,18246,13670,8778,3791,181933
CED123,10,85,89,441,104,69,42,12,0,853,0,0,9,16,22,13,9,3,0,71,15,188,372,1719,759,609,372,94,24,4143,0,6,0,54,34,46,67,33,23,270,4,28,98,192,128,103,46,22,0,628,0,0,13,71,99,218,207,128,32,771,7,23,11,60,31,31,26,7,0,185,0,27,38,210,130,109,66,51,10,636,6,34,65,374,135,119,85,30,3,857,3,0,6,66,10,10,16,0,0,108,7,25,40,270,98,74,16,4,0,537,0,5,5,63,45,50,29,16,3,214,9,24,40,127,32,55,36,10,0,337,0,18,24,191,87,45,23,10,4,405,0,0,4,13,24,41,42,14,3,147,0,3,37,90,60,30,7,6,0,232,22,191,373,1662,806,716,623,383,133,4896,630,1346,1289,3136,1167,894,793,692,489,10443,13743,26393,24394,56674,23115,19113,14685,7278,2446,187851
CED124,0,0,3,26,6,0,0,0,0,37,0,0,0,13,35,33,14,5,0,102,6,29,25,209,92,101,74,20,4,557,0,7,0,13,12,25,39,14,4,108,0,0,0,5,0,0,0,0,0,8,0,16,10,24,35,128,205,150,27,589,0,0,0,12,9,7,14,7,0,47,7,15,34,83,86,82,104,43,11,455,0,0,0,15,10,9,8,4,0,54,0,0,0,8,0,3,0,0,0,17,0,15,21,79,53,16,15,0,0,203,0,3,0,0,4,4,4,0,0,22,3,30,29,91,51,71,101,35,9,421,0,8,3,39,18,8,7,0,0,92,0,3,0,14,18,18,35,35,9,138,0,0,6,17,26,18,20,3,0,90,4,43,27,195,161,240,314,268,70,1323,356,1112,838,1816,1213,1572,1792,1300,537,10525,6844,17928,14330,27267,18632,24506,26639,15676,5529,157347
CED125,5,230,214,986,278,143,49,11,0,1922,3,4,16,25,28,21,16,0,0,119,24,180,433,2032,935,844,529,137,34,5154,0,0,9,100,72,75,121,40,11,436,5,89,183,472,367,399,185,58,7,1768,0,15,11,94,87,197,226,136,19,779,0,30,11,42,33,21,20,7,0,172,12,52,61,345,228,169,172,59,8,1108,10,53,67,281,126,104,78,31,4,754,3,3,9,77,31,15,6,0,0,148,10,33,53,478,141,90,54,9,0,869,0,12,16,69,51,36,10,11,3,198,4,49,43,151,68,44,35,9,5,407,7,21,55,550,204,202,112,14,14,1174,0,0,0,19,22,34,32,13,6,134,0,7,69,194,85,37,9,5,0,399,48,343,477,2587,1512,1449,1071,542,119,8139,703,1528,1214,2969,1096,852,681,456,181,9682,17040,30837,25538,63915,23413,20815,15452,6723,1764,205501
CED126,0,0,6,18,10,3,5,0,0,50,0,0,0,13,52,45,17,8,0,139,4,46,100,468,218,208,101,30,8,1181,0,4,0,104,57,46,73,25,10,324,0,0,4,11,14,6,3,0,0,40,0,30,37,130,192,209,181,144,58,975,7,61,46,43,50,38,36,10,3,302,11,117,186,687,557,355,200,105,31,2242,0,0,0,24,13,28,13,13,3,97,0,3,7,35,20,3,7,0,0,84,6,18,36,204,113,63,27,9,0,466,0,4,0,40,33,34,33,14,6,163,40,118,136,355,244,196,163,70,6,1337,0,7,27,103,82,57,18,9,0,304,0,17,4,75,85,56,43,33,16,330,0,0,6,37,61,49,25,5,0,187,35,188,205,1624,1020,846,660,505,187,5275,181,491,472,1127,635,561,482,502,344,4785,8055,20211,18095,34081,23204,19874,15853,11157,4854,155387
CED127,0,0,4,33,8,17,3,4,0,73,0,0,0,19,32,40,14,0,5,108,0,32,36,290,129,103,82,17,4,699,0,0,0,55,38,51,71,21,10,251,0,0,0,15,7,3,3,0,0,33,0,12,20,70,104,183,229,117,36,769,0,14,11,27,29,26,13,5,3,126,0,13,51,176,167,95,88,33,11,643,3,4,0,61,21,28,18,13,7,152,0,5,0,28,3,6,5,0,0,54,0,19,14,131,52,34,16,0,6,271,0,0,0,12,15,10,6,0,0,40,11,44,45,181,111,136,123,56,11,708,4,14,36,107,45,19,18,7,0,244,0,0,0,16,35,37,54,35,7,186,0,0,0,15,18,21,8,0,0,66,9,54,65,506,473,499,492,333,108,2545,224,598,552,1299,724,677,628,512,333,5557,8035,18446,16725,33457,20142,19851,16878,8817,2981,145330
CED128,29,179,262,964,127,80,58,13,3,1720,0,0,3,8,10,10,3,3,0,41,17,97,228,1140,674,630,531,119,28,3452,0,0,4,37,34,55,86,42,28,284,0,32,61,145,138,118,73,11,6,583,0,0,0,21,25,79,83,63,14,282,0,10,15,25,19,17,29,3,3,120,0,6,17,66,81,69,65,18,0,317,0,13,24,247,145,169,122,48,21,793,0,6,10,81,25,22,22,3,0,164,0,16,58,318,69,76,30,6,0,578,8,55,33,324,319,258,142,83,22,1225,5,30,45,74,24,21,8,4,0,214,13,111,276,1780,1599,1593,891,316,172,6759,0,0,0,7,4,14,15,8,0,44,0,3,6,27,14,7,6,0,0,60,47,799,1122,3473,1951,2024,1391,851,310,11972,683,1490,1250,3210,1177,1019,807,520,229,10382,11486,24198,23063,48552,21659,20657,15028,7987,3016,175649
CED129,12,271,121,924,226,135,63,23,7,1789,0,0,7,24,29,25,13,3,0,108,6,114,236,1299,666,663,513,111,37,3649,0,16,8,105,70,119,140,30,14,504,0,12,0,8,12,12,6,0,0,49,0,23,27,75,90,92,111,97,36,547,6,142,130,152,108,87,91,26,13,757,36,323,346,879,612,358,187,70,29,2836,9,86,198,961,628,639,366,170,46,3101,8,32,18,251,83,63,84,22,0,561,5,35,51,241,81,33,25,0,0,472,0,7,13,82,135,77,27,29,3,375,48,167,211,264,94,75,44,18,0,930,0,31,30,259,209,175,97,19,0,819,0,6,11,27,29,28,24,10,4,148,0,12,42,118,89,57,15,3,0,334,55,457,413,1711,1041,844,652,413,160,5741,215,546,421,1252,503,403,327,274,152,4100,11482,29213,23182,51361,26366,19508,15586,8628,2888,188212
