CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED605,0,3,0,89,5,0,3,0,0,106,0,0,0,4,32,22,10,0,0,68,3,31,27,153,72,55,40,13,0,391,0,0,0,16,10,14,23,10,4,82,0,0,0,0,0,3,0,0,0,4,0,7,5,24,30,93,118,88,20,384,0,8,6,12,21,8,7,0,0,61,7,18,16,82,42,52,44,16,3,272,0,4,9,78,9,3,4,0,3,111,0,0,0,41,3,3,0,0,0,52,0,3,4,39,30,17,8,0,0,103,0,0,0,0,0,6,4,0,0,5,4,14,25,79,48,52,79,31,7,335,0,3,5,49,3,9,6,0,0,78,0,0,0,12,21,30,39,25,15,136,0,0,0,21,22,19,4,7,0,71,7,25,46,362,136,176,174,111,33,1071,301,716,714,1679,1002,1253,1222,722,205,7815,5870,13467,11569,25749,14386,17274,15236,7415,2097,113067
CED694,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,25,0,12,34,49,29,49,66,6,0,242,42,92,215,426,203,199,163,31,3,1377
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,7,0,0,0,0,19
CED701,0,3,4,100,6,0,0,0,0,122,0,7,15,70,76,49,18,0,0,234,17,143,227,838,347,200,93,21,3,1880,0,0,0,18,8,13,8,0,0,50,0,0,3,22,7,5,5,0,0,44,0,4,12,39,39,56,44,23,4,223,0,0,3,27,20,22,21,5,0,104,0,22,60,150,97,65,26,8,0,424,0,17,12,157,29,14,12,5,0,244,0,3,5,93,3,13,0,0,0,123,3,32,40,148,72,44,18,5,0,358,0,0,0,3,3,0,0,0,0,11,33,110,65,355,100,117,45,9,4,827,6,12,33,174,76,60,20,0,0,382,0,0,6,20,3,12,10,3,0,55,5,16,56,197,83,56,19,3,0,430,18,105,152,992,332,191,149,70,13,2024,504,1100,1244,3623,1574,1413,842,276,41,10622,8677,18043,16935,39413,15487,12661,7067,2251,475,121004
CED702,21,49,48,394,36,18,0,0,0,570,0,19,29,91,116,59,32,3,3,351,25,377,645,1886,806,444,259,70,19,4526,0,0,3,40,12,9,15,3,0,85,0,0,3,11,4,4,6,0,0,29,0,10,8,89,56,85,52,44,8,349,7,24,11,68,34,46,30,19,0,250,11,64,59,215,99,56,18,13,0,534,10,92,76,599,106,59,48,25,8,1021,8,28,7,321,10,11,4,0,0,388,9,59,101,298,140,93,40,13,4,755,0,0,0,14,6,9,3,3,0,36,12,32,22,141,53,45,28,13,5,357,7,75,119,498,120,91,57,11,7,980,0,3,7,36,11,11,17,3,3,99,0,9,33,155,51,28,6,0,0,296,40,291,290,1346,656,539,418,228,72,3890,516,1163,1116,3371,1189,878,556,235,99,9110,7509,14640,12920,38761,14186,11290,7353,2927,696,110288
CED794,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,56,9,10,6,3,0,83,29,40,86,326,184,167,71,9,0,904,164,285,276,1232,591,579,318,49,7,3500
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,0,21,0,0,15,44,19,17,0,0,0,99
CED801,4,60,53,320,80,38,10,0,0,558,0,4,9,36,90,55,18,11,0,225,15,130,177,917,336,196,139,35,10,1950,0,4,0,90,34,76,113,33,17,377,0,9,12,26,25,26,11,5,0,112,0,8,17,74,92,178,160,134,50,724,0,34,26,102,59,48,38,17,3,328,3,45,71,195,160,88,73,25,13,673,3,42,41,334,148,169,153,72,12,972,0,9,5,54,14,13,7,7,4,109,6,33,45,234,87,73,38,12,0,525,0,4,5,22,21,6,5,5,0,75,33,112,111,291,135,96,90,42,3,915,0,22,48,228,176,207,101,39,8,824,0,5,5,36,22,32,31,25,12,163,0,15,24,78,50,31,18,4,0,220,31,287,359,1597,822,791,705,507,182,5283,216,570,497,1475,569,514,511,425,209,4987,9197,19763,17215,44248,19674,18075,14171,7647,2617,152610
CED802,11,49,68,402,36,19,14,5,0,593,0,3,14,78,91,56,20,6,4,272,7,71,122,535,131,88,61,20,0,1031,0,4,6,81,47,47,79,45,23,338,0,8,16,22,15,8,4,3,0,78,5,10,34,104,69,111,110,91,44,586,5,42,107,159,71,44,27,4,0,464,4,28,136,264,130,81,71,27,10,745,3,32,79,388,134,101,54,26,15,834,0,13,37,211,37,16,9,0,0,324,3,30,84,234,69,30,25,5,0,481,6,3,0,35,20,15,19,5,0,113,44,192,261,545,227,165,139,71,11,1647,4,59,134,447,210,192,104,33,21,1212,0,3,5,32,27,19,25,27,4,142,0,0,15,64,21,23,15,7,0,151,51,386,491,2496,713,544,466,325,174,5650,197,441,1720,2349,692,652,597,382,266,7298,6231,14310,24247,47286,17042,14515,11733,6954,3198,145507
CED803,27,164,168,1122,171,65,20,11,0,1754,0,0,11,39,92,43,21,6,0,219,9,115,224,977,373,259,104,32,9,2103,0,11,5,70,68,42,59,29,11,294,0,3,19,37,14,25,3,6,0,102,0,7,24,87,82,86,105,88,29,509,6,42,36,129,87,44,32,7,0,377,8,78,141,298,235,93,56,20,4,930,7,74,138,617,249,214,139,40,17,1496,4,7,11,189,22,10,5,0,0,256,9,54,91,300,87,44,31,8,0,613,0,0,7,56,17,10,5,0,0,105,29,111,116,291,124,71,59,22,9,822,13,66,158,803,409,355,193,50,15,2043,0,3,3,31,20,31,24,23,4,142,0,11,46,138,84,30,12,3,0,318,48,365,546,2452,899,668,524,300,103,5909,337,640,608,1865,563,379,273,186,47,4899,11343,22453,19232,55860,19759,13189,10079,4928,1420,158267
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,20,0,0,9,40,20,18,14,0,0,110,19,25,148,215,77,78,34,10,4,605
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
