CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED237,46,166,2139,24483,17853,2282,342,729,48044,9,122,1422,1346,497,32,5,53,3492,0,47,1073,1773,375,49,3,49,3370,9,169,2494,3120,874,79,9,105,6862,3,118,605,332,24,0,0,15,1097,0,117,232,8,0,0,0,5,364,0,96,389,18,0,0,0,4,518,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,22,8,339,1229,363,26,0,0,30,1999,0,0,7,8,3,0,0,0,18,0,0,10,13,3,3,0,4,35,63,682,5872,27993,18760,2365,357,866,56962
CED238,114,781,6667,29224,14873,2421,537,856,55477,25,610,2039,438,58,6,6,105,3301,4,31,246,216,34,6,3,12,559,31,647,2285,658,96,9,6,115,3864,8,218,474,85,10,0,0,24,821,0,37,23,12,0,0,0,0,67,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,4,4,4,0,0,0,18,12,260,502,97,15,4,0,22,913,47,117,105,83,47,4,3,17,416,0,18,22,33,14,5,11,8,109,204,1824,9576,30094,15045,2446,559,1023,60779
CED239,36,306,5752,18764,7114,1219,214,410,33821,12,560,4356,1663,179,31,8,85,6898,21,350,4958,4274,634,44,11,115,10403,34,915,9313,5940,814,75,20,197,17298,58,1332,2540,327,25,3,7,69,4362,30,461,1018,77,13,0,0,13,1606,56,1612,2361,189,16,8,0,31,4274,3,293,338,13,0,0,4,5,654,0,12,12,14,4,3,0,0,41,155,3705,6273,608,59,12,7,126,10942,3,38,120,82,14,8,3,4,269,4,12,27,22,6,0,0,6,71,230,4977,21483,25410,8006,1312,239,744,62402
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,99,918,4253,23833,25596,3450,825,862,59841,33,606,1007,1068,215,0,9,84,3022,14,185,496,1054,120,4,4,42,1919,41,797,1502,2120,336,10,11,126,4940,3,277,382,163,23,3,3,47,914,4,46,49,4,0,0,0,0,102,0,28,62,0,0,0,0,0,92,4,20,18,9,0,0,0,0,45,0,15,10,6,6,0,5,0,46,15,383,522,185,27,5,0,48,1193,23,103,70,36,20,0,3,17,272,11,32,21,22,21,3,0,4,114,190,2231,6365,26194,25999,3472,845,1067,66361
CED302,53,321,2262,17025,18253,5910,1089,419,45329,24,146,909,640,24,4,0,46,1785,8,165,1080,4260,417,19,7,60,6014,34,309,1986,4895,442,22,7,107,7798,80,641,524,157,11,4,9,50,1467,11,165,923,205,3,3,0,22,1334,3,198,1000,248,5,0,0,19,1483,0,36,194,76,0,0,0,4,308,3,16,22,6,8,9,0,0,67,102,1055,2665,690,29,16,15,88,4659,71,265,180,36,3,0,0,24,578,4,26,17,18,12,0,3,10,85,256,1986,7109,22666,18734,5951,1115,645,58455
CED303,77,464,2825,16194,22950,5360,891,519,49276,51,530,1704,932,143,20,5,67,3452,16,94,1051,1843,178,3,0,37,3231,73,622,2757,2774,328,21,5,101,6680,6,312,655,469,31,7,0,38,1522,12,9,189,131,4,0,0,3,347,0,44,337,193,30,4,0,3,619,0,0,0,0,0,0,0,0,0,5,18,32,7,10,3,3,0,75,29,379,1216,798,72,14,3,45,2559,26,67,49,12,3,0,0,11,170,3,17,21,12,12,0,0,6,73,200,1553,6865,19793,23366,5397,897,681,58756
CED304,34,326,2892,9742,8592,4279,938,219,27019,4,72,159,48,10,0,6,3,310,20,369,1440,2434,242,33,24,62,4632,33,442,1603,2489,251,33,25,70,4942,184,2203,3505,874,137,25,28,106,7062,174,1600,7354,1264,84,12,15,134,10631,350,3265,6751,1861,97,9,7,181,12526,201,5687,7823,1699,97,10,7,181,15707,3,151,299,32,9,6,0,11,511,912,12904,25735,5734,423,55,59,612,46436,0,15,34,11,7,3,0,0,71,27,101,86,30,11,3,4,22,286,1008,13795,30345,18003,9285,4375,1028,929,78763
CED305,139,804,4869,21524,16924,2860,660,788,48568,17,231,1440,796,133,16,6,99,2734,12,192,409,389,69,5,3,23,1104,29,420,1845,1182,203,18,11,126,3835,24,350,1046,326,36,10,5,55,1844,0,10,70,35,0,0,0,0,116,0,15,77,32,0,0,0,0,125,3,17,52,37,0,0,0,0,113,0,5,8,11,4,0,0,0,30,27,390,1250,441,44,11,6,61,2232,75,167,39,47,19,8,3,44,403,10,44,31,51,24,7,7,17,191,283,1824,8038,23248,17211,2901,686,1033,55233
