CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED306,130,823,4232,21341,17431,2659,461,759,47833,64,430,2134,843,77,3,7,151,3702,26,312,846,597,62,5,4,75,1929,85,746,2981,1446,137,11,10,226,5630,30,356,1215,445,29,11,4,45,2139,9,72,349,100,3,0,0,11,540,0,31,114,74,3,0,0,5,220,0,18,37,114,17,0,0,3,188,0,0,4,7,4,0,0,0,15,32,473,1713,734,56,10,4,67,3104,155,359,117,87,41,7,5,107,882,51,120,69,68,33,0,4,53,394,446,2517,9117,23682,17695,2684,486,1212,57840
CED307,28,220,1139,17640,21535,5224,1136,369,47288,8,351,1401,803,81,0,0,47,2697,13,95,815,3368,182,3,3,60,4539,18,450,2222,4175,263,5,4,103,7240,3,151,233,128,10,0,6,12,547,0,53,39,11,5,0,0,10,121,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,26,50,19,12,9,0,6,133,3,236,340,155,29,13,5,31,818,18,110,42,10,0,0,0,12,190,4,3,7,7,7,0,3,6,42,78,1021,3740,21991,21842,5248,1146,515,55577
CED308,49,179,2398,11736,24078,4212,803,535,43996,35,178,3132,3432,367,13,7,131,7287,26,236,1421,6634,983,34,9,133,9476,59,414,4547,10063,1354,44,16,265,16758,20,286,773,190,71,0,4,47,1388,19,364,1961,575,49,10,0,48,3032,0,253,1184,592,45,0,0,25,2103,0,136,1209,648,37,0,0,25,2055,0,17,27,14,3,3,4,0,68,37,1060,5154,2018,204,16,8,153,8641,32,206,162,36,11,0,0,20,467,5,37,50,82,41,5,5,16,234,191,1894,12305,23933,25683,4280,835,984,70091
CED309,107,703,3337,17465,19075,3777,911,533,45912,10,211,2085,1580,77,11,3,83,4058,25,277,1760,2707,280,8,8,67,5146,41,493,3842,4288,355,21,11,150,9204,51,517,1674,927,69,4,3,73,3326,15,109,644,465,16,3,0,20,1278,4,215,990,739,79,0,0,27,2058,11,70,541,209,16,0,0,19,858,6,68,80,27,21,3,7,5,219,90,971,3935,2365,201,17,15,147,7739,81,246,111,27,13,0,0,24,499,8,34,52,57,19,3,5,15,200,324,2439,11282,24210,19664,3826,943,874,63553
CED310,106,534,2917,17857,20887,3703,793,524,47325,20,121,2641,1796,120,4,3,85,4800,4,137,678,1505,250,20,4,24,2635,29,258,3323,3305,368,24,7,111,7434,39,355,1098,574,60,6,0,66,2215,6,148,1086,400,18,4,4,25,1696,22,360,2009,1008,52,3,0,34,3496,9,92,430,523,16,0,0,17,1097,6,36,44,17,15,7,0,0,130,81,991,4675,2527,172,22,9,145,8627,76,197,160,64,28,7,3,17,558,12,32,33,44,18,3,0,17,164,293,2015,11112,23797,21480,3767,816,819,64100
CED311,314,1365,4783,21082,18527,2886,706,1027,50686,0,193,556,420,112,26,10,30,1351,11,38,432,476,44,0,3,26,1033,14,225,989,899,158,27,11,57,2384,13,254,1139,486,33,8,5,39,1965,15,28,143,30,3,0,0,6,219,0,8,155,46,0,0,0,0,214,0,4,80,5,0,0,0,0,89,0,3,14,4,0,0,3,0,23,25,299,1525,573,37,8,4,43,2516,122,339,119,64,31,7,0,101,789,26,65,36,65,37,13,12,21,272,504,2292,7450,22687,18784,2933,741,1248,56639
CED312,73,302,3106,17716,26287,4288,1241,826,53844,9,233,1638,1769,179,7,6,99,3941,7,124,1204,2639,257,24,13,76,4349,18,353,2839,4405,437,36,15,179,8288,6,289,662,511,45,3,0,57,1568,0,74,88,3,0,0,0,7,174,0,13,82,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,18,51,21,7,6,3,6,105,13,390,880,536,55,9,4,77,1953,23,193,68,12,9,4,0,69,364,6,15,21,29,33,0,0,9,114,127,1253,6919,22703,26815,4332,1259,1153,64566
CED313,61,317,2931,11804,9958,4527,905,224,30732,7,88,254,184,19,0,0,6,562,22,421,1930,4503,389,33,16,68,7379,29,511,2185,4684,411,37,14,68,7941,169,1926,2983,980,95,22,16,123,6320,95,1170,6070,1215,55,8,12,115,8744,40,1637,4373,1384,98,16,0,159,7710,154,3222,5081,1068,116,5,7,105,9760,0,7,14,5,5,5,0,0,44,459,7960,18531,4662,371,59,37,504,32575,9,13,27,16,0,0,0,0,69,7,39,67,32,8,4,4,25,199,568,8842,23741,21196,10753,4625,965,827,71519
CED314,58,430,3349,21092,19276,3498,728,556,48994,23,660,3527,2124,102,14,5,127,6582,7,194,863,563,54,8,7,28,1718,30,852,4383,2688,160,22,10,158,8297,10,188,1485,470,35,4,0,30,2214,12,9,38,0,0,0,0,0,60,0,0,36,8,0,0,0,0,44,0,0,10,11,11,0,0,5,31,3,8,5,0,3,0,0,0,21,23,199,1576,487,52,0,4,35,2372,25,67,25,18,14,3,0,16,160,3,15,19,31,21,5,0,11,104,142,1558,9355,24309,19522,3528,742,770,59929
CED315,36,375,2945,21545,18482,2671,657,611,47317,50,467,2916,652,114,9,4,107,4326,14,407,1833,626,52,4,15,77,3029,62,878,4750,1280,170,14,19,180,7361,25,355,928,309,20,8,7,52,1701,0,104,867,192,4,0,0,19,1191,15,76,526,384,11,0,0,10,1018,0,90,260,230,5,0,0,8,587,0,3,5,4,5,0,0,0,18,34,627,2586,1120,42,20,9,88,4520,58,150,49,34,11,0,3,26,332,11,72,25,37,15,3,3,22,183,203,2094,10358,24012,18714,2707,693,925,59711
CED316,157,652,5302,23819,18050,2523,624,749,51866,21,341,2253,1005,61,8,0,106,3807,24,303,637,637,36,3,0,53,1688,49,646,2890,1633,100,11,7,159,5496,20,455,1390,441,39,3,3,61,2405,0,13,92,51,0,0,0,3,165,0,24,233,165,7,0,0,3,435,0,0,4,3,0,0,0,0,3,0,3,8,3,0,0,0,0,22,25,497,1725,658,48,5,4,74,3034,173,506,192,88,42,6,0,124,1132,24,50,58,38,33,4,5,39,247,424,2344,10176,26244,18272,2542,640,1142,61775
CED317,313,1707,6675,24698,14807,2479,674,1196,52556,18,395,1426,486,123,24,3,89,2568,0,76,387,104,17,4,6,18,606,18,474,1814,590,144,22,4,104,3172,16,428,1222,261,40,4,9,100,2088,0,0,43,5,4,0,0,5,59,0,0,12,9,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,8,28,19,431,1282,284,51,10,9,116,2201,221,488,184,145,80,5,6,301,1434,33,113,67,120,75,33,36,50,527,603,3211,10027,25834,15149,2558,742,1772,59892
CED318,174,831,3713,19061,15757,2849,811,689,43888,33,520,2368,732,76,8,9,119,3858,32,465,2286,537,55,10,13,76,3476,66,980,4654,1268,132,17,15,199,7334,149,1066,3315,558,43,17,9,147,5294,32,560,1926,648,16,0,5,50,3241,6,87,522,232,3,0,0,9,866,0,61,191,147,8,0,0,10,414,0,4,11,5,6,3,0,0,20,190,1773,5964,1587,76,17,11,217,9840,155,326,133,101,41,10,12,69,848,28,100,226,86,28,5,15,70,564,613,4014,14687,22100,16036,2897,873,1243,62465
CED319,55,293,3215,20096,13923,3955,701,371,42595,3,238,778,717,47,0,4,68,1857,14,483,2030,3718,305,5,4,75,6636,17,720,2810,4439,348,6,6,142,8495,55,1108,2526,674,71,5,9,96,4539,46,330,3029,363,14,3,3,101,3889,16,371,1489,289,10,0,0,38,2208,18,381,1024,178,4,0,0,24,1632,5,17,18,8,10,3,4,0,55,131,2203,8085,1513,111,9,12,254,12317,0,17,8,13,9,0,0,109,156,10,22,19,16,9,0,0,5,74,217,3255,14137,26070,14391,3970,718,880,63639
CED320,58,431,3182,19235,26821,4006,1056,660,55452,19,615,1714,2161,312,12,6,120,4953,14,257,1049,1880,192,9,0,65,3468,33,867,2760,4038,503,20,12,183,8424,4,168,307,204,20,0,0,33,730,12,46,169,42,0,0,0,12,276,5,19,114,47,0,0,0,0,185,0,0,0,0,0,0,0,0,0,5,47,84,42,18,7,10,0,214,16,278,672,332,37,8,7,50,1405,88,403,161,35,19,0,4,37,754,7,22,24,27,24,4,0,13,115,204,2006,6798,23676,27407,4045,1083,941,66152
CED321,273,1410,6579,22950,15519,2950,857,1004,51536,12,324,1462,589,93,16,14,84,2589,0,16,126,89,23,6,3,8,264,12,338,1588,678,118,20,16,92,2853,8,165,584,161,24,0,0,57,993,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,5,8,167,586,160,25,0,0,57,1003,116,255,115,107,54,9,17,46,712,10,55,69,105,54,26,15,35,371,416,2218,8933,23999,15764,3003,909,1234,56476
CED322,49,224,1261,12981,14355,3386,778,385,33422,14,139,1573,1740,100,6,7,57,3630,12,202,1951,7302,1159,59,20,145,10859,28,341,3528,9045,1262,67,26,200,14491,89,515,1515,259,48,6,10,81,2522,10,621,3104,667,38,4,4,60,4506,11,258,1638,595,48,0,3,32,2586,95,423,1575,388,23,0,0,35,2540,0,26,25,13,14,7,5,0,89,199,1834,7858,1924,178,25,18,210,12240,11,38,53,16,8,0,0,3,130,8,23,36,20,13,3,0,15,111,292,2463,12731,23983,15809,3481,823,815,60399
CED323,31,177,1207,12360,11285,3255,744,371,29432,17,305,2168,1406,139,16,8,78,4156,6,385,2821,4944,818,105,21,172,9278,30,695,4998,6349,959,122,28,248,13433,61,793,2651,1032,73,15,14,136,4793,44,1533,4599,642,47,5,0,154,7025,77,1470,3064,579,36,8,10,87,5329,184,2910,6216,1814,108,10,0,204,11446,0,4,11,13,3,3,4,0,50,363,6722,16552,4075,270,47,25,586,28644,56,325,176,19,3,0,11,30,623,15,91,114,62,10,0,3,35,333,493,8004,23047,22871,12536,3424,814,1270,72459
CED324,82,508,2666,16838,15290,5788,1528,502,43216,18,156,487,436,53,8,4,19,1176,15,363,1534,4919,533,61,8,116,7551,30,521,2019,5356,591,65,13,140,8735,42,1021,1874,470,62,15,6,55,3545,31,307,1687,298,26,4,0,24,2378,6,149,721,250,7,0,0,8,1145,0,0,43,139,5,0,0,0,188,3,14,18,18,8,7,5,3,78,90,1485,4347,1172,106,29,12,98,7336,12,59,19,14,7,0,0,8,114,7,33,24,24,4,0,3,4,103,222,2606,9077,23406,15992,5884,1560,754,59499
CED325,43,347,1698,19894,24353,4211,746,657,51962,15,237,904,622,137,0,6,63,1980,6,107,656,4201,533,12,5,113,5626,21,351,1553,4818,667,14,6,175,7607,13,242,76,43,18,0,0,8,406,3,53,99,35,0,0,0,15,205,0,11,31,9,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,11,14,39,17,0,8,3,93,21,317,221,117,37,5,8,30,754,16,115,48,3,4,0,0,3,192,0,5,15,35,16,3,0,6,83,96,1134,3539,24874,25078,4233,762,878,60592
CED326,47,340,3756,19896,23062,3855,696,583,52226,19,382,1706,1381,90,3,4,83,3674,7,186,1036,4391,734,3,6,90,6455,28,570,2746,5773,825,5,13,171,10129,32,606,1275,649,56,7,3,79,2700,19,94,448,307,6,0,0,16,887,18,166,738,576,13,0,0,29,1532,25,41,274,539,8,0,0,4,890,0,17,30,9,8,3,0,0,70,89,917,2759,2077,87,13,8,131,6090,84,240,106,23,12,0,0,35,498,8,20,16,30,11,3,3,9,95,252,2083,9381,27802,23997,3876,712,934,69039
CED327,35,170,1012,20916,20445,4357,896,684,48521,6,183,950,801,83,9,0,69,2100,17,224,2056,4781,571,20,3,169,7839,20,401,3008,5579,651,31,10,241,9935,6,90,454,183,7,3,3,30,775,5,70,70,33,12,0,0,41,229,0,3,25,0,0,0,0,0,30,0,30,21,12,3,0,0,0,68,0,13,18,4,7,6,0,3,51,11,207,586,240,24,3,6,73,1154,22,63,22,5,0,4,0,4,115,0,21,10,21,18,0,0,9,82,92,862,4636,26765,21147,4395,907,1011,59807
CED328,36,217,1695,12767,18027,6255,1322,255,40589,0,78,345,217,20,3,0,16,678,0,85,584,1605,202,23,4,20,2527,3,166,924,1820,221,29,4,36,3211,38,641,1718,845,145,25,15,40,3454,11,466,4009,997,33,8,12,45,5575,15,381,2225,682,33,0,4,21,3357,0,344,1128,629,23,0,0,12,2138,0,10,16,4,8,12,0,0,53,66,1845,9105,3149,241,37,26,117,14580,0,0,3,0,3,3,0,0,14,5,27,49,33,15,4,5,5,152,105,2259,11773,17772,18510,6327,1366,419,58538
CED329,301,1197,6352,22990,15689,2928,656,845,50948,34,404,1073,535,37,11,7,64,2173,15,129,1077,763,70,9,3,32,2086,47,528,2145,1295,104,20,13,98,4259,32,353,1098,313,21,0,4,54,1890,0,37,282,109,3,0,0,7,439,0,4,38,130,0,0,0,0,175,0,0,0,0,0,0,0,0,0,3,28,13,12,7,5,0,0,69,41,420,1435,563,33,13,4,63,2571,111,242,119,57,39,5,6,46,624,23,117,46,59,25,6,4,10,288,517,2509,10098,24962,15893,2968,681,1066,58689
CED330,135,655,3318,16981,25743,5865,2228,825,55753,18,125,817,461,111,18,0,52,1607,10,25,203,285,82,17,0,20,640,24,155,1015,751,191,39,3,69,2246,0,16,102,68,23,0,0,8,220,0,3,10,0,0,0,0,0,9,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,34,79,30,16,10,6,0,168,0,50,196,99,42,10,7,13,410,41,148,42,43,46,10,9,14,356,5,19,26,27,24,8,4,57,168,212,1026,4594,17897,26052,5925,2249,972,58938
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED401,52,531,6322,24710,9690,1724,355,418,43800,37,1232,5813,4107,481,62,24,193,11948,16,286,2485,3791,441,53,12,70,7154,58,1519,8300,7901,918,109,38,258,19099,33,1335,4714,623,35,3,10,85,6830,44,316,1290,189,13,0,0,16,1880,70,673,2125,366,26,0,0,38,3306,65,1021,1704,329,10,0,0,31,3164,3,13,29,24,5,3,0,0,77,222,3354,9866,1532,95,15,11,163,15257,12,34,64,59,22,8,3,4,191,20,64,85,82,27,4,6,38,325,353,5504,24635,34280,10750,1863,416,885,78685
CED402,124,951,6866,32596,16060,2190,430,890,60104,15,510,2158,1713,122,24,13,125,4678,0,15,35,38,12,8,3,0,109,14,524,2193,1754,131,29,13,126,4787,9,282,884,187,17,0,5,38,1415,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,10,9,283,896,194,17,0,5,38,1442,48,182,105,135,47,10,6,33,560,10,38,47,72,34,4,5,28,235,205,1981,10108,34741,16297,2232,452,1119,67134
CED403,22,362,5085,25691,12239,2350,458,355,46556,17,887,5693,5000,548,58,18,193,12416,7,147,879,1999,346,49,3,42,3481,16,1035,6571,7001,901,112,20,240,15898,25,1109,4650,648,25,4,0,88,6548,0,134,505,146,4,0,0,9,799,3,111,305,205,12,0,0,4,632,3,90,124,66,0,0,0,5,292,0,10,5,4,7,0,0,0,29,31,1450,5592,1067,38,8,5,108,8302,9,30,41,43,12,0,0,3,147,8,41,51,43,12,0,0,10,166,93,2914,17335,33841,13208,2469,485,710,71061
CED404,148,1117,7598,31132,14567,2115,420,927,58016,23,560,1713,3854,304,62,49,215,6788,0,4,20,126,56,6,0,5,224,23,562,1735,3981,367,71,47,224,7009,20,300,783,237,19,4,0,52,1418,0,6,35,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,9,4,0,3,46,19,317,822,259,24,11,0,57,1506,79,235,97,115,47,11,3,63,647,11,65,68,90,34,7,11,27,311,281,2295,10316,35571,15038,2216,485,1291,67491
CED405,37,374,5540,28448,11060,1611,280,433,47774,27,770,4699,3836,337,25,5,172,9879,3,143,1456,2645,619,71,11,43,4992,27,914,6159,6487,955,98,16,217,14874,30,863,3841,444,44,0,5,74,5293,5,56,605,71,4,0,4,9,765,0,216,555,78,3,0,0,11,862,0,0,52,48,0,0,0,0,106,0,17,18,15,3,0,0,0,63,36,1151,5079,652,58,0,7,98,7083,9,21,45,37,13,0,0,17,138,7,21,40,70,17,5,5,8,166,114,2481,16863,35690,12100,1715,306,763,70040
CED406,27,249,2638,35658,15826,2368,366,496,57625,19,461,2795,1042,60,5,8,113,4499,0,24,297,546,56,4,0,18,946,19,484,3085,1589,118,13,8,136,5444,4,191,471,326,12,0,0,20,1019,0,7,42,0,0,0,0,0,48,0,6,41,5,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,11,11,8,3,3,0,0,37,0,211,558,337,21,3,0,23,1151,22,98,109,11,0,0,0,8,251,3,5,12,28,12,3,0,8,68,71,1043,6399,37620,15972,2386,377,669,64539
CED407,28,219,2420,35056,15159,2330,355,505,56072,6,381,2938,1144,87,0,6,95,4646,0,12,373,1062,64,3,3,14,1527,7,392,3306,2198,145,6,6,108,6169,13,236,950,329,7,0,0,50,1582,0,10,268,76,0,0,0,4,363,0,16,274,34,0,0,0,6,321,0,0,0,0,0,0,0,0,0,0,9,7,4,4,5,0,3,31,18,273,1496,438,5,5,0,57,2296,0,0,0,9,8,0,0,0,26,6,15,27,33,12,0,0,4,93,60,902,7253,37737,15331,2340,366,670,64660
CED408,112,883,6572,30450,19668,3275,635,618,62212,9,270,1526,654,41,4,0,43,2563,0,11,83,231,53,8,3,0,387,9,286,1611,888,96,15,3,49,2952,4,106,258,81,5,0,0,13,462,0,20,40,14,6,0,0,0,84,0,0,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,8,0,5,0,0,0,20,5,132,315,97,14,3,0,14,587,48,210,91,40,10,3,0,21,412,6,35,39,50,28,5,5,12,179,183,1535,8631,31524,19814,3304,645,710,66339
CED409,56,259,2867,34464,15320,2224,422,766,56386,60,657,2962,4501,292,39,16,244,8772,0,37,334,484,33,4,0,15,908,57,693,3300,4984,331,43,16,257,9677,22,371,653,81,6,0,0,47,1187,0,15,46,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,22,392,704,89,3,0,0,46,1261,44,147,50,17,0,0,0,15,283,5,35,15,56,32,0,4,13,156,191,1537,6938,39613,15685,2266,437,1097,67764
CED410,21,276,4330,27835,14328,2781,505,367,50443,11,703,4936,3852,523,51,4,111,10189,4,244,1382,2449,373,49,8,31,4541,16,951,6312,6301,901,98,10,144,14726,48,1244,4894,802,43,11,7,101,7157,0,58,315,29,0,0,0,14,415,0,80,301,53,0,0,0,0,441,0,33,56,19,0,0,0,0,113,0,5,4,6,6,3,0,0,23,47,1423,5579,911,51,17,7,113,8149,14,40,21,21,7,0,0,4,103,10,33,56,51,24,0,7,4,175,104,2715,16291,35116,15305,2899,529,639,73606
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,40,315,1956,18420,33099,3276,487,751,58338,4,269,1103,1114,68,0,3,73,2625,3,64,282,277,35,5,0,11,675,8,330,1387,1387,95,5,3,80,3299,4,167,830,286,24,0,0,49,1357,0,46,283,54,0,0,0,6,394,0,52,169,61,0,0,0,3,288,0,0,15,14,0,0,0,0,27,0,12,9,12,12,4,0,0,51,3,280,1303,415,42,5,0,62,2111,23,129,103,7,7,0,0,9,274,0,7,6,10,25,4,0,10,69,73,1062,4755,20241,33271,3288,487,920,64091
CED502,44,236,1738,23572,26271,2768,493,745,55864,11,466,1489,3237,186,17,7,119,5533,0,51,245,194,12,0,0,9,511,11,513,1735,3434,201,21,7,128,6048,3,88,226,184,5,0,4,18,524,0,57,200,50,0,0,0,4,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,13,6,3,5,0,74,4,162,448,242,15,10,8,24,912,28,124,27,27,25,3,4,15,240,0,8,17,10,13,0,0,6,59,93,1037,3966,27282,26519,2803,513,913,63120
CED503,70,514,3105,15844,27821,3408,707,663,52137,7,444,1664,1615,82,6,8,124,3954,3,46,313,639,66,7,0,8,1088,8,491,1976,2257,149,18,8,138,5046,0,103,234,108,0,0,0,18,469,0,5,56,119,12,4,0,0,189,0,7,66,115,0,0,0,8,197,0,0,48,103,0,0,0,0,155,0,22,35,11,6,0,4,4,74,0,132,435,458,20,3,4,27,1092,47,255,262,93,17,4,3,57,740,0,6,25,18,19,0,0,11,86,129,1402,5806,18675,28031,3442,727,889,59100
CED504,23,204,1457,24031,22175,3266,528,664,52352,7,922,2905,7398,424,39,14,230,11952,0,144,429,828,114,8,0,27,1545,15,1065,3331,8228,538,47,21,257,13496,0,176,366,112,4,0,0,15,668,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,22,6,6,0,0,0,65,0,194,401,119,11,0,0,14,745,0,0,0,0,0,0,0,0,9,0,3,9,21,5,0,0,5,48,42,1473,5197,32399,22729,3314,550,943,66651
CED505,25,205,2892,14850,15363,4385,761,266,38745,11,477,2822,4312,410,40,10,105,8183,12,413,1770,3739,779,57,6,54,6830,21,890,4588,8053,1191,95,20,161,15017,27,889,2654,405,21,0,8,60,4059,102,1264,2050,411,24,3,4,52,3911,33,1176,1796,518,14,0,0,36,3580,0,84,587,206,15,0,0,10,907,0,12,5,9,6,0,0,0,32,165,3422,7094,1540,71,9,12,162,12482,0,9,4,4,7,0,0,0,18,0,11,16,14,4,0,0,8,56,209,4530,14597,24460,16635,4489,791,594,66316
