CED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED394,33,13,44,1219,501,70,1785,8009,3440,13234
CED397,0,0,0,0,0,0,0,45,135,183
CED401,4496,347,4903,28694,9140,884,38720,121662,8040,168422
CED402,4123,518,4669,24382,10014,1042,35439,95977,10988,142401
CED403,5767,397,6231,27716,11322,1044,40085,103311,5126,148524
CED404,3746,532,4309,23052,10388,1366,34807,94682,12165,141658
CED405,5126,325,5499,25587,10425,912,36925,103324,5843,146090
CED406,3240,351,3616,27283,11749,1369,40403,90838,5531,136777
CED407,3402,395,3825,28530,10328,969,39829,96781,6050,142664
CED408,3837,436,4304,27476,11830,1398,40702,96182,7032,143917
CED409,2929,480,3428,30302,9946,1379,41626,97638,8777,148036
CED410,5981,459,6518,30849,10825,850,42526,108967,5406,156898
CED494,15,0,11,315,124,17,459,1761,756,2975
CED497,0,0,0,0,0,0,0,0,5,12
CED501,2058,410,2499,32707,10338,1688,44733,86550,10420,141699
CED502,1958,395,2379,33169,9523,1345,44035,88532,8848,141417
CED503,3088,552,3679,24847,10096,1340,36275,84537,8738,129549
CED504,2840,340,3231,27861,10422,1019,39300,99896,8210,147408
CED505,4324,628,5030,29379,10654,1161,41186,94986,7086,143257
CED506,1808,391,2233,29445,10212,2200,41861,94318,24198,160379
CED507,2842,437,3312,25955,9068,1478,36500,81904,9099,127496
CED508,2609,487,3136,29115,9983,1337,40431,88466,7440,136332
CED509,2339,414,2780,31402,10396,1364,43155,85966,9461,138584
CED510,2713,253,2995,29409,12490,1285,43179,85215,4959,133353
CED511,3032,550,3606,25286,8940,1423,35652,91987,15966,143602
CED512,1835,252,2110,34650,9891,1518,46065,84443,6940,137448
CED513,3823,403,4281,26409,8666,980,36051,110349,9948,156347
CED514,3231,796,4062,28844,9626,1015,39489,108578,11097,159166
CED515,4153,505,4734,32289,12352,1101,45739,97660,7008,150405
CED594,12,23,30,613,205,45,861,3063,3361,7285
CED597,0,0,0,40,5,3,45,248,221,516
CED601,2372,383,2770,15857,6082,762,22707,63447,5388,91537
CED602,2470,303,2782,15326,6506,851,22684,62738,5671,91094
CED603,2402,254,2691,16013,6609,816,23444,66856,4726,95028
CED604,2339,294,2652,17995,7679,911,26590,60865,4826,92283
CED605,1870,215,2097,16262,6487,828,23572,63966,6183,93730
CED694,3,0,3,144,39,7,192,726,324,1248
CED697,0,0,0,0,0,0,0,11,3,19
CED701,387,54,475,17846,10930,2946,31728,50155,12402,94284
CED702,558,121,696,17709,5204,825,23737,55983,8416,88143
CED794,4,0,7,288,57,11,354,1487,1208,3052
CED797,0,0,0,3,4,0,11,60,26,94
CED801,2258,322,2617,26450,9800,1126,37375,80992,5273,123643
CED802,2841,312,3198,20445,6986,877,28309,89421,7237,124971
CED803,1286,105,1420,31110,7643,1063,39818,79766,4881,124469
CED894,0,0,4,63,32,0,97,335,130,560
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,4,0,0,4,6,3,11
CED997,0,0,0,0,0,0,0,0,0,0
