CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED224,1744,1034,1273,1363,1298,1095,843,618,325,9593,29401,17588,19743,23851,23399,19002,14574,8841,4126,160526
CED225,1567,1132,1122,1220,1246,1110,876,552,286,9115,28575,17984,18952,22268,21990,19590,16381,9268,3870,158869
CED226,1233,1224,1126,980,1216,1050,770,534,331,8460,25644,23595,20867,19873,22915,20099,15755,9605,4987,163354
CED227,2975,1577,1763,1729,1509,1124,801,495,245,12216,39637,20678,26068,26702,20885,15597,11444,6381,2079,169469
CED228,4227,2060,2895,2579,1697,1165,729,369,235,15952,48971,24424,35954,36421,21287,16791,11050,4825,1603,201323
CED229,1349,1278,3089,2247,1716,1410,1077,713,494,13363,19643,17243,40606,28521,21470,17343,13427,6958,2862,168080
CED230,3293,1908,1911,1942,2067,2310,1976,1324,839,17566,28724,17222,19562,17807,20319,24230,21612,12696,5466,167639
CED231,1525,1206,1636,1410,1415,1169,824,566,247,10006,24622,17458,23961,22522,20803,17371,13963,8855,3856,153408
CED232,2685,1469,1352,1623,1545,1308,912,465,147,11515,36061,18784,20536,24045,21585,17607,13314,6201,1750,159894
CED233,1411,2899,5495,2753,1674,1319,875,403,182,17005,16129,35751,67326,31175,17975,14302,10215,5089,2004,199964
CED234,1403,1142,1108,1129,1251,1072,864,724,485,9168,28352,20932,20607,23247,23420,21181,16789,12559,5775,172855
CED235,2522,1267,1311,1461,1552,1772,1682,1033,471,13069,25066,14025,15497,15754,17726,21510,21404,11374,3987,146349
CED236,3044,1853,1876,1824,1943,2029,1708,1157,567,16001,28490,17500,18361,17517,19953,21840,19778,11593,4479,159507
CED237,2440,1566,1827,1662,1501,1197,841,667,459,12153,33452,20923,26442,26426,20910,18236,13637,7448,2925,170399
CED238,2487,1600,1609,1791,1997,1955,1856,1073,529,14900,25712,15679,16759,16776,19697,22905,21143,11334,4556,154555
CED239,1683,1273,2260,1652,1329,945,633,508,386,10663,24484,18223,34271,26247,19003,14656,9855,7085,4486,158319
CED294,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
CED297,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
CED301,3878,2506,2686,2392,2012,1553,1051,684,335,17091,41931,24493,27817,25687,23248,20761,15418,8034,2551,189948
CED302,1701,1261,1198,1322,1321,1015,709,511,412,9436,31687,20084,20196,24475,22957,18209,13766,8122,3392,162883
CED303,1972,1303,1065,1142,1450,1337,1004,569,286,10129,28377,18287,16086,19550,21779,21854,19053,10448,3799,159222
CED304,1304,1946,3333,2096,1683,1289,790,436,245,13136,23158,28148,42976,28528,23591,17525,11329,5728,2260,183255
CED305,3328,2693,3630,3239,3119,2603,1380,691,299,20986,31615,19058,21592,21016,20684,20535,14710,7785,2798,159792
CED306,3184,2497,3233,2950,2906,2513,1411,847,336,19875,29950,19415,21502,20995,21882,21489,15744,8200,2901,162083
CED307,2118,1326,1253,1287,1452,987,739,391,227,9778,32391,20178,18992,22267,23443,18884,14324,7037,2050,159571
CED308,3349,2239,2400,2184,2264,1686,1314,769,297,16505,36201,23592,25931,25579,25890,22742,19698,11420,3572,194617
CED309,2490,1586,1580,1908,1960,1674,1356,855,592,13998,29798,17638,18233,21515,23223,22687,20379,11563,4424,169466
CED310,2482,1804,1721,1733,1917,1743,1364,858,442,14066,29550,19618,19509,20791,22567,22349,20618,12565,4625,172185
CED311,3781,2208,2367,2537,2631,2515,1692,902,296,18934,32851,17821,19206,20150,21260,21947,15891,7513,2038,158677
CED312,4364,2641,2716,2463,2118,1527,1019,656,313,17822,42367,25433,28548,26542,23981,19813,15722,8339,2600,193345
CED313,1633,2008,2787,1929,1640,1231,805,467,338,12843,26528,26733,36909,28360,23415,16877,10749,5468,2557,177589
CED314,2526,1800,1654,1513,1535,1427,1143,736,354,12687,31921,20817,20788,19201,19286,18567,16237,10039,4011,160864
CED315,3333,3037,2797,2431,2227,1665,1032,550,236,17310,32219,24097,24159,21406,20722,18699,13640,6854,2255,164046
CED316,2464,1487,1397,1386,1690,1798,1749,1238,530,13733,25073,15232,14845,15424,18440,22747,24875,15176,4750,156565
CED317,4290,2797,3294,2923,3074,2673,1984,1129,469,22641,33447,19370,21265,20046,21913,23300,18923,9939,3202,171402
CED318,4023,2626,3362,2879,2891,2586,1773,783,251,21174,33519,20314,23487,23692,24948,22768,16808,7678,2404,175620
CED319,1810,1306,1721,1554,1373,1025,727,527,559,10598,28293,18999,25909,24560,21268,17038,12996,8286,4206,161558
CED320,3411,2360,2622,2323,2073,1593,1326,777,358,16850,36078,22427,23749,22386,23135,22253,21392,11724,3434,186589
CED321,3435,2042,2144,1974,2301,2385,1906,1205,550,17936,28559,16068,16902,16212,18996,21498,19090,10596,3494,151422
CED322,2316,1576,1888,1825,1805,1461,1158,788,546,13371,28895,18968,20926,22677,22205,19163,16819,9752,4200,163608
CED323,2284,2256,3265,2406,2352,2261,1789,1213,621,18460,25023,22252,29150,23681,23688,22277,19614,12122,4339,182143
CED324,1815,1443,1811,1518,1240,1005,711,421,244,10214,30165,22545,28605,25750,20700,17061,13096,7405,3157,168476
CED325,3539,2293,3231,2925,2066,1409,777,397,178,16814,41427,24439,27936,28322,23804,18939,13004,6448,2191,186519
CED326,2677,1568,1697,1779,1652,1267,1052,746,501,12947,36686,21100,22994,26363,24082,20450,18267,10971,4380,185285
CED327,4127,2350,2428,2381,1856,1326,927,503,321,16217,42660,24923,26595,27962,22607,19038,14458,6551,2062,186856
CED328,1391,1515,1207,1134,1155,871,595,418,309,8595,30346,27234,20394,23113,22608,16107,13032,7811,3151,163797
CED329,2524,1590,1603,1770,2114,2076,1737,1019,499,14950,23842,14638,12946,15624,20360,24313,24024,12582,3906,152236
CED330,3615,2184,2007,2293,2352,1803,1247,693,285,16473,38308,21826,20890,23802,25465,22927,17649,8416,2372,181665
CED394,255,435,800,739,648,553,354,67,9,3862,1437,1495,2649,2077,1929,2468,2124,444,44,14670
CED397,0,14,37,47,34,8,0,0,0,133,0,16,49,64,45,5,3,0,0,183
CED401,1659,1805,2209,1807,1599,1298,967,584,319,12249,29197,27563,37156,28378,23185,21154,16862,9215,4903,197621
CED402,2541,1725,1834,1988,2203,2090,1824,1108,538,15856,29282,18008,18566,19153,22241,24820,22579,12374,4669,171687
CED403,1357,1118,1162,1133,1227,1226,998,675,411,9301,27102,20768,23054,22857,21919,21689,19999,12010,6231,175626
CED404,3091,1841,2179,2025,2230,2337,1784,1161,488,17145,29825,17228,19299,18412,21755,25800,22406,12455,4309,171485
CED405,1650,1283,1418,1345,1481,1442,924,612,292,10454,26443,19184,23994,22327,22440,23109,18386,11151,5499,172532
CED406,2099,1279,1283,1401,1341,1276,918,547,262,10415,29334,19114,21061,21906,21365,21206,18961,9544,3616,166105
CED407,1914,1376,1507,1587,1409,1145,832,594,344,10709,31093,21265,23349,23868,21846,20409,17514,10581,3825,173757
CED408,2034,1238,1084,1273,1537,1667,1476,816,329,11458,29817,17980,15864,19611,23224,24833,24745,13357,4304,173735
CED409,3567,2052,2239,1939,1793,1506,1026,589,356,15064,40188,24497,27916,24452,22320,21765,15230,8425,3428,188227
CED410,1487,1213,1205,1224,1342,1118,875,792,586,9834,30455,22331,24400,25164,23853,21851,19301,13477,6518,187354
CED494,84,79,166,178,144,138,77,11,0,882,409,394,627,534,478,513,359,64,11,3377
CED497,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
CED501,3274,2217,2841,2658,2246,1584,906,628,373,16727,39841,22537,26178,26097,23560,19691,13616,7519,2499,181547
CED502,3342,1866,2227,2254,1877,1389,893,557,349,14748,40915,22013,27081,29443,21774,17836,13916,6976,2379,182330
CED503,2502,1552,1623,1902,1999,1736,1355,937,547,14149,30392,17235,17675,19084,20147,20723,19607,11411,3679,159946
CED504,2695,1706,2052,2014,1734,1520,1037,627,240,13625,32765,21581,26823,25369,22277,21335,17297,9489,3231,180177
CED505,1543,1380,1838,1510,1385,1218,1097,768,548,11295,29779,21811,23487,23589,22932,19378,16374,10662,5030,173040
CED506,6429,3729,5588,5283,4784,4002,2224,1060,343,33436,41064,21492,29474,29047,27532,25648,17253,7701,2233,201445
CED507,2627,1527,1818,1991,2110,1800,1426,787,362,14453,30508,15980,17173,20693,21483,20938,18530,9389,3312,157999
CED508,2010,1480,1923,1865,1772,1355,958,593,400,12340,30445,19007,24662,25311,22514,19380,14658,7668,3136,166782
CED509,2431,1738,2510,2465,2207,1580,960,585,330,14805,36155,20758,23971,25366,23326,19710,14690,7991,2780,174739
CED510,1582,1167,1135,1359,1557,1356,939,468,271,9832,30758,19721,16143,21760,23435,22482,18638,8175,2995,164113
CED511,4036,2477,3002,3003,3204,3052,2175,1177,412,22540,32471,18120,20478,21238,23437,25441,20659,10637,3606,176071
CED512,2727,1703,1858,1925,1899,1313,704,382,161,12676,40064,23109,24855,26669,24649,17907,11817,6323,2110,177513
CED513,1639,1641,3183,2301,1902,1463,1018,636,384,14173,25578,19402,37315,29992,22700,19622,14772,8269,4281,181928
CED514,2224,2006,3061,2286,1865,1607,1039,753,701,15541,30711,24525,35864,28623,22176,19835,15675,8396,4062,189872
CED515,1558,1463,1613,1713,1613,1323,953,636,419,11279,33550,23934,19553,25499,24890,22323,19096,10372,4734,183959
CED594,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
CED597,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
CED601,1589,1187,1113,987,997,1030,867,557,294,8621,18439,12769,14964,12708,13653,14468,12847,7370,2770,109977
CED602,1723,1006,986,999,1185,1177,1094,690,284,9140,18458,11563,12722,11759,13960,15839,14331,8134,2782,109556
CED603,1241,966,1349,913,971,864,679,442,227,7645,16720,13456,21049,14278,13199,12972,11082,6307,2691,111750
CED604,1433,944,1055,1073,985,984,820,542,241,8067,19553,11515,14651,14301,13797,14636,13331,7388,2652,111833
