CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED603,110,793,2048,1061,788,837,1027,556,250,7476,73,801,2688,1392,1045,1077,870,396,160,8501,29,638,2948,1748,1393,1424,860,324,97,9463,11,384,1979,1359,1158,1030,550,174,39,6681,6,150,1315,1273,1218,995,405,140,52,5567,3,48,857,979,1038,730,251,78,16,3990,0,32,966,1640,1807,1215,361,93,27,6152,0,11,123,279,393,250,89,44,6,1197,4,20,164,522,794,568,228,86,32,2417,286,369,1135,653,594,583,590,545,405,5158,5932,7520,21049,14278,13199,12972,11082,6307,2691,95028
CED604,139,658,1248,988,857,1026,1303,676,200,7094,101,735,1780,1392,1108,1254,993,503,151,8022,59,670,2219,1771,1629,1580,1001,383,83,9394,16,314,1537,1441,1400,1193,512,146,45,6604,7,122,1239,1371,1376,1117,375,121,26,5751,6,42,770,1085,1091,755,241,37,15,4036,0,17,846,1714,1822,1218,260,69,18,5964,0,4,103,263,312,246,70,18,6,1008,4,8,121,398,446,344,126,46,13,1509,305,331,830,762,608,669,739,634,500,5373,5949,5570,14651,14301,13797,14636,13331,7388,2652,92283
CED605,214,751,1345,1183,1198,1308,1154,595,107,7842,122,869,1734,1438,1490,1523,862,263,93,8392,44,693,2089,1695,1823,1811,736,205,35,9148,11,309,1351,1238,1301,1152,377,95,15,5846,8,142,917,1018,1046,974,295,86,35,4520,9,57,487,686,803,654,155,30,6,2885,0,27,483,950,990,809,194,42,13,3502,0,3,74,121,144,128,64,11,6,551,12,11,64,171,233,204,136,45,9,884,529,379,868,825,899,1103,1118,718,306,6749,5886,5683,13043,12707,14386,17274,15236,7415,2097,93730
CED694,0,10,17,15,15,10,3,0,0,65,3,5,22,13,15,6,4,0,0,65,0,3,11,15,9,6,8,0,0,56,0,4,7,0,9,7,4,0,0,35,0,0,8,0,5,3,0,0,0,16,0,0,0,3,7,0,0,0,0,15,0,0,6,3,9,10,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,16,18,34,24,32,52,64,4,0,247,95,119,228,198,203,199,163,31,3,1248
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
CED701,258,480,840,724,551,524,401,137,38,3958,253,737,1385,897,775,663,388,122,30,5242,170,801,2057,1325,1190,1084,371,70,10,7083,75,656,1834,1315,1087,811,277,35,7,6091,22,342,1674,1413,1167,915,234,34,5,5796,13,127,1163,1046,991,701,191,23,0,4259,6,105,1416,2048,1935,1352,306,23,0,7186,0,12,230,388,366,269,68,12,0,1353,4,13,179,422,487,355,107,13,0,1582,1268,1239,3153,2570,2091,1616,924,321,65,13242,8269,8667,21315,18101,15487,12661,7067,2251,475,94284
CED702,185,677,1319,805,540,491,461,208,45,4729,176,836,2157,1264,929,748,573,196,31,6903,128,1004,3033,1915,1383,1066,568,147,22,9259,42,813,2521,1743,1264,884,371,83,6,7735,16,372,2328,1824,1403,990,322,80,14,7344,3,173,1555,1484,1205,808,240,43,5,5519,7,116,1955,2872,2632,1691,378,61,6,9720,0,16,237,536,539,403,116,13,0,1850,4,9,211,713,836,587,182,35,8,2594,547,763,2139,1602,1267,934,616,284,117,8266,5886,7041,21288,17478,14186,11290,7353,2927,696,88143
CED794,0,9,38,25,16,25,16,3,0,136,0,19,46,23,28,15,5,0,0,130,0,9,47,24,20,21,14,0,0,127,0,7,27,20,8,14,5,0,0,84,0,5,27,8,10,11,0,0,0,62,0,0,18,17,13,7,6,0,0,54,0,0,22,29,19,10,0,0,0,88,0,0,3,9,3,0,0,0,0,12,0,0,4,11,0,7,0,0,0,26,24,50,147,89,108,130,70,9,0,625,95,183,661,573,591,579,318,49,7,3052
CED797,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,5,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,6,4,7,3,0,0,0,25,4,6,23,22,19,17,0,0,0,94
CED801,251,910,1218,781,663,891,1153,708,228,6796,206,1177,2031,1176,1058,1240,1344,721,215,9159,108,1218,2773,1872,1584,1755,1421,607,162,11501,48,949,2973,1926,1504,1524,1038,407,124,10494,11,519,3084,2383,1973,1732,873,324,75,10972,0,144,2090,2236,1895,1489,629,160,31,8685,6,117,3008,5347,4935,3084,748,166,46,17455,0,15,345,938,974,629,165,26,3,3099,4,13,405,1569,1743,1128,286,66,18,5229,330,431,1114,924,726,591,591,560,412,5685,8395,8820,22319,21933,19674,18075,14171,7647,2617,123643
CED802,371,1298,1334,565,393,558,807,618,265,6209,327,1447,1802,914,614,713,948,603,292,7658,130,1641,2814,1359,871,1001,1146,636,221,9828,49,1517,3249,1328,864,1003,999,473,167,9666,29,791,3711,1693,1237,1071,921,436,133,10018,6,252,2675,1814,1327,1075,672,262,92,8173,17,179,4476,5364,4407,2721,1033,381,112,18684,3,24,535,1287,1293,799,296,94,30,4368,10,31,608,2461,3165,2092,609,171,74,9223,692,1228,1632,1010,760,708,666,513,507,7707,9325,14923,27091,20191,17042,14515,11733,6954,3198,124971
CED803,217,1073,1830,1043,756,655,882,468,130,7056,210,1321,2815,1725,1114,912,883,448,109,9541,117,1344,3929,2455,1641,1189,880,366,89,12000,41,1060,3509,2625,1627,1100,695,216,49,10916,17,531,3432,2970,1982,1220,557,155,33,10900,6,166,2230,2887,1983,1058,331,83,17,8760,7,133,3145,6163,4806,2101,471,85,15,16938,0,9,384,1142,929,455,87,18,5,3032,0,15,359,1554,1417,663,126,36,6,4177,319,514,1332,998,683,443,378,242,125,5036,8696,10540,28413,27449,19759,13189,10079,4928,1420,124469
CED894,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
