CED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED605,110,215,450,403,365,303,92,10,0,1939,87,150,313,308,324,297,151,43,19,1690,2529,3998,9792,9634,10487,9901,2816,411,44,49615
CED694,0,4,0,0,12,0,0,0,0,10,0,0,8,5,3,0,0,0,0,18,12,33,79,69,63,42,9,0,0,309
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
CED701,112,158,474,436,367,292,103,5,0,1952,143,218,518,437,396,271,114,15,0,2114,2375,4037,11958,10791,9454,7201,2063,216,14,48087
CED702,108,185,617,545,382,295,86,5,0,2233,108,267,678,533,387,269,92,22,8,2356,2608,5071,16613,13857,11155,7691,2188,204,18,59400
CED794,0,0,0,0,0,0,0,0,0,11,0,0,13,12,5,7,0,0,0,39,13,34,175,126,84,53,22,0,0,500
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7,0,5,16,10,10,9,0,0,0,56
CED801,169,289,601,520,464,343,116,16,0,2511,71,162,426,361,240,166,49,24,4,1505,4205,7129,18916,18960,16761,11476,2943,348,23,80752
CED802,157,313,448,369,307,210,88,18,0,1916,72,196,472,273,232,119,47,11,8,1443,4590,11071,22656,17355,14326,9059,2645,387,45,82142
CED803,144,346,734,620,504,257,94,7,0,2710,68,218,677,501,291,136,45,8,3,1941,4132,8151,23506,23633,16804,8348,1963,172,9,86733
CED894,0,0,3,3,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,6,22,36,59,38,32,23,3,0,0,216
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
