CED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED602,2619,15704,15650,6099,3618,43697,726,44424
CED603,4018,17312,14151,4820,2716,43019,579,43596
CED604,1925,14011,16416,6047,3778,42178,496,42677
CED605,1715,13299,15993,7330,5085,43420,693,44115
CED694,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0
CED701,5232,10441,9795,3825,2462,31747,990,32742
CED702,2430,13724,14715,4671,2138,37671,789,38465
CED794,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,3
CED801,2359,20132,22932,7237,3861,56524,539,57064
CED802,4495,25396,18779,4734,2206,55608,472,56079
CED803,2448,20271,23288,6444,3277,55727,520,56249
CED894,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0
