CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED144,92809,90349,183154,6008,5588,11596,12050,11112,23166,5430,5102,10532,6840,6084,12922,15677,13979,29658,13263,12533,25802,11052,11507,22568,10043,10202,20243,6830,7345,14172,4011,4453,8469,1598,2431,4030,90859,88511,179368,1950,1837,3787,455,496,951,15,29,45,12,28,37,484,554,1031,41585,40867,82452,45375,44055,89426,28219,26763,54984,57880,57221,115098,68742,69967,138707,1548,1440,2990,10941,10151,21096,4392,4350,8742,3373,3019,6394,4944,5094,10039,46574,45823,92395,3366,3014,6380,9563,9137,18699,2962,2830,5785,4074,4634,8711,2186,2635,4817,86449,84189,170631,5850,5667,11518
CED145,70021,76081,146102,3689,3587,7281,7384,7184,14565,3233,3124,6356,3343,4052,7399,13674,15835,29509,11224,11670,22889,9365,9818,19184,7288,7561,14854,5753,6450,12206,3567,4388,7953,1494,2412,3903,66421,72030,138452,3599,4055,7646,303,260,561,17,23,38,10,12,21,330,288,618,40726,43494,84217,25822,29007,54825,54226,57363,111590,11838,14434,26271,56375,60915,117285,1204,1209,2413,7007,6830,13840,2819,2818,5643,1692,2042,3737,3054,4643,7693,47272,52347,99614,2140,2194,4331,3730,4288,8014,1196,1179,2377,628,753,1376,147,164,318,63422,69129,132554,4659,4961,9620
CED146,98652,100525,199172,7310,6793,14104,15884,14971,30854,7550,7047,14596,7219,6732,13950,12879,14177,27054,13833,14845,28678,12241,12970,25218,11035,11107,22144,6694,7078,13772,3070,3399,6466,938,1394,2331,96826,98829,195646,1827,1696,3519,1690,1830,3522,31,37,65,37,37,72,1751,1904,3657,50810,49898,100705,42735,45498,88235,38124,36810,74934,54290,57198,111483,83215,84416,167627,1857,1741,3595,14541,13733,28273,5873,5788,11659,2734,3034,5771,2625,4263,6893,42926,45581,88505,4700,4229,8931,13202,12320,25523,3897,3962,7849,3766,4572,8340,2126,3002,5128,93424,95309,188728,4930,4955,9884
CED147,82035,86507,168545,4984,4751,9736,11127,10451,21580,5231,5037,10265,4727,4560,9290,9538,10083,19618,9699,10295,19998,10181,10917,21099,10150,11092,21244,8936,10147,19079,5585,6556,12146,1873,2620,4497,79489,84191,163682,2550,2315,4863,3418,3514,6935,57,62,118,51,63,107,3525,3637,7158,64158,67075,131235,14067,15484,29550,69827,73277,143112,8247,9252,17493,74393,78223,152614,1622,1578,3200,10484,9808,20291,3723,3870,7591,1282,1567,2847,1756,3320,5071,27603,32032,59640,5326,5015,10339,20632,20890,41524,5175,5785,10958,3017,3180,6195,412,458,868,77747,82058,159797,4000,4291,8291
CED194,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
CED201,77940,81164,159103,4291,4146,8428,9777,8911,18684,4843,4472,9314,5036,4627,9661,10030,10190,20219,10879,11402,22280,10352,11196,21548,9838,10687,20530,7519,8477,15998,4047,4851,8898,1333,2203,3540,76177,79412,155584,1760,1755,3522,463,508,974,17,17,29,15,7,22,492,527,1022,50800,51021,101819,24806,27778,52582,53648,54509,108159,21788,23943,45732,67203,68941,136136,1356,1308,2667,9366,8521,17888,4070,3888,7961,2180,2244,4429,2303,3493,5796,37838,42282,80120,8280,7873,16156,9054,8382,17439,3582,3489,7073,2156,2718,4873,440,620,1063,74801,77699,152501,2740,3164,5903
CED202,74181,78063,152243,4274,4198,8478,10128,9435,19561,4658,4447,9108,4316,4314,8630,9358,9530,18890,8812,9741,18557,9467,10156,19622,9326,10173,19499,8333,9040,17372,4196,4783,8981,1302,2237,3545,71116,75210,146328,3062,2855,5914,1205,1272,2488,49,45,94,32,34,60,1291,1347,2638,61542,64941,126487,8412,8882,17293,65501,69165,134667,4600,4808,9407,66838,70598,137432,1266,1265,2524,9423,8875,18298,3404,3454,6857,1253,1691,2947,1956,3564,5522,27648,33789,61430,8931,9162,18095,11214,9788,20998,4926,4369,9294,2843,2912,5754,221,195,422,68538,72325,140860,5034,5280,10313
CED203,74267,78286,152555,4318,4150,8471,9822,9158,18980,4299,4209,8508,4179,4100,8279,8944,9431,18378,8722,9522,18254,9235,9882,19119,9512,10611,20117,8881,9476,18353,4757,5283,10043,1597,2462,4060,71389,75530,146919,2880,2758,5630,1461,1483,2943,58,48,101,32,30,64,1550,1557,3107,62001,65648,127644,7750,8037,15781,64933,68959,133894,4370,4715,9085,66316,70558,136879,1213,1148,2366,9102,8525,17629,3111,3196,6303,1170,1546,2713,1694,3252,4945,26378,32889,59269,8833,8992,17822,11977,10388,22363,4963,4422,9385,3159,3201,6352,394,377,774,68081,72325,140409,5760,5607,11369
CED204,90343,88799,179139,5685,5266,10950,11634,10932,22566,5740,5335,11078,6468,5754,12226,13825,12655,26482,12645,12359,25001,11413,11519,22936,10483,10833,21311,7428,7902,15323,3811,4243,8050,1206,2004,3212,88550,87086,175636,1792,1719,3508,438,517,944,17,19,39,11,12,21,463,542,1013,44309,43380,87697,41020,40988,82003,42805,41809,84612,41925,41738,83669,70500,70547,141046,1513,1359,2871,10770,10122,20890,4583,4507,9094,2674,2728,5405,3068,4601,7673,40761,42439,83201,7642,6818,14455,9517,8264,17778,3920,3712,7631,3992,4506,8495,2300,2366,4666,84662,83546,168206,5703,5154,10856
