CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED145,5,12,55,56,51,89,190,341,288,1076,0,10,44,29,30,34,39,65,60,308,285,412,1858,1224,859,695,719,949,1194,8197,2137,7388,29503,22882,19180,14846,12199,7944,3898,119979
CED146,39,68,347,707,1043,1708,2139,1427,567,8038,24,82,331,505,808,1339,1070,654,321,5130,757,694,1634,1738,1335,1320,1017,829,558,9872,6324,13885,26984,28621,25142,22095,13739,6461,2327,145580
CED147,53,40,144,227,331,863,1768,1464,790,5677,7,14,42,62,94,115,189,206,131,868,406,408,899,922,889,897,1047,1235,938,7643,4612,9281,19608,19990,21087,21231,19059,12132,4493,131488
CED194,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,34,33,120,171,288,525,985,1292,761,4207,11,15,85,112,124,210,220,180,117,1060,237,310,751,714,600,595,706,743,581,5253,3423,9646,20213,22267,21536,20503,15975,8891,3529,125988
CED202,85,102,215,244,321,563,1219,1432,893,5084,12,21,56,45,74,63,75,40,30,419,455,512,1079,961,1129,1082,1236,1038,660,8143,3668,8613,18883,18552,19614,19492,17363,8981,3540,118715
CED203,76,72,272,310,369,649,1359,1618,957,5689,10,37,115,133,149,133,102,59,31,768,448,456,1168,1061,1199,1269,1304,1206,927,9043,3478,8263,18361,18234,19113,20115,18346,10035,4057,119998
CED204,77,119,541,795,787,1100,1732,1854,916,7923,20,135,780,955,879,689,519,432,245,4657,559,713,1910,1497,1233,1123,1006,835,461,9331,4251,12150,26423,24959,22894,21274,15291,8043,3208,138483
CED205,93,194,792,1363,1525,1812,2148,1607,511,10042,23,114,435,653,818,1168,935,687,283,5114,649,795,2138,1863,1255,1038,739,468,200,9148,4873,13264,32184,29652,21413,17882,10643,4948,1480,136330
CED206,44,54,197,261,328,425,835,1204,616,3961,11,36,103,124,133,73,84,82,47,695,349,320,749,739,878,852,785,739,410,5815,3573,8743,19266,20557,21703,20478,16484,8615,2694,122125
CED207,22,45,125,166,298,454,1209,1850,1219,5389,12,51,188,186,195,253,359,340,262,1848,317,853,1541,974,782,702,757,923,939,7784,4328,15455,26023,24235,23419,19815,16271,12494,6398,148436
