CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED203,0,4,10,53,19,6,0,0,0,98,0,0,0,5,4,6,14,9,0,48,0,3,5,22,5,8,4,0,0,43,12,38,47,185,94,82,100,68,21,647,195,463,420,1059,567,638,539,446,272,4605,4150,9158,8313,18956,9882,10611,9476,5283,2462,78286,0,8,17,51,9,6,0,0,0,87,7966,17220,14665,29634,15729,16547,14893,7803,3194,127644,0,7,7,41,3,9,0,0,0,70,0,0,0,4,6,5,0,0,0,9,0,5,0,33,11,0,0,0,0,52,0,4,3,20,6,0,0,0,0,37,4,11,9,65,41,20,19,10,0,182,0,0,0,4,3,3,0,0,0,17,5,8,47,213,66,46,23,6,0,416,0,0,0,9,7,21,25,27,5,90,0,8,7,37,10,11,13,8,4,96,6,87,95,371,482,782,830,559,181,3393,0,0,9,24,11,6,3,0,0,60,0,6,6,45,17,8,19,3,0,99
CED204,4,27,76,521,267,264,127,32,16,1334,0,0,3,9,3,11,8,14,5,49,0,9,13,30,16,8,8,0,0,84,20,138,322,1383,963,1045,810,406,202,5281,262,552,496,1363,545,449,388,243,129,4435,5266,10932,11093,25012,11519,10833,7902,4243,2004,88799,58,657,1474,4474,1309,575,221,78,21,8867,9937,17741,14884,19797,9481,7784,4912,2206,960,87697,0,30,34,234,68,40,25,4,0,427,0,5,48,466,286,354,198,106,14,1484,0,0,3,33,5,4,4,0,0,52,4,23,77,370,228,205,123,47,13,1080,0,17,10,42,30,11,8,3,0,110,0,0,7,93,163,151,148,80,19,655,20,149,200,1806,666,834,527,215,85,4488,0,0,10,228,132,354,322,186,67,1300,6,24,85,161,95,155,164,98,41,827,3,74,145,346,493,856,734,570,229,3441,0,17,45,307,236,260,96,54,11,1031,0,0,5,46,21,25,6,12,11,128
CED205,0,21,31,250,188,164,78,24,12,781,0,0,0,7,0,0,6,0,0,10,0,3,13,49,21,8,0,0,0,95,48,490,574,1885,912,731,467,233,88,5433,342,735,543,1652,562,434,306,187,56,4821,7502,14077,12294,30944,10941,8934,5535,2609,901,93729,0,26,75,232,55,37,10,8,0,432,14348,22042,15975,22471,7813,6068,2953,1227,388,93284,0,29,21,257,69,37,26,4,0,449,0,0,8,96,34,69,34,19,10,276,0,5,0,38,5,0,0,0,0,48,4,4,4,26,5,5,4,0,0,56,3,22,22,42,19,21,6,0,0,127,0,0,0,21,33,39,18,18,0,132,0,31,39,322,127,140,60,36,9,752,0,0,5,31,46,101,126,129,16,453,7,57,57,253,93,161,133,74,22,856,7,79,92,215,157,305,246,148,48,1290,6,16,73,411,199,174,104,22,3,1010,0,0,0,24,11,14,5,7,0,67
CED206,0,5,6,63,15,11,5,0,0,120,0,0,0,10,12,25,13,14,5,78,0,0,3,20,17,15,3,0,0,62,8,35,56,303,197,211,189,144,52,1194,107,286,275,660,412,400,354,218,116,2826,4473,9568,8801,20341,11120,10537,8648,4451,1599,79535,0,0,4,6,0,0,0,0,0,14,9051,18480,16294,32205,16748,14841,11019,5060,1436,125122,0,0,0,14,6,7,0,0,0,25,0,0,0,14,4,7,3,3,0,39,0,0,0,26,10,0,0,0,0,39,0,0,3,27,13,5,6,0,0,51,0,7,5,92,70,45,30,11,0,265,0,0,0,24,26,12,6,6,0,78,4,39,91,434,168,153,72,28,8,991,0,0,3,12,19,24,28,33,5,125,0,3,7,13,8,11,15,19,4,69,15,116,247,861,1143,1954,1755,1201,403,7699,0,0,4,18,18,30,10,5,0,85,0,7,11,66,22,20,22,13,0,164
CED207,0,24,139,435,407,317,264,74,29,1696,0,0,4,4,6,10,6,9,4,51,0,4,17,32,10,5,5,0,0,77,13,136,276,695,354,365,344,337,181,2692,98,252,501,954,349,299,297,310,304,3370,3664,10030,12740,24820,12293,10334,8859,6996,3826,93552,0,5,10,101,39,37,22,12,4,226,6794,15362,15154,15716,9787,7875,6060,5586,3156,85493,0,48,75,202,67,32,26,0,0,458,0,0,3,30,21,24,13,7,8,100,0,4,6,78,14,13,7,0,0,129,0,11,53,110,111,78,64,31,8,471,12,20,25,71,50,36,22,5,5,255,0,3,5,30,29,20,26,15,0,127,113,1392,3239,11262,3828,3270,2097,777,365,26347,0,0,0,19,20,48,65,87,56,295,0,36,21,109,31,76,120,132,60,577,19,166,243,490,456,570,538,592,291,3375,0,3,7,100,70,67,36,26,4,313,0,6,18,66,34,24,26,16,8,197
CED208,3,25,121,465,299,283,167,63,20,1440,0,0,0,13,9,4,7,5,0,30,0,0,7,41,7,4,3,0,0,64,32,141,156,1266,309,319,267,178,89,2756,124,236,336,1073,404,329,297,248,205,3257,4078,7407,8389,28233,11015,8417,5953,4310,2486,80287,0,6,7,29,19,3,3,3,0,69,7828,13545,13251,34353,14832,9579,4675,1863,1101,101021,0,19,35,164,18,10,5,0,0,242,0,4,0,59,24,33,27,23,6,173,0,5,11,177,15,11,0,0,0,218,0,3,14,30,31,10,18,3,3,113,4,18,16,244,88,36,16,4,0,425,0,6,0,97,41,33,22,12,9,223,16,82,430,1646,563,700,420,130,76,4060,0,4,0,26,28,70,75,99,34,342,0,11,10,77,26,56,90,52,21,341,30,154,139,1443,685,544,316,177,68,3553,0,4,3,69,44,38,31,11,6,203,0,5,5,176,56,32,16,3,0,308
CED209,0,0,12,55,22,9,5,0,4,113,0,6,6,8,15,23,27,16,4,92,0,0,6,39,12,8,3,3,0,71,7,42,49,321,150,142,151,112,58,1033,113,365,328,716,364,424,521,361,177,3377,4466,9539,8353,19799,9645,9722,9605,5172,2362,78661,0,7,0,14,9,0,0,0,0,30,8824,18104,14809,30187,14923,14160,13546,6804,2655,124014,0,4,10,49,9,0,0,0,0,71,0,0,0,21,8,17,8,0,3,61,0,0,6,63,8,4,0,0,0,86,0,0,0,9,4,5,0,0,0,11,7,25,10,138,65,32,25,8,3,315,0,0,0,18,13,9,4,3,0,50,3,30,78,319,86,60,45,14,5,636,0,0,0,17,23,45,58,41,17,213,0,10,0,18,3,14,24,19,3,102,18,215,279,859,776,1123,1310,933,347,5863,0,0,5,42,19,15,6,0,0,90,0,12,6,64,30,12,10,10,5,150
CED210,0,7,32,119,55,41,13,5,0,276,0,0,6,8,7,15,17,14,5,81,0,0,6,13,8,10,4,0,0,44,8,87,132,488,238,307,290,289,130,1970,157,414,438,1100,486,403,441,334,154,3928,4336,9123,9482,22195,10375,9860,8487,5086,2330,81268,0,41,124,291,84,33,16,3,0,582,8413,16365,15996,32253,15593,14050,10698,5360,2160,120885,0,10,5,70,14,5,0,0,0,101,0,0,3,122,53,129,66,57,9,429,0,0,6,53,11,4,3,0,0,79,0,0,4,24,12,14,5,3,0,58,4,20,21,99,43,28,15,0,3,236,0,0,0,17,13,7,10,3,0,42,5,87,121,472,139,111,97,42,5,1090,0,8,6,103,96,223,285,318,125,1166,8,19,21,48,6,15,15,11,0,142,21,143,192,622,586,976,907,652,255,4340,0,3,10,47,16,15,12,0,0,98,3,5,11,56,19,22,5,0,8,129
CED211,0,15,31,226,167,135,140,31,19,757,0,0,0,7,12,17,16,6,11,70,0,4,6,33,14,17,7,4,0,75,8,67,109,478,273,252,284,222,124,1828,99,219,190,657,269,246,260,299,251,2484,4552,9986,9009,23020,11659,10236,8845,5914,3066,86289,0,0,0,28,12,17,5,0,0,61,8930,17644,15148,25866,14723,12289,9447,6141,2772,112961,0,4,10,69,22,17,13,0,0,125,0,3,0,25,10,21,18,4,4,77,0,0,6,44,10,7,4,4,0,76,0,0,13,80,94,109,69,36,3,398,0,18,22,100,53,44,26,21,3,277,0,6,5,27,28,29,31,14,4,147,31,452,667,4639,1350,1182,923,279,70,9595,0,0,0,17,8,46,63,54,22,208,0,13,14,53,18,34,55,43,16,251,17,123,228,661,756,1120,1065,953,464,5388,0,0,9,63,43,38,28,9,4,189,0,9,3,49,24,15,16,13,9,140
CED212,0,4,19,100,37,18,14,3,0,195,0,7,4,23,32,33,32,26,4,162,0,0,7,24,18,15,7,3,0,74,4,57,127,601,373,326,327,211,77,2106,177,414,400,1031,464,383,339,305,142,3654,4672,9840,8636,21517,11209,10020,8033,4724,2215,80871,0,0,0,59,29,38,14,5,0,146,8989,18191,14796,31152,15126,12530,9161,4745,1888,116583,0,0,6,26,9,4,6,0,0,46,0,0,3,67,33,76,40,15,5,237,6,8,6,62,9,5,6,0,0,101,0,7,11,46,24,19,13,4,0,121,0,13,17,108,58,49,31,7,5,287,0,0,6,40,52,40,33,15,7,201,3,72,156,433,226,184,121,35,6,1233,0,0,4,46,44,73,55,49,12,279,0,4,14,23,8,28,47,38,7,162,17,262,466,1252,1466,1934,1701,1290,576,8957,0,0,20,94,74,48,23,14,11,283,4,11,5,51,25,26,27,15,13,177
CED213,0,5,0,34,9,18,8,5,0,65,0,0,3,16,22,17,24,15,4,115,0,0,8,10,6,7,5,8,0,36,9,38,27,240,157,189,242,162,83,1139,146,418,382,852,600,644,718,602,353,4718,3388,8080,7118,15237,10404,10995,11638,7697,3161,77714,0,0,0,7,0,3,0,0,0,17,6687,15038,13221,23684,14899,14966,14832,8898,3267,115498,0,0,0,9,0,0,0,0,0,8,0,0,0,9,9,7,3,4,0,30,0,0,0,24,11,5,0,0,0,41,0,0,4,19,5,0,0,0,0,33,3,27,10,111,55,51,53,20,5,338,0,0,0,27,20,17,17,12,0,99,0,12,16,80,61,43,33,18,8,286,0,0,0,15,16,51,87,76,22,268,0,0,0,15,0,22,84,49,17,185,22,270,516,999,1419,1974,2148,1901,716,9961,0,0,3,23,12,15,9,5,6,72,0,3,5,55,21,24,32,19,8,172
CED214,32,251,930,4864,3311,2680,1538,450,226,14274,0,0,0,12,7,3,0,6,0,31,0,0,8,45,9,0,0,0,0,62,25,148,407,1906,691,609,589,399,204,4980,252,498,552,1804,533,466,400,323,312,5140,4876,8681,10060,30605,10976,9081,7083,4074,2148,87592,0,19,70,290,55,20,13,3,0,464,9130,14613,12926,26504,8309,5650,3201,1307,610,82238,4,29,70,462,60,22,11,4,0,665,0,3,11,203,124,190,171,94,24,820,5,5,14,161,26,3,4,0,0,213,0,4,10,42,55,72,43,15,12,260,4,7,10,142,38,15,3,5,0,218,4,5,8,113,106,99,121,72,5,539,7,37,187,1165,455,474,316,130,76,2848,0,0,0,85,83,222,309,374,108,1193,3,21,43,78,21,74,98,61,28,427,14,80,83,869,402,399,232,156,61,2290,0,10,29,133,75,70,51,23,3,396,0,6,8,82,26,19,10,5,3,166
CED215,6,21,60,560,333,272,192,44,10,1500,0,0,5,18,17,12,6,4,4,67,0,6,14,82,30,9,3,0,0,147,36,258,315,1731,696,453,384,239,124,4249,311,565,394,1473,451,316,257,161,88,4018,7170,14016,9121,32595,12142,8759,6207,3347,1573,94911,5,6,6,99,17,16,5,0,0,154,13555,22249,12579,25045,12758,8769,4812,2248,951,102974,0,54,51,526,124,21,21,4,0,805,0,0,0,100,61,67,41,18,5,291,0,22,15,219,41,9,5,5,0,313,0,4,14,59,58,54,39,15,8,249,8,22,17,134,61,38,14,5,0,294,0,6,10,93,67,55,50,12,0,294,33,265,314,2914,692,666,521,93,33,5546,0,0,5,66,59,138,178,167,61,675,0,35,53,93,43,54,67,27,14,387,31,337,308,1245,981,858,647,391,131,4935,0,8,24,234,95,68,52,23,4,514,0,6,12,114,32,21,20,5,5,215
CED216,0,5,6,80,33,27,9,0,0,156,0,4,3,3,12,17,17,7,5,63,0,0,4,14,11,7,10,0,0,51,3,39,43,180,100,138,158,113,51,827,233,629,567,1399,726,850,852,572,321,6145,3905,8687,7581,17266,9611,11735,10956,5982,2340,78058,0,0,0,3,0,0,0,0,0,7,7407,16100,13671,27306,14932,17796,16087,7809,2494,123600,0,3,0,41,3,3,4,0,0,55,0,0,0,0,4,3,4,8,4,18,0,3,3,9,3,0,0,0,0,18,0,0,0,24,5,0,3,0,0,35,8,11,6,41,38,48,26,21,0,190,0,0,0,8,13,14,13,9,0,66,0,9,19,160,54,62,26,14,4,348,0,0,0,8,15,20,26,36,14,113,0,3,4,22,4,10,23,7,4,75,9,59,67,335,417,1060,1409,1028,329,4711,0,0,6,35,18,19,15,3,0,96,0,3,5,16,11,13,4,11,3,76
CED217,0,21,39,146,86,34,32,3,4,362,0,7,6,18,26,14,19,6,0,91,0,0,4,31,25,15,3,3,0,76,28,172,153,1157,798,709,667,440,239,4372,87,265,193,630,363,274,318,278,198,2610,3553,9773,8841,18053,12790,10487,8502,5344,3131,80469,0,0,0,14,4,4,5,0,0,26,6602,16404,14892,19618,15048,12676,9283,5204,2754,102484,0,0,0,35,3,5,0,0,0,52,0,0,0,42,23,27,14,6,3,123,3,15,14,168,46,12,10,0,0,274,0,3,0,32,17,10,6,3,0,73,8,38,22,160,119,75,37,17,3,477,0,13,3,65,46,26,14,17,0,186,20,458,516,1852,860,701,325,132,53,4917,0,0,5,42,37,42,59,67,10,248,0,0,4,25,21,68,102,70,32,323,64,661,629,1492,1579,1320,1039,754,285,7814,0,3,0,39,29,27,12,3,0,112,4,59,43,176,104,53,68,24,11,534
CED218,20,99,247,2135,1302,861,389,116,42,5207,0,0,0,6,3,8,4,0,4,32,0,0,14,48,18,3,0,0,0,80,30,174,394,1793,1103,1036,728,396,123,5786,221,514,403,1192,452,363,269,153,42,3623,5690,12495,11059,27080,12050,9556,6828,3013,1133,88900,0,34,70,227,67,35,8,3,0,449,10921,21266,16270,24711,10451,6445,3167,1134,508,94875,0,8,20,194,39,30,19,0,0,312,0,4,20,377,202,254,125,68,18,1064,0,3,5,34,18,7,0,6,0,77,0,0,7,36,35,34,35,7,0,150,5,10,19,39,15,14,3,5,0,112,0,10,16,150,179,169,168,81,12,775,4,45,95,682,252,266,169,65,27,1597,0,6,11,152,180,419,412,341,99,1620,4,96,135,375,166,194,218,109,25,1328,8,85,129,297,255,324,274,186,63,1624,0,20,47,280,177,119,70,26,5,736,0,3,6,28,13,22,7,7,5,95
CED219,0,11,20,285,96,40,23,4,0,484,0,3,3,9,6,16,12,15,6,66,0,0,14,50,15,11,7,0,0,98,19,153,306,1036,481,382,303,189,65,2936,252,693,480,1314,537,417,349,235,87,4364,6081,12049,9665,25278,10535,8961,7077,3130,1205,83986,0,10,13,65,14,8,0,0,0,107,11589,20858,15580,31317,14125,11131,7938,3123,1049,116711,0,57,46,336,68,15,3,0,0,540,0,0,8,100,44,55,36,13,4,256,0,0,0,38,16,0,0,0,0,65,0,0,0,26,10,3,0,0,0,46,0,12,4,65,30,34,11,0,0,163,0,3,11,56,66,49,41,21,0,250,0,6,28,206,94,83,47,18,8,500,0,0,3,57,64,139,125,80,14,483,0,13,60,75,40,43,77,21,12,351,7,71,123,526,578,1022,966,589,210,4095,6,17,28,194,99,64,20,7,0,444,0,0,0,13,19,20,14,9,0,75
CED220,0,18,76,271,124,84,64,20,8,666,0,0,0,18,8,7,8,9,3,48,0,0,7,42,8,11,7,3,0,81,23,76,210,1382,418,383,453,364,219,3525,86,209,353,1153,353,293,303,248,202,3207,3117,6774,9954,27565,10165,8617,7177,4763,2428,80562,0,0,3,46,3,13,5,0,0,68,5940,11689,14186,29275,12932,10421,7628,4478,1894,98440,0,5,20,77,9,7,7,0,0,117,0,0,3,60,14,21,24,13,5,137,0,8,26,228,36,17,4,0,0,320,0,0,22,33,19,23,9,5,0,109,3,26,33,255,88,58,34,14,0,512,0,7,3,134,34,24,11,17,4,237,27,319,975,3055,825,821,407,168,89,6680,0,0,0,50,18,48,34,35,8,192,0,4,8,53,15,44,51,60,30,265,36,227,339,1825,732,763,606,434,153,5110,0,0,9,68,24,20,7,5,0,130,5,27,60,310,77,40,48,16,9,585
CED221,0,16,37,309,145,72,33,12,3,626,0,0,3,8,9,19,18,5,4,58,5,14,29,113,36,7,6,0,0,211,19,160,385,1290,660,537,347,170,58,3626,317,638,507,1379,458,355,268,155,77,4153,7744,14343,11892,31384,11011,8289,5434,2591,1031,93721,40,677,1596,4064,1069,472,177,50,8,8153,14809,23510,13961,24111,9220,7023,4430,2060,713,99847,0,21,30,234,50,17,13,0,0,373,0,3,13,202,87,117,48,12,0,486,0,0,3,31,4,3,3,0,0,54,0,55,117,761,298,217,126,31,8,1622,0,14,24,39,20,14,6,3,0,115,0,0,5,98,117,122,92,48,8,497,9,59,123,734,366,249,124,45,16,1733,0,0,3,92,52,71,76,38,7,339,0,16,77,127,58,56,53,24,0,415,8,122,178,563,619,851,683,500,186,3697,0,27,91,546,282,214,93,32,8,1290,0,5,8,15,21,6,8,6,3,75
CED222,21,171,552,2568,1670,1512,970,288,144,7895,0,0,0,7,0,5,4,3,0,27,0,0,12,36,9,3,0,0,0,68,33,206,334,1402,762,765,686,502,253,4953,197,344,486,1217,390,368,336,266,151,3757,5169,10099,12134,29877,12155,10420,8668,5704,2941,97169,3,18,61,286,69,37,18,4,0,493,9743,16604,14368,19158,9448,6656,4473,2449,1319,84215,8,52,73,410,77,61,29,3,0,716,0,5,19,193,104,174,115,68,22,696,3,7,11,96,27,15,0,0,0,165,28,221,878,2846,1388,1160,831,309,101,7763,4,24,19,99,45,20,16,0,0,220,0,5,8,79,84,72,121,104,21,483,22,245,1204,4923,1158,1315,809,286,184,10143,0,0,5,43,41,65,140,155,51,496,0,31,48,94,28,58,127,110,41,540,18,117,127,425,338,395,412,327,162,2317,0,3,17,136,86,80,39,16,3,394,0,5,14,78,26,21,20,11,19,190
CED223,9,19,11,75,12,6,4,0,0,131,0,0,0,8,4,12,9,9,4,49,0,4,6,21,5,3,3,0,0,49,5,70,76,244,141,149,165,133,66,1049,181,544,503,1163,737,844,711,544,286,5500,3932,9253,7664,17381,10324,11910,10640,5933,2575,79610,0,0,0,12,0,0,0,0,0,16,7398,17095,14052,27590,16438,18574,16604,8306,3019,129088,0,0,3,18,9,0,5,0,0,39,0,0,0,4,9,4,6,8,0,33,0,5,0,30,5,0,0,3,0,39,0,13,6,24,5,0,0,0,0,48,0,14,10,79,33,39,31,10,0,226,0,0,0,8,9,5,0,6,0,27,0,20,17,121,39,33,23,6,3,266,0,0,0,0,11,44,41,61,22,182,0,4,3,13,3,6,9,3,0,37,10,63,101,414,470,941,996,733,226,3954,0,0,0,28,15,15,9,4,0,78,0,0,13,42,9,22,29,8,0,125
CED224,3,16,34,402,323,233,116,29,11,1165,0,3,4,26,16,14,10,7,4,88,0,0,3,27,14,11,3,0,0,62,11,129,167,1143,637,490,432,272,120,3406,137,231,197,719,290,264,293,253,164,2545,4528,9864,8591,22403,12143,9793,7836,4912,2620,82689,7,99,195,795,171,71,36,12,0,1391,8735,17527,13958,24971,13975,10679,7645,4340,2296,104131,0,5,5,68,24,17,17,5,0,145,0,0,8,129,59,109,32,17,0,349,0,14,22,135,30,19,7,5,0,227,5,31,112,581,373,260,148,56,11,1572,3,29,24,150,68,42,22,7,0,356,0,3,3,62,66,45,50,29,3,258,13,231,336,1878,676,654,376,159,53,4372,0,0,4,47,37,85,85,79,30,375,0,3,8,28,32,60,93,65,27,303,18,340,384,1366,1171,1018,921,717,285,6211,0,0,17,133,80,97,52,10,10,398,3,7,13,107,43,37,31,4,4,259
CED225,6,12,36,189,110,68,48,13,6,480,0,0,4,11,16,17,7,9,5,72,0,0,9,15,14,9,0,3,0,53,15,101,142,766,360,327,276,196,97,2277,90,233,196,585,290,250,295,219,148,2300,4270,9756,8558,21100,11333,10305,8707,5018,2403,81452,0,0,3,17,4,3,4,0,0,33,8349,17873,15344,27905,15946,13586,10506,5556,2138,117204,0,6,7,49,8,4,5,0,0,71,0,0,3,34,6,38,25,9,3,116,0,5,11,56,22,6,0,0,0,99,0,0,5,25,16,4,8,0,0,57,8,24,15,127,62,39,26,6,0,311,0,7,6,41,24,20,10,7,6,117,14,169,345,1930,632,609,359,103,51,4215,0,0,4,17,48,107,116,97,34,431,0,7,11,53,17,44,87,49,15,282,30,216,268,923,847,895,764,604,233,4782,0,0,8,40,25,16,18,4,4,114,0,4,12,80,32,23,26,11,3,185
CED226,0,28,136,347,264,204,107,26,16,1125,0,0,5,8,8,16,7,7,0,49,0,0,3,33,5,7,9,7,0,74,12,94,120,739,313,239,224,201,117,2065,63,195,287,633,324,249,262,247,187,2449,3095,9492,11635,21220,12363,10519,8461,5347,3168,85306,0,0,5,5,3,3,0,0,0,15,5829,15444,18088,22076,13487,12137,9162,5396,2940,104559,0,7,12,85,14,3,9,3,0,136,0,0,0,26,3,12,6,0,3,58,0,15,6,96,24,7,3,4,0,156,0,3,20,24,27,17,8,3,0,103,7,34,33,146,79,57,31,18,0,407,0,3,3,55,17,19,14,4,4,115,78,1165,1626,4817,2472,1925,1055,374,179,13699,0,0,0,21,16,32,31,47,24,170,0,9,18,63,30,31,59,44,18,270,38,369,435,857,702,804,686,536,194,4620,0,0,5,50,36,44,14,10,4,171,0,33,30,122,61,40,26,16,5,329
CED227,0,12,18,118,32,20,5,0,5,207,0,0,0,22,9,18,12,4,0,67,0,9,25,107,44,12,6,0,0,205,15,125,256,879,399,321,238,140,44,2405,231,530,408,1119,456,382,321,246,141,3835,6513,12951,10019,27147,10612,8044,6162,3402,1271,86111,5,56,171,604,165,86,27,13,3,1126,12602,22091,15370,28661,12557,9419,6655,3485,1148,111990,0,29,27,226,50,21,10,0,0,370,0,0,0,77,27,16,12,11,0,146,0,4,13,33,12,10,6,3,0,78,0,5,19,122,36,26,8,7,0,222,0,21,14,59,40,22,16,4,0,183,0,5,13,84,71,48,40,9,4,273,4,99,109,822,243,184,118,32,7,1619,0,0,0,41,35,67,51,50,12,252,4,63,84,211,82,48,41,25,0,558,8,215,401,840,936,1169,1056,786,250,5667,3,11,31,230,92,63,30,11,0,469,0,0,5,28,16,20,5,6,4,77
CED228,4,32,62,414,146,122,54,17,3,853,0,0,4,7,12,11,9,4,0,46,0,0,20,76,18,9,4,0,0,127,41,392,639,2298,979,578,343,169,39,5475,424,863,638,1938,518,352,283,203,129,5355,8459,15399,11514,36377,10575,8693,5721,2555,1038,100333,0,9,13,127,31,24,13,0,3,223,15693,23181,13504,21688,9553,8185,4961,2039,622,99417,6,138,124,1231,275,82,33,6,0,1903,0,0,0,93,51,62,37,19,0,263,0,6,13,87,16,8,0,0,0,135,0,5,3,52,33,11,14,4,0,124,11,17,14,62,33,24,10,4,0,172,0,7,4,59,61,74,73,34,6,322,10,84,227,1478,394,428,244,31,12,2903,0,0,0,53,52,90,71,55,13,342,8,30,92,68,18,36,28,22,10,320,18,126,183,507,468,747,621,394,133,3206,3,26,50,383,187,136,71,14,0,865,0,5,8,38,7,12,12,8,0,84
CED229,0,23,91,314,97,51,31,10,0,615,0,0,8,37,13,13,4,3,0,76,0,0,10,51,16,14,7,5,0,100,29,157,308,2895,595,502,633,470,293,5880,148,284,436,2022,546,452,394,291,208,4772,3474,6213,8981,35253,10935,8802,6911,3650,1757,85969,5,5,12,69,9,0,3,0,0,93,6407,10334,11222,32045,13196,10646,7347,3292,1014,95504,0,3,12,89,0,9,7,3,0,111,3,0,0,91,20,21,13,9,0,164,6,18,59,753,64,21,12,3,0,941,0,0,11,42,12,3,5,5,0,77,7,24,39,378,125,68,38,8,0,684,3,3,16,302,39,30,17,5,0,424,13,148,1005,2819,459,405,248,101,42,5246,0,0,0,59,33,55,38,30,6,227,0,3,11,76,14,35,62,63,22,294,51,224,352,2986,1147,1037,719,389,150,7048,0,6,11,83,44,22,10,7,0,185,14,50,74,668,116,52,75,32,24,1101
