CED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
CED142,0,12,264,539,159,174,143,46,15,1350,0,0,5,72,21,16,10,8,0,128,0,0,9,41,7,11,6,0,0,66,32,112,483,3694,511,441,403,283,122,6073,156,253,947,3037,571,483,348,210,112,6124,3516,4134,13840,49328,9484,7743,5557,2712,985,97307,6,11,5,45,4,4,4,0,0,73,6556,6683,12050,39212,10274,8006,5113,2107,584,90579,0,0,75,219,24,11,7,0,0,344,0,0,4,87,15,29,18,8,3,161,4,22,129,1808,112,44,16,10,4,2140,0,0,38,84,15,15,9,7,0,161,17,7,61,725,133,93,45,11,0,1108,0,3,26,405,61,47,31,25,3,604,41,190,4288,8134,1030,1282,882,483,214,16550,0,0,6,71,27,41,32,32,10,213,0,0,11,93,20,36,46,22,11,244,42,108,608,5237,1359,1177,649,332,78,9586,0,0,18,194,78,60,53,23,3,438,3,25,86,1179,132,57,28,18,12,1539
CED143,0,3,28,79,50,33,18,6,0,219,0,8,9,69,56,45,15,19,4,217,0,0,3,36,29,31,5,7,0,120,19,143,138,1765,629,403,315,197,101,3707,86,213,193,694,322,237,201,216,200,2361,3970,9228,7909,22101,11972,9210,6898,4672,2188,78145,0,0,0,12,7,7,6,0,0,31,7462,15614,12555,21587,12450,10095,7570,4954,2087,94380,0,0,0,47,0,0,0,0,0,50,0,0,0,50,14,18,5,5,0,85,6,41,82,1354,187,29,11,5,0,1721,0,6,5,17,0,3,0,0,0,42,6,48,53,387,229,137,81,33,4,981,3,8,5,147,36,38,9,22,0,277,10,106,167,877,475,496,304,136,70,2642,0,8,0,47,23,77,62,66,30,308,0,3,0,25,9,25,54,52,26,195,94,915,915,4024,2811,2087,1225,874,300,13248,4,7,0,56,36,53,33,20,6,206,8,82,79,610,215,86,32,28,4,1162
CED144,10,48,272,928,658,720,453,118,68,3266,0,0,0,3,0,0,0,0,0,9,0,3,4,8,6,7,0,0,0,31,16,271,334,1561,838,673,582,357,155,4785,325,645,631,1754,644,528,404,284,217,5429,5588,11112,11186,26516,11507,10202,7345,4453,2431,90349,0,0,11,52,28,14,11,0,0,120,10500,18982,15627,20340,7431,4611,2541,1517,913,82452,57,315,477,3718,764,391,108,13,3,5846,0,0,0,32,12,35,24,11,0,123,0,17,23,295,52,44,11,7,4,447,0,0,8,32,54,50,49,12,7,207,3,9,8,41,29,14,6,5,0,116,0,4,7,51,48,48,50,34,3,240,21,154,615,3690,2291,2806,1531,643,496,12253,0,0,0,12,12,38,75,107,46,288,12,81,47,339,150,178,217,133,52,1209,7,50,63,275,207,237,204,125,56,1215,5,16,48,331,238,290,232,86,17,1264,0,0,10,58,29,27,14,3,3,137
CED145,0,14,17,85,70,9,10,5,0,208,0,3,3,87,27,3,5,7,0,136,0,0,3,18,22,32,11,8,5,107,22,108,201,2344,654,558,789,545,368,5587,137,280,314,1439,390,291,287,265,185,3584,3587,7184,7176,27503,9818,7561,6450,4388,2412,76081,0,0,0,7,3,0,0,0,0,10,6669,12128,10396,25328,10344,7898,6045,3695,1713,84217,0,7,5,37,16,0,0,0,0,57,0,0,0,35,7,10,3,5,4,59,6,16,120,1447,94,42,15,0,0,1741,0,0,10,6,4,0,0,0,0,20,10,20,32,443,126,100,30,30,12,801,4,8,19,420,34,25,22,28,0,554,6,133,147,767,296,334,197,128,68,2083,0,0,0,37,20,23,23,30,18,137,0,0,0,27,7,37,94,79,33,283,78,418,584,5210,1638,1116,778,579,209,10625,0,0,8,49,44,28,23,17,4,175,9,32,83,976,127,73,81,36,26,1444
CED146,6,77,205,1617,1223,926,524,121,59,4755,0,0,0,0,0,0,4,0,0,9,0,11,48,72,41,11,0,7,0,183,27,275,395,1714,1304,1252,937,417,142,6456,344,806,616,1561,585,501,343,238,139,5127,6793,14971,13778,29022,12970,11107,7078,3399,1394,100525,0,5,22,144,41,43,20,3,0,278,13112,25682,21010,22388,7526,5651,3040,1642,662,100705,5,112,174,1397,441,231,85,6,3,2461,0,9,19,306,190,206,111,46,10,892,0,0,0,43,17,11,3,0,0,78,12,39,113,865,555,502,315,87,31,2516,3,7,22,43,19,13,0,4,0,117,0,7,13,201,208,331,241,110,34,1158,4,38,82,870,480,554,326,121,66,2554,0,4,8,224,170,242,253,161,60,1104,3,77,75,321,167,196,147,75,25,1086,3,82,66,184,187,336,280,198,80,1414,10,69,261,2089,1409,1446,667,272,50,6267,0,0,3,31,21,21,7,3,0,91
CED147,0,3,15,70,42,29,28,0,0,189,0,0,5,18,34,56,39,37,20,197,0,0,4,17,8,8,12,3,0,51,3,47,74,328,260,386,400,286,160,1944,153,446,329,838,422,428,481,484,375,3950,4751,10451,9597,20377,10917,11092,10147,6556,2620,86507,0,0,3,0,4,0,0,3,0,16,9303,19849,17800,32386,16225,14598,11816,6951,2309,131235,0,0,6,34,10,7,0,0,0,65,0,0,4,47,24,45,30,23,0,176,0,0,3,33,17,17,11,0,0,88,0,0,7,22,18,7,10,0,0,63,4,12,19,76,49,41,32,19,5,247,0,4,5,40,83,73,92,71,10,373,0,18,34,176,66,73,50,18,12,447,0,0,0,24,30,57,81,92,50,336,3,24,3,49,14,19,31,19,4,171,17,115,150,607,943,1939,1880,1535,547,7732,6,12,7,66,23,27,22,8,0,179,0,6,8,29,24,36,33,14,3,153
CED194,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,8,16,62,19,11,8,5,0,133,92,183,205,568,186,144,55,21,4,1460,203,412,703,1772,666,698,404,104,32,4997,0,0,0,7,0,0,0,0,0,7,266,402,764,1804,880,940,674,162,30,5912,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,21,0,0,0,0,0,3,0,0,0,5,0,0,7,13,3,6,0,0,0,26,0,0,0,9,0,0,0,0,0,17,0,4,4,49,12,12,5,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,7,5,5,0,0,0,0,13,3,3,20,94,28,86,53,19,0,318,0,0,3,12,7,0,3,0,0,23,0,0,9,31,9,4,0,0,0,56
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,0,11,22,198,187,183,110,22,8,757,0,0,0,4,8,15,14,14,7,75,0,0,6,24,6,3,7,0,0,51,13,59,117,509,297,377,320,293,198,2164,103,244,237,624,236,265,252,257,150,2373,4146,8911,9102,21594,11196,10687,8477,4851,2203,81164,0,4,12,107,47,47,23,9,3,248,8048,16276,14998,24537,12766,11244,8137,4251,1566,101819,0,0,6,50,13,23,9,0,0,106,0,0,0,34,16,30,15,3,3,106,5,9,3,39,4,9,0,5,0,65,0,9,14,125,162,136,96,30,7,572,0,5,11,57,40,21,9,9,0,164,0,0,0,16,46,50,34,25,5,179,27,358,506,4164,1214,1146,732,230,92,8464,0,0,4,23,27,54,56,63,17,248,0,21,32,96,57,117,128,82,16,550,11,95,185,578,674,1132,1089,891,353,5007,0,3,12,72,70,66,40,19,10,292,0,3,7,36,18,23,16,9,4,112
CED202,0,0,18,74,16,7,3,4,0,120,0,0,0,7,4,16,12,6,0,54,0,0,3,27,11,5,5,3,5,60,5,35,55,255,129,107,144,81,45,873,202,396,458,1011,524,526,527,394,209,4241,4198,9435,8760,19274,10156,10173,9040,4783,2237,78063,0,0,4,13,4,3,0,0,0,18,8011,17920,15602,30236,16247,15925,13314,6618,2616,126487,0,8,12,63,15,0,6,0,0,98,0,0,0,8,3,8,5,7,3,36,0,3,0,37,9,0,0,0,0,47,0,6,4,10,9,0,0,0,0,27,0,7,10,71,34,43,37,6,0,201,0,4,0,8,14,9,7,5,0,52,0,46,65,376,91,83,61,13,0,729,0,0,0,4,20,36,59,50,18,185,0,0,18,15,4,3,12,12,0,63,10,146,115,465,528,846,1009,588,205,3911,0,5,6,20,19,13,11,3,0,74,0,11,9,27,13,16,15,4,0,96
