CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED224,204,4262,167,4634,252,3935,184,4365,615,8573,533,9724,1134,9864,475,11466,1731,9142,381,11255,1534,7328,344,9203,919,5516,300,6737,467,3176,280,3925,150,1229,129,1507,7006,53023,2795,62821,227,4110,141,4478,317,3654,147,4115,899,8656,464,10021,1749,10144,487,12380,2725,9053,367,12143,2473,7016,309,9793,1432,6035,369,7836,587,3998,328,4912,121,2269,231,2620,10519,54938,2838,68297,426,8373,310,9111,564,7585,333,8485,1517,17226,1000,19743,2886,20011,959,23851,4450,18198,742,23399,4004,14341,652,19002,2351,11558,665,14574,1055,7175,611,8841,272,3492,360,4126,17524,107966,5628,131118
CED225,209,4443,175,4822,269,4116,219,4603,631,8297,411,9331,1132,9224,433,10785,1719,8584,354,10654,1876,7088,319,9282,1145,6242,281,7668,541,3495,213,4249,168,1169,131,1467,7686,52655,2528,62867,230,3992,125,4341,335,3722,152,4212,902,8352,362,9618,1726,9390,364,11482,2821,8193,323,11333,3073,6946,291,10305,1766,6607,338,8707,658,4106,257,5018,138,2066,198,2403,11645,53373,2406,67424,436,8432,296,9163,604,7840,371,8816,1534,16647,778,18952,2856,18612,795,22268,4543,16769,681,21990,4955,14031,607,19590,2905,12853,619,16381,1201,7605,465,9268,309,3238,326,3870,19332,106026,4933,130296
CED226,267,5425,184,5870,346,5536,199,6089,619,9244,463,10321,905,7952,337,9190,1767,8409,376,10554,2006,7270,310,9586,1170,5890,236,7299,546,3506,205,4256,212,1465,140,1821,7837,54695,2453,64987,274,5202,186,5657,406,5363,205,5977,790,9336,412,10543,1426,8895,353,10684,2984,9013,363,12363,3137,7077,299,10519,1804,6362,292,8461,753,4317,277,5347,163,2708,296,3168,11752,58280,2690,72722,545,10626,365,11534,754,10900,409,12067,1411,18584,874,20867,2327,16854,691,19873,4751,17423,739,22915,5144,14346,607,20099,2977,12249,530,15755,1300,7821,484,9605,374,4171,438,4987,19586,112976,5144,137707
CED227,216,4990,335,5536,242,4575,297,5115,709,10933,765,12406,1271,11243,710,13221,1308,8463,511,10272,1078,6150,330,7559,688,4311,279,5278,329,2433,216,2977,86,625,99,809,5924,53719,3537,63186,253,4514,295,5061,347,4363,251,4964,1351,11549,764,13663,2089,10739,654,13482,2183,7952,482,10612,1891,5760,394,8044,1058,4771,337,6162,366,2731,302,3402,43,1021,199,1271,9581,53390,3678,66650,466,9500,628,10598,589,8940,550,10078,2064,22480,1530,26068,3359,21979,1365,26702,3484,16413,989,20885,2968,11903,725,15597,1749,9083,617,11444,699,5165,519,6381,131,1645,300,2079,15505,107110,7219,129832
CED228,256,5179,433,5868,326,6126,589,7043,1026,14624,1550,17204,1754,15737,1307,18796,1264,8778,664,10709,1135,6535,432,8100,622,4411,300,5335,269,1837,168,2270,44,440,80,566,6705,63662,5520,75889,268,4776,382,5420,449,5171,475,6088,1745,15557,1448,18757,2435,14069,1119,17623,2022,7940,619,10575,1830,6456,403,8693,874,4505,341,5721,261,2090,206,2555,42,838,162,1038,9922,61398,5153,76468,527,9955,813,11294,777,11299,1058,13134,2776,30182,2994,35954,4191,29801,2425,36421,3287,16716,1286,21287,2967,12990,837,16791,1499,8914,643,11050,525,3925,367,4825,82,1276,240,1603,16627,125059,10670,152359
CED229,135,2605,154,2896,281,4730,360,5371,857,17346,1438,19644,1108,12149,980,14237,1395,8405,735,10536,1631,6347,565,8543,833,5224,462,6516,356,2651,302,3311,98,823,182,1101,6709,60283,5166,72154,170,2664,153,2989,347,5259,393,5998,1131,18447,1382,20964,1468,11894,930,14287,2199,8137,595,10935,2241,6075,485,8802,1291,5208,414,6911,444,2847,355,3650,94,1325,329,1757,9387,61861,5038,76283,301,5270,308,5881,627,9988,747,11363,1989,35793,2819,40606,2577,24042,1907,28521,3597,16541,1331,21470,3872,12418,1050,17343,2130,10429,872,13427,803,5499,653,6958,198,2155,511,2862,16091,122140,10201,148433
CED230,225,3953,521,4701,262,3698,371,4333,697,8078,916,9688,939,6930,842,8713,1408,7617,888,9910,1903,9212,1016,12130,1399,8597,981,10974,641,4765,694,6099,179,1606,340,2129,7657,54454,6558,68674,276,3567,442,4283,351,3229,323,3902,1164,7904,809,9873,1643,6648,803,9092,2371,7246,800,10412,2999,8240,863,12097,1880,7914,850,10641,744,5067,783,6596,136,2665,539,3339,11561,52478,6198,70245,500,7523,966,8984,615,6928,690,8235,1859,15984,1722,19562,2589,13582,1642,17807,3777,14858,1685,20319,4903,17454,1874,24230,3278,16509,1824,21612,1383,9833,1481,12696,317,4268,876,5466,19215,106935,12761,138916
CED231,173,3763,157,4092,267,4388,223,4882,715,10435,655,11811,1121,9332,496,10951,1688,7972,457,10114,1663,6289,368,8317,993,5199,250,6444,506,3216,247,3965,161,1244,119,1526,7288,51833,2972,62097,182,3460,142,3790,377,4101,215,4692,1005,10512,635,12153,1706,9359,505,11574,2692,7575,425,10688,2614,6111,326,9057,1501,5706,315,7522,648,3929,315,4889,105,2052,167,2332,10834,52810,3051,66690,356,7223,304,7886,640,8488,444,9572,1721,20948,1293,23961,2827,18693,997,22522,4383,15546,879,20803,4279,12397,697,17371,2494,10905,563,13963,1155,7142,555,8855,267,3294,289,3856,18122,104636,6019,128786
CED232,255,4744,316,5316,241,4008,234,4479,658,8623,518,9796,1195,9943,569,11704,1422,8533,493,10448,1361,6794,443,8598,894,5118,350,6364,351,2554,229,3138,74,527,74,679,6453,50846,3230,60522,265,4405,289,4956,333,3524,181,4030,1185,9000,548,10739,1971,9803,563,12340,2571,8099,474,11141,2360,6229,419,9004,1287,5331,337,6954,377,2471,221,3069,48,901,123,1076,10387,49764,3157,63308,521,9153,607,10275,569,7529,415,8507,1837,17627,1066,20536,3162,19747,1134,24045,3997,16628,968,21585,3722,13027,860,17607,2179,10445,692,13314,727,5018,455,6201,122,1432,198,1750,16836,100605,6388,123834
CED233,131,3064,258,3449,402,11478,1047,12923,1294,29459,2595,33351,1122,13918,1361,16397,1171,7133,760,9062,1080,5480,586,7144,555,3937,351,4835,241,1928,185,2358,67,607,72,751,6060,76996,7211,90270,154,3860,311,4326,556,13411,1087,15054,1635,29907,2435,33977,1355,12356,1066,14783,1659,6644,606,8916,1639,5024,488,7154,953,4051,369,5380,320,2215,192,2731,62,1101,96,1255,8338,78578,6656,93572,283,6923,570,7776,957,24893,2127,27976,2926,59370,5036,67326,2478,26271,2429,31175,2833,13776,1366,17975,2720,10505,1073,14302,1503,7990,720,10215,563,4144,381,5089,128,1709,170,2004,14398,155574,13865,183844
