CED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
CED318,0,0,0,0,4,14,10,6,0,32,0,0,0,12,5,5,9,11,5,47,0,0,10,44,11,5,0,0,0,67,0,54,108,112,4,0,5,0,0,281,6,3,7,52,38,41,79,44,14,277,18,94,155,576,514,540,364,108,36,2397,0,0,0,0,0,4,0,0,0,4,0,7,6,19,0,0,0,0,0,29,17,93,146,420,316,213,140,27,4,1369,5,68,99,529,260,281,149,40,0,1430,0,6,0,53,19,12,30,8,3,124,0,0,3,18,10,10,11,5,4,61,0,3,18,66,59,103,73,50,14,394,0,10,8,26,29,17,15,7,3,110,5,15,59,166,102,65,43,14,7,467,0,0,8,48,16,21,9,5,3,114,0,0,4,135,16,9,3,0,0,173,0,22,39,251,140,62,23,7,0,561,6,0,0,17,11,4,0,0,0,33,8,21,28,165,49,56,67,28,0,414
CED319,0,0,0,3,0,7,8,8,5,26,0,0,0,11,7,0,7,0,3,30,0,4,16,75,24,9,10,3,0,145,4,10,218,396,6,10,0,0,0,646,0,0,4,28,10,22,40,27,8,147,18,127,255,1071,620,468,261,111,29,2947,0,0,0,4,3,10,3,5,0,22,4,3,7,43,5,0,0,0,0,75,0,32,47,144,138,75,47,21,3,503,3,69,121,615,270,292,156,57,7,1594,0,3,0,49,14,14,33,11,21,146,0,10,8,27,33,38,19,7,0,143,0,3,12,88,59,47,51,34,21,323,3,13,16,48,31,18,12,3,0,154,0,29,52,241,93,60,29,18,6,533,0,9,27,98,40,40,38,20,8,270,0,3,6,134,19,10,16,0,3,189,0,30,63,196,73,41,9,3,0,411,0,0,0,7,0,0,0,0,0,11,4,17,41,151,32,31,25,8,0,309
CED320,0,0,0,0,5,4,22,13,4,54,0,0,0,3,7,12,14,12,0,46,0,0,0,15,3,3,3,0,0,28,0,11,5,24,0,0,0,0,0,34,0,3,3,16,22,50,98,66,22,299,25,247,429,1204,789,735,597,251,66,4340,0,0,0,0,4,0,0,0,0,12,0,0,0,10,5,3,3,0,0,18,0,12,29,84,73,81,54,16,7,354,10,59,94,463,207,212,138,49,10,1236,0,0,0,24,8,16,21,9,6,78,0,15,25,53,54,33,26,15,0,214,0,0,11,45,49,79,112,74,26,394,0,0,3,19,19,14,11,4,0,76,0,37,77,221,148,100,90,40,8,723,0,3,4,34,8,15,8,5,4,74,7,4,26,316,7,0,7,0,0,365,0,10,34,147,71,27,9,3,0,303,0,0,0,3,3,0,0,0,0,16,5,16,28,65,38,55,56,8,0,268
CED321,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,13,0,0,3,31,6,0,0,0,0,42,0,0,5,16,18,15,58,41,5,162,4,30,50,265,238,301,213,80,15,1194,0,0,0,0,0,0,0,0,0,5,0,5,0,9,0,0,0,0,0,19,0,4,8,26,45,33,3,4,0,119,3,78,92,348,182,141,84,15,0,954,0,0,0,4,3,0,9,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,17,14,40,43,24,7,138,0,4,4,8,9,4,0,0,0,26,10,20,33,109,69,44,26,6,0,316,0,0,3,10,4,3,3,0,0,23,0,3,6,96,0,3,0,0,0,102,0,0,13,40,25,15,8,0,0,99,0,0,0,0,0,0,0,0,0,5,0,6,12,36,23,22,31,7,9,143
CED322,0,0,0,0,6,11,25,33,10,77,0,0,0,5,11,12,6,9,5,44,0,0,0,10,7,6,0,0,0,29,0,0,11,24,0,0,0,0,0,33,0,7,9,43,20,38,71,57,31,272,20,157,363,1254,851,805,658,301,117,4514,0,0,0,12,9,9,13,5,0,42,0,0,0,14,3,0,0,0,0,25,0,8,18,30,57,34,19,6,0,166,4,27,43,295,141,153,73,28,6,764,0,4,5,56,28,24,44,25,16,201,0,0,3,3,3,0,3,4,0,24,0,13,13,67,53,88,97,68,32,443,0,17,7,33,28,23,21,3,0,130,0,55,100,350,227,183,115,39,16,1086,0,3,18,26,15,17,22,10,0,99,5,7,9,110,44,17,19,3,6,215,4,26,37,157,70,38,15,0,0,341,0,0,0,4,11,3,4,0,0,32,0,54,64,205,53,72,52,20,4,525
CED323,0,0,0,0,0,10,34,21,8,76,0,0,10,22,4,11,6,0,4,66,0,0,0,11,7,4,5,6,0,23,0,6,66,213,3,4,0,0,0,291,0,0,9,39,25,34,70,66,31,266,33,166,494,1524,1094,1086,896,432,123,5839,0,0,0,26,9,23,10,3,3,76,0,0,8,25,8,5,0,0,0,54,0,4,22,45,58,49,29,9,0,217,3,41,118,635,266,231,151,34,8,1491,0,3,5,71,27,37,62,24,17,236,0,0,5,5,5,5,6,0,4,34,0,6,18,79,59,90,105,85,20,462,0,20,30,58,22,48,30,0,3,210,0,32,101,324,144,153,101,56,19,928,0,6,20,59,17,18,14,8,0,138,4,19,41,266,80,53,36,10,3,513,4,31,48,333,109,52,24,4,0,607,0,0,0,25,13,15,12,7,0,70,8,45,54,202,55,72,44,16,7,494
CED324,0,0,0,0,0,5,5,5,4,15,0,0,0,15,0,4,3,0,3,26,0,0,4,25,4,3,10,3,0,50,0,3,40,111,3,6,0,0,0,167,0,8,3,28,7,16,28,33,8,130,14,157,320,759,420,305,188,80,29,2263,0,0,0,10,8,17,11,8,0,47,11,60,52,255,32,17,15,3,0,445,0,11,41,110,99,78,54,23,19,434,5,33,130,650,188,175,132,27,9,1339,0,3,0,42,13,19,23,17,17,146,0,0,10,31,24,22,16,12,0,127,0,4,13,46,43,47,50,35,26,268,4,31,35,128,48,30,31,9,0,313,3,32,73,242,112,98,68,28,6,658,6,16,45,177,57,68,39,18,10,437,24,76,134,1239,293,317,275,57,9,2433,3,22,37,176,68,30,22,3,0,362,0,0,3,14,7,9,0,0,0,41,15,58,48,150,60,33,34,13,0,414
CED325,0,0,0,3,0,8,13,13,6,46,0,0,0,9,4,7,0,6,0,31,0,0,5,40,14,19,10,3,3,93,0,8,32,239,15,12,0,0,0,304,0,0,0,24,20,19,70,63,18,218,35,511,836,1909,811,579,297,111,25,5108,0,0,3,8,10,12,11,5,0,40,0,26,16,122,14,10,10,0,0,207,0,13,28,86,68,39,25,10,0,271,7,77,172,673,328,264,130,40,6,1709,0,0,0,38,23,32,37,12,14,160,0,55,102,292,252,243,107,39,7,1105,0,17,14,75,63,79,70,48,23,384,4,13,28,69,37,37,42,0,0,234,0,48,102,302,186,133,67,34,6,886,0,33,65,295,165,141,79,29,10,820,4,7,12,196,45,49,36,6,0,355,3,14,17,176,64,27,14,7,0,320,0,0,0,12,5,4,3,5,0,33,12,31,43,110,43,35,31,4,3,313
CED326,0,0,0,0,4,8,15,15,0,41,0,0,0,8,13,11,10,6,0,54,0,5,3,23,11,7,3,0,7,56,5,15,44,277,18,13,0,0,0,373,0,4,7,19,27,25,88,52,41,263,43,421,619,1660,996,772,567,235,79,5395,0,3,0,4,0,5,4,0,0,22,0,0,4,52,11,3,0,3,0,70,3,11,41,101,95,65,44,11,3,384,0,111,173,708,449,330,163,48,4,1996,0,0,0,39,11,17,27,13,6,116,0,16,45,80,82,73,42,14,0,349,0,15,33,68,79,94,131,117,38,578,5,11,16,42,21,30,16,9,0,146,10,105,161,420,268,148,100,30,10,1250,0,13,12,113,35,43,32,19,9,281,0,3,7,97,14,6,4,0,0,133,4,26,25,166,51,35,16,0,0,328,0,0,0,11,4,0,0,0,0,19,6,39,35,95,42,44,47,12,4,320
CED327,0,0,0,0,7,3,6,11,5,33,0,0,7,10,5,5,6,0,6,38,4,35,126,461,128,69,44,18,5,889,0,0,3,28,0,0,0,0,0,32,0,0,4,9,6,13,61,40,20,157,57,539,971,2214,1016,794,420,153,26,6190,0,0,4,21,17,15,22,4,0,80,10,93,96,358,57,26,22,4,0,664,6,22,39,128,126,97,61,26,5,499,3,70,151,579,310,322,222,41,13,1711,0,0,0,21,16,27,28,15,8,105,0,36,74,226,194,194,107,37,5,877,0,3,5,31,25,85,69,50,17,280,0,5,25,63,40,37,32,0,0,201,0,20,85,208,154,125,77,19,11,701,0,16,33,97,60,51,36,20,3,320,7,44,52,594,148,136,105,24,3,1118,0,96,126,229,79,28,25,0,0,582,0,3,4,33,21,7,0,0,0,69,4,21,27,83,25,22,17,6,0,199
