CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED323,0,0,4,3,3,0,0,0,0,12,3700,7320,7699,13583,7031,6155,5231,3023,879,54631,0,0,10,44,8,5,0,0,0,60,0,0,0,54,23,33,34,8,0,160,12,24,95,998,34,12,0,8,0,1181,0,0,12,6,0,8,0,0,0,40,5,14,30,153,54,50,33,17,3,365,0,3,13,110,21,8,15,6,0,177,5,84,179,550,135,141,118,38,8,1260,0,0,0,25,10,28,50,66,18,200,0,5,6,21,19,19,33,31,13,149,18,113,232,840,559,766,726,576,194,4021,0,4,9,55,17,15,20,5,0,131,0,3,18,129,26,19,32,20,5,256,3,0,15,94,38,63,102,108,31,457,0,0,3,15,8,19,37,37,15,127,7,57,52,113,30,28,33,5,6,336,14,58,198,1028,108,54,32,21,9,1524,0,9,39,50,18,11,26,3,3,166,0,6,13,117,38,19,31,13,3,234
CED324,0,31,54,183,45,26,7,0,0,335,4600,8412,7534,12255,5280,4243,3114,1854,637,47930,5,9,14,82,25,11,14,0,0,160,0,5,3,92,34,53,53,9,3,250,0,5,8,98,4,7,0,0,0,126,0,0,3,20,23,19,19,3,0,88,5,17,10,84,47,30,13,3,0,206,0,3,3,27,18,10,18,12,0,91,27,216,591,2131,597,609,433,161,60,4825,0,0,3,22,10,29,27,19,4,116,0,12,10,18,4,13,8,8,0,79,18,108,168,463,416,417,319,234,72,2222,0,6,18,109,70,66,40,21,6,348,0,5,10,60,22,15,7,0,0,125,0,6,5,71,42,39,50,45,7,263,0,3,7,3,16,31,47,60,21,185,12,56,109,414,102,168,102,29,11,996,24,163,624,2643,299,122,103,42,10,4027,8,11,30,127,43,30,28,19,3,304,0,21,37,219,36,20,12,4,0,351
CED325,0,12,38,119,23,14,0,0,0,209,6529,11631,8603,15157,5738,4297,2866,1363,346,56526,0,19,34,108,65,16,9,3,0,269,0,0,5,29,14,18,10,8,0,79,0,4,13,100,21,6,8,0,0,153,0,0,5,8,10,5,4,0,0,43,0,16,7,50,36,17,14,11,0,151,0,0,8,21,30,30,25,14,0,123,3,52,85,348,118,131,92,32,14,880,0,0,0,18,9,24,13,12,3,78,9,10,33,17,18,4,3,4,0,89,11,128,169,487,515,673,471,348,113,2909,3,9,50,260,150,133,78,22,7,710,0,8,7,25,14,16,12,7,4,92,0,7,8,62,45,40,112,68,19,366,0,0,0,3,3,4,0,8,6,27,4,16,25,90,20,34,42,8,0,240,14,185,265,2000,403,185,91,50,15,3215,5,8,19,73,34,13,28,12,6,198,0,27,45,200,88,43,17,16,0,431
CED326,0,0,3,22,5,4,0,5,0,51,5632,10809,7966,14634,6968,5944,5363,2972,975,61268,0,3,4,28,10,14,0,0,0,63,0,0,0,19,6,11,4,0,0,39,0,11,7,68,15,5,3,0,0,106,0,0,4,5,0,0,3,0,0,10,5,18,20,49,37,31,20,14,4,199,0,0,5,13,11,7,7,0,0,44,0,38,33,199,49,51,54,15,8,459,0,0,0,7,4,8,14,11,4,44,0,8,3,16,4,9,6,3,4,70,9,216,353,686,784,818,729,634,183,4414,0,10,21,176,109,87,54,24,6,480,0,6,4,26,23,16,14,12,3,107,4,13,11,58,49,64,73,75,19,361,0,0,6,10,9,6,11,17,3,61,0,13,7,50,15,22,27,4,0,149,29,200,251,1851,363,133,106,36,11,2978,0,3,11,33,11,6,14,9,3,87,0,11,18,92,49,9,6,0,0,181
CED327,5,63,136,649,111,40,18,3,0,1018,6156,11903,8279,12107,5321,4267,3262,1480,344,53103,0,6,0,63,17,10,4,0,0,105,0,0,10,102,50,72,46,13,3,290,0,5,5,29,9,5,0,0,0,55,4,12,23,64,66,69,45,13,5,306,0,9,9,30,18,8,8,7,4,96,0,0,0,10,19,10,8,4,0,49,12,135,208,1479,300,269,295,63,27,2786,0,0,0,38,27,38,45,31,8,189,0,15,15,44,26,20,15,9,0,146,11,42,119,275,330,538,462,370,80,2215,0,20,52,252,183,153,75,32,8,772,0,0,4,24,0,21,6,4,0,63,0,0,6,40,32,31,96,49,7,267,0,0,0,4,3,7,10,21,9,64,4,29,50,297,86,111,103,14,3,706,12,185,352,1667,358,142,96,61,13,2885,6,20,16,93,34,21,25,18,0,217,0,51,88,136,33,15,6,0,0,331
CED328,0,0,7,14,0,3,0,0,0,27,3847,9492,10257,12624,6667,4736,3883,2359,752,54615,3,8,5,104,14,8,3,0,0,146,0,0,0,7,0,3,4,0,0,19,0,8,17,154,21,8,3,0,0,218,0,5,0,4,0,0,0,0,0,18,11,44,36,127,72,40,28,8,0,362,6,8,7,53,19,12,6,6,0,104,12,182,439,905,159,99,84,43,8,1938,0,0,3,5,3,7,5,3,4,37,3,21,5,31,3,3,7,6,0,79,29,322,491,790,873,697,479,382,112,4179,0,3,20,45,36,27,26,7,0,164,0,15,23,80,47,24,18,4,0,207,4,24,38,105,74,55,53,42,9,401,0,5,3,6,5,5,7,4,5,33,5,61,111,132,56,52,29,14,3,461,5,137,180,864,234,116,52,48,17,1654,9,28,41,110,24,12,16,9,5,258,0,28,26,221,97,25,21,16,0,441
CED329,0,0,0,0,0,0,0,0,0,0,2958,8158,6746,10988,7400,8657,8720,4262,1078,58978,0,0,0,5,5,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,5,11,113,10,6,0,0,0,144,0,3,0,0,0,0,0,0,0,6,0,15,11,44,38,26,26,17,0,180,0,0,0,6,3,0,0,6,0,19,0,8,5,16,6,7,6,7,0,47,0,0,0,0,0,15,9,13,0,35,0,0,0,7,0,0,5,3,5,16,0,95,159,303,494,785,1003,691,156,3683,0,0,6,13,15,9,5,4,0,55,0,9,6,65,15,28,14,15,0,163,3,3,3,40,45,77,124,116,19,433,0,5,0,0,0,5,12,3,0,31,0,3,4,7,3,3,3,0,0,28,0,12,12,100,24,14,11,14,4,198,0,15,6,10,0,3,10,3,3,47,0,0,0,0,0,0,4,0,0,5
CED330,0,0,0,23,4,5,0,0,0,33,5536,12762,9277,15853,8922,7817,6050,2745,622,69577,0,0,5,25,0,4,0,0,0,41,0,0,0,10,7,9,4,3,0,37,0,4,4,27,7,0,0,0,0,47,0,6,0,17,8,3,4,0,0,44,3,14,17,35,33,28,20,9,0,162,0,3,0,7,8,8,7,3,0,37,4,18,30,90,23,27,10,4,0,206,0,0,0,4,3,24,12,10,4,61,0,5,0,5,0,0,5,8,0,23,9,104,213,513,661,914,764,519,115,3810,0,4,6,67,23,22,20,3,3,147,0,0,5,21,10,14,13,9,0,76,0,0,3,46,59,65,92,88,18,363,0,0,0,5,3,4,3,0,0,19,0,4,21,29,12,12,0,0,0,78,9,22,55,396,53,34,22,12,3,600,0,3,5,38,5,10,7,6,0,79,0,0,0,15,5,5,4,6,0,36
CED394,0,0,0,0,0,0,0,0,0,3,235,383,447,1358,627,826,806,159,12,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,22,0,0,0,9,0,0,0,0,0,11,0,0,0,11,4,0,0,0,0,16,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,18,56,27,87,89,45,4,329,0,0,0,5,0,0,5,0,0,11,0,0,4,27,0,3,0,0,0,37,0,0,5,17,11,11,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,15,0,0,0,0,0,24,0,0,0,9,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3
CED397,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
