CED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
CED401,7,78,204,725,197,125,49,10,0,1397,4702,7975,8032,16781,7218,6448,4487,1998,684,58322,10,24,34,220,56,8,0,0,0,352,0,0,9,80,51,49,41,4,0,239,0,12,9,190,9,6,0,0,0,234,0,6,22,66,112,61,53,22,5,341,5,10,12,76,26,23,12,4,0,167,0,0,5,26,15,0,14,4,0,65,12,90,1039,1583,193,171,123,38,19,3273,0,0,0,38,24,47,35,29,12,191,0,17,10,50,13,7,16,16,7,142,16,82,148,560,443,799,640,332,109,3141,0,3,0,38,16,15,6,0,0,83,0,10,10,73,26,16,12,3,0,152,4,3,9,82,49,31,111,77,25,383,0,0,18,47,44,155,299,365,289,1215,6,29,298,269,28,28,32,7,0,701,48,460,1185,4334,543,139,81,41,7,6846,3,14,42,110,15,5,11,3,4,202,0,46,81,296,73,38,20,9,0,565
CED402,0,7,22,89,56,33,6,0,0,215,4087,9688,8413,15384,9135,9845,8967,4345,1291,71161,0,0,0,19,0,0,0,0,0,17,0,0,0,6,0,0,4,4,0,11,0,0,0,15,3,0,0,0,0,22,0,3,4,13,9,4,0,0,0,36,0,7,3,20,6,11,3,0,0,45,0,0,0,0,0,0,0,0,0,3,0,27,16,138,38,30,9,0,0,255,0,0,0,0,4,18,15,22,6,66,0,0,0,7,0,5,0,3,0,17,0,25,55,178,308,780,674,464,137,2614,0,0,4,16,6,6,0,0,0,38,0,0,0,15,4,0,10,3,0,34,0,0,0,22,26,45,146,91,25,357,0,0,0,4,9,20,50,52,32,162,0,3,0,10,6,0,5,0,0,29,9,23,60,318,50,43,36,9,0,551,0,5,5,40,8,0,9,3,0,65,0,0,0,6,8,3,5,0,0,21
CED403,3,15,9,34,11,5,0,0,0,77,4068,8189,8033,14405,7491,7138,6349,3310,1332,60319,5,22,11,84,11,3,0,0,0,139,0,0,0,24,11,23,25,3,3,96,0,9,11,199,10,5,3,0,0,240,0,6,4,15,14,22,10,8,0,77,8,18,14,83,41,40,28,10,0,231,0,0,0,14,7,6,5,4,0,30,6,80,214,820,162,125,114,38,4,1560,0,0,0,13,9,22,23,28,18,107,0,12,11,29,5,7,22,17,0,105,18,166,287,669,738,1032,856,643,267,4677,0,0,3,11,10,7,6,7,0,45,0,7,7,42,27,11,17,0,0,121,3,14,8,47,44,53,127,99,42,443,0,7,4,23,16,51,114,146,93,453,7,18,44,122,27,26,26,14,4,279,16,154,309,1181,267,94,55,36,15,2122,0,20,11,65,19,7,12,5,3,137,0,18,29,157,52,62,33,9,0,367
CED404,0,0,0,7,4,0,0,0,0,9,4364,9701,8076,15860,8952,10338,8740,4329,1185,71534,0,3,0,16,0,0,0,0,0,19,0,0,0,0,0,6,5,5,0,12,0,0,0,14,0,0,0,0,0,14,0,0,0,5,5,0,0,0,0,14,0,0,0,7,10,7,5,0,3,41,0,0,0,4,4,3,0,3,0,13,0,5,3,32,6,0,3,0,0,54,0,0,0,3,7,20,30,44,12,106,0,0,0,14,0,0,3,0,0,22,0,11,28,124,288,999,877,510,172,3015,0,0,0,14,5,4,0,0,0,31,0,0,0,12,5,10,12,5,5,48,4,0,0,9,12,63,135,83,25,329,0,0,0,3,4,19,40,43,17,125,0,0,0,12,0,4,0,0,0,20,6,32,46,304,34,21,10,5,3,461,0,5,5,11,4,0,6,0,0,27,0,0,0,7,4,3,0,0,0,12
CED405,0,15,13,77,17,7,6,0,0,135,4334,7772,7770,15272,7808,7671,5228,2602,1015,59476,0,10,15,44,14,0,0,0,0,79,0,0,0,123,61,78,45,27,8,344,0,11,8,171,15,0,3,0,0,209,0,0,12,22,26,40,18,8,5,130,4,11,6,38,19,22,15,5,0,121,0,0,4,23,6,6,3,0,0,48,4,15,72,277,69,75,88,49,21,662,0,3,0,56,32,63,73,88,30,345,0,15,10,56,11,10,33,10,4,161,5,120,187,495,583,899,670,344,164,3475,0,0,6,23,9,4,7,0,0,53,5,8,4,47,16,14,8,5,3,106,0,9,16,60,34,52,179,138,27,507,0,12,16,42,42,126,241,248,143,861,0,8,16,55,10,14,13,0,0,118,19,213,433,1829,264,85,63,44,15,2970,0,10,17,32,6,3,8,0,0,72,0,15,18,114,24,22,9,4,0,205
CED406,0,0,0,6,0,0,4,0,0,6,4494,9473,8089,16535,7204,6278,5626,2343,658,60701,0,8,5,17,8,4,0,0,0,34,0,0,0,13,3,4,7,0,5,32,0,4,0,39,0,0,0,0,0,48,0,0,4,3,4,0,0,0,0,13,0,4,11,24,27,13,16,8,0,111,0,0,0,5,8,5,5,6,4,34,0,16,34,153,53,31,40,13,0,342,0,0,0,11,16,18,37,19,10,111,0,4,12,24,14,16,19,14,4,104,19,228,645,1020,1304,1860,1356,951,354,7741,0,0,5,32,18,19,9,5,0,82,0,0,0,17,5,20,10,3,0,66,0,3,5,46,42,74,156,113,54,505,0,3,0,8,10,29,38,25,8,119,0,5,19,19,11,6,6,0,0,62,6,37,79,376,126,72,39,23,6,768,0,0,5,17,13,3,11,4,3,62,0,4,13,68,39,29,18,10,0,188
CED407,3,96,247,592,188,91,26,3,0,1254,4845,9648,8340,15083,7264,5721,4479,2409,573,58364,3,18,21,103,34,9,5,0,3,197,0,0,3,62,19,31,33,10,0,154,0,3,0,15,0,0,0,0,0,27,4,10,22,92,59,61,46,12,0,304,0,4,14,24,19,10,10,4,0,86,0,0,3,11,9,9,6,8,5,51,7,27,100,368,106,83,68,30,3,790,0,0,0,31,21,35,49,61,8,211,0,14,5,36,13,5,18,8,0,98,4,48,178,439,625,1590,1236,954,429,5500,0,4,6,33,22,11,12,3,0,98,0,0,0,8,7,6,0,7,0,32,0,9,6,23,35,52,163,128,48,456,0,0,0,10,7,32,72,62,16,200,0,6,70,79,13,16,9,5,0,197,20,259,719,2708,395,128,85,30,14,4353,0,4,9,33,10,12,6,4,3,79,3,33,93,170,55,27,13,6,0,409
CED408,0,0,0,0,0,0,0,0,0,0,4187,10005,8082,14135,8573,8435,8160,4130,1049,66754,0,0,0,4,0,0,0,0,0,3,0,0,0,3,4,4,0,6,0,12,0,0,0,17,4,0,3,0,0,32,3,5,0,3,3,0,0,0,0,12,7,3,9,32,41,35,29,8,3,168,0,0,0,9,0,3,0,0,0,16,0,15,7,54,20,16,22,10,0,136,0,0,0,3,4,10,9,11,0,41,0,0,0,3,0,0,9,8,4,22,15,136,336,605,1037,1714,1650,1196,352,7047,0,0,0,10,6,0,3,4,0,20,0,5,3,20,20,16,12,8,0,78,4,10,6,47,56,96,195,129,47,586,0,0,0,3,5,4,33,22,0,70,0,8,8,17,0,8,5,3,0,44,3,13,20,131,32,19,21,20,5,265,0,6,0,6,5,3,9,3,8,44,0,0,3,12,17,4,8,3,0,45
CED409,18,128,292,692,219,90,23,4,0,1458,6182,11915,9681,18176,7538,6291,3875,1738,455,65851,5,16,8,46,13,0,0,0,0,87,0,0,0,27,9,13,4,0,0,59,0,0,0,7,0,0,0,0,0,9,5,27,43,237,136,115,79,17,4,657,0,3,3,12,10,10,10,0,0,55,0,0,0,15,15,14,18,3,0,73,0,3,11,57,28,27,22,3,0,146,0,0,3,29,15,22,25,33,10,128,0,3,9,11,7,4,5,3,4,49,0,41,127,334,623,1778,1258,838,395,5398,0,4,5,49,32,17,7,4,0,118,0,0,0,3,4,12,6,0,0,21,0,3,10,11,29,57,121,71,28,325,0,0,0,10,7,36,51,49,23,183,0,0,7,16,4,0,5,0,0,27,20,97,112,684,83,46,28,15,3,1079,3,12,14,45,14,7,4,0,0,90,0,41,76,93,8,10,0,0,5,234
CED410,0,5,19,67,5,11,5,0,0,121,4363,8705,8308,13079,7474,6765,4912,2995,1063,57663,4,24,38,114,38,14,8,0,0,244,0,0,3,26,11,15,4,12,0,78,0,9,11,75,14,8,0,0,0,120,0,3,17,22,13,17,10,3,0,83,5,18,16,55,34,33,15,3,4,183,3,7,4,26,3,3,5,0,0,51,23,305,503,2003,408,283,262,67,31,3896,0,0,0,8,6,12,22,32,11,105,0,18,25,58,19,19,15,20,4,179,11,123,230,452,500,792,760,511,231,3610,0,0,3,11,10,9,4,8,0,54,0,0,9,44,16,19,10,0,3,106,0,6,10,44,36,50,136,121,50,456,0,3,8,17,21,81,125,140,80,472,13,45,100,247,75,77,70,26,4,662,40,430,697,2823,544,146,110,55,17,4869,4,12,20,54,13,11,12,7,0,140,3,57,62,296,122,47,39,11,3,639
CED494,0,0,0,0,0,0,0,0,0,0,61,96,129,413,206,194,124,29,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,19,25,21,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,9,0,0,3,0,4,15,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,0,0,0,11,3,0,0,0,0,16,6365,11474,8083,15801,6088,4500,3163,1419,357,57256,0,3,5,42,8,0,4,0,0,58,0,0,0,29,15,16,14,5,0,81,0,6,4,48,4,0,5,4,0,75,0,0,4,4,0,0,0,0,0,7,0,16,17,52,36,22,16,5,0,166,0,0,3,24,18,6,7,8,0,72,0,12,18,74,27,19,20,8,0,181,0,3,0,27,18,27,33,27,4,129,0,4,0,20,11,3,11,3,0,47,21,331,796,1647,1713,2352,1363,1064,339,9621,0,0,6,38,12,15,3,0,0,74,0,0,0,34,15,12,10,4,0,77,6,12,15,64,52,60,69,48,17,332,0,0,0,5,0,5,4,0,0,11,0,0,5,22,10,7,4,0,0,58,4,86,128,939,117,68,70,39,18,1460,6,22,23,71,28,12,5,3,0,171,0,0,8,40,9,9,3,4,0,64
CED502,7,67,175,692,139,74,26,7,4,1187,6600,11001,6914,12663,4871,3739,2974,1172,270,50206,0,34,15,157,67,13,9,4,0,294,0,0,3,16,4,12,3,5,0,48,0,0,0,18,3,0,0,0,0,27,0,6,5,42,26,21,16,4,0,120,5,9,17,26,22,10,5,8,0,99,0,6,0,18,20,30,5,4,0,88,7,53,108,551,206,103,77,28,14,1140,0,0,0,17,7,16,14,17,3,64,0,11,18,29,17,3,11,6,0,100,9,100,175,802,833,1363,1035,774,239,5322,0,0,3,27,16,9,3,0,0,56,0,0,0,18,13,11,9,11,0,68,0,5,4,50,24,36,73,57,11,266,0,0,0,0,3,0,8,3,0,13,0,8,21,95,17,22,15,3,0,174,37,418,534,3307,619,270,231,104,21,5533,6,57,105,358,163,64,56,18,0,828,0,7,33,92,37,17,10,4,0,207
CED503,0,0,5,23,3,0,0,0,0,33,4518,9334,6735,12141,6001,5704,5697,2957,836,53918,0,0,4,14,0,5,0,0,0,21,0,0,0,10,0,3,3,4,0,16,0,3,0,22,5,3,0,0,0,30,0,0,0,0,0,0,0,0,0,7,4,15,16,34,27,32,27,9,3,163,0,0,0,6,3,10,8,0,0,23,0,3,4,29,19,11,8,6,0,74,0,0,0,10,6,7,17,17,4,50,0,0,0,5,0,4,10,5,0,26,6,201,434,938,1192,1825,1652,1305,344,7899,0,0,11,29,7,6,5,0,4,59,0,0,5,12,12,10,14,3,4,66,0,3,3,15,34,31,88,68,7,261,0,0,0,0,0,3,10,4,0,23,0,0,7,15,0,7,7,0,0,36,3,42,40,443,74,51,46,38,9,755,5,14,17,42,9,4,10,3,3,104,0,5,6,21,9,10,9,4,0,52
CED504,4,34,87,353,73,43,14,5,0,607,5280,9159,7624,12505,5351,4608,3222,1573,369,49689,0,0,9,50,7,6,11,4,0,94,0,0,6,151,57,112,51,31,3,417,0,11,10,173,17,5,0,0,0,217,0,3,3,35,40,33,21,7,0,145,4,14,8,40,23,18,17,0,3,128,0,0,3,30,7,14,14,0,0,68,0,32,91,377,135,150,98,28,22,929,0,0,0,61,26,55,93,69,17,327,4,18,25,28,9,21,19,22,3,148,12,69,124,694,557,859,699,504,140,3655,0,0,5,5,7,4,8,0,0,27,0,0,8,57,9,20,7,0,0,107,0,5,11,68,30,26,73,62,8,292,0,3,11,12,22,44,68,118,55,332,3,9,26,123,30,48,36,12,4,296,11,146,335,1730,277,244,269,168,32,3218,3,20,36,88,34,30,19,6,0,240,0,35,47,223,86,53,34,10,6,493
CED505,0,0,0,10,0,5,0,0,0,13,4090,8838,8091,12299,6354,5190,4302,2725,1028,52905,4,3,5,35,10,11,3,0,0,68,0,0,0,25,4,17,11,0,0,56,3,21,18,324,32,8,0,4,0,404,0,4,4,3,0,5,0,0,0,17,8,38,50,96,77,79,37,16,4,405,3,7,5,46,15,7,8,0,0,89,8,121,215,568,176,114,94,51,12,1373,0,0,0,10,17,17,26,24,7,111,0,11,6,24,11,12,11,8,8,86,39,313,452,1405,1060,1231,946,615,216,6282,0,0,3,3,4,9,4,0,0,27,4,26,44,151,51,27,21,9,0,335,6,7,22,119,77,54,56,63,9,416,0,6,5,4,8,10,32,15,11,85,3,66,62,90,59,40,27,19,0,373,5,89,103,579,204,103,94,58,26,1264,4,39,65,98,27,20,30,17,6,316,0,22,20,146,61,36,21,19,6,319
CED506,0,0,4,24,3,0,0,0,0,31,6045,12042,8609,19222,9371,8535,6056,2419,616,72910,0,5,0,27,6,0,0,0,0,42,0,0,0,8,8,0,4,3,0,22,0,3,0,39,3,0,0,0,0,49,0,4,0,14,3,0,0,0,0,21,0,8,3,44,15,20,14,5,3,102,0,0,0,27,0,3,5,0,0,36,0,3,7,133,31,11,3,0,0,195,0,0,0,10,4,9,13,12,0,65,0,3,0,23,0,0,0,9,0,36,3,56,171,714,629,1057,731,475,97,3934,0,4,8,49,22,16,3,0,0,105,0,0,22,116,7,11,6,3,0,171,0,0,17,62,41,45,96,54,7,327,0,0,0,0,0,3,6,3,3,26,0,3,0,27,8,4,4,0,0,47,9,48,26,416,92,47,14,15,9,666,3,24,14,63,26,7,4,6,4,151,0,0,3,46,4,5,3,0,0,57
CED507,0,0,6,36,3,11,0,0,0,62,4229,10062,6891,13063,7278,6763,6114,2785,749,57930,0,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,49,6,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,4,9,8,46,38,18,13,5,0,146,0,0,0,17,6,3,7,5,0,33,0,7,12,74,15,3,5,0,0,126,0,0,0,3,6,0,4,8,0,21,0,0,0,10,0,6,3,0,0,23,5,88,192,632,728,1122,1063,758,196,4784,0,0,0,18,8,0,0,0,0,26,0,6,8,74,12,16,9,0,4,126,0,0,13,61,25,39,92,57,5,287,0,0,0,0,0,0,3,7,3,19,0,0,0,23,0,5,0,0,0,37,0,31,22,259,55,23,23,24,8,447,0,16,11,24,12,3,3,0,0,73,0,4,0,16,6,0,0,0,0,27
CED508,0,0,0,17,5,0,0,0,0,26,5196,8650,7132,14273,6243,4918,3420,1513,418,51764,4,9,3,50,9,5,4,0,0,81,0,0,6,55,33,41,33,23,0,188,0,9,7,79,8,10,3,0,0,118,0,0,0,3,0,0,0,0,0,7,0,9,13,80,43,31,25,10,0,223,0,0,6,31,24,17,14,6,0,101,0,40,82,326,137,74,65,18,0,733,0,0,4,93,49,96,175,137,65,624,0,7,0,13,3,10,18,17,8,74,15,176,315,1432,1042,1285,888,529,157,5845,0,0,0,8,9,6,9,0,0,33,0,14,12,152,39,18,17,9,0,248,0,17,17,143,72,49,61,41,0,404,0,0,0,3,0,4,12,4,4,33,3,9,32,81,16,17,11,7,3,185,10,68,96,722,165,94,89,37,19,1303,3,16,38,157,55,26,24,11,0,337,0,9,20,125,41,25,8,3,4,238
CED509,0,13,45,146,26,12,11,0,0,254,5861,10961,8195,14679,6572,5048,3644,1683,416,57063,0,7,6,26,7,6,0,0,0,51,0,0,0,47,22,18,6,4,0,105,0,4,3,26,0,0,0,0,0,44,0,5,6,13,11,5,4,0,0,45,0,7,11,43,36,26,19,6,8,152,0,0,4,13,10,3,0,3,0,40,0,4,17,91,34,32,12,6,0,198,0,0,0,33,3,19,59,35,18,169,0,7,22,23,3,9,3,8,0,71,15,126,319,982,1147,1554,1193,886,279,6499,0,0,0,12,6,14,0,3,0,42,0,0,0,35,9,9,12,9,3,78,0,6,16,65,54,53,109,87,11,398,0,0,0,3,0,3,5,10,0,29,0,9,3,52,6,7,0,0,7,87,20,137,202,1801,285,182,149,79,13,2877,3,13,19,54,19,4,11,3,0,134,0,13,12,50,17,16,0,0,0,109
CED510,0,0,0,19,7,8,6,0,0,43,4292,9666,7424,10839,5684,5007,4286,1659,484,49338,0,0,5,11,4,0,4,0,0,26,0,0,0,8,6,18,5,0,0,44,0,7,9,70,13,4,6,0,0,96,0,3,0,0,0,0,5,0,0,15,0,20,23,68,56,44,22,5,3,239,0,4,0,9,9,8,5,0,0,30,3,32,36,154,46,47,64,8,4,384,0,0,0,9,8,27,22,19,9,97,0,4,3,32,12,25,30,15,0,126,20,568,1111,2041,2232,2445,1854,943,281,11489,0,0,3,5,5,0,4,0,0,22,0,4,11,50,22,9,13,4,0,108,0,6,16,87,79,57,107,72,19,436,0,0,3,5,5,14,23,16,8,74,0,9,12,40,13,23,19,0,0,120,0,31,47,213,90,97,82,65,20,649,0,16,20,40,10,13,20,4,0,116,0,16,10,114,51,19,21,7,0,239
CED511,0,7,16,55,20,16,4,0,0,124,4696,9817,7704,14689,8187,8855,7292,3269,962,65453,0,0,0,11,6,0,0,0,0,19,0,0,0,9,0,0,7,3,0,16,0,5,0,24,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,9,8,8,24,20,29,16,8,8,123,0,0,0,13,4,6,0,0,0,27,6,7,18,105,21,11,7,0,0,175,0,0,0,3,3,9,8,3,0,33,3,0,0,4,0,3,4,3,0,26,0,55,89,464,505,1108,979,748,207,4152,0,4,3,55,15,4,3,0,0,90,0,0,10,42,13,8,5,7,0,97,0,0,8,47,33,41,102,73,10,316,0,0,0,4,3,5,7,8,5,24,0,0,5,15,3,3,5,0,0,29,7,29,28,243,58,33,20,22,3,442,0,11,10,36,9,3,7,3,0,82,0,6,4,23,8,3,0,0,0,52
CED512,0,13,19,104,51,32,17,0,0,234,6195,11649,7125,12226,4640,3042,2117,1023,343,48360,0,3,0,29,11,0,4,0,0,48,0,0,0,49,23,21,7,7,0,108,0,4,12,82,18,0,3,0,0,121,0,6,0,27,14,12,5,0,0,66,3,15,17,38,20,25,14,4,0,139,0,0,8,19,4,12,11,3,0,64,0,21,20,181,24,37,28,5,0,316,0,3,0,36,14,19,31,18,7,123,0,13,38,55,18,22,21,12,4,186,26,603,1494,2853,2440,2219,1302,906,256,12100,0,0,5,19,9,5,7,0,0,41,0,3,3,28,23,12,8,11,0,86,0,4,22,59,66,50,66,36,10,309,0,0,0,5,3,17,23,6,6,55,0,6,6,55,8,13,4,0,0,97,3,97,147,1041,271,134,101,56,11,1859,10,15,30,38,29,18,6,0,0,147,0,3,32,87,37,27,8,0,0,204
CED513,0,4,6,56,9,4,0,0,0,77,4603,6804,6506,16765,6371,5139,3253,1547,595,51578,0,0,11,60,5,0,6,3,0,91,0,0,5,86,27,36,35,11,3,194,4,3,17,333,24,8,0,0,0,393,0,6,0,9,11,5,3,0,0,32,5,5,15,125,44,41,15,12,0,265,0,4,9,73,14,10,5,0,0,115,5,35,336,682,144,134,89,26,16,1473,0,0,3,40,19,29,33,42,14,182,0,3,3,26,9,14,14,11,7,92,22,66,233,1727,998,1194,813,444,148,5641,0,0,3,24,13,11,3,0,0,45,0,0,19,210,29,18,15,5,0,306,0,5,11,135,60,39,76,37,6,382,0,9,0,18,8,17,43,67,51,214,9,14,64,211,44,26,24,5,6,389,43,145,198,1672,189,169,131,93,36,2685,7,13,51,171,42,12,35,15,3,352,0,15,26,248,58,38,22,7,3,423
CED514,4,22,63,294,70,31,14,4,0,501,5231,8031,8050,14779,5836,4959,3826,1605,604,52913,4,16,43,182,55,5,7,0,0,315,0,0,4,28,6,12,10,9,0,64,0,7,10,149,10,8,0,0,0,181,0,3,10,20,6,6,6,0,0,63,0,11,7,73,29,23,20,7,0,168,0,3,6,30,17,12,16,11,0,104,9,70,238,967,198,192,95,25,15,1804,0,0,0,8,13,17,27,20,8,99,3,17,16,50,17,6,12,11,0,136,15,113,224,985,766,1192,835,593,221,4945,0,0,4,14,9,5,5,0,0,51,0,4,6,103,13,22,10,4,3,162,0,0,10,84,41,45,65,53,8,303,0,0,0,5,3,6,13,20,5,57,0,10,106,241,46,30,41,11,5,482,50,239,590,2649,387,186,167,111,35,4410,18,59,140,462,138,64,70,21,3,988,5,21,26,237,46,32,12,10,0,402
CED515,0,0,5,47,14,15,10,3,0,103,4319,9911,8086,10434,5408,4846,4097,2062,855,50026,0,25,27,109,67,24,9,4,0,261,0,4,5,19,7,14,9,6,0,56,0,17,10,46,13,5,5,4,0,94,0,9,0,5,11,6,7,0,0,26,6,12,20,52,29,32,20,11,0,186,0,0,3,15,17,14,16,4,4,70,9,195,369,1307,548,344,225,50,28,3085,0,0,0,15,3,14,38,24,9,116,0,30,19,41,26,12,19,14,8,166,14,251,350,752,966,1253,1013,725,256,5593,0,0,0,8,10,7,12,0,0,36,0,7,6,60,13,15,10,0,0,121,0,11,5,54,39,39,72,50,10,295,0,5,0,3,6,3,7,12,8,48,3,42,55,214,87,75,93,36,7,615,25,334,490,1693,810,406,267,149,40,4230,6,59,139,460,197,124,180,75,19,1257,0,32,28,181,111,53,45,14,3,476
CED594,0,4,0,11,0,0,0,0,0,11,113,189,278,991,484,358,249,44,6,2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,11,54,25,50,45,13,3,210,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,16,0,0,0,10,3,0,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,0,16,0,0,0,6,3,0,0,0,0,8,0,0,0,4,4,4,0,0,0,11
