CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED511,22345,541,74,396,124,23476,18789,471,29,50,45,19388,4683,1228,180,14,7,6114,1940,780,61,5,14,2796,474,389,84,11,13,964,4464,332,37,35,25,4893,1518,220,26,173,50,1980,98,50,7,3,0,159,13177,2996,394,240,102,16913,2360,228,29,39,64,2722,1070,167,30,34,26,1323,57739,4403,548,764,365,63824
CED512,10854,760,45,110,4,11764,32829,785,61,10,15,33700,7359,735,119,0,0,8216,519,294,8,0,0,817,109,118,0,0,0,222,2981,224,25,16,0,3236,276,40,8,30,0,357,45,15,0,0,0,62,11291,1421,153,47,5,12906,673,537,4,6,0,1225,581,81,4,13,8,685,56214,3583,268,183,33,60283
CED513,13067,3674,2395,13,6,19154,15019,5337,4198,15,20,24583,4854,5166,10717,30,20,20786,447,984,855,0,3,2286,87,213,345,0,7,649,2796,1942,2348,15,13,7116,234,235,268,0,9,745,38,59,67,0,0,161,8459,8595,14592,40,53,31748,471,454,404,3,4,1334,349,232,258,0,15,864,37357,18296,21856,69,96,77678
CED514,13843,3163,1192,113,14,18328,18800,3943,1718,10,20,24479,7707,5844,4261,18,31,17857,1345,1326,301,0,4,2976,184,308,132,0,0,630,3549,1906,957,8,11,6425,407,227,117,21,8,772,91,62,33,0,0,189,13286,9668,5799,45,52,28856,665,575,383,4,5,1633,555,269,133,19,22,995,47149,17624,9217,184,116,74290
CED515,21848,2403,533,0,28,24814,21433,2029,486,3,8,23966,6004,1736,686,3,9,8439,449,388,48,0,0,883,61,67,29,0,0,164,2507,687,193,4,11,3397,235,48,33,0,0,323,27,24,10,0,0,59,9288,2960,999,6,16,13269,712,535,391,0,3,1646,452,104,45,0,6,603,53735,8025,2456,13,64,64292
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED601,14487,575,388,65,22,15526,13108,423,232,13,9,13786,4453,859,1065,50,14,6438,814,438,293,4,0,1548,381,273,147,0,5,809,2534,353,342,21,20,3273,280,75,46,14,6,423,72,21,14,0,0,113,8539,2026,1916,91,43,12610,584,156,47,11,4,801,565,199,55,46,10,872,37281,3374,2638,225,88,43594
CED602,16485,518,55,167,34,17266,13639,182,15,36,19,13882,3539,844,85,26,6,4496,1478,776,20,0,4,2285,330,236,11,0,0,580,2986,438,48,23,4,3505,476,101,43,80,7,718,64,41,4,3,0,113,8882,2451,217,137,27,11699,664,96,5,25,12,796,600,128,7,44,7,786,40262,3368,304,404,96,44424
CED603,12651,568,896,60,14,14195,11754,531,625,21,10,12938,4068,1063,2467,52,21,7660,946,409,730,0,19,2100,197,155,233,0,16,602,2535,510,1047,44,27,4160,272,81,164,7,4,534,41,22,28,0,0,89,8059,2240,4664,101,86,15148,365,146,235,10,3,759,349,62,129,0,12,561,33181,3551,6553,196,122,43596
