region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED306,260,287,547,344,275,619,186,874,1060,403,2396,2799,2487,1630,4117,2296,1382,3678,2487,1133,3620,2634,1065,3699,2876,784,3660,5150,1006,6156,4388,253,4641,3636,732,4368,2779,117,2896,1188,57,1245,1516,107,1623,5413,511,5924,880,762,1642,38923,13371,52294
CED307,173,154,327,261,144,405,140,525,665,308,1353,1661,1938,1141,3079,2177,1025,3202,2301,826,3127,2759,867,3626,3027,672,3699,5648,691,6339,5330,153,5483,4114,369,4483,2858,63,2921,1241,16,1257,1552,21,1573,3483,212,3695,486,357,843,37796,8589,46385
CED308,418,360,778,434,316,750,241,914,1155,498,2280,2778,3080,1991,5071,3136,1541,4677,3318,1304,4622,3407,1168,4575,3533,782,4315,5342,877,6219,4478,249,4727,3062,541,3603,2138,65,2203,810,30,840,1278,26,1304,3572,425,3997,747,586,1333,39492,13455,52947
CED309,295,292,587,426,337,763,228,1099,1327,489,2805,3294,3330,2375,5705,3388,1618,5006,3476,1089,4565,3364,978,4342,3376,664,4040,4823,688,5511,3596,179,3775,2278,384,2662,1497,45,1542,560,18,578,757,24,781,3809,397,4206,640,635,1275,36332,13627,49959
CED310,288,241,529,417,295,712,209,923,1132,485,2854,3339,3566,2286,5852,3518,1514,5032,3569,1035,4604,3148,825,3973,2992,637,3629,4441,661,5102,3117,161,3278,2008,376,2384,1322,43,1365,476,23,499,713,28,741,3628,362,3990,639,607,1246,34536,12871,47407
CED311,410,325,735,427,329,756,256,929,1185,490,2370,2860,3188,1352,4540,2560,1165,3725,2378,837,3215,2325,833,3158,2539,684,3223,4553,1000,5553,3571,191,3762,4356,1005,5361,2819,120,2939,1143,47,1190,1708,95,1803,4495,335,4830,1047,778,1825,38265,12395,50660
CED312,246,207,453,316,177,493,227,695,922,491,1767,2258,2875,1375,4250,2951,1231,4182,2831,973,3804,3301,916,4217,3549,590,4139,5931,607,6538,4767,187,4954,2798,273,3071,1784,39,1823,773,12,785,932,11,943,3612,257,3869,753,482,1235,38137,9799,47936
CED313,270,514,784,261,418,679,178,1199,1377,340,2589,2929,1470,2060,3530,1604,1759,3363,1726,1665,3391,1998,1970,3968,2083,1703,3786,4008,2426,6434,4257,737,4994,4313,1995,6308,3552,361,3913,1766,200,1966,3179,279,3458,3032,1190,4222,387,646,1033,34424,21711,56135
CED314,236,262,498,336,299,635,209,1004,1213,454,3074,3528,3153,2358,5511,3274,1848,5122,3165,1340,4505,3280,1211,4491,3260,780,4040,5124,843,5967,3885,175,4060,2324,351,2675,1598,40,1638,610,18,628,788,17,805,3782,322,4104,689,701,1390,36167,14643,50810
CED315,200,297,497,291,306,597,221,1019,1240,423,2154,2577,2169,1680,3849,2406,1564,3970,2435,1449,3884,2921,1548,4469,2921,1113,4034,5352,1218,6570,4945,351,5296,3178,676,3854,2233,110,2343,934,43,977,1113,42,1155,4931,695,5626,720,654,1374,37393,14919,52312
CED316,291,277,568,526,382,908,354,1485,1839,753,3930,4683,5871,2602,8473,4883,1580,6463,4122,1061,5183,3250,788,4038,2903,484,3387,3841,457,4298,2606,95,2701,1459,248,1707,906,13,919,294,12,306,419,9,428,3671,287,3958,977,886,1863,37126,14596,51722
CED317,414,399,813,513,400,913,340,1318,1658,640,3273,3913,3781,1982,5763,3350,1769,5119,3308,1119,4427,3056,1085,4141,3195,693,3888,4715,826,5541,3495,135,3630,2459,542,3001,1726,84,1810,681,20,701,986,82,1068,4755,291,5046,1248,1000,2248,38662,15018,53680
CED318,321,408,729,425,420,845,312,1467,1779,637,2654,3291,2902,2341,5243,3156,2259,5415,3157,1868,5025,3397,1565,4962,3408,1078,4486,5532,1297,6829,4394,306,4700,2695,651,3346,1875,92,1967,696,42,738,901,38,939,4808,608,5416,882,797,1679,39498,17891,57389
CED319,218,333,551,290,320,610,185,1039,1224,374,3185,3559,2239,2328,4567,2486,1734,4220,2598,1596,4194,2801,1556,4357,2875,1249,4124,5163,1665,6828,5007,417,5424,4027,873,4900,2918,164,3082,1289,56,1345,1754,81,1835,3322,533,3855,647,778,1425,38193,17907,56100
CED320,218,238,456,408,272,680,240,861,1101,529,2381,2910,3820,1844,5664,3588,1259,4847,3416,973,4389,3507,820,4327,3451,550,4001,5322,524,5846,4051,102,4153,2411,228,2639,1451,18,1469,559,8,567,624,9,633,3595,228,3823,833,622,1455,38023,10937,48960
CED321,466,367,833,624,461,1085,303,1405,1708,653,3741,4394,4404,2304,6708,3868,1880,5748,3713,1229,4942,3456,1057,4513,3303,690,3993,4748,678,5426,3216,138,3354,1832,427,2259,1205,44,1249,386,16,402,614,28,642,4363,285,4648,1179,984,2163,38333,15734,54067
CED322,339,460,799,382,384,766,266,1099,1365,455,2639,3094,3169,2214,5383,3275,1738,5013,3376,1364,4740,3342,1178,4520,3318,803,4121,5086,969,6055,4057,302,4359,2645,509,3154,1769,88,1857,725,24,749,933,29,962,3531,579,4110,657,693,1350,37325,15072,52397
