region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED510,467,390,857,511,404,915,311,1286,1597,667,3050,3717,3291,1954,5245,3024,1554,4578,3045,1162,4207,2805,1164,3969,3009,878,3887,4650,1097,5747,3561,138,3699,2885,795,3680,2101,71,2172,735,35,770,1163,66,1229,4656,321,4977,855,779,1634,37736,15144,52880
CED511,322,294,616,408,241,649,230,754,984,497,1836,2333,2795,1236,4031,2533,1008,3541,2608,869,3477,2743,945,3688,3013,716,3729,5548,749,6297,4655,131,4786,4258,553,4811,2643,56,2699,1085,28,1113,1507,29,1536,5681,251,5932,746,496,1242,41272,10192,51464
CED512,305,549,854,317,408,725,235,1311,1546,392,3080,3472,2404,2220,4624,2296,1858,4154,2334,1815,4149,2444,1960,4404,2483,1656,4139,4329,2153,6482,3889,435,4324,3788,2044,5832,2806,210,3016,1355,102,1457,2325,179,2504,3975,910,4885,556,759,1315,36233,21649,57882
CED513,330,390,720,412,399,811,237,1363,1600,440,3266,3706,2605,2146,4751,2351,1689,4040,2425,1580,4005,2357,1758,4115,2464,1382,3846,4195,1687,5882,3826,388,4214,3706,1275,4981,2851,163,3014,1401,101,1502,2286,134,2420,3879,645,4524,654,714,1368,36419,19080,55499
CED514,461,758,1219,453,565,1018,281,1452,1733,465,3507,3972,2475,2474,4949,2459,1924,4383,2353,1870,4223,2581,1979,4560,2643,1646,4289,4518,2121,6639,4160,529,4689,4135,1872,6007,2807,253,3060,1416,145,1561,2339,219,2558,4014,1085,5099,636,860,1496,38196,23259,61455
CED515,356,334,690,361,247,608,132,546,678,266,1624,1890,1600,1401,3001,1842,1042,2884,2050,907,2957,2085,932,3017,2172,746,2918,4242,952,5194,3944,180,4124,5210,812,6022,3692,68,3760,1848,38,1886,3287,72,3359,4665,358,5023,379,292,671,38131,10551,48682
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,121,216,337,276,371,647,223,1366,1589,541,3016,3557,3007,2050,5057,2764,1469,4233,2439,1059,3498,2549,876,3425,2311,582,2893,3415,570,3985,2534,104,2638,1405,254,1659,918,31,949,354,9,363,424,14,438,2349,268,2617,431,587,1018,26061,12842,38903
CED602,163,212,375,378,320,698,242,1342,1584,576,3281,3857,3561,1753,5314,2982,1300,4282,2639,886,3525,2497,688,3185,2347,461,2808,3422,491,3913,2202,70,2272,1218,215,1433,720,19,739,214,7,221,294,9,303,2707,162,2869,546,581,1127,26708,11797,38505
CED603,157,274,431,208,396,604,167,1278,1445,378,2883,3261,2135,2283,4418,2154,1595,3749,2044,1382,3426,2141,1250,3391,1980,889,2869,3221,994,4215,2817,196,3013,1847,521,2368,1431,64,1495,598,25,623,811,8,819,2448,441,2889,362,556,918,24899,15035,39934
CED604,127,149,276,239,241,480,168,808,976,372,2300,2672,2390,1622,4012,2580,1202,3782,2429,904,3333,2565,729,3294,2307,525,2832,3759,569,4328,3111,88,3199,1787,211,1998,1327,16,1343,445,5,450,574,4,578,2571,164,2735,396,416,812,27147,9953,37100
CED605,197,243,440,416,341,757,264,1245,1509,610,2951,3561,3850,1620,5470,3206,1225,4431,3034,819,3853,2725,612,3337,2457,318,2775,3408,331,3739,2121,43,2164,1059,145,1204,618,9,627,220,0,220,244,3,247,2751,117,2868,589,593,1182,27769,10615,38384
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,137,142,279,309,133,442,207,475,682,324,621,945,1146,516,1662,1137,722,1859,1084,710,1794,1397,860,2257,1373,681,2054,2602,906,3508,2661,180,2841,1997,519,2516,1564,52,1616,615,30,645,935,44,979,2694,287,2981,625,456,1081,20807,7334,28141
CED702,141,161,302,132,129,261,117,500,617,220,935,1155,745,603,1348,825,719,1544,929,830,1759,1310,998,2308,1527,918,2445,3093,1241,4334,3467,385,3852,2725,806,3531,2246,185,2431,1030,86,1116,1717,148,1865,3090,627,3717,394,375,769,23708,9646,33354
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,150,228,378,221,281,502,193,858,1051,357,1886,2243,1502,1558,3060,1636,1461,3097,1800,1359,3159,2308,1606,3914,2568,1496,4064,5217,2347,7564,5632,413,6045,5413,2011,7424,5132,274,5406,2675,108,2783,5586,224,5810,4374,523,4897,382,445,827,45146,17078,62224
CED802,202,341,543,275,403,678,217,944,1161,413,2009,2422,1552,1550,3102,1699,1540,3239,2116,1374,3490,2489,1965,4454,2674,1951,4625,5521,3006,8527,6203,666,6869,5787,2177,7964,5544,380,5924,2585,187,2772,4888,298,5186,4312,1123,5435,354,456,810,46831,20370,67201
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
