region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED139,208,1138,5068,17344,10809,1969,398,577,37511,23,234,1830,2371,286,31,14,143,4932,30,213,888,1692,126,20,11,89,3069,53,447,2718,4063,412,51,25,232,8001,35,465,1491,760,29,6,4,118,2908,3,93,757,299,7,0,0,33,1192,0,15,313,154,5,0,0,17,504,8,62,51,22,13,3,0,16,175,46,635,2612,1235,54,9,4,184,4779,146,669,573,135,27,3,9,137,1699,3,17,22,13,8,3,0,4,70,456,2906,10993,22790,11310,2035,436,1134,52060
CED140,70,555,4777,22963,14507,2437,453,891,46653,23,176,786,420,58,12,4,59,1538,0,26,166,76,7,6,0,5,286,23,202,952,496,65,18,4,64,1824,33,470,2480,371,56,8,8,153,3579,0,25,47,9,0,0,0,5,86,3,14,48,16,0,0,0,4,85,3,9,15,0,3,0,3,3,36,39,518,2590,396,59,8,11,165,3786,47,145,89,90,30,9,8,55,473,3,6,16,9,10,0,4,20,68,182,1426,8424,23954,14671,2472,480,1195,52804
CED141,78,754,5199,17067,11814,2543,484,547,38486,29,256,2150,2088,135,35,5,156,4854,30,148,643,1508,265,66,13,61,2734,59,404,2793,3596,400,101,18,217,7588,32,527,1352,904,52,11,6,131,3015,25,48,578,195,13,3,0,25,887,0,47,583,238,10,0,0,15,893,8,55,34,12,3,0,0,8,120,65,677,2547,1349,78,14,6,179,4915,15,155,332,58,16,0,4,25,605,0,13,63,19,3,0,0,0,98,217,2003,10934,22089,12311,2658,512,968,51692
CED142,48,641,6326,20676,11366,2089,326,727,42199,5,214,1526,964,39,7,0,85,2840,0,35,355,561,56,7,3,25,1042,5,249,1881,1525,95,14,3,110,3882,39,623,1035,316,31,4,3,103,2154,0,42,67,28,3,0,0,3,143,0,56,114,85,0,0,3,0,258,3,38,10,12,3,0,0,4,70,42,759,1226,441,37,4,6,110,2625,21,150,203,28,7,0,0,32,441,0,0,8,6,0,0,3,0,17,116,1799,9644,22676,11505,2107,338,979,49164
CED143,63,368,1845,2753,1221,237,70,95,6652,32,682,2695,1683,324,34,19,92,5561,120,817,4401,5201,1710,311,121,214,12895,152,1499,7096,6884,2034,345,140,306,18456,275,1309,1325,404,45,7,10,116,3491,312,2197,3210,623,60,7,10,174,6593,1854,12652,16244,3639,164,14,59,701,35327,17,43,47,9,3,0,0,4,123,2458,16201,20826,4675,272,28,79,995,45534,22,103,184,75,16,7,9,13,429,9,93,319,33,8,0,4,22,488,2704,18264,30270,14420,3551,617,302,1431,71559
CED144,41,536,3706,21499,12601,2249,465,667,41764,15,234,1218,978,188,24,4,91,2752,3,78,565,606,89,5,3,25,1374,18,312,1783,1584,277,29,7,116,4126,43,538,1076,354,23,6,4,91,2135,3,70,153,34,3,0,0,10,273,0,37,25,0,0,0,0,0,62,3,29,17,11,5,0,0,3,68,49,674,1271,399,31,6,4,104,2538,26,125,383,73,13,3,7,37,667,0,4,9,5,3,0,3,0,24,134,1651,7152,23560,12925,2287,486,924,49119
CED145,39,248,2165,9204,8477,2986,603,232,23954,16,149,659,1024,197,23,3,26,2097,18,267,1005,1839,367,60,25,37,3618,34,416,1664,2863,564,83,28,63,5715,134,1351,3233,1196,136,22,16,126,6214,105,2419,6593,1227,75,10,7,159,10595,230,2529,5054,1552,53,11,4,166,9599,9,55,36,24,7,0,3,3,137,478,6354,14916,3999,271,43,30,454,26545,10,66,43,23,10,0,0,8,160,4,35,38,23,10,0,0,0,110,565,7119,18826,16112,9332,3112,661,757,56484
CED146,65,223,4012,13336,6728,2088,560,667,27679,53,228,941,988,357,83,20,56,2726,18,224,1224,1648,636,51,13,105,3919,71,452,2165,2636,993,134,33,161,6645,150,989,7621,775,107,11,10,423,10086,31,266,3662,422,18,4,4,142,4549,15,106,1273,356,36,7,0,57,1850,0,10,12,8,0,0,0,4,34,196,1371,12568,1561,161,22,14,626,16519,4,31,112,69,17,4,0,10,247,0,8,69,36,7,3,3,5,131,336,2085,18926,17638,7906,2251,610,1469,51221
CED147,37,198,1244,3679,3823,1654,421,160,11216,10,142,1304,1743,512,95,19,57,3882,37,415,2347,3792,1585,242,61,162,8641,47,557,3651,5535,2097,337,80,219,12523,167,1361,3161,962,131,22,19,136,5959,472,2919,6965,1520,125,20,22,243,12286,1926,6890,9271,2848,154,21,23,432,21565,6,23,17,5,0,0,0,0,51,2571,11193,19414,5335,410,63,64,811,39861,11,68,100,43,6,3,3,4,238,23,43,55,28,17,3,0,0,169,2689,12059,24464,14620,6353,2060,568,1194,64007
CED148,57,206,1457,16607,13552,2252,468,631,35230,5,117,1316,1680,247,18,9,132,3524,19,53,1168,2006,846,125,12,150,4379,24,170,2484,3686,1093,143,21,282,7903,7,200,372,190,29,5,0,53,856,5,35,632,52,3,0,0,25,752,0,7,258,38,0,0,0,0,303,3,12,8,11,4,0,0,0,38,15,254,1270,291,36,5,0,78,1949,0,47,94,82,41,3,6,4,277,3,0,4,3,3,0,0,0,13,99,677,5309,20669,14725,2403,495,995,45372
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,36,139,1410,19064,15485,2664,413,405,39616,0,151,1148,578,34,0,0,55,1966,4,3,100,630,96,7,0,4,844,4,154,1248,1208,130,7,0,59,2810,3,179,634,437,32,3,4,41,1333,0,0,11,5,0,0,0,0,16,0,3,21,14,0,0,0,0,38,0,10,5,8,3,0,0,3,29,3,192,671,464,35,3,4,44,1416,6,67,70,17,4,0,0,11,175,0,0,0,7,0,0,0,0,7,49,552,3399,20760,15654,2674,417,519,44024
CED202,65,584,5671,26461,11954,1548,301,726,47310,6,405,1046,465,30,0,4,79,2035,0,7,76,164,38,16,0,12,313,6,412,1122,629,68,16,4,91,2348,18,823,1860,321,22,5,10,143,3202,0,29,18,8,3,0,3,0,61,0,0,10,0,0,0,0,0,10,0,10,10,3,0,0,0,4,27,18,862,1898,332,25,5,13,147,3300,32,135,75,31,21,0,0,20,314,0,3,4,3,0,0,0,3,13,121,1996,8770,27456,12068,1569,318,987,53285
CED203,57,420,7367,18775,5873,935,225,703,34355,10,381,2664,1444,113,9,9,115,4745,9,155,670,1008,120,11,7,28,2008,19,536,3334,2452,233,20,16,143,6753,91,2721,4515,834,56,6,3,259,8485,78,375,415,75,3,0,0,29,975,41,201,363,51,0,0,0,21,677,0,13,14,11,3,0,0,3,44,210,3310,5307,971,62,6,3,312,10181,13,47,137,79,19,3,5,11,314,0,0,11,5,0,5,0,0,21,299,4313,16156,22282,6187,969,249,1169,51624
CED204,85,798,6980,27423,11162,1551,288,872,49159,21,249,902,308,43,3,0,59,1585,0,7,72,97,25,4,0,4,209,21,256,974,405,68,7,0,63,1794,27,529,1752,380,24,3,0,111,2826,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,13,11,3,3,3,0,0,33,27,545,1766,383,27,6,0,111,2865,76,213,95,76,26,7,5,37,535,0,0,3,10,3,0,0,0,16,209,1812,9818,28297,11286,1571,293,1083,54369
CED205,76,185,2024,19238,11255,2033,398,723,35932,10,152,1295,645,89,14,5,53,2263,5,12,173,564,153,22,3,15,947,15,164,1468,1209,242,36,8,68,3210,39,763,4344,1679,144,19,11,269,7268,0,35,78,22,5,0,0,6,146,14,145,143,48,0,0,0,18,368,0,22,49,11,0,0,0,0,82,53,965,4614,1760,149,19,11,293,7864,13,67,32,23,3,3,0,22,163,0,3,6,5,0,0,0,0,14,157,1384,8144,22235,11649,2091,417,1106,47183
CED206,96,221,1551,26342,14070,1966,338,843,45427,9,53,687,1574,448,39,14,79,2903,9,23,217,749,349,94,25,30,1496,18,76,904,2323,797,133,39,109,4399,17,241,1005,621,23,4,0,73,1984,0,7,28,30,0,0,0,0,65,0,12,41,20,0,0,0,0,73,0,5,7,0,3,0,0,3,18,17,265,1081,671,26,4,0,76,2140,22,121,60,28,3,0,0,15,249,0,5,3,16,3,0,0,3,30,153,688,3599,29380,14899,2103,377,1046,52245
CED207,42,467,2971,21412,12822,2408,420,449,40991,5,341,1730,783,49,8,5,74,2995,0,4,115,245,28,15,0,4,411,5,345,1845,1028,77,23,5,78,3406,8,240,933,422,27,4,5,41,1680,0,8,53,16,0,0,0,0,77,0,0,12,6,0,0,0,0,18,0,15,6,8,3,3,0,0,35,8,263,1004,452,30,7,5,41,1810,16,43,18,19,3,0,0,6,105,0,0,0,3,3,0,3,0,9,71,1118,5838,22914,12935,2438,433,574,46321
CED208,70,258,3980,17728,9216,2071,555,520,34398,17,269,3081,2145,271,38,20,121,5962,20,81,677,1567,566,66,15,40,3032,37,350,3758,3712,837,104,35,161,8994,69,396,2712,1586,214,42,20,154,5193,42,224,388,72,0,4,0,9,739,48,153,182,32,4,0,0,9,428,0,27,47,46,4,0,0,3,127,159,800,3329,1736,222,46,20,175,6487,3,12,32,20,0,3,0,3,73,4,4,5,10,9,0,0,0,32,273,1424,11104,23206,10284,2224,610,859,49984
CED209,51,462,4634,25550,12847,1880,412,591,46427,5,252,969,376,30,3,6,56,1697,0,21,104,320,85,7,0,8,545,5,273,1073,696,115,10,6,64,2242,25,562,1875,540,52,12,0,92,3158,0,8,9,9,0,0,0,0,26,0,0,8,0,0,0,0,0,8,0,26,13,4,3,0,5,3,54,25,596,1905,553,55,12,5,95,3246,41,151,118,54,17,3,6,31,421,0,0,6,8,4,0,0,0,18,122,1482,7736,26861,13038,1905,429,781,52354
CED210,54,464,5450,26154,8789,1150,218,769,43048,15,443,1121,372,34,3,0,70,2058,0,20,242,334,53,10,0,6,665,15,463,1363,706,87,13,0,76,2723,43,1290,2460,512,23,0,8,174,4510,0,8,69,4,0,0,0,0,81,0,9,43,24,3,0,0,3,82,0,13,9,12,3,0,0,3,40,43,1320,2581,552,29,0,8,180,4713,15,59,104,40,11,3,0,13,245,0,0,4,5,0,0,5,0,14,127,2306,9502,27457,8916,1166,231,1038,50743
CED211,39,330,3931,20092,9437,1643,310,414,36196,32,568,4247,1731,93,4,4,151,6830,0,25,328,850,113,19,8,10,1353,32,593,4575,2581,206,23,12,161,8183,101,297,1600,917,42,8,6,77,3048,3,23,159,8,3,0,0,3,199,3,16,70,53,3,0,0,3,148,0,21,11,7,3,3,3,0,48,107,357,1840,985,51,11,9,83,3443,3,10,26,20,0,0,0,3,62,0,0,6,5,0,0,0,0,11,181,1290,10378,23683,9694,1677,331,661,47895
CED212,39,305,3298,23676,12242,2057,343,642,42602,28,270,1953,999,89,8,0,126,3473,4,12,316,574,53,4,6,14,983,32,282,2269,1573,142,12,6,140,4456,17,664,3219,1045,53,9,3,172,5182,12,37,108,17,0,0,0,12,186,0,0,10,8,0,0,0,0,18,5,7,3,6,3,0,0,0,24,34,708,3340,1076,56,9,3,184,5410,31,178,119,27,4,0,0,23,382,0,3,3,4,3,0,0,3,16,136,1476,9029,26356,12447,2078,352,992,52866
CED213,60,518,5352,24966,12695,2010,415,789,46805,7,292,1608,784,74,15,5,112,2897,3,3,59,255,45,12,3,8,388,10,295,1667,1039,119,27,8,120,3285,3,167,983,503,25,3,3,83,1770,4,6,23,13,3,0,0,0,49,0,0,29,28,5,0,0,5,67,0,15,17,9,6,0,0,0,47,7,188,1052,553,39,3,3,88,1933,39,176,234,64,13,4,0,30,560,3,8,0,6,4,0,3,0,24,119,1185,8305,26628,12870,2044,429,1027,52607
CED214,70,450,7317,22026,6712,1003,171,667,38416,8,398,1614,1131,121,23,4,87,3386,7,66,941,2563,515,45,11,46,4194,15,464,2555,3694,636,68,15,133,7580,65,1514,3713,914,42,8,10,221,6487,41,304,687,133,7,0,0,22,1194,60,394,487,76,9,0,0,52,1078,0,10,14,10,0,0,0,0,34,166,2222,4901,1133,58,8,10,295,8793,30,92,84,64,17,6,0,13,306,0,8,14,9,4,3,0,3,41,281,3236,14871,26926,7427,1088,196,1111,55136
CED215,79,630,5725,26791,11480,1560,306,859,47430,5,296,692,311,57,9,4,64,1438,0,9,42,79,13,5,3,3,154,5,305,734,390,70,14,7,67,1592,45,718,1814,439,37,10,8,146,3217,0,0,35,4,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,11,0,6,3,0,0,0,20,45,729,1849,449,43,10,8,146,3279,55,280,318,79,18,6,4,48,808,0,0,7,14,0,0,3,0,24,184,1944,8633,27723,11611,1590,328,1120,53133
CED216,25,223,4492,14427,9778,2265,364,354,31928,16,226,2897,2023,209,25,4,88,5488,0,64,540,1848,486,34,4,30,3006,16,290,3437,3871,695,59,8,118,8494,69,1417,4367,1474,117,14,7,151,7616,0,118,422,99,5,3,0,23,670,17,192,290,85,3,0,3,24,614,3,14,9,10,3,0,0,0,39,89,1741,5088,1668,128,17,10,198,8939,0,40,109,64,7,0,0,9,229,0,9,10,7,3,0,0,4,33,130,2303,13136,20037,10611,2341,382,683,49623
CED217,118,149,1854,28880,18247,2228,302,1050,52828,4,33,566,857,274,31,4,47,1816,5,17,135,973,238,37,7,23,1435,9,50,701,1830,512,68,11,70,3251,22,208,951,1196,48,5,3,116,2549,0,0,7,7,3,0,0,0,17,0,0,23,7,0,0,0,3,33,0,10,6,0,0,0,0,3,19,22,218,987,1210,51,5,3,122,2618,8,27,3,12,3,0,0,5,58,0,0,0,3,3,3,0,0,9,157,444,3545,31935,18816,2304,316,1247,58764
CED218,15,319,3821,9980,7017,1939,400,272,23763,5,287,2715,1734,209,34,15,76,5075,29,234,1222,1964,335,40,10,55,3889,34,521,3937,3698,544,74,25,131,8964,126,2091,4896,1253,103,14,11,176,8670,167,2683,3884,477,16,17,0,104,7348,145,1363,1817,690,9,4,6,115,4149,0,9,27,14,3,0,0,0,53,438,6146,10624,2434,131,35,17,395,20220,4,39,88,51,8,3,3,9,205,4,9,7,6,3,0,0,0,29,495,7034,18477,16169,7703,2051,445,807,53181
CED219,101,220,1977,29271,19563,2538,385,929,54984,6,48,476,878,463,46,7,44,1968,0,0,59,347,219,45,4,11,685,6,48,535,1225,682,91,11,55,2653,0,156,1368,584,25,3,4,74,2214,0,0,10,4,0,0,0,0,14,0,22,15,48,0,0,0,3,88,0,9,5,3,0,0,0,0,17,0,187,1398,639,25,3,4,77,2333,8,42,34,13,3,0,0,6,106,0,0,0,4,3,0,0,0,7,115,497,3944,31152,20276,2632,400,1067,60083
CED220,55,222,3920,20292,8418,1367,248,608,35130,15,323,2502,1652,217,37,8,132,4886,5,25,273,873,222,46,5,22,1471,20,348,2775,2525,439,83,13,154,6357,23,1033,3112,1226,91,16,3,168,5672,0,42,112,60,4,0,0,8,226,0,79,185,50,4,0,3,8,329,0,5,5,3,0,0,0,3,16,23,1159,3414,1339,99,16,6,187,6243,9,53,57,31,3,0,0,6,159,0,4,11,3,3,0,0,0,21,107,1786,10177,24190,8962,1466,267,955,47910
CED221,72,617,5129,24147,11418,1439,321,715,43858,6,321,1339,383,13,5,3,79,2149,0,0,46,43,6,3,4,4,106,6,321,1385,426,19,8,7,83,2255,11,481,1729,312,16,7,4,130,2690,0,5,6,9,0,0,0,0,20,4,9,4,11,0,0,0,0,28,4,10,3,0,0,0,3,0,20,19,505,1742,332,16,7,7,130,2758,53,141,115,143,56,19,12,58,597,0,0,4,12,6,0,6,0,28,150,1584,8375,25060,11515,1473,353,986,49496
CED222,58,251,3209,21400,11453,1804,314,670,39159,19,316,2555,2003,269,32,3,108,5305,5,41,598,1581,338,49,11,46,2669,24,357,3153,3584,607,81,14,154,7974,50,1165,4115,1424,89,7,4,271,7125,14,48,177,34,0,0,0,7,280,0,65,263,96,3,0,0,16,443,0,10,9,12,7,0,0,3,41,64,1288,4564,1566,99,7,4,297,7889,63,349,436,58,11,3,0,46,966,0,3,3,10,3,0,0,0,19,209,2248,11365,26618,12173,1895,332,1167,56007
CED223,42,408,4549,20334,10519,1958,357,475,38642,10,274,1641,1012,39,15,3,63,3057,3,48,470,986,93,6,5,15,1626,13,322,2111,1998,132,21,8,78,4683,37,531,1945,750,64,9,5,89,3430,0,42,138,19,0,0,0,7,206,0,50,126,20,0,0,0,7,203,5,33,19,24,0,0,0,3,84,42,656,2228,813,64,9,5,106,3923,0,12,16,26,4,0,0,3,61,0,5,5,5,0,0,0,0,15,97,1403,8909,23176,10719,1988,370,662,47324
CED224,31,212,3426,11121,10039,2812,509,299,28449,25,221,2345,1691,177,22,6,65,4552,3,78,669,1398,290,34,6,28,2506,28,299,3014,3089,467,56,12,93,7058,74,1051,3980,1052,106,16,7,137,6423,67,1006,1939,227,15,0,5,59,3318,130,497,724,104,7,4,3,19,1488,3,22,16,7,0,0,3,0,51,274,2576,6659,1390,128,20,18,215,11280,0,42,79,57,15,3,3,7,206,0,4,11,6,0,0,0,0,21,333,3133,13189,15663,10649,2891,542,614,47014
CED225,66,404,3663,21661,15336,2572,475,480,44657,21,301,1472,746,109,19,3,73,2744,0,4,137,420,134,31,4,5,735,21,305,1609,1166,243,50,7,78,3479,14,146,825,521,34,3,0,57,1600,0,10,27,32,3,0,0,0,72,0,0,136,43,5,0,0,6,190,0,22,13,5,3,4,0,0,47,14,178,1001,601,45,7,0,63,1909,9,76,35,17,0,3,0,8,148,0,0,3,11,4,0,3,0,21,110,963,6311,23456,15628,2632,485,629,50214
CED226,105,226,2495,34256,24404,2290,358,996,65130,5,89,951,1279,360,22,3,78,2787,4,4,62,678,216,55,13,13,1045,9,93,1013,1957,576,77,16,91,3832,6,184,1463,884,36,3,0,92,2668,0,0,29,11,9,0,0,3,52,0,21,121,25,0,0,0,4,171,0,13,11,0,3,0,0,0,27,6,218,1624,920,48,3,0,99,2918,35,151,42,18,8,0,0,20,274,0,3,0,5,3,0,0,5,16,155,691,5174,37156,25039,2370,374,1211,72170
CED227,75,615,5349,25381,10292,1168,245,958,44083,6,262,948,346,26,3,6,83,1680,0,7,31,65,18,3,3,3,130,6,269,979,411,44,6,9,86,1810,24,610,1722,388,13,0,7,183,2947,0,0,8,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,12,3,0,3,0,0,0,18,24,622,1733,388,16,0,7,186,2976,101,252,139,102,19,9,10,104,736,0,0,9,9,3,0,3,3,27,206,1758,8209,26291,10374,1183,274,1337,49632
CED228,60,207,4029,20501,7755,1295,223,801,34871,11,181,1179,1307,91,22,0,84,2875,3,24,329,1037,154,15,5,26,1593,14,205,1508,2344,245,37,5,110,4468,59,1048,2887,1196,55,8,5,129,5387,20,488,404,109,8,0,0,35,1064,24,106,334,76,4,0,0,20,564,0,6,11,8,0,0,0,3,28,103,1648,3636,1389,67,8,5,187,7043,3,19,41,36,3,0,0,4,106,0,7,5,6,0,0,0,0,18,180,2086,9219,24276,8070,1340,233,1102,46506
CED229,104,749,4776,26923,20180,3132,533,739,57136,7,93,395,791,284,34,5,50,1659,0,3,48,531,195,23,5,9,814,7,96,443,1322,479,57,10,59,2473,15,259,638,289,13,0,3,36,1253,0,0,4,0,0,0,0,0,4,0,0,5,4,0,3,0,0,12,5,17,15,3,4,0,0,0,44,20,276,662,296,17,3,3,36,1313,66,219,150,57,21,0,6,31,550,3,3,4,7,3,0,0,0,20,200,1343,6035,28605,20700,3192,552,865,61492
CED230,61,526,4862,25517,12582,1538,300,737,46123,4,272,1336,807,173,21,9,89,2711,0,0,22,54,14,0,0,0,90,4,272,1358,861,187,21,9,89,2801,35,486,1662,313,8,0,0,123,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,3,13,35,493,1665,313,8,0,0,126,2640,33,158,101,38,10,3,3,27,373,0,0,3,4,0,3,3,0,13,133,1449,7989,26733,12787,1565,315,979,51950
CED231,15,415,4105,5874,2064,393,103,189,13158,26,875,5656,3245,611,73,25,188,10699,40,573,3467,4746,1164,253,66,164,10473,66,1448,9123,7991,1775,326,91,352,21172,154,2090,3454,1018,123,14,16,138,7007,322,3059,4648,791,56,10,22,231,9139,1413,7445,10733,2818,100,18,25,563,23115,0,11,15,8,3,0,0,0,37,1889,12605,18850,4635,282,42,63,932,39298,9,67,120,87,23,5,6,11,328,5,12,24,16,10,0,4,0,71,1984,14547,32222,18603,4154,766,267,1484,74027
CED232,24,379,3173,6204,3536,941,249,207,14713,11,359,3073,2447,370,59,9,117,6445,12,260,1637,2851,674,98,16,61,5609,23,619,4710,5298,1044,157,25,178,12054,216,3419,6246,1417,127,15,13,254,11707,333,4377,6808,912,56,3,6,224,12719,179,4093,7755,2774,130,20,8,204,15163,4,6,7,4,3,0,0,0,24,732,11895,20816,5107,316,38,27,682,39613,6,69,150,65,16,3,4,5,318,0,10,6,7,0,0,0,4,27,785,12972,28855,16681,4912,1139,305,1076,66725
CED233,43,144,1427,14913,14723,2977,586,384,35197,3,135,1060,951,68,12,7,52,2288,0,26,311,1288,462,88,10,25,2210,3,161,1371,2239,530,100,17,77,4498,11,113,633,826,72,8,3,22,1688,0,61,126,39,3,0,0,12,241,3,33,179,112,7,0,0,8,342,3,13,11,3,0,5,0,0,35,17,220,949,980,82,13,3,42,2306,4,10,14,20,0,0,0,0,48,0,0,0,4,0,0,0,0,4,67,535,3761,18156,15335,3090,606,503,42053
CED234,79,478,4530,24549,10565,1345,223,781,42550,6,166,815,301,22,4,3,49,1366,3,4,28,38,15,0,0,3,91,9,170,843,339,37,4,3,52,1457,22,674,2238,380,17,3,0,190,3524,0,8,25,5,0,0,3,0,41,0,0,3,0,0,0,0,0,3,3,3,11,3,0,0,0,3,23,25,685,2277,388,17,3,3,193,3591,96,283,209,93,32,5,8,60,786,0,8,11,17,8,3,3,0,50,209,1624,7870,25386,10659,1360,240,1086,48434
CED235,60,178,1818,23463,11174,1497,261,685,39136,4,23,404,354,105,11,5,20,926,0,11,167,624,109,20,5,16,952,4,34,571,978,214,31,10,36,1878,7,118,1144,540,19,7,6,47,1888,3,54,70,14,3,0,0,3,147,0,14,10,6,3,0,0,3,36,0,9,5,4,0,0,0,3,21,10,195,1229,564,25,7,6,56,2092,0,4,5,5,4,0,0,0,18,0,0,0,3,0,0,0,0,3,74,411,3623,25013,11417,1535,277,777,43127
CED236,64,570,5721,24883,10343,1609,392,743,44325,3,184,730,199,47,14,0,33,1210,0,5,84,106,13,4,3,6,221,3,189,814,305,60,18,3,39,1431,27,505,1495,227,19,3,0,115,2391,3,48,9,4,3,0,0,8,75,0,7,3,4,3,0,0,0,17,0,9,4,0,3,0,0,0,16,30,569,1511,235,28,3,0,123,2499,39,127,108,98,29,3,9,69,482,0,0,4,3,4,3,5,0,19,136,1455,8158,25524,10464,1636,409,974,48756
