region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED315,0,1274,664,184,243,201,120,46,12,2744,0,357,657,574,825,1166,1047,1006,435,6067,298,469,275,136,165,166,99,46,12,1666,14585,10720,10621,10066,9053,6697,3856,2285,753,68636,0,677,7504,10548,9992,8122,4574,1937,335,43689,0,3235,5163,3050,1939,916,257,41,3,14604,0,437,1390,2090,1703,646,265,227,122,6880,29277,0,0,0,0,0,0,0,0,29277,0,5787,0,0,0,0,0,0,0,5787,0,4497,1371,582,366,138,33,0,0,6987,0,1297,533,279,384,389,270,254,94,3500,0,948,461,212,146,108,36,14,10,1935,0,2650,1629,571,558,421,240,94,18,6181,0,798,1654,1565,2021,2285,1726,1415,576,12040,586,908,625,325,336,300,160,67,17,3324,29863,21234,20330,19222,17445,13325,7561,4049,1175,134204
CED316,0,449,255,155,249,303,182,72,18,1683,0,205,311,362,845,1393,1771,1639,666,7192,264,327,162,117,198,292,252,107,40,1759,12141,6901,6295,8141,8959,9219,7706,4174,1220,64756,0,461,4476,8253,9835,11444,10253,4663,757,50142,0,1597,2427,1908,1599,1149,583,136,18,9417,0,467,1307,2009,1560,508,313,313,159,6636,24577,0,0,0,0,0,0,0,0,24577,0,4421,0,0,0,0,0,0,0,4421,0,3751,1094,582,518,215,45,3,0,6208,0,543,228,144,233,371,301,245,151,2216,0,532,222,171,136,86,39,21,3,1210,0,870,624,378,526,595,386,162,41,3582,0,421,782,1019,1740,2575,2910,2423,990,12860,488,610,395,305,371,515,458,187,52,3381,25065,13673,11555,14769,16518,17458,15288,8153,2171,124650
CED317,0,400,290,129,204,208,98,39,12,1380,0,262,377,399,798,1239,1246,1180,484,5985,299,378,229,188,263,321,199,96,26,1999,15364,7840,8128,9620,9878,8407,5588,2911,881,68617,0,522,5796,10144,11427,10736,7406,3098,474,49603,0,2137,4007,3126,2367,1219,409,79,13,13357,0,500,1258,1822,1492,575,349,315,151,6462,30987,0,0,0,0,0,0,0,0,30987,0,4458,0,0,0,0,0,0,0,4458,0,4564,1297,709,450,207,32,3,0,7262,0,1014,451,313,447,457,373,245,132,3432,0,594,319,184,135,121,54,19,7,1433,0,870,730,382,508,485,260,89,24,3348,0,649,1117,1354,2320,2933,2497,1866,667,13403,628,825,553,426,530,589,374,158,45,4128,31615,16133,15528,18460,19676,17322,11754,5872,1513,137873
CED318,0,802,751,309,378,263,115,32,7,2657,0,438,809,835,1303,1569,1111,791,369,7225,343,433,378,206,237,216,109,36,9,1967,16309,9303,10824,11935,10845,7989,4101,1895,657,73858,0,418,5976,11102,10807,8891,4734,1706,278,43912,0,2336,5654,4337,2926,1514,409,75,3,17254,0,643,1512,2422,2014,868,352,218,121,8150,32740,0,0,0,0,0,0,0,0,32740,0,5060,0,0,0,0,0,0,0,5060,0,4617,1439,595,321,141,26,0,0,7139,0,1340,685,433,523,537,396,253,130,4297,0,562,423,246,175,122,54,12,3,1597,0,1507,1668,816,889,619,311,82,18,5910,0,899,1853,2211,2948,3228,2140,1225,501,15005,683,819,737,491,478,381,201,67,17,3874,33423,18201,19947,22653,21081,16301,8623,3638,1071,144938
CED319,0,928,857,284,265,241,115,63,17,2770,0,233,729,902,1027,1606,1576,1772,913,8758,132,312,240,117,94,133,77,57,26,1188,12202,8913,10597,10936,9363,7464,5296,3969,1588,70328,0,539,7862,12349,10545,8398,5776,3521,743,49733,0,1723,4565,2800,1638,802,235,54,8,11825,0,222,821,1701,1749,859,406,437,287,6482,24825,0,0,0,0,0,0,0,0,24825,0,6299,0,0,0,0,0,0,0,6299,0,4308,1948,754,673,332,49,3,0,8067,0,1023,765,341,311,427,358,282,172,3679,0,806,652,197,152,97,39,15,6,1964,0,1897,2185,768,650,527,236,122,28,6413,0,479,1625,1961,2191,2779,2387,2340,1197,14959,266,578,518,282,201,224,124,78,38,2309,25091,17874,20941,21153,18110,14445,9610,6852,2479,136555
CED320,0,372,239,155,196,241,163,61,6,1433,0,126,269,292,589,1035,1208,1029,452,5000,198,345,158,101,142,161,163,59,23,1350,14621,8848,8221,9593,9022,8150,5686,2789,840,67770,0,673,6593,10672,10998,10785,7629,3060,504,50914,0,2023,3436,2574,1659,989,409,95,15,11200,0,513,1380,2128,1608,624,278,204,105,6840,29461,0,0,0,0,0,0,0,0,29461,0,5901,0,0,0,0,0,0,0,5901,0,5319,1581,671,368,143,22,0,0,8104,0,690,353,177,281,404,342,310,163,2720,0,739,357,229,185,96,44,23,6,1679,0,754,597,385,455,456,319,130,17,3113,0,287,733,948,1392,1911,1973,1553,667,9464,413,662,399,283,280,296,284,97,35,2749,29874,17561,15429,18067,17226,15704,11300,5472,1512,132145
CED321,0,476,310,106,177,215,107,43,9,1443,0,342,474,378,809,1337,1479,1458,622,6899,311,400,256,166,258,295,246,142,56,2130,14846,7107,7813,8996,9368,8674,6147,3335,1052,67338,0,652,6437,10655,11622,11657,8046,3310,526,52905,0,2142,3097,2304,1732,1007,401,108,8,10799,0,406,1078,1552,1220,442,319,303,155,5475,29893,0,0,0,0,0,0,0,0,29893,0,3884,0,0,0,0,0,0,0,3884,0,3632,995,617,442,210,36,0,0,5932,0,623,193,130,257,331,313,234,121,2202,0,599,188,129,128,82,35,13,8,1182,0,1032,700,303,373,421,246,112,21,3208,0,778,1249,1270,2145,2859,2794,2205,878,14178,664,863,569,387,506,578,443,225,75,4310,30557,14611,14506,17347,18425,17587,12633,6510,1792,133968
CED322,0,935,755,254,314,338,194,77,11,2878,0,283,507,483,853,1410,1451,1441,666,7094,150,314,252,111,132,181,130,53,20,1343,12010,8487,8733,9917,9649,8327,5668,3588,1230,67609,0,318,5745,10798,10587,9797,6965,3533,760,48503,0,1287,3978,2558,1637,989,377,113,27,10966,0,203,907,2095,2107,902,307,288,181,6990,24389,0,0,0,0,0,0,0,0,24389,0,6192,0,0,0,0,0,0,0,6192,0,4562,1549,655,415,246,36,3,0,7466,0,771,405,195,240,366,322,300,156,2755,0,683,497,236,174,107,50,14,6,1767,0,1777,1736,681,691,648,399,192,34,6158,0,544,1145,1257,1748,2384,2140,1980,942,12140,310,605,523,285,285,317,216,88,27,2656,24699,16942,16485,18760,17884,15756,10812,6511,2133,129982
CED323,0,2172,1462,392,388,342,198,87,21,5062,0,414,947,692,1006,1665,1755,1617,922,9018,157,370,279,114,134,192,141,70,26,1483,9833,9867,10361,9082,9057,8239,6026,3684,1565,67714,0,486,6042,9041,9189,9151,6764,3409,832,44914,0,2196,4767,2509,1699,1136,446,107,24,12884,0,221,828,1820,1944,852,392,311,223,6591,19732,0,0,0,0,0,0,0,0,19732,0,5124,0,0,0,0,0,0,0,5124,0,3654,1530,731,438,263,49,3,0,6668,0,900,644,240,251,343,294,275,166,3113,0,896,728,258,202,101,59,13,9,2266,0,4019,3460,1079,895,758,467,186,50,10914,0,871,2132,2063,2297,2959,2782,2250,1235,16589,320,686,634,332,290,316,227,113,32,2950,20052,19053,20765,18073,17205,15879,11480,6667,2571,131745
CED324,0,1997,1211,295,241,220,76,34,6,4080,0,235,655,592,701,1073,1072,1138,653,6119,138,321,249,95,92,125,86,60,26,1192,12164,11168,11419,10040,8917,7239,4399,2884,1179,69409,0,774,8993,12403,11127,9189,5499,2684,583,51252,0,1350,3477,1948,1253,564,171,30,7,8800,0,182,679,1351,1640,895,365,339,190,5641,24449,0,0,0,0,0,0,0,0,24449,0,7750,0,0,0,0,0,0,0,7750,0,3732,2437,862,481,232,36,3,0,7783,0,1581,1024,286,304,434,358,294,186,4467,0,1776,1298,268,183,89,40,14,3,3671,0,4242,3220,846,601,492,180,74,21,9676,0,489,1487,1445,1532,1847,1612,1497,821,10730,265,587,527,252,197,212,141,79,37,2297,24714,22463,23142,19661,17318,13954,8402,5014,1848,136516
