region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
CED232,1236,757,2906,43129,35766,10630,6514,24959,13299,134297
CED233,1245,581,2670,24570,25092,13037,10401,22748,5786,101634
CED234,1544,691,3155,19957,24944,13257,12256,23232,9890,103536
CED235,791,425,1611,23194,22919,10724,9722,31826,8924,107309
CED236,1401,719,3146,19863,25165,13857,13298,21079,9108,102370
CED237,1605,862,3674,30156,30754,12139,10120,30752,11458,125379
CED294,28,19,53,1611,1164,388,321,2086,1697,7267
CED297,0,0,0,0,3,3,0,23,6,35
CED301,934,377,1855,21085,27059,13377,12581,22078,9282,105462
CED302,1368,505,2771,27779,31524,13989,10695,21851,7528,113366
CED303,1366,496,2715,25579,31036,14810,11683,20729,7020,110857
CED304,959,420,2219,38817,35255,11262,7576,21274,10603,124787
CED305,759,661,1978,22766,28618,14080,13682,23238,13276,115660
CED306,1027,346,1972,25104,30623,14302,13188,24528,12674,120419
CED307,579,370,1388,25844,31375,14561,11367,17098,5763,106008
CED308,975,688,2342,26545,31227,14140,10966,24081,10372,117331
CED309,1430,542,3001,22510,29709,15168,12365,18938,7502,106192
CED310,1221,680,2892,21214,27460,14278,11773,18926,8111,101762
CED311,539,361,1310,22521,28335,14210,15131,22339,11981,114517
CED312,745,371,1516,24593,29693,13767,11514,22937,9051,111555
CED313,906,570,2309,34996,34990,11840,8122,20277,9681,119906
CED314,1039,832,2769,22642,29044,14465,13156,20886,9189,109382
CED315,722,343,1609,26604,32297,14102,11258,22194,11086,117541
CED316,1294,827,3040,18492,26319,15055,14681,23780,10326,108653
CED317,988,490,2136,21853,28738,14899,15564,25833,14217,121104
CED318,721,376,1559,27645,34228,14790,11792,23969,13992,126416
