region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED204,54921,59262,114183,23862,12217,36079,6682,15267,21949,1936,2186,4122,1774,1632,3406,34254,31302,65556,17846,25115,42961,5.2,5.2,5.2,62.4,52.8,57.4,59.1,50.1,54.4,1083,1073,2156,898,1717,2615,4424,6934,11358,3485,4544,8029,15089,8564,23653,55114,58108,113222,9268,10273,19541,37159,39022,76181,23051,25434,48485
CED205,56193,56434,112627,23967,12985,36952,7101,11031,18132,1973,1689,3662,2445,2085,4530,35486,27790,63276,17762,25801,43563,6.9,7.5,7.2,63.2,49.2,56.2,58.8,45.5,52.2,3042,2261,5303,769,1052,1821,8136,8721,16857,5002,5412,10414,9718,5027,14745,54832,55564,110396,9275,8532,17807,38066,39380,77446,22403,21094,43497
CED206,63617,65861,129478,29928,15413,45341,7018,13642,20660,2719,2205,4924,2758,2432,5190,42423,33692,76115,17648,28509,46157,6.5,7.2,6.8,66.7,51.2,58.8,62.3,47.5,54.8,1170,965,2135,481,841,1322,4609,6245,10854,4049,5198,9247,14403,7950,22353,68843,70141,138984,9083,9477,18560,46670,47678,94348,25521,26515,52036
CED207,51278,54429,105707,28159,13584,41743,6053,16032,22085,2053,2143,4196,1387,1360,2747,37652,33119,70771,11782,19449,31231,3.7,4.1,3.9,73.4,60.8,67.0,70.7,58.3,64.4,1047,947,1994,706,1308,2014,4653,6720,11373,4039,5852,9891,16053,7840,23893,55161,57612,112773,6598,6994,13592,39344,40674,80018,18660,20046,38706
CED208,57006,61010,118016,24033,14481,38514,8158,13870,22028,1610,1841,3451,2523,2131,4654,36324,32323,68647,17731,26106,43837,6.9,6.6,6.8,63.7,53.0,58.2,59.3,49.5,54.2,4986,4052,9038,1256,2112,3368,12403,13554,25957,5591,6446,12037,7616,4287,11903,53198,57086,110284,11101,11155,22256,34964,38524,73488,25947,26389,52336
CED209,55068,58999,114067,25777,12320,38097,7087,16553,23640,2099,2258,4357,1596,1445,3041,36559,32576,69135,16155,24115,40270,4.4,4.4,4.4,66.4,55.2,60.6,63.5,52.8,57.9,1701,1410,3111,904,1789,2693,6358,8975,15333,4525,6128,10653,15301,7935,23236,56136,58722,114858,9569,10346,19915,37035,38614,75649,24679,26643,51322
CED210,51606,55646,107252,23541,11558,35099,5469,14169,19638,1918,1914,3832,2017,1766,3783,32945,29407,62352,15999,23668,39667,6.1,6.0,6.1,63.8,52.8,58.1,59.9,49.7,54.6,1001,920,1921,552,1115,1667,4381,6201,10582,3231,4624,7855,13525,7945,21470,51579,54805,106384,8503,9381,17884,35216,37329,72545,20916,23120,44036
CED211,49463,54339,103802,24446,13558,38004,6153,13548,19701,1598,1927,3525,1589,1376,2965,33786,30409,64195,13640,21723,35363,4.7,4.5,4.6,68.3,56.0,61.8,65.1,53.4,59.0,2845,2347,5192,1155,1959,3114,8661,10409,19070,4753,5713,10466,10137,5499,15636,51003,54767,105770,7413,7715,15128,35535,38429,73964,19156,20385,39541
CED212,54071,59125,113196,26068,13462,39530,6268,15069,21337,2019,2071,4090,1892,1802,3694,36247,32404,68651,14973,23610,38583,5.2,5.6,5.4,67.0,54.8,60.6,63.5,51.8,57.4,1185,1054,2239,676,1358,2034,5063,7062,12125,4398,6072,10470,15188,8332,23520,54567,58175,112742,8823,9448,18271,36476,38762,75238,22903,25009,47912
CED213,56038,59114,115152,24917,11254,36171,6881,15293,22174,2108,2050,4158,1536,1400,2936,35442,29997,65439,17482,25812,43294,4.3,4.7,4.5,63.2,50.7,56.8,60.5,48.4,54.3,874,834,1708,631,1181,1812,4062,6056,10118,3933,5660,9593,17349,8376,25725,55737,57948,113685,9388,9754,19142,36686,37804,74490,24635,26108,50743
CED214,61295,61559,122854,28974,17385,46359,7410,12993,20403,2100,2186,4286,2561,2119,4680,41045,34683,75728,15597,22969,38566,6.2,6.1,6.2,67.0,56.3,61.6,62.8,52.9,57.8,3192,2914,6106,1094,2102,3196,9698,11240,20938,4794,5238,10032,10912,5398,16310,57350,58486,115836,11022,10668,21690,37321,38955,76276,26473,25624,52097
CED215,54958,57177,112135,23265,10944,34209,5730,14320,20050,2182,2071,4253,2165,1675,3840,33342,29010,62352,18622,25342,43964,6.5,5.8,6.2,60.7,50.7,55.6,56.7,47.8,52.2,673,685,1358,555,1153,1708,3140,5396,8536,3196,4334,7530,16726,8366,25092,54580,56379,110959,8821,9713,18534,36859,37662,74521,22509,24540,47049
CED216,51451,57430,108881,25703,13983,39686,6890,15324,22214,1564,1978,3542,1524,1320,2844,35681,32605,68286,13398,22335,35733,4.3,4.0,4.2,69.4,56.8,62.7,66.4,54.5,60.1,4387,3585,7972,1445,2508,3953,12730,13692,26422,5066,6633,11699,7017,4158,11175,52921,57488,110409,8398,9036,17434,35898,39684,75582,21756,23248,45004
CED217,73213,74562,147775,36014,19286,55300,8049,15690,23739,3008,2810,5818,3229,2988,6217,50300,40774,91074,18532,29581,48113,6.4,7.3,6.8,68.7,54.7,61.6,64.3,50.7,57.4,1755,1534,3289,632,995,1627,7549,9769,17318,4967,6073,11040,14651,8009,22660,77667,78949,156616,10100,10126,20226,51771,52817,104588,29366,29896,59262
CED218,53745,58687,112432,27822,18649,46471,7234,13425,20659,1555,1916,3471,1679,1653,3332,38290,35643,73933,11963,19789,31752,4.4,4.6,4.5,71.2,60.7,65.8,68.1,57.9,62.8,5740,4824,10564,1559,2736,4295,15904,17389,33293,4687,6383,11070,5185,3513,8698,48487,52347,100834,10882,11970,22852,30628,33678,64306,25609,27672,53281
CED219,71842,73622,145464,38872,19706,58578,7605,16770,24375,2855,2535,5390,2964,3128,6092,52296,42139,94435,16424,28338,44762,5.7,7.4,6.5,72.8,57.2,64.9,68.7,53.0,60.7,1630,1450,3080,576,894,1470,5922,7619,13541,5254,6838,12092,17859,10246,28105,77793,78317,156110,12129,12460,24589,48987,49250,98237,33744,34660,68404
CED220,54116,56359,110475,24932,14171,39103,7026,12647,19673,1812,1888,3700,2021,1780,3801,35791,30486,66277,15585,23432,39017,5.6,5.8,5.7,66.1,54.1,60.0,62.4,50.9,56.6,2553,2311,4864,826,1363,2189,8185,9493,17678,4806,5337,10143,9919,4982,14901,54620,56499,111119,7993,7906,15899,38138,40403,78541,20468,20384,40852
CED221,50809,53047,103856,23895,11854,35749,5976,14032,20008,2043,2056,4099,1554,1365,2919,33468,29307,62775,15066,21600,36666,4.6,4.7,4.6,65.9,55.2,60.4,62.8,52.7,57.6,731,799,1530,660,1276,1936,3397,5677,9074,3468,4769,8237,14783,8450,23233,51360,53052,104412,8624,9101,17725,35903,36418,72321,20434,22226,42660
CED222,60957,64868,125825,31029,17242,48271,6650,14950,21600,2192,2272,4464,2092,2017,4109,41963,36481,78444,15768,25250,41018,5.0,5.5,5.2,68.8,56.2,62.3,65.4,53.1,59.1,1794,1650,3444,791,1419,2210,6839,8747,15586,5011,6105,11116,13821,7576,21397,62281,65323,127604,9625,10016,19641,41366,43559,84925,25574,27019,52593
CED223,50757,55188,105945,25569,14105,39674,6591,15248,21839,1711,2116,3827,1611,1326,2937,35482,32795,68277,13219,20262,33481,4.5,4.0,4.3,69.9,59.4,64.4,66.7,57.0,61.7,3303,2712,6015,1355,2491,3846,9043,11137,20180,4498,5500,9998,10809,5309,16118,52848,56341,109189,6989,7368,14357,38353,41089,79442,17872,19067,36939
CED224,51103,56735,107838,24960,15483,40443,7371,14293,21664,1479,1865,3344,1642,1437,3079,35452,33078,68530,13211,21265,34476,4.6,4.3,4.5,69.4,58.3,63.5,66.2,55.8,60.7,6305,4773,11078,1597,2724,4321,14823,16385,31208,4310,6007,10317,4548,3267,7815,49751,54278,104029,9209,10113,19322,33121,36607,69728,22996,24981,47977
CED225,56137,59275,115412,30994,15607,46601,6498,16979,23477,2065,2209,4274,1705,1736,3441,41262,36531,77793,12438,20342,32780,4.1,4.8,4.4,73.5,61.6,67.4,70.5,58.7,64.4,1475,1341,2816,820,1568,2388,5715,8132,13847,4594,6360,10954,16641,8288,24929,60267,62072,122339,7991,8503,16494,40190,41208,81398,23671,25169,48840
CED226,82591,84530,167121,45005,23702,68707,8494,18778,27272,3277,3130,6407,3442,3710,7152,60218,49320,109538,17775,30851,48626,5.7,7.5,6.5,72.9,58.3,65.5,68.7,54.0,61.3,3273,2570,5843,916,1332,2248,7977,10531,18508,5946,7265,13211,19564,11499,31063,81959,82889,164848,18527,19325,37852,47859,48376,96235,43993,45667,89660
CED227,50351,52401,102752,23182,11167,34349,5040,12436,17476,1880,1869,3749,1615,1312,2927,31717,26784,58501,15697,22811,38508,5.1,4.9,5.0,63.0,51.1,56.9,59.8,48.6,54.1,409,388,797,383,906,1289,2431,4685,7116,2422,3769,6191,12335,7240,19575,51692,52786,104478,7961,8457,16418,36497,36981,73478,19314,20710,40024
CED228,52246,55090,107336,23053,13355,36408,6416,11386,17802,1769,1832,3601,2066,1828,3894,33304,28401,61705,15595,23426,39021,6.2,6.4,6.3,63.7,51.6,57.5,59.8,48.2,53.9,1888,1735,3623,762,1318,2080,7004,8346,15350,3949,4362,8311,9643,4775,14418,51452,53880,105332,7590,7742,15332,36478,38928,75406,19029,19362,38391
CED229,69476,71693,141169,37696,17892,55588,7814,20777,28591,2863,2978,5841,1862,1990,3852,50235,43637,93872,16117,25110,41227,3.7,4.6,4.1,72.3,60.9,66.5,69.6,58.1,63.8,1694,1569,3263,973,1923,2896,6288,9439,15727,5075,7461,12536,21057,10232,31289,72976,73812,146788,12538,13012,25550,46924,46756,93680,32725,34410,67135
CED230,53317,56813,110130,25595,11668,37263,5716,14570,20286,2155,2066,4221,1744,1667,3411,35210,29971,65181,15562,24238,39800,5.0,5.6,5.2,66.0,52.8,59.2,62.8,49.8,56.1,718,708,1426,507,1110,1617,3232,5371,8603,3097,4922,8019,16711,8902,25613,53970,56234,110204,10139,10919,21058,34741,35864,70605,24892,27173,52065
CED231,77664,81081,158745,35948,28422,64370,10078,15820,25898,2148,2753,4901,3531,3342,6873,51705,50337,102042,18020,24088,42108,6.8,6.6,6.7,66.6,62.1,64.3,62.0,58.0,60.0,7573,7985,15558,2226,3730,5956,21463,24001,45464,5464,6254,11718,6879,4632,11511,56616,59372,115988,20820,22780,43600,29497,31248,60745,44188,47308,91496
CED232,65928,68368,134296,35151,26201,61352,7988,13920,21908,1998,2437,4435,2097,1969,4066,47234,44527,91761,12768,18744,31512,4.4,4.4,4.4,71.6,65.1,68.3,68.5,62.2,65.3,6248,6035,12283,1789,3144,4933,18925,20673,39598,5523,7066,12589,7479,4602,12081,52665,54754,107419,15566,16564,32130,28829,30731,59560,35960,37237,73197
CED233,48778,52854,101632,23345,12625,35970,6323,13530,19853,1529,1670,3199,1541,1310,2851,32738,29135,61873,14385,21840,36225,4.7,4.5,4.6,67.1,55.1,60.9,64.0,52.6,58.1,3101,2243,5344,1021,1573,2594,9720,10690,20410,4531,5563,10094,8624,4555,13179,51507,54439,105946,5670,6037,11707,38532,40895,79427,15912,16971,32883
CED234,50780,52756,103536,22963,11303,34266,5039,12863,17902,2030,1929,3959,1680,1333,3013,31712,27428,59140,16140,22503,38643,5.3,4.9,5.1,62.4,52.0,57.1,59.1,49.5,54.2,466,519,985,407,906,1313,2578,4651,7229,2393,3799,6192,13151,7260,20411,52263,53326,105589,8048,8548,16596,36288,36395,72683,19991,21640,41631
CED235,52677,54632,107309,24942,12880,37822,5692,12373,18065,2029,1814,3843,1975,1791,3766,34638,28858,63496,15321,23139,38460,5.7,6.2,5.9,65.8,52.8,59.2,62.0,49.5,55.7,1393,1124,2517,466,762,1228,4935,6086,11021,3527,4369,7896,11126,5905,17031,55111,56565,111676,6742,6904,13646,40401,41457,81858,17701,18425,36126
CED236,50363,52007,102370,23559,10870,34429,5721,14036,19757,2086,2040,4126,1444,1184,2628,32810,28130,60940,15077,21413,36490,4.4,4.2,4.3,65.1,54.1,59.5,62.3,51.8,57.0,560,597,1157,484,1041,1525,2952,5359,8311,2691,4178,6869,13408,7345,20753,51537,52726,104263,7567,8067,15634,36858,37246,74104,18656,20212,38868
CED237,60971,64406,125377,27243,17445,44688,8036,13722,21758,2238,2334,4572,2408,1920,4328,39925,35421,75346,16882,25322,42204,6.0,5.4,5.7,65.5,55.0,60.1,61.5,52.0,56.6,3505,3552,7057,1255,2408,3663,10108,12398,22506,4825,5189,10014,10144,5130,15274,57910,60993,118903,10669,10912,21581,38842,42035,80877,25392,25760,51152
CED294,4134,3135,7269,1000,535,1535,325,421,746,116,85,201,403,295,698,1844,1336,3180,1256,1300,2556,21.9,22.1,21.9,44.6,42.6,43.8,34.8,33.2,34.1,107,134,241,37,64,101,426,515,941,200,226,426,732,365,1097,759,517,1276,2634,2406,5040,497,308,805,2729,2464,5193
CED297,36,0,36,29,0,29,0,0,0,3,0,3,0,0,0,32,0,32,3,0,3,0,0,0,84.2,0,84.2,84.2,0,84.2,3,0,3,0,0,0,3,0,3,3,0,3,13,0,13,22,0,22,10,0,10,17,0,17,15,0,15
CED301,52173,53289,105462,24844,13640,38484,4986,11705,16691,2045,1868,3913,2407,2072,4479,34282,29285,63567,14878,21351,36229,7.0,7.1,7.0,65.7,55.0,60.3,61.1,51.1,56.0,607,601,1208,383,647,1030,2725,4533,7258,2856,3846,6702,14923,8428,23351,51313,52009,103322,11507,12099,23606,31019,31208,62227,26683,28077,54760
CED302,54544,58821,113365,28380,17597,45977,6558,14241,20799,1867,2131,3998,2025,1756,3781,38830,35725,74555,13040,20725,33765,5.2,4.9,5.1,71.2,60.7,65.8,67.5,57.7,62.4,2376,2028,4404,854,1445,2299,7982,10013,17995,4377,5558,9935,13029,6735,19764,54289,57763,112052,10616,11112,21728,33838,36474,70312,26731,28355,55086
CED303,53507,57350,110857,27481,15577,43058,6091,14872,20963,1913,2022,3935,1987,1862,3849,37472,34333,71805,13830,20964,34794,5.3,5.4,5.4,70.0,59.9,64.8,66.3,56.6,61.3,1198,972,2170,544,916,1460,4645,6450,11095,4078,5847,9925,16716,8393,25109,54471,56976,111447,10201,10809,21010,33656,35028,68684,26941,28953,55894
CED304,62370,62418,124788,33775,23696,57471,8146,14427,22573,1824,2295,4119,2225,1898,4123,45970,42316,88286,11459,16369,27828,4.8,4.5,4.7,73.7,67.8,70.7,70.1,64.8,67.4,5141,4457,9598,1474,2515,3989,15885,17393,33278,4972,5876,10848,9263,5302,14565,49122,49865,98987,17298,17682,34980,26115,27173,53288,36746,37122,73868
CED305,59333,56326,115659,31995,15794,47789,4718,13085,17803,2652,2221,4873,1543,1518,3061,40908,32618,73526,12777,20021,32798,3.8,4.7,4.2,68.9,57.9,63.6,66.3,55.2,60.9,819,701,1520,433,725,1158,3491,5849,9340,2399,3493,5892,17761,7771,25532,54998,53700,108698,13105,12851,25956,33536,32552,66088,29509,29424,58933
CED306,61772,58646,120418,34496,17204,51700,5002,14388,19390,2622,2139,4761,1514,1697,3211,43634,35428,79062,12575,19906,32481,3.5,4.8,4.1,70.6,60.4,65.7,68.2,57.5,63.0,829,771,1600,378,744,1122,3593,6123,9716,2888,4199,7087,19803,8261,28064,56805,55541,112346,13282,13413,26695,35090,34040,69130,30255,30408,60663
CED307,51918,54090,106008,29519,16348,45867,6088,15045,21133,1989,2213,4202,1874,1661,3535,39470,35267,74737,10550,17080,27630,4.7,4.7,4.7,76.0,65.2,70.5,72.4,62.1,67.2,1452,1215,2667,720,1237,1957,5556,7638,13194,4442,5401,9843,15111,7730,22841,55505,56726,112231,9178,9497,18675,35320,35941,71261,24664,25942,50606
CED308,56696,60635,117331,26901,15676,42577,7137,14879,22016,1807,1897,3704,2904,2558,5462,38749,35010,73759,14230,22037,36267,7.5,7.3,7.4,68.3,57.7,62.9,63.2,53.5,58.2,1364,1265,2629,428,828,1256,4770,6701,11471,4035,6221,10256,16355,8921,25276,52906,55370,108276,13368,14574,27942,27811,29219,57030,33838,36263,70101
CED309,50717,55475,106192,21671,12200,33871,7173,15017,22190,1798,1783,3581,2290,2089,4379,32932,31089,64021,15235,22236,37471,7.0,6.7,6.8,64.9,56.0,60.3,60.4,52.3,56.2,1167,1056,2223,611,1109,1720,4799,7157,11956,3859,5954,9813,15541,8377,23918,49514,52829,102343,10906,12171,23077,29115,31202,60317,27392,30161,57553
CED310,48528,53235,101763,19859,11243,31102,6432,13519,19951,1689,1596,3285,2242,1973,4215,30222,28331,58553,15588,22369,37957,7.4,7.0,7.2,62.3,53.2,57.5,57.7,49.5,53.4,972,874,1846,542,932,1474,4034,6030,10064,3531,5183,8714,14946,7823,22769,46069,49188,95257,10868,12100,22968,26314,27845,54159,27263,30143,57406
CED311,59597,54920,114517,33384,14920,48304,4293,12946,17239,2790,2126,4916,1667,1561,3228,42134,31553,73687,12421,19891,32312,4.0,4.9,4.4,70.7,57.5,64.3,67.9,54.6,61.5,525,508,1033,317,637,954,2867,5109,7976,2441,3648,6089,18469,8084,26553,56487,53222,109709,13611,12977,26588,34683,32026,66709,30061,29317,59378
CED312,54488,57068,111556,28016,15755,43771,6090,13708,19798,2022,1898,3920,2525,2440,4965,38653,33801,72454,12741,20406,33147,6.5,7.2,6.9,70.9,59.2,64.9,66.3,55.0,60.5,683,690,1373,324,622,946,3183,5226,8409,3110,4932,8042,16400,9133,25533,55016,56518,111534,11724,12559,24283,31344,31474,62818,30038,32425,62463
CED313,59216,60689,119905,31784,22132,53916,7754,14345,22099,1879,2216,4095,2154,1879,4033,43571,40572,84143,11463,16822,28285,4.9,4.6,4.8,73.6,66.9,70.2,69.9,63.8,66.8,4213,3976,8189,1367,2233,3600,13261,15509,28770,4818,5848,10666,10621,5546,16167,50144,51551,101695,15319,15781,31100,27747,29448,57195,33833,34265,68098
CED314,52411,56972,109383,26450,14327,40777,5466,13982,19448,2000,1908,3908,1653,1540,3193,35569,31757,67326,13948,22302,36250,4.6,4.8,4.7,67.9,55.7,61.6,64.7,53.0,58.6,1412,1199,2611,553,1002,1555,4538,7011,11549,3197,4576,7773,13720,8035,21755,51820,55227,107047,11750,12586,24336,30959,32987,63946,27979,30251,58230
CED315,58192,59350,117542,30551,18644,49195,5900,13787,19687,2527,2455,4982,2144,2143,4287,41122,37029,78151,12462,18714,31176,5.2,5.8,5.5,70.7,62.4,66.5,67.0,58.8,62.8,1179,1243,2422,433,900,1333,4522,7826,12348,3194,4424,7618,17044,8482,25526,53412,54080,107492,14616,15414,30030,30343,30400,60743,32583,34245,66828
CED316,51917,56735,108652,17641,10444,28085,5164,11260,16424,1678,1548,3226,2881,2454,5335,27364,25706,53070,21378,27962,49340,10.5,9.5,10.1,52.7,45.3,48.8,47.2,41.0,43.9,565,549,1114,356,691,1047,2679,4641,7320,2509,3840,6349,15345,8349,23694,50114,53088,103202,11241,12550,23791,29688,31225,60913,27601,30569,58170
CED317,62272,58832,121104,29344,15328,44672,5484,12781,18265,2799,2200,4999,2453,1989,4442,40080,32298,72378,16691,22458,39149,6.1,6.2,6.1,64.4,54.9,59.8,60.4,51.5,56.1,566,627,1193,311,671,982,2882,5207,8089,2389,3899,6288,18004,7877,25881,60308,57910,118218,11874,11906,23780,39815,37497,77312,27035,27421,54456
CED318,62676,63739,126415,28734,19427,48161,7756,14513,22269,2627,2482,5109,3125,2535,5660,42242,38957,81199,14771,20008,34779,7.4,6.5,7.0,67.4,61.1,64.2,62.4,57.1,59.8,1171,1347,2518,579,1075,1654,5131,8146,13277,4147,5749,9896,17770,9384,27154,57979,58423,116402,15009,16184,31193,34506,34214,68720,32709,35112,67821
CED319,57562,61994,119556,29606,19166,48772,6902,14325,21227,2085,2382,4467,2136,1740,3876,40729,37613,78342,13818,21457,35275,5.2,4.6,4.9,70.8,60.7,65.5,67.0,57.9,62.3,2224,1986,4210,929,1497,2426,8289,10713,19002,4485,5685,10170,13577,7184,20761,55409,58869,114278,11331,11749,23080,34775,37586,72361,27462,28856,56318
CED320,53893,56666,110559,24064,13094,37158,5649,13152,18801,2053,1899,3952,2469,2270,4739,34235,30415,64650,16370,23238,39608,7.2,7.5,7.3,63.5,53.7,58.5,58.9,49.7,54.2,540,532,1072,355,597,952,2618,4330,6948,3074,4589,7663,16350,9340,25690,53236,54976,108212,11385,12629,24014,30849,31820,62669,28772,31188,59960
CED321,57627,57688,115315,28937,14646,43583,5080,13375,18455,2371,2049,4420,1596,1340,2936,37984,31410,69394,15676,23032,38708,4.2,4.3,4.2,65.9,54.4,60.2,63.1,52.1,57.6,452,448,900,303,691,994,2717,5497,8214,2544,4001,6545,14246,8113,22359,57259,56580,113839,11607,12335,23942,36853,35830,72683,26914,28338,55252
CED322,54655,60408,115063,23802,14519,38321,7658,15675,23333,1818,1932,3750,2778,2409,5187,36056,34535,70591,14889,22119,37008,7.7,7.0,7.3,66.0,57.2,61.4,60.9,53.2,56.8,1364,1321,2685,493,916,1409,5377,7368,12745,4028,6084,10112,15511,8583,24094,51143,54811,105954,11983,13413,25396,29816,32018,61834,29432,32360,61792
CED323,61383,64466,125849,25240,16099,41339,8779,14902,23681,1933,2000,3933,3226,2722,5948,39178,35723,74901,16108,23003,39111,8.2,7.6,7.9,63.8,55.4,59.5,58.6,51.2,54.8,1766,1601,3367,491,838,1329,6661,8316,14977,4501,6474,10975,14934,8366,23300,50643,52989,103632,14470,15411,29881,29064,31173,60237,32451,33727,66178
CED324,59053,61123,120176,27172,16510,43682,8330,14211,22541,1936,2144,4080,2647,2323,4970,40085,35188,75273,15601,22973,38574,6.6,6.6,6.6,67.9,57.6,62.6,63.4,53.8,58.5,4476,3820,8296,975,1668,2643,10981,12865,23846,4607,5548,10155,10554,5413,15967,54867,56903,111770,12523,12678,25201,33602,35691,69293,29524,29799,59323
CED325,54609,56169,110778,27963,16537,44500,5686,12331,18017,1867,1977,3844,2444,2355,4799,37960,33200,71160,14014,20497,34511,6.4,7.1,6.7,69.5,59.1,64.2,65.0,54.9,59.9,2133,1531,3664,578,871,1449,5817,7542,13359,3676,4777,8453,12048,7317,19365,54479,56530,111009,11434,11859,23293,31363,32708,64071,28986,30447,59433
CED326,52758,58296,111054,25597,15328,40925,5757,13083,18840,1969,2002,3971,2196,1977,4173,35519,32390,67909,14321,23143,37464,6.2,6.1,6.1,67.3,55.6,61.1,63.2,52.2,57.4,1074,951,2025,493,897,1390,4437,6520,10957,3737,5134,8871,14770,8332,23102,51012,55072,106084,12218,13246,25464,29175,31697,60872,29403,32105,61508
CED327,62905,65646,128551,31965,18821,50786,7051,14409,21460,2532,2445,4977,3211,2932,6143,44759,38607,83366,14416,23650,38066,7.2,7.6,7.4,71.2,58.8,64.9,66.0,54.3,60.1,1682,1401,3083,441,739,1180,5352,7477,12829,3692,5160,8852,15516,9413,24929,64188,65878,130066,13123,13685,26808,37726,38507,76233,32985,34769,67754
CED328,58806,62556,121362,29717,17885,47602,8420,16990,25410,1900,2335,4235,2264,2051,4315,42301,39261,81562,14091,20862,34953,5.4,5.2,5.3,71.9,62.8,67.2,68.1,59.5,63.7,6549,5149,11698,1419,2346,3765,14440,16132,30572,4843,5984,10827,8606,4982,13588,55173,57819,112992,14017,14309,28326,33251,35569,68820,32070,32981,65051
CED329,53515,55949,109464,19167,10505,29672,6574,13095,19669,1881,1648,3529,2516,2048,4564,30138,27296,57434,20076,25465,45541,8.3,7.5,7.9,56.3,48.8,52.5,51.6,45.1,48.3,723,693,1416,394,855,1249,3328,5112,8440,3095,4852,7947,15702,8356,24058,52547,54128,106675,9819,10739,20558,33527,34211,67738,24949,27017,51966
CED330,52510,53784,106294,25945,13488,39433,6045,14049,20094,2086,1860,3946,2046,1885,3931,36122,31282,67404,13506,19986,33492,5.7,6.0,5.8,68.8,58.2,63.4,64.9,54.7,59.7,862,804,1666,360,688,1048,3251,5399,8650,2974,4751,7725,16012,7984,23996,55243,55481,110724,9163,9687,18850,35001,34630,69631,24930,26571,51501
CED394,6606,4879,11485,1534,714,2248,458,526,984,208,151,359,573,398,971,2773,1789,4562,2659,2550,5209,20.7,22.2,21.3,42.0,36.7,39.7,33.3,28.5,31.3,124,114,238,33,75,108,469,635,1104,330,391,721,1627,601,2228,1476,904,2380,4300,3768,8068,876,524,1400,4652,3960,8612
CED397,265,188,453,120,37,157,15,31,46,20,16,36,5,3,8,160,87,247,56,69,125,3.1,3.4,3.2,60.2,46.8,54.6,58.3,45.2,52.9,3,4,7,0,0,0,13,12,25,18,8,26,75,29,104,176,138,314,48,29,77,111,106,217,108,61,169
CED401,62930,64930,127860,27298,17348,44646,8779,15349,24128,1913,2255,4168,2637,2071,4708,40627,37023,77650,18271,24546,42817,6.5,5.6,6.1,64.6,57.0,60.7,60.4,53.8,57.0,4803,3898,8701,1259,2124,3383,12831,14309,27140,4691,5666,10357,9425,5811,15236,55331,57974,113305,13533,13702,27235,34338,36849,71187,30695,31070,61765
CED402,59741,59653,119394,27810,12683,40493,6442,15932,22374,2578,2276,4854,2175,1690,3865,39005,32581,71586,17961,24482,42443,5.6,5.2,5.4,65.3,54.6,60.0,61.6,51.8,56.7,440,387,827,358,726,1084,2591,4801,7392,2499,4005,6504,15397,9135,24532,61035,61096,122131,9056,9239,18295,42346,41759,84105,23317,24472,47789
CED403,53196,58931,112127,23839,13884,37723,7524,15634,23158,1705,2175,3880,1850,1468,3318,34918,33161,68079,16369,23829,40198,5.3,4.4,4.9,65.6,56.3,60.7,62.2,53.8,57.8,3158,2509,5667,1097,1843,2940,8916,11410,20326,4775,5736,10511,11661,6203,17864,53337,57556,110893,8283,9237,17520,36941,40185,77126,21383,23383,44766
