region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED101,5419,1406,3014,58,0,9897,22225,4376,10260,135,16,37012,724,133,340,7,0,1204,556,180,530,19,4,1289,23505,4689,11130,161,20,39505,1033,299,648,10,0,1990,29957,6394,14792,229,20,51392
CED102,6256,1211,2757,101,18,10343,19811,3785,10894,249,83,34822,698,155,437,14,0,1304,626,156,735,17,7,1541,21135,4096,12066,280,90,37667,1026,183,625,26,0,1860,28417,5490,15448,407,108,49870
CED103,4186,1062,2454,22,4,7728,24630,5814,10870,56,20,41390,651,166,365,3,0,1185,520,177,677,5,0,1379,25801,6157,11912,64,20,43954,878,221,510,4,4,1617,30865,7440,14876,90,28,53299
CED104,3103,465,384,58,10,4020,32367,2150,890,118,32,35557,861,66,33,0,3,963,567,78,74,5,0,724,33795,2294,997,123,35,37244,953,86,71,13,0,1123,37851,2845,1452,194,45,42387
CED105,7622,1582,2926,59,11,12200,20527,4428,5987,91,47,31080,829,190,282,5,3,1309,824,220,453,8,3,1508,22180,4838,6722,104,53,33897,1471,353,670,8,6,2508,31273,6773,10318,171,70,48605
CED106,2532,419,1748,5,14,4718,29452,1979,8932,31,44,40438,574,73,288,0,3,938,427,71,472,0,3,973,30453,2123,9692,31,50,42349,764,116,332,0,3,1215,33749,2658,11772,36,67,48282
CED107,11999,1134,1105,160,10,14408,30481,1311,940,145,39,32916,1786,71,64,8,4,1933,1708,174,178,26,4,2090,33975,1556,1182,179,47,36939,1612,177,168,83,5,2045,47586,2867,2455,422,62,53392
CED108,8357,1211,783,194,5,10550,30360,1554,815,135,26,32890,1240,100,53,10,0,1403,1268,112,67,14,0,1461,32868,1766,935,159,26,35754,1354,164,126,32,0,1676,42579,3141,1844,385,31,47980
CED109,8283,1341,870,95,3,10592,29447,4096,1076,97,12,34728,1022,126,56,10,0,1214,1382,251,112,19,0,1764,31851,4473,1244,126,12,37706,1847,289,202,21,0,2359,41981,6103,2316,242,15,50657
CED110,4169,1387,2942,57,3,8558,24040,4520,9478,106,5,38149,745,185,471,3,3,1407,537,225,1052,11,3,1828,25322,4930,11001,120,11,41384,862,246,557,7,0,1672,30353,6563,14500,184,14,51614
CED111,10248,1265,1545,712,4,13774,28371,2119,1632,527,13,32662,1576,143,114,46,3,1882,1260,169,226,52,3,1710,31207,2431,1972,625,19,36254,1403,199,235,88,3,1928,42858,3895,3752,1425,26,51956
CED112,6417,2033,2572,189,8,11219,26308,4577,6130,209,30,37254,1192,258,316,12,5,1783,911,323,676,36,0,1946,28411,5158,7122,257,35,40983,1090,319,462,43,0,1914,35918,7510,10156,489,43,54116
CED113,7634,1955,1381,325,7,11302,28865,3003,1410,175,13,33466,1223,170,95,19,3,1510,1376,220,166,42,3,1807,31464,3393,1671,236,19,36783,1364,257,198,56,3,1878,40462,5605,3250,617,29,49963
CED114,8520,1281,1522,289,26,11638,28880,2646,2455,348,41,34370,1695,148,141,24,4,2012,1297,269,364,24,6,1960,31872,3063,2960,396,51,38342,1249,206,211,72,37,1775,41641,4550,4693,757,114,51755
CED115,12169,686,1900,264,33,15052,28427,770,2000,268,73,31538,1586,45,110,15,5,1761,1501,104,310,25,4,1944,31514,919,2420,308,82,35243,1803,109,307,64,3,2286,45486,1714,4627,636,118,52581
CED116,7101,1635,2099,12,11,10858,22039,3413,2230,26,31,27739,859,169,146,3,0,1177,1018,219,257,3,4,1501,23916,3801,2633,32,35,30417,1559,323,399,5,0,2286,32576,5759,5131,49,46,43561
CED117,9656,1014,1058,390,25,12143,29540,1716,1102,303,29,32690,1873,140,104,19,3,2139,1287,156,130,14,0,1587,32700,2012,1336,336,32,36416,1386,144,150,64,8,1752,43742,3170,2544,790,65,50311
CED118,4055,1592,3496,96,10,9249,16044,10088,15185,406,82,41805,468,253,602,15,0,1338,563,523,1346,39,5,2476,17075,10864,17133,460,87,45619,656,366,756,20,6,1804,21786,12822,21385,576,103,56672
CED119,5701,898,818,61,14,7492,30812,4465,2385,84,38,37784,878,138,97,9,0,1122,1128,234,184,6,3,1555,32818,4837,2666,99,41,40461,1367,241,181,11,4,1804,39886,5976,3665,171,59,49757
CED120,4589,885,1398,40,4,6916,28675,3403,3168,48,19,35313,888,117,192,7,4,1208,717,175,319,12,0,1223,30280,3695,3679,67,23,37744,1042,189,292,4,0,1527,35911,4769,5369,111,27,46187
CED121,10990,738,702,224,11,12665,30945,679,460,283,43,32410,1863,43,31,16,3,1956,1540,69,92,35,3,1739,34348,791,583,334,49,36105,1568,80,105,64,5,1822,46906,1609,1390,622,65,50592
CED122,10263,800,861,220,12,12156,29829,1274,813,182,24,32122,1473,56,42,11,0,1582,1484,147,138,23,0,1792,32786,1477,993,216,24,35496,1551,122,116,44,6,1839,44600,2399,1970,480,42,49491
CED123,3493,1329,5222,49,11,10104,14096,6417,20960,191,66,41730,426,201,803,9,5,1444,370,247,1749,17,5,2388,14892,6865,23512,217,76,45562,667,304,1155,5,3,2134,19052,8498,29889,271,90,57800
CED124,6634,1551,1190,79,44,9498,29589,4015,2225,73,25,35927,974,146,89,3,3,1215,1329,309,318,12,0,1968,31892,4470,2632,88,28,39110,1361,274,231,13,11,1890,39887,6295,4053,180,83,50498
CED125,9818,1644,1767,576,6,13811,26977,2292,1817,431,26,31543,1488,159,117,31,3,1798,1078,166,244,52,3,1543,29543,2617,2178,514,32,34884,1255,215,290,52,3,1815,40616,4476,4235,1142,41,50510
CED126,5766,1067,603,59,9,7504,29771,2132,794,62,26,32785,1175,114,59,3,0,1351,1467,192,101,4,3,1767,32413,2438,954,69,29,35903,1307,136,94,5,3,1545,39486,3641,1651,133,41,44952
CED127,3072,849,2409,52,4,6386,27617,2877,7898,149,23,38564,821,116,386,5,0,1328,634,96,724,23,0,1477,29072,3089,9008,177,23,41369,904,195,470,20,0,1589,33048,4133,11887,249,27,49344
CED128,6539,1064,507,125,3,8238,33466,1896,631,114,26,36133,1362,113,44,4,0,1523,1208,163,90,24,4,1489,36036,2172,765,142,30,39145,1250,125,66,23,3,1467,43825,3361,1338,290,36,48850
CED129,6824,987,867,56,4,8738,26205,3153,1469,65,20,30912,958,141,93,0,4,1196,985,154,109,3,0,1251,28148,3448,1671,68,24,33359,1447,232,152,7,0,1838,36419,4667,2690,131,28,43935
CED130,2674,644,452,0,0,3770,31257,3832,1556,11,0,36656,728,111,57,0,3,899,622,157,123,0,0,902,32607,4100,1736,11,3,38457,942,131,100,0,0,1173,36223,4875,2288,11,3,43400
CED131,13435,762,1553,225,20,15995,29774,798,1411,232,40,32255,1757,58,94,25,0,1934,1698,99,251,19,4,2071,33229,955,1756,276,44,36260,1726,131,244,66,5,2172,48390,1848,3553,567,69,54427
CED132,8303,1541,2411,136,17,12408,26462,3678,4197,210,52,34599,991,143,208,10,0,1352,1227,304,556,32,6,2125,28680,4125,4961,252,58,38076,1272,261,470,25,3,2031,38255,5927,7842,413,78,52515
CED133,2093,504,3201,24,9,5831,19030,4806,23557,116,56,47565,402,110,679,3,0,1194,420,177,1700,17,7,2321,19852,5093,25936,136,63,51080,476,127,789,3,5,1400,22421,5724,29926,163,77,58311
CED134,10673,1311,2053,640,18,14695,27253,1802,2201,462,20,31738,1659,118,160,28,3,1968,1284,167,274,62,0,1787,30196,2087,2635,552,23,35493,1436,167,243,87,3,1936,42305,3565,4931,1279,44,52124
CED135,14742,576,1585,428,19,17350,29571,737,1083,340,49,31780,1645,45,67,13,0,1770,1898,106,199,38,5,2246,33114,888,1349,391,54,35796,1928,98,227,121,5,2379,49784,1562,3161,940,78,55525
CED136,4696,1305,3791,18,18,9828,18680,5749,16471,47,104,41051,603,179,547,6,4,1339,650,276,1053,7,3,1989,19933,6204,18071,60,111,44379,958,283,950,4,7,2202,25587,7792,22812,82,136,56409
CED137,8743,1799,1145,362,9,12058,27263,2642,1464,311,20,31700,1368,155,88,24,3,1638,1152,212,176,36,0,1576,29783,3009,1728,371,23,34914,1319,234,166,54,0,1773,39845,5042,3039,787,32,48745
CED138,4459,798,2948,43,10,8258,18347,4517,19581,120,66,42631,556,109,509,6,4,1184,562,181,1167,14,9,1933,19465,4807,21257,140,79,45748,904,198,930,7,4,2043,24828,5803,25135,190,93,56049
CED139,6739,2332,1569,784,11,11435,27019,4605,2505,629,45,34803,1463,304,149,60,3,1979,1138,395,281,72,9,1895,29620,5304,2935,761,57,38677,1151,365,275,154,3,1948,37510,8001,4779,1699,71,52060
CED140,12218,689,1532,168,12,14619,29445,877,1620,216,31,32189,1569,55,92,8,0,1724,1766,109,293,22,0,2190,32780,1041,2005,246,31,36103,1656,95,248,60,23,2082,46654,1825,3785,474,66,52804
CED141,6854,2540,1586,295,26,11301,28076,4114,2627,232,61,35110,1161,262,158,27,5,1613,1207,299,267,19,6,1798,30444,4675,3052,278,72,38521,1187,371,278,30,3,1869,38485,7586,4916,603,101,51691
CED142,9355,1519,1138,211,3,12226,28913,1896,1144,166,8,32127,1341,129,77,7,0,1554,1140,148,113,22,3,1426,31394,2173,1334,195,11,35107,1453,191,153,34,0,1831,42202,3883,2625,440,14,49164
CED143,797,2148,5481,62,202,8690,5332,14515,34553,323,206,54929,122,386,938,4,12,1462,226,884,3003,27,28,4168,5680,15785,38494,354,246,60559,176,521,1561,13,40,2311,6653,18454,45536,429,488,71560
CED144,9234,1432,1168,321,6,12161,28321,2182,981,248,11,31743,1507,138,83,24,4,1756,1294,190,149,22,0,1655,31122,2510,1213,294,15,35154,1408,186,158,50,3,1805,41764,4128,2539,665,24,49120
CED145,2240,568,3514,14,17,6353,20264,4678,19503,113,80,44638,482,125,814,7,3,1431,364,214,1953,16,5,2552,21110,5017,22270,136,88,48621,602,132,762,10,5,1511,23952,5717,26546,160,110,56485
CED146,5982,1444,3734,50,24,11234,19140,4542,10633,158,91,34564,646,141,429,10,3,1229,668,218,778,14,8,1686,20454,4901,11840,182,102,37479,1242,299,946,14,7,2508,27678,6644,16520,246,133,51221
CED147,919,1276,5354,30,25,7604,9574,10121,28843,175,127,48840,184,288,1128,13,3,1616,212,489,3225,15,11,3952,9970,10898,33196,203,141,54408,326,350,1310,6,4,1996,11215,12524,39860,239,170,64008
CED148,5821,1880,583,91,3,8378,25667,4922,1077,149,7,31822,1069,242,64,11,0,1386,1252,415,93,9,3,1772,27988,5579,1234,169,10,34980,1423,444,131,16,0,2014,35232,7903,1948,276,13,45372
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,4459,730,477,84,0,5750,32313,1783,776,67,5,34944,917,97,37,6,0,1057,831,106,58,9,3,1007,34061,1986,871,82,8,37008,1094,95,66,11,0,1266,39614,2811,1414,177,8,44024
CED202,9855,849,1440,138,3,12285,32383,1139,1374,127,7,35030,1735,68,79,9,0,1891,1837,148,198,19,0,2202,35955,1355,1651,155,7,39123,1500,143,207,22,4,1876,47310,2347,3298,315,14,53284
CED203,8441,1308,2443,44,0,12236,22812,4707,6221,218,20,33978,758,162,269,11,3,1203,1033,342,769,27,0,2171,24603,5211,7259,256,23,37352,1313,235,479,13,0,2040,34357,6754,10181,313,23,51628
CED204,11618,641,1247,234,3,13743,32216,894,1179,234,12,34535,2041,54,75,11,0,2181,1636,120,190,25,0,1971,35893,1068,1444,270,12,38687,1648,86,173,32,0,1939,49159,1795,2864,536,15,54369
CED205,6611,765,2234,71,4,9685,26146,2087,4555,49,9,32846,944,92,237,4,0,1277,856,143,384,19,0,1402,27946,2322,5176,72,9,35525,1375,124,455,19,0,1973,35932,3211,7865,162,13,47183
CED206,7971,761,722,110,10,9574,32829,3129,1113,99,20,37190,1268,114,58,3,0,1443,1522,202,116,19,0,1859,35619,3445,1287,121,20,40492,1837,192,130,18,0,2177,45427,4398,2139,249,30,52243
CED207,5546,1131,586,37,0,7300,31912,1824,979,53,6,34774,1308,104,64,4,0,1480,1120,204,107,5,0,1436,34340,2132,1150,62,6,37690,1105,143,75,3,0,1326,40991,3406,1811,102,6,46316
CED208,5670,1473,1123,6,4,8276,26069,6690,4594,59,27,37439,912,254,219,0,0,1385,748,296,283,0,0,1327,27729,7240,5096,59,27,40151,1002,283,268,8,0,1561,34401,8996,6487,73,31,49988
CED209,8362,713,1282,175,6,10538,33492,1232,1516,168,11,36419,1639,62,91,9,0,1801,1641,132,209,30,4,2016,36772,1426,1816,207,15,40236,1292,102,147,41,0,1582,46426,2241,3245,423,21,52356
CED210,9824,915,1760,81,5,12585,28582,1423,2205,121,10,32341,1449,75,145,8,0,1677,1696,184,328,17,0,2225,31727,1682,2678,146,10,36243,1495,128,276,16,0,1915,43046,2725,4714,243,15,50743
