region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED508,7778,1040,876,197,8,9899,34591,1735,1079,203,9,37617,1510,130,73,9,0,1722,1711,164,108,23,4,2010,37812,2029,1260,235,13,41349,1531,154,120,25,0,1830,47121,3223,2256,457,21,53078
CED509,3921,544,373,33,0,4871,37026,1684,964,47,7,39728,1242,101,59,3,0,1405,1424,171,129,10,0,1734,39692,1956,1152,60,7,42867,1222,77,66,0,0,1365,44835,2577,1591,93,7,49103
CED510,10573,1077,792,333,21,12796,31180,1318,876,426,52,33852,1827,83,61,20,4,1995,1939,148,140,67,6,2300,34946,1549,1077,513,62,38147,1518,164,132,115,6,1935,47037,2790,2001,961,89,52878
CED511,7058,546,247,68,0,7919,36734,983,234,118,30,38099,1717,54,15,9,3,1798,1738,83,18,16,3,1858,40189,1120,267,143,36,41755,1585,103,36,66,0,1790,48832,1769,550,277,36,51464
CED512,6471,2041,2366,5,6,10889,25802,6335,8287,90,29,40543,1084,264,348,0,0,1696,1195,533,1073,10,6,2817,28081,7132,9708,100,35,45056,1111,358,464,5,0,1938,35663,9531,12538,110,41,57883
CED513,6521,3392,1539,42,0,11494,24444,10382,2975,58,18,37877,994,474,177,6,0,1651,1188,888,378,3,0,2457,26626,11744,3530,67,18,41985,1149,572,295,5,0,2021,34296,15708,5364,114,18,55500
CED514,6813,2448,2296,30,10,11597,27739,8374,6508,21,32,42674,1250,342,329,3,0,1924,1562,694,670,5,0,2931,30551,9410,7507,29,32,47529,1383,532,407,3,3,2328,38747,12390,10210,62,45,61454
CED515,4141,991,535,3,0,5670,35225,2617,1187,8,11,39048,1168,147,77,0,0,1392,1003,171,100,0,0,1274,37396,2935,1364,8,11,41714,1070,135,92,0,0,1297,42607,4061,1991,11,11,48681
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,7870,1069,1383,69,0,10391,21748,980,1332,83,19,24162,1159,63,93,5,0,1320,1310,188,218,15,3,1734,24217,1231,1643,103,22,27216,1011,123,147,11,3,1295,33098,2423,3173,183,25,38902
CED602,9057,935,1140,137,0,11269,21418,557,755,150,12,22892,1257,65,49,11,0,1382,1339,81,136,18,0,1574,24014,703,940,179,12,25848,1045,147,139,56,0,1387,34116,1785,2219,372,12,38504
CED603,6165,1090,2315,52,5,9627,20442,1879,3237,129,32,25719,1107,121,164,6,3,1401,1204,237,466,13,0,1920,22753,2237,3867,148,35,29040,869,125,264,6,3,1267,29787,3452,6446,206,43,39934
